년도,월,나이,광산구,송정1동,송정2동,도산동,신흥동,어룡동,우산동,월곡1동,월곡2동,비아동,첨단1동,첨단2동,신가동,운남동,수완동,하남동,임곡동,동곡동,평동,삼도동,본량동,신창동
2020,1,총,"204,163","5,733","3,371","8,141","2,479","16,821","12,309","6,013","8,556","3,843","12,937","22,177","11,080","15,710","38,999","11,938","1,110","1,015","2,254","1,161","1,046","17,470"
2020,1,0,"21,979",416,182,860,205,"2,180","1,009",402,701,342,996,"2,124","1,226","1,701","5,781","1,724",26,29,79,23,19,"1,954"
2020,1,10,"27,859",664,207,960,238,"1,857","1,086",692,"1,165",428,"1,833","3,131","1,687","2,179","6,859","1,637",75,45,75,70,51,"2,920"
2020,1,20,"30,196",961,523,"1,213",347,"2,146","1,912","1,075","1,342",518,"2,508","4,121","1,624","2,421","4,767","1,436",105,106,274,107,81,"2,609"
2020,1,30,"28,454",673,554,"1,216",339,"3,003","1,892",755,982,491,"1,486","3,056","1,394","2,141","5,318","1,897",70,103,293,92,82,"2,617"
2020,1,40,"38,741","1,010",485,"1,434",400,"3,244","1,962",902,"1,528",778,"1,980","3,954","2,302","2,923","8,868","2,488",119,112,335,129,164,"3,624"
2020,1,50,"32,388",959,559,"1,239",410,"2,246","2,259","1,176","1,600",734,"2,581","3,864","1,738","2,731","4,925","1,580",238,212,433,263,191,"2,450"
2020,1,60,"15,065",583,413,665,284,"1,368","1,403",672,789,328,"1,054","1,279",691,972,"1,653",847,234,190,407,237,194,802
2020,1,70,"7,131",341,340,426,201,601,599,263,341,164,353,478,337,481,662,252,164,166,261,156,160,385
2020,1,80,"2,149",114,100,116,52,160,177,70,99,57,135,151,73,145,154,69,74,48,82,77,95,101
2020,1,90,196,12,8,12,3,15,10,6,9,3,11,19,7,16,11,8,5,3,15,6,9,8
2020,1,100,5,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
2020,2,총,"204,204","5,747","3,385","8,137","2,464","16,769","12,368","5,993","8,486","3,848","12,951","22,232","11,020","15,815","38,941","11,918","1,106","1,020","2,251","1,159","1,042","17,552"
2020,2,0,"21,855",408,184,840,202,"2,154","1,024",404,687,336,999,"2,112","1,216","1,706","5,752","1,697",25,32,76,23,19,"1,959"
2020,2,10,"27,729",666,214,962,235,"1,850","1,079",676,"1,131",429,"1,816","3,120","1,666","2,183","6,842","1,637",73,45,78,69,53,"2,905"
2020,2,20,"30,209",960,516,"1,207",338,"2,135","1,923","1,073","1,333",517,"2,504","4,168","1,615","2,443","4,752","1,438",102,109,260,106,77,"2,633"
2020,2,30,"28,361",674,562,"1,204",338,"2,983","1,903",755,972,489,"1,499","3,051","1,381","2,131","5,273","1,879",70,102,299,92,84,"2,620"
2020,2,40,"38,815","1,013",481,"1,446",398,"3,233","1,965",898,"1,522",785,"1,987","3,957","2,292","2,962","8,861","2,498",120,116,337,130,162,"3,652"
2020,2,50,"32,511",966,566,"1,249",408,"2,246","2,262","1,173","1,594",739,"2,583","3,886","1,749","2,754","4,963","1,578",237,211,423,262,188,"2,474"
2020,2,60,"15,185",589,408,667,284,"1,387","1,421",677,802,328,"1,061","1,286",681,989,"1,659",860,235,188,416,237,194,816
2020,2,70,"7,159",342,344,428,206,604,605,257,336,165,353,479,339,482,671,253,164,165,265,155,161,385
2020,2,80,"2,171",117,102,122,51,161,174,73,100,56,137,153,72,149,156,70,75,48,82,79,94,100
2020,2,90,203,12,8,12,4,15,12,7,9,4,12,19,8,16,11,8,5,3,15,5,10,8
2020,2,100,6,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0
2020,3,총,"204,435","5,746","3,369","8,127","2,429","16,723","12,775","5,973","8,452","3,855","13,081","22,178","10,938","15,798","38,823","11,881","1,102","1,016","2,247","1,155","1,041","17,726"
2020,3,0,"21,734",405,186,833,197,"2,144","1,056",398,683,340,"1,010","2,095","1,193","1,687","5,689","1,669",25,30,76,23,19,"1,976"
2020,3,10,"27,677",660,209,959,229,"1,836","1,104",665,"1,121",426,"1,809","3,078","1,646","2,173","6,871","1,656",71,45,73,68,53,"2,925"
2020,3,20,"30,352",963,496,"1,209",330,"2,132","1,986","1,085","1,329",516,"2,560","4,191","1,612","2,437","4,766","1,430",104,108,260,104,82,"2,652"
2020,3,30,"28,352",669,561,"1,191",328,"2,948","2,041",746,968,499,"1,531","3,067","1,349","2,132","5,160","1,860",68,103,302,95,81,"2,653"
2020,3,40,"38,759","1,008",480,"1,455",402,"3,233","1,997",881,"1,505",772,"1,998","3,902","2,278","2,957","8,860","2,493",114,117,337,126,158,"3,686"
