년도,월,나이,속초시,영랑동,동명동,금호동,교동,노학동,조양동,청호동,대포동
2020,1,총,"81,840","4,782","4,027","6,370","9,954","21,720","27,356","4,427","3,204"
2020,1,0,"5,958",198,269,240,617,"1,462","2,854",235,83
2020,1,10,"7,736",313,279,487,956,"2,426","2,895",242,138
2020,1,20,"8,922",453,359,667,"1,101","2,469","3,220",385,268
2020,1,30,"9,292",451,427,460,"1,030","2,321","3,868",493,242
2020,1,40,"12,649",604,534,853,"1,491","3,635","4,653",514,365
2020,1,50,"15,206",978,812,"1,348","1,860","4,017","4,603",900,688
2020,1,60,"11,771",970,665,"1,153","1,601","2,938","2,922",801,721
2020,1,70,"6,693",534,460,730,845,"1,573","1,588",504,459
2020,1,80,"3,002",236,186,342,372,728,648,288,202
2020,1,90,578,43,33,86,77,144,100,60,35
2020,1,100,33,2,3,4,4,7,5,5,3
2020,2,총,"81,744","4,764","3,976","6,362","9,920","21,661","27,367","4,466","3,228"
2020,2,0,"5,946",200,265,240,610,"1,452","2,857",237,85
2020,2,10,"7,673",299,278,479,958,"2,405","2,858",253,143
2020,2,20,"8,897",448,355,674,"1,089","2,449","3,220",393,269
2020,2,30,"9,269",454,407,462,"1,018","2,306","3,876",506,240
2020,2,40,"12,612",595,526,839,"1,481","3,628","4,651",516,376
2020,2,50,"15,158",970,812,"1,345","1,855","3,997","4,608",886,685
2020,2,60,"11,848",979,663,"1,158","1,612","2,955","2,936",821,724
2020,2,70,"6,693",529,449,728,847,"1,583","1,595",500,462
2020,2,80,"3,035",243,184,349,370,738,661,284,206
2020,2,90,579,45,34,84,76,141,99,65,35
2020,2,100,34,2,3,4,4,7,6,5,3
2020,3,총,"81,689","4,703","3,923","6,355","9,895","21,748","27,353","4,502","3,210"
2020,3,0,"5,944",195,268,242,608,"1,463","2,837",248,83
2020,3,10,"7,625",294,268,470,944,"2,403","2,843",262,141
2020,3,20,"8,849",433,347,665,"1,092","2,455","3,197",398,262
2020,3,30,"9,268",451,404,467,"1,017","2,312","3,862",515,240
2020,3,40,"12,553",576,521,838,"1,459","3,630","4,643",520,366
2020,3,50,"15,127",949,797,"1,332","1,860","4,026","4,598",886,679
2020,3,60,"11,959",989,660,"1,169","1,618","2,972","2,994",827,730
2020,3,70,"6,705",531,436,734,851,"1,596","1,598",497,462
2020,3,80,"3,039",237,185,352,363,743,670,281,208
2020,3,90,586,46,34,82,79,141,105,63,36
2020,3,100,34,2,3,4,4,7,6,5,3
2020,4,총,"81,713","4,684","3,918","6,376","9,890","21,748","27,358","4,526","3,213"
2020,4,0,"5,914",190,268,243,609,"1,462","2,807",251,84
2020,4,10,"7,610",289,273,476,946,"2,385","2,843",259,139
2020,4,20,"8,845",436,339,656,"1,098","2,447","3,204",400,265
2020,4,30,"9,239",448,413,476,"1,011","2,299","3,843",506,243
2020,4,40,"12,545",569,520,842,"1,454","3,604","4,658",535,363
2020,4,50,"15,139",946,789,"1,330","1,856","4,071","4,585",883,679
2020,4,60,"12,014",992,661,"1,170","1,610","2,990","3,011",847,733
2020,4,70,"6,711",527,433,737,852,"1,597","1,610",493,462
2020,4,80,"3,078",241,187,359,371,744,684,287,205
2020,4,90,584,44,32,83,79,142,107,60,37
2020,4,100,34,2,3,4,4,7,6,5,3
2020,5,총,"81,792","4,665","3,876","6,338","9,862","21,663","27,647","4,539","3,202"
2020,5,0,"5,881",188,269,239,595,"1,438","2,821",251,80
2020,5,10,"7,594",288,269,469,935,"2,367","2,874",259,133
2020,5,20,"8,840",433,334,650,"1,088","2,436","3,236",394,269
2020,5,30,"9,265",443,412,472,997,"2,271","3,911",513,246
2020,5,40,"12,521",565,513,818,"1,459","3,583","4,681",544,358
2020,5,50,"15,146",935,774,"1,325","1,843","4,068","4,644",886,671
2020,5,60,"12,080",994,654,"1,178","1,625","3,004","3,053",837,735
2020,5,70,"6,734",530,431,741,860,"1,591","1,618",498,465
2020,5,80,"3,105",242,187,358,374,752,695,291,206
2020,5,90,591,44,30,84,82,146,108,61,36
2020,5,100,35,3,3,4,4,7,6,5,3
2020,6,총,"82,059","4,605","3,826","6,261","9,751","21,359","28,562","4,511","3,184"
2020,6,0,"5,910",178,254,237,574,"1,404","2,939",243,81
2020,6,10,"7,554",273,273,452,912,"2,291","2,971",254,128
2020,6,20,"8,924",431,327,646,"1,081","2,423","3,363",388,265
2020,6,30,"9,288",434,385,472,993,"2,200","4,052",510,242
2020,6,40,"12,524",551,515,800,"1,439","3,486","4,834",547,352
2020,6,50,"15,133",929,766,"1,300","1,805","4,029","4,761",873,670
2020,6,60,"12,229",999,653,"1,180","1,630","3,020","3,170",840,737
2020,6,70,"6,750",526,432,733,856,"1,596","1,644",498,465
2020,6,80,"3,119",237,189,353,376,760,708,291,205
2020,6,90,594,44,30,84,81,143,114,62,36
