년도,월,나이,경상남도 산청군,경상남도 산청군 산청읍,경상남도 산청군 차황면,경상남도 산청군 오부면,경상남도 산청군 생초면,경상남도 산청군 금서면,경상남도 산청군 삼장면,경상남도 산청군 시천면,경상남도 산청군 단성면,경상남도 산청군 신안면,경상남도 산청군 생비량면,경상남도 산청군 신등면
2020,3,총,"17,269","3,332",704,513,990,"1,447",920,"2,088","2,825","2,855",571,"1,024"
2020,3,0,791,231,25,20,40,49,25,74,109,177,21,20
2020,3,10,"1,142",261,29,34,60,89,52,159,114,263,21,60
2020,3,20,"1,466",375,49,16,64,95,59,179,225,303,38,63
2020,3,30,"1,242",339,39,25,56,115,54,121,180,240,32,41
2020,3,40,"2,023",432,65,61,99,164,84,260,321,354,62,121
2020,3,50,"3,583",635,142,105,182,298,223,478,617,573,112,218
2020,3,60,"3,589",540,175,105,213,295,209,422,677,558,157,238
2020,3,70,"2,276",362,109,84,176,217,147,263,416,246,84,172
2020,3,80,"1,045",136,59,60,91,109,63,121,155,131,37,83
2020,3,90,111,21,12,3,9,16,4,10,11,10,7,8
2020,3,100,1,0,0,0,0,0,0,1,0,0,0,0
2020,4,총,"17,276","3,331",707,514,981,"1,449",924,"2,085","2,832","2,865",571,"1,017"
2020,4,0,782,227,28,20,38,49,27,71,109,173,21,19
2020,4,10,"1,143",261,28,33,57,89,51,163,114,267,20,60
2020,4,20,"1,459",374,49,17,63,95,62,171,219,310,38,61
2020,4,30,"1,244",339,40,25,56,115,53,118,183,242,32,41
2020,4,40,"2,016",429,65,60,95,163,84,259,323,358,62,118
2020,4,50,"3,580",634,140,106,182,303,223,479,620,566,112,215
2020,4,60,"3,598",538,173,105,214,293,210,427,678,561,159,240
2020,4,70,"2,290",365,112,83,176,217,148,265,422,246,83,173
2020,4,80,"1,055",143,60,62,92,110,62,121,154,132,37,82
2020,4,90,107,21,12,3,7,15,4,10,10,10,7,8
2020,4,100,2,0,0,0,1,0,0,1,0,0,0,0
2020,5,총,"17,246","3,334",704,510,985,"1,446",925,"2,082","2,818","2,849",574,"1,019"
2020,5,0,776,223,27,20,38,49,26,72,109,171,22,19
2020,5,10,"1,142",266,28,31,55,89,52,159,116,266,19,61
2020,5,20,"1,444",369,47,16,64,92,65,171,216,306,39,59
2020,5,30,"1,235",336,38,27,59,116,50,118,180,239,31,41
2020,5,40,"2,009",432,64,58,94,162,84,253,321,356,65,120
2020,5,50,"3,579",631,144,105,182,304,223,485,617,560,111,217
2020,5,60,"3,602",545,170,104,217,294,212,427,675,565,154,239
2020,5,70,"2,285",366,113,83,175,214,148,265,421,240,89,171
2020,5,80,"1,063",145,61,63,93,111,60,120,154,136,37,83
2020,5,90,109,21,12,3,7,15,5,11,9,10,7,9
2020,5,100,2,0,0,0,1,0,0,1,0,0,0,0
2020,6,총,"17,236","3,330",706,517,985,"1,448",920,"2,070","2,816","2,851",575,"1,018"
2020,6,0,761,219,26,20,37,49,26,70,107,170,20,17
2020,6,10,"1,153",269,28,32,54,92,53,160,118,266,20,61
2020,6,20,"1,441",375,46,17,63,94,65,168,212,307,38,56
2020,6,30,"1,222",329,37,25,58,117,50,115,180,237,32,42
2020,6,40,"1,994",433,64,60,96,159,85,250,316,351,63,117
2020,6,50,"3,576",626,144,105,183,304,218,486,619,563,112,216
2020,6,60,"3,622",548,175,108,219,293,213,426,673,568,156,243
2020,6,70,"2,298",366,115,81,174,217,145,264,428,243,90,175
2020,6,80,"1,061",146,60,66,93,108,60,119,154,136,37,82
2020,6,90,106,19,11,3,7,15,5,11,9,10,7,9
2020,6,100,2,0,0,0,1,0,0,1,0,0,0,0
2020,7,총,"17,216","3,334",706,512,985,"1,441",913,"2,067","2,813","2,849",574,"1,022"
2020,7,0,746,218,26,19,37,47,24,68,106,166,18,17
2020,7,10,"1,157",273,28,33,54,91,50,160,117,267,23,61
2020,7,20,"1,422",370,45,15,60,95,63,169,208,304,36,57
2020,7,30,"1,224",334,38,25,57,113,49,114,181,238,33,42
2020,7,40,"1,978",431,64,60,95,162,84,250,310,347,61,114
2020,7,50,"3,576",620,144,104,185,301,217,484,624,564,112,221
2020,7,60,"3,639",555,175,107,223,294,214,428,676,568,156,243
2020,7,70,"2,307",366,115,82,173,218,146,261,431,248,91,176
2020,7,80,"1,056",148,60,64,93,105,60,120,151,136,37,82
2020,7,90,109,19,11,3,7,15,6,12,9,11,7,9
2020,7,100,2,0,0,0,1,0,0,1,0,0,0,0
2020,8,총,"17,203","3,335",699,509,991,"1,442",912,"2,065","2,804","2,844",573,"1,029"
2020,8,0,744,215,25,19,37,48,23,69,106,168,18,16
2020,8,10,"1,149",274,28,30,57,92,49,157,118,263,21,60
2020,8,20,"1,419",371,43,16,59,95,64,167,204,305,37,58
2020,8,30,"1,200",333,37,23,56,113,48,114,175,227,33,41
2020,8,40,"1,992",434,66,59,97,164,83,254,309,352,59,115
2020,8,50,"3,567",619,140,105,185,297,217,482,620,565,114,223
2020,8,60,"3,653",554,176,108,224,292,215,428,684,566,158,248
2020,8,70,"2,306",367,114,82,174,220,145,261,426,252,89,176
2020,8,80,"1,059",148,59,64,94,106,62,119,153,135,37,82
2020,8,90,112,20,11,3,7,15,6,13,9,11,7,10
2020,8,100,2,0,0,0,1,0,0,1,0,0,0,0
2020,9,총,"17,179","3,324",696,505,987,"1,439",910,"2,062","2,814","2,840",574,"1,028"
2020,9,0,736,209,25,20,37,49,22,69,105,166,18,16
2020,9,10,"1,138",278,27,28,56,89,48,157,115,260,21,59
2020,9,20,"1,406",368,42,15,60,94,64,165,204,304,35,55
2020,9,30,"1,188",327,34,24,57,111,49,113,176,224,32,41
2020,9,40,"1,987",431,67,54,94,165,82,256,310,352,61,115
2020,9,50,"3,554",613,142,107,184,296,218,473,621,562,113,225
2020,9,60,"3,682",564,177,108,221,294,215,433,690,574,160,246
2020,9,70,"2,311",367,114,82,174,219,145,263,428,252,90,177
2020,9,80,"1,063",147,59,64,96,107,61,118,155,135,37,84
2020,9,90,112,20,9,3,7,15,6,14,10,11,7,10
2020,9,100,2,0,0,0,1,0,0,1,0,0,0,0
2020,10,총,"17,159","3,314",695,504,986,"1,435",905,"2,060","2,815","2,834",576,"1,035"
2020,10,0,724,198,26,20,37,47,22,69,102,169,18,16
2020,10,10,"1,126",280,27,29,59,84,47,154,114,253,20,59
2020,10,20,"1,405",366,41,15,62,93,63,166,204,304,35,56
2020,10,30,"1,179",320,33,22,57,115,49,114,175,220,34,40
2020,10,40,"1,984",433,66,56,92,166,82,250,312,350,60,117
2020,10,50,"3,542",616,142,104,181,292,212,469,623,563,111,229
2020,10,60,"3,708",570,178,110,221,298,217,438,690,577,163,246
2020,10,70,"2,306",360,115,81,174,218,144,264,428,252,91,179
2020,10,80,"1,070",152,58,63,96,106,64,121,156,135,37,82
2020,10,90,113,19,9,4,6,16,5,14,11,11,7,11
2020,10,100,2,0,0,0,1,0,0,1,0,0,0,0
2020,11,총,"17,137","3,319",691,510,989,"1,429",903,"2,049","2,812","2,826",568,"1,041"
2020,11,0,713,196,26,20,38,46,21,67,98,169,17,15
2020,11,10,"1,111",276,27,30,59,81,46,153,111,246,20,62
2020,11,20,"1,412",373,40,16,61,94,63,161,209,305,33,57
2020,11,30,"1,153",309,32,24,54,112,49,109,171,219,34,40
2020,11,40,"1,988",435,67,57,93,167,82,245,317,347,60,118
2020,11,50,"3,539",625,139,104,184,292,210,473,614,559,108,231
2020,11,60,"3,724",565,178,111,223,299,218,442,698,582,163,245
2020,11,70,"2,313",369,113,82,174,214,143,263,427,257,91,180
2020,11,80,"1,071",151,60,62,96,109,66,121,156,132,36,82
2020,11,90,111,20,9,4,6,15,5,14,11,10,6,11
2020,11,100,2,0,0,0,1,0,0,1,0,0,0,0
2020,12,총,"17,110","3,306",692,511,979,"1,421",903,"2,054","2,818","2,817",566,"1,043"
2020,12,0,697,193,25,19,37,46,22,62,101,161,16,15
2020,12,10,"1,119",279,27,30,58,82,47,157,110,246,20,63
2020,12,20,"1,402",368,39,17,59,91,64,164,210,301,33,56
2020,12,30,"1,142",309,34,23,53,107,44,108,169,223,31,41
2020,12,40,"1,953",428,67,57,89,161,84,239,311,343,61,113
2020,12,50,"3,523",617,139,103,186,289,207,477,610,555,110,230
2020,12,60,"3,765",574,176,112,222,304,221,446,712,587,161,250
2020,12,70,"2,322",364,116,86,174,213,140,266,428,259,93,183
2020,12,80,"1,076",154,60,60,94,113,69,120,157,132,36,81
2020,12,90,109,20,9,4,6,15,5,14,10,10,5,11
2020,12,100,2,0,0,0,1,0,0,1,0,0,0,0
2021,1,총,"17,085","3,304",690,512,981,"1,421",903,"2,045","2,821","2,807",563,"1,038"
