년도,월,나이,서울특별시 용산구,서울특별시 용산구 후암동,서울특별시 용산구 용산2가동,서울특별시 용산구 남영동,서울특별시 용산구 청파동,서울특별시 용산구 원효로제1동,서울특별시 용산구 원효로제2동,서울특별시 용산구 효창동,서울특별시 용산구 용문동,서울특별시 용산구 한강로동,서울특별시 용산구 이촌제1동,서울특별시 용산구 이촌제2동,서울특별시 용산구 이태원제1동,서울특별시 용산구 이태원제2동,서울특별시 용산구 한남동,서울특별시 용산구 서빙고동,서울특별시 용산구 보광동
2020,1,총,"118,684","9,214","5,378","3,031","10,440","8,322","7,689","5,345","6,505","9,331","15,103","4,705","3,599","4,985","10,790","6,937","7,310"
2020,1,0,"6,820",504,210,116,366,683,508,383,410,446,"1,376",267,130,226,552,413,230
2020,1,10,"8,005",612,316,124,591,435,810,387,441,424,"1,483",257,155,269,560,763,378
2020,1,20,"17,126","1,316",742,500,"2,367","1,423",994,836,959,"1,495","1,556",529,465,657,"1,402",893,992
2020,1,30,"19,085","1,386",894,508,"1,450","1,850","1,049",942,"1,026","1,897","2,122",765,516,850,"2,014",814,"1,002"
2020,1,40,"18,405","1,440",729,401,"1,430","1,285","1,230",832,988,"1,282","2,816",636,464,734,"1,714","1,330","1,094"
2020,1,50,"18,492","1,521",822,481,"1,556","1,102","1,190",806,"1,009","1,522","2,280",774,597,723,"1,662","1,114","1,333"
2020,1,60,"14,505","1,156",784,416,"1,267",810,909,541,827,"1,107","1,502",716,580,687,"1,415",689,"1,099"
2020,1,70,"9,757",747,512,297,919,457,593,374,550,701,"1,111",443,395,514,923,481,740
2020,1,80,"5,179",409,295,140,397,213,343,198,232,348,693,255,233,258,420,381,364
2020,1,90,"1,052",99,59,32,74,51,54,35,55,80,136,51,49,56,103,55,63
2020,1,100,258,24,15,16,23,13,9,11,8,29,28,12,15,11,25,4,15
2020,2,총,"118,904","9,198","5,373","3,024","10,498","8,344","7,654","5,359","6,494","9,365","15,184","4,704","3,604","4,988","10,905","6,928","7,282"
2020,2,0,"6,799",503,207,118,373,680,494,386,397,446,"1,400",262,129,223,548,413,220
2020,2,10,"7,979",607,304,121,603,443,803,381,428,424,"1,485",258,157,271,575,751,368
2020,2,20,"17,180","1,296",753,495,"2,386","1,400",993,844,973,"1,523","1,556",535,458,661,"1,410",901,996
2020,2,30,"19,169","1,382",893,508,"1,482","1,876","1,050",948,"1,027","1,897","2,143",756,519,845,"2,034",811,998
2020,2,40,"18,384","1,447",725,398,"1,409","1,287","1,228",830,980,"1,284","2,806",637,465,743,"1,737","1,327","1,081"
2020,2,50,"18,553","1,525",826,479,"1,566","1,107","1,183",809,"1,012","1,520","2,291",773,603,719,"1,690","1,112","1,338"
2020,2,60,"14,551","1,157",788,418,"1,263",817,902,542,829,"1,103","1,524",718,579,687,"1,435",689,"1,100"
2020,2,70,"9,757",749,509,294,913,457,595,370,551,704,"1,114",445,397,511,924,484,740
2020,2,80,"5,208",412,292,143,403,214,342,203,233,355,699,256,232,261,422,383,358
2020,2,90,"1,064",96,61,34,77,50,55,35,56,80,137,52,49,56,105,53,68
2020,2,100,260,24,15,16,23,13,9,11,8,29,29,12,16,11,25,4,15
2020,3,총,"118,912","9,145","5,365","3,020","10,503","8,332","7,637","5,364","6,466","9,417","15,199","4,673","3,607","5,007","10,973","6,946","7,258"
2020,3,0,"6,785",495,206,117,373,684,494,384,389,448,"1,398",265,130,223,554,409,216
2020,3,10,"7,962",599,304,127,600,435,800,381,425,434,"1,481",257,155,271,573,751,369
2020,3,20,"17,269","1,276",758,494,"2,408","1,396","1,007",841,982,"1,543","1,556",531,464,671,"1,438",911,993
2020,3,30,"19,133","1,372",881,497,"1,489","1,876","1,037",951,"1,021","1,908","2,138",749,523,850,"2,047",813,981
2020,3,40,"18,336","1,438",725,405,"1,394","1,274","1,219",824,967,"1,290","2,797",637,468,743,"1,735","1,339","1,081"
2020,3,50,"18,511","1,516",823,481,"1,560","1,098","1,183",818,"1,012","1,521","2,306",758,599,718,"1,702","1,101","1,315"
2020,3,60,"14,600","1,170",790,416,"1,262",831,901,542,824,"1,085","1,540",708,583,689,"1,441",698,"1,120"
2020,3,70,"9,743",754,506,290,911,460,587,372,549,715,"1,105",446,384,513,927,484,740
2020,3,80,"5,238",405,296,142,405,212,345,205,233,364,711,259,235,261,423,382,360
2020,3,90,"1,076",96,61,35,77,52,55,35,56,81,139,51,50,57,108,55,68
2020,3,100,259,24,15,16,24,14,9,11,8,28,28,12,16,11,25,3,15
2020,4,총,"118,765","9,159","5,336","2,997","10,495","8,311","7,598","5,384","6,472","9,435","15,188","4,662","3,610","4,992","10,960","6,922","7,244"
