년도,월,나이,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 남구 구룡포읍,경상북도 포항시 남구 연일읍,경상북도 포항시 남구 오천읍,경상북도 포항시 남구 대송면,경상북도 포항시 남구 동해면,경상북도 포항시 남구 장기면,경상북도 포항시 남구 호미곶면,경상북도 포항시 남구 상대동,경상북도 포항시 남구 해도동,경상북도 포항시 남구 송도동,경상북도 포항시 남구 청림동,경상북도 포항시 남구 제철동,경상북도 포항시 남구 효곡동,경상북도 포항시 남구 대이동,경상북도 포항시 북구,경상북도 포항시 북구 흥해읍,경상북도 포항시 북구 신광면,경상북도 포항시 북구 청하면,경상북도 포항시 북구 송라면,경상북도 포항시 북구 기계면,경상북도 포항시 북구 죽장면,경상북도 포항시 북구 죽장면상옥출장소,경상북도 포항시 북구 기북면,경상북도 포항시 북구 중앙동,경상북도 포항시 북구 양학동,경상북도 포항시 북구 죽도동,경상북도 포항시 북구 용흥동,경상북도 포항시 북구 우창동,경상북도 포항시 북구 두호동,경상북도 포항시 북구 장량동,경상북도 포항시 북구 환여동
2020,3,총,"255,465","120,030","3,925","15,931","28,963","1,887","5,028","2,060",937,"13,080","9,090","6,468","2,603","1,783","15,612","12,663","135,435","20,318","1,440","2,401","1,255","2,420","1,069",306,627,"7,890","8,658","9,880","11,152","15,719","11,034","36,491","4,775"
2020,3,0,"21,455","9,556",83,"1,356","3,112",43,305,44,22,673,338,251,122,98,"1,904","1,205","11,899","2,122",38,67,15,49,16,4,10,323,661,432,781,"1,623",818,"4,450",490
2020,3,10,"25,187","11,458",155,"1,969","3,106",85,413,65,44,843,469,398,151,114,"2,019","1,627","13,729","1,890",62,121,46,95,35,9,24,434,"1,061",538,"1,181","1,679","1,285","4,672",597
2020,3,20,"32,794","15,699",320,"2,161","3,659",175,578,132,64,"1,873","1,077",638,383,554,"2,138","1,947","17,095","2,392",106,194,99,186,58,20,29,937,"1,238","1,297","1,395","2,194","1,654","4,783",513
2020,3,30,"32,284","15,153",281,"1,700","4,644",180,519,113,53,"1,778","1,034",650,337,232,"1,903","1,729","17,131","2,699",81,163,75,163,49,14,36,"1,020","1,010","1,388","1,228","2,251","1,128","5,198",628
2020,3,40,"39,294","18,698",501,"2,559","5,483",211,701,224,129,"1,904","1,294",832,320,196,"2,337","2,007","20,596","3,179",155,299,132,251,94,26,59,"1,089","1,265","1,379","1,611","2,272","1,527","6,427",831
2020,3,50,"45,797","21,874",862,"3,150","4,461",410,965,392,195,"2,307","1,776","1,273",479,273,"2,865","2,466","23,923","3,572",271,503,277,491,226,59,116,"1,421","1,656","1,672","2,034","2,829","2,134","5,938",724
2020,3,60,"36,841","17,457",926,"2,030","3,024",462,883,484,216,"2,325","1,859","1,468",464,201,"1,907","1,208","19,384","2,705",375,528,294,588,290,100,185,"1,505","1,218","1,807","1,821","2,018","1,669","3,630",651
2020,3,70,"16,652","7,921",563,786,"1,120",252,495,392,155,"1,162","1,020",763,270,88,460,395,"8,731","1,285",221,356,214,385,176,50,100,866,443,"1,066",845,690,636,"1,127",271
2020,3,80,"4,761","2,059",214,210,330,63,155,194,56,199,213,182,72,26,71,74,"2,702",430,125,157,92,190,111,19,63,274,97,279,233,149,171,246,66
