년도,월,나이,연제구,거제제1동,거제제2동,거제제3동,거제제4동,연산제1동,연산제2동,연산제3동,연산제4동,연산제5동,연산제6동,연산제8동,연산제9동
2020,1,총,"108,494","15,720","6,632","5,573","5,649","8,672","8,889","4,098","8,910","8,518","9,083","7,598","19,152"
2020,1,0,"7,578","1,358",615,261,399,684,743,124,411,415,543,648,"1,377"
2020,1,10,"8,205","1,726",836,356,469,609,539,225,469,332,494,582,"1,568"
2020,1,20,"12,921","1,600",614,621,582,904,"1,051",403,"1,303","1,909",970,820,"2,144"
2020,1,30,"14,086","1,865",717,565,657,"1,171","1,453",389,"1,003","1,635","1,180","1,027","2,424"
2020,1,40,"16,358","3,059","1,244",727,867,"1,281","1,190",528,"1,157","1,079","1,164","1,129","2,933"
2020,1,50,"18,393","2,415","1,043",943,"1,029","1,508","1,436",761,"1,580","1,228","1,505","1,335","3,610"
2020,1,60,"16,696","1,922",828,954,898,"1,429","1,294",862,"1,650","1,066","1,653","1,189","2,951"
2020,1,70,"9,575","1,219",489,716,482,737,792,561,914,588,"1,096",595,"1,386"
2020,1,80,"4,007",473,216,368,222,306,329,212,363,239,413,231,635
2020,1,90,617,81,23,56,42,37,57,29,57,22,58,38,117
2020,1,100,58,2,7,6,2,6,5,4,3,5,7,4,7
2020,2,총,"108,771","15,713","6,677","5,559","5,618","8,648","9,262","4,075","8,903","8,571","9,044","7,584","19,117"
2020,2,0,"7,549","1,362",619,255,400,678,768,116,414,402,532,645,"1,358"
2020,2,10,"8,233","1,735",846,358,461,602,570,225,460,342,494,585,"1,555"
2020,2,20,"12,898","1,576",621,621,576,892,"1,109",397,"1,285","1,934",946,804,"2,137"
2020,2,30,"14,082","1,853",717,562,643,"1,153","1,520",390,"1,010","1,627","1,183","1,024","2,400"
2020,2,40,"16,453","3,063","1,267",727,873,"1,281","1,260",527,"1,162","1,085","1,153","1,139","2,916"
2020,2,50,"18,438","2,423","1,039",938,"1,026","1,523","1,498",750,"1,566","1,232","1,488","1,336","3,619"
2020,2,60,"16,778","1,923",828,953,895,"1,429","1,334",857,"1,664","1,080","1,666","1,175","2,974"
