년도,월,나이,서울특별시 동작구,서울특별시 동작구 노량진제1동,서울특별시 동작구 노량진제2동,서울특별시 동작구 상도제1동,서울특별시 동작구 상도제2동,서울특별시 동작구 상도제3동,서울특별시 동작구 상도제4동,서울특별시 동작구 흑석동,서울특별시 동작구 사당제1동,서울특별시 동작구 사당제2동,서울특별시 동작구 사당제3동,서울특별시 동작구 사당제4동,서울특별시 동작구 사당제5동,서울특별시 동작구 대방동,서울특별시 동작구 신대방제1동,서울특별시 동작구 신대방제2동
2020,3,총,"395,014","32,182","12,711","45,749","28,634","25,475","29,339","32,781","23,342","27,707","25,561","14,649","13,303","39,557","23,689","20,335"
2020,3,0,"26,039","2,058",377,"3,159","2,389","1,380","1,876","2,456",872,"1,871","2,221",795,962,"2,463","1,640","1,520"
2020,3,10,"29,107","2,064",622,"3,494","1,988","1,769","2,011","2,243",992,"1,738","1,689",790,950,"4,383","2,617","1,757"
2020,3,20,"66,625","5,587","2,230","9,766","4,463","4,274","4,596","5,198","5,270","3,803","3,513","2,540","2,051","6,558","3,287","3,489"
2020,3,30,"63,399","5,361","1,865","6,561","4,937","4,335","4,981","4,842","4,743","4,636","4,236","2,566","2,244","5,597","3,080","3,415"
2020,3,40,"60,178","4,442","1,596","6,680","4,507","3,825","4,498","4,972","2,945","4,130","3,929","2,129","2,099","6,913","4,201","3,312"
2020,3,50,"59,002","4,790","2,273","6,424","4,166","3,893","4,524","5,261","3,189","4,293","3,762","2,169","2,024","5,875","3,654","2,705"
2020,3,60,"47,934","4,106","1,955","5,061","3,259","3,090","3,627","3,938","3,016","3,842","3,438","1,962","1,612","4,073","2,862","2,093"
2020,3,70,"29,339","2,482","1,213","3,080","1,941","2,053","2,212","2,498","1,760","2,394","2,012","1,223",951,"2,464","1,602","1,454"
2020,3,80,"11,372","1,091",486,"1,281",836,737,893,"1,132",482,843,642,403,344,"1,053",643,506
2020,3,90,"1,717",168,80,211,122,105,110,188,67,122,99,65,55,156,98,71
2020,3,100,302,33,14,32,26,14,11,53,6,35,20,7,11,22,5,13
2020,4,총,"394,988","32,204","12,674","45,690","28,566","25,473","29,322","32,737","23,313","27,685","25,439","14,628","13,835","39,393","23,693","20,336"
2020,4,0,"25,917","2,034",371,"3,126","2,392","1,375","1,856","2,436",873,"1,865","2,204",792,"1,020","2,451","1,614","1,508"
2020,4,10,"29,012","2,062",616,"3,482","1,980","1,762","1,999","2,235",998,"1,745","1,683",783,962,"4,332","2,616","1,757"
2020,4,20,"66,694","5,607","2,214","9,800","4,433","4,272","4,602","5,199","5,247","3,774","3,487","2,543","2,141","6,539","3,320","3,516"
2020,4,30,"63,322","5,398","1,856","6,493","4,928","4,313","4,982","4,815","4,742","4,616","4,192","2,568","2,384","5,583","3,065","3,387"
2020,4,40,"60,118","4,429","1,587","6,680","4,486","3,830","4,483","4,964","2,954","4,145","3,928","2,123","2,168","6,852","4,181","3,308"
2020,4,50,"58,976","4,779","2,270","6,416","4,150","3,902","4,509","5,252","3,167","4,276","3,738","2,161","2,110","5,873","3,663","2,710"
2020,4,60,"48,084","4,114","1,953","5,079","3,271","3,094","3,644","3,952","3,011","3,852","3,435","1,961","1,658","4,077","2,884","2,099"
2020,4,70,"29,388","2,478","1,225","3,085","1,941","2,058","2,221","2,508","1,759","2,403","2,011","1,218",972,"2,456","1,598","1,455"
2020,4,80,"11,449","1,102",487,"1,284",835,748,904,"1,132",490,851,645,410,350,"1,050",648,513
2020,4,90,"1,725",170,81,212,124,105,111,190,66,123,96,63,58,158,98,70
2020,4,100,303,31,14,33,26,14,11,54,6,35,20,6,12,22,6,13
2020,5,총,"395,180","32,193","12,671","45,625","28,518","25,455","29,321","32,706","23,303","27,702","25,346","14,608","14,346","39,351","23,723","20,312"
2020,5,0,"25,852","2,019",366,"3,106","2,383","1,364","1,849","2,432",866,"1,852","2,183",798,"1,076","2,444","1,606","1,508"
2020,5,10,"28,860","2,045",616,"3,450","1,984","1,749","1,990","2,234",977,"1,737","1,680",769,976,"4,302","2,603","1,748"
2020,5,20,"66,831","5,622","2,216","9,827","4,425","4,261","4,604","5,198","5,259","3,800","3,457","2,534","2,211","6,553","3,335","3,529"
2020,5,30,"63,364","5,422","1,860","6,458","4,885","4,314","4,984","4,784","4,740","4,597","4,184","2,591","2,528","5,570","3,074","3,373"
2020,5,40,"60,013","4,410","1,589","6,667","4,454","3,814","4,475","4,958","2,956","4,131","3,925","2,111","2,243","6,835","4,159","3,286"
2020,5,50,"59,020","4,748","2,262","6,388","4,177","3,918","4,506","5,245","3,170","4,297","3,729","2,156","2,173","5,866","3,692","2,693"
2020,5,60,"48,215","4,142","1,956","5,114","3,279","3,097","3,660","3,949","3,016","3,849","3,419","1,953","1,716","4,073","2,879","2,113"
2020,5,70,"29,471","2,470","1,226","3,084","1,946","2,064","2,223","2,519","1,755","2,412","2,009","1,219",993,"2,483","1,611","1,457"
2020,5,80,"11,514","1,116",488,"1,283",839,755,908,"1,141",494,862,645,405,357,"1,045",657,519
2020,5,90,"1,734",168,78,214,120,105,111,191,64,130,95,66,61,157,101,73
2020,5,100,306,31,14,34,26,14,11,55,6,35,20,6,12,23,6,13
2020,6,총,"395,165","32,291","12,662","45,673","28,502","25,380","29,294","32,703","23,275","27,594","25,305","14,624","14,548","39,260","23,794","20,260"
2020,6,0,"25,743","2,015",366,"3,094","2,369","1,356","1,833","2,419",862,"1,838","2,189",801,"1,089","2,411","1,600","1,501"
2020,6,10,"28,744","2,034",607,"3,415","1,985","1,740","1,986","2,242",979,"1,717","1,668",769,986,"4,283","2,594","1,739"
