년도,월,나이,인천광역시 계양구,인천광역시 계양구 효성1동,인천광역시 계양구 효성2동,인천광역시 계양구 계산1동,인천광역시 계양구 계산2동,인천광역시 계양구 계산3동,인천광역시 계양구 계산4동,인천광역시 계양구 작전1동,인천광역시 계양구 작전2동,인천광역시 계양구 작전서운동,인천광역시 계양구 계양1동,인천광역시 계양구 계양2동,인천광역시 계양구 계양3동
2020,1,총,"302,832","26,013","30,698","20,669","15,815","20,552","24,095","29,390","20,139","31,263","21,943","35,480","26,775"
2020,1,0,"20,347","1,500","2,157",936,645,"1,084","1,618","2,085","1,021","2,285","1,677","2,054","3,285"
2020,1,10,"28,469","2,471","2,948","1,451","1,089","1,807","2,777","2,989","1,517","3,577","1,924","3,092","2,827"
2020,1,20,"45,884","3,827","4,503","3,262","2,547","3,622","4,171","4,465","3,028","4,795","3,165","5,519","2,980"
2020,1,30,"39,610","3,010","3,878","2,705","1,989","2,909","2,748","3,848","2,734","3,964","2,902","4,633","4,290"
2020,1,40,"47,950","3,869","4,690","2,998","2,183","2,933","4,158","4,671","2,778","5,477","3,372","5,623","5,198"
2020,1,50,"62,113","5,455","6,326","4,541","3,505","4,617","5,361","5,933","4,289","6,415","4,361","7,291","4,019"
2020,1,60,"35,385","3,538","3,856","2,903","2,388","2,369","2,048","3,407","2,895","2,782","2,601","4,050","2,548"
2020,1,70,"15,059","1,541","1,613","1,265",976,739,642,"1,324","1,281","1,226","1,267","2,062","1,123"
2020,1,80,"6,940",686,660,551,413,405,474,576,512,636,590,998,439
2020,1,90,"1,014",104,63,51,76,63,96,88,77,100,82,149,65
2020,1,100,61,12,4,6,4,4,2,4,7,6,2,9,1
2020,2,총,"301,984","25,930","30,600","20,598","15,761","20,495","24,054","29,318","20,001","31,277","21,861","35,358","26,731"
2020,2,0,"20,125","1,478","2,132",922,637,"1,071","1,626","2,057","1,000","2,290","1,649","2,023","3,240"
2020,2,10,"28,186","2,450","2,915","1,433","1,065","1,793","2,747","2,974","1,499","3,554","1,901","3,036","2,819"
2020,2,20,"45,609","3,794","4,485","3,228","2,521","3,585","4,142","4,445","2,992","4,785","3,154","5,504","2,974"
2020,2,30,"39,377","2,986","3,846","2,681","1,978","2,901","2,750","3,800","2,722","3,977","2,856","4,631","4,249"
2020,2,40,"47,765","3,868","4,683","2,963","2,177","2,924","4,130","4,666","2,753","5,455","3,377","5,572","5,197"
2020,2,50,"61,973","5,446","6,288","4,520","3,495","4,591","5,377","5,919","4,246","6,442","4,343","7,286","4,020"
2020,2,60,"35,786","3,556","3,905","2,965","2,407","2,407","2,079","3,447","2,905","2,807","2,637","4,081","2,590"
2020,2,70,"15,095","1,546","1,616","1,271",991,748,632,"1,331","1,285","1,218","1,267","2,065","1,125"
2020,2,80,"6,985",689,664,558,409,404,475,582,515,641,593,"1,004",451
2020,2,90,"1,022",105,62,51,77,67,94,93,77,101,82,148,65
2020,2,100,61,12,4,6,4,4,2,4,7,7,2,8,1
2020,3,총,"301,395","25,890","30,576","20,486","15,982","20,423","23,993","29,269","19,772","31,313","21,768","35,242","26,681"
2020,3,0,"19,955","1,460","2,116",915,652,"1,071","1,619","2,033",976,"2,283","1,625","2,012","3,193"
2020,3,10,"28,042","2,443","2,908","1,398","1,083","1,760","2,734","2,972","1,475","3,540","1,888","3,016","2,825"
2020,3,20,"45,468","3,781","4,453","3,200","2,553","3,550","4,133","4,439","2,973","4,801","3,136","5,458","2,991"
2020,3,30,"39,164","2,972","3,814","2,658","2,005","2,906","2,731","3,793","2,681","3,963","2,818","4,621","4,202"
2020,3,40,"47,514","3,849","4,687","2,925","2,179","2,898","4,120","4,632","2,696","5,438","3,361","5,528","5,201"
2020,3,50,"61,835","5,454","6,272","4,506","3,535","4,565","5,374","5,903","4,176","6,445","4,328","7,274","4,003"
2020,3,60,"36,176","3,576","3,969","2,993","2,470","2,443","2,100","3,476","2,913","2,852","2,665","4,104","2,615"
2020,3,70,"15,110","1,546","1,628","1,267","1,003",756,616,"1,330","1,278","1,231","1,265","2,060","1,130"
2020,3,80,"7,025",691,663,564,417,400,474,593,515,649,597,"1,010",452
2020,3,90,"1,044",106,62,54,81,70,90,94,82,104,83,150,68
2020,3,100,62,12,4,6,4,4,2,4,7,7,2,9,1
2020,4,총,"300,885","25,797","30,562","20,406","16,248","20,398","23,974","29,179","19,477","31,310","21,745","35,189","26,600"
2020,4,0,"19,826","1,444","2,115",910,676,"1,063","1,605","2,005",952,"2,272","1,621","2,003","3,160"
2020,4,10,"27,848","2,428","2,892","1,372","1,089","1,738","2,713","2,950","1,449","3,521","1,886","2,988","2,822"
2020,4,20,"45,347","3,749","4,419","3,170","2,599","3,559","4,150","4,408","2,929","4,811","3,133","5,430","2,990"
