년도,월,나이,인천광역시 부평구,인천광역시 부평구 부평1동,인천광역시 부평구 부평2동,인천광역시 부평구 부평3동,인천광역시 부평구 부평4동,인천광역시 부평구 부평5동,인천광역시 부평구 부평6동,인천광역시 부평구 산곡1동,인천광역시 부평구 산곡2동,인천광역시 부평구 산곡3동,인천광역시 부평구 산곡4동,인천광역시 부평구 청천1동,인천광역시 부평구 청천2동,인천광역시 부평구 갈산1동,인천광역시 부평구 갈산2동,인천광역시 부평구 삼산1동,인천광역시 부평구 삼산2동,인천광역시 부평구 부개1동,인천광역시 부평구 부개2동,인천광역시 부평구 부개3동,인천광역시 부평구 일신동,인천광역시 부평구 십정1동,인천광역시 부평구 십정2동
2020,1,총,"252,799","18,289","9,694","6,690","18,528","16,961","7,414","6,825","16,186","11,244","8,925","4,029","17,627","8,631","9,774","17,478","14,637","8,740","8,765","16,058","6,860","6,784","12,660"
2020,1,0,"18,550","1,298",569,388,"1,441","1,437",554,338,"1,471",739,711,174,"1,490",495,695,"1,409","1,362",502,634,"1,105",652,429,657
2020,1,10,"23,840","1,545",771,486,"1,323","1,254",463,536,"2,052","1,151",995,304,"1,655",781,835,"2,014","2,289",639,844,"1,828",586,574,915
2020,1,20,"37,753","3,017","1,456",933,"2,898","2,657","1,084",996,"2,378","1,650","1,366",545,"2,628","1,369","1,428","2,640","1,963","1,210","1,300","2,626",971,897,"1,741"
2020,1,30,"37,136","3,270","1,529",942,"3,624","3,453","1,224",843,"1,924","1,290","1,135",503,"2,706","1,268","1,542","2,224","1,534","1,209","1,175","2,069","1,064",845,"1,763"
2020,1,40,"40,615","2,824","1,577","1,058","2,979","2,889","1,174",977,"2,744","1,654","1,383",685,"2,713","1,325","1,321","2,882","2,861","1,406","1,417","2,638","1,024","1,064","2,020"
2020,1,50,"45,766","2,922","1,753","1,224","3,023","2,664","1,282","1,402","2,895","1,990","1,624",886,"3,248","1,698","1,754","3,356","2,671","1,548","1,599","3,164","1,080","1,353","2,630"
2020,1,60,"30,464","2,036","1,184",974,"1,958","1,599",978,"1,063","1,748","1,599","1,113",606,"2,035","1,093","1,447","1,899","1,271","1,302","1,103","1,688",965,978,"1,825"
2020,1,70,"13,739",961,656,488,932,742,475,495,743,819,421,265,846,449,568,769,510,703,519,690,392,469,827
2020,1,80,"4,462",381,174,170,311,236,167,156,207,317,166,52,284,143,160,254,162,208,157,222,116,159,260
2020,1,90,431,34,21,21,34,28,12,16,23,32,10,5,21,10,22,30,14,13,16,26,8,14,21
2020,1,100,43,1,4,6,5,2,1,3,1,3,1,4,1,0,2,1,0,0,1,2,2,2,1
