년도,월,나이,세종특별자치시,세종특별자치시
2020,1,총,"342,328","342,328"
2020,1,0,"47,342","47,342"
2020,1,10,"40,361","40,361"
2020,1,20,"36,452","36,452"
2020,1,30,"61,447","61,447"
2020,1,40,"65,109","65,109"
2020,1,50,"42,665","42,665"
2020,1,60,"27,467","27,467"
2020,1,70,"13,558","13,558"
2020,1,80,"6,804","6,804"
2020,1,90,"1,068","1,068"
2020,1,100,55,55
2020,2,총,"343,788","343,788"
2020,2,0,"47,454","47,454"
2020,2,10,"40,574","40,574"
2020,2,20,"36,273","36,273"
2020,2,30,"61,442","61,442"
2020,2,40,"65,714","65,714"
2020,2,50,"42,907","42,907"
2020,2,60,"27,813","27,813"
2020,2,70,"13,609","13,609"
2020,2,80,"6,863","6,863"
2020,2,90,"1,084","1,084"
2020,2,100,55,55
2020,3,총,"344,792","344,792"
2020,3,0,"47,449","47,449"
2020,3,10,"40,751","40,751"
2020,3,20,"36,373","36,373"
2020,3,30,"61,396","61,396"
2020,3,40,"65,983","65,983"
2020,3,50,"43,132","43,132"
2020,3,60,"28,002","28,002"
2020,3,70,"13,660","13,660"
2020,3,80,"6,894","6,894"
2020,3,90,"1,095","1,095"
2020,3,100,57,57
2020,4,총,"345,216","345,216"
2020,4,0,"47,399","47,399"
2020,4,10,"40,875","40,875"
2020,4,20,"36,323","36,323"
2020,4,30,"61,266","61,266"
2020,4,40,"66,124","66,124"
2020,4,50,"43,283","43,283"
2020,4,60,"28,173","28,173"
2020,4,70,"13,673","13,673"
2020,4,80,"6,922","6,922"
2020,4,90,"1,121","1,121"
2020,4,100,57,57
2020,5,총,"345,373","345,373"
2020,5,0,"47,239","47,239"
2020,5,10,"40,970","40,970"
2020,5,20,"36,245","36,245"
2020,5,30,"61,103","61,103"
2020,5,40,"66,258","66,258"
2020,5,50,"43,404","43,404"
2020,5,60,"28,280","28,280"
2020,5,70,"13,762","13,762"
2020,5,80,"6,924","6,924"
2020,5,90,"1,132","1,132"
2020,5,100,56,56
2020,6,총,"345,341","345,341"
2020,6,0,"47,105","47,105"
2020,6,10,"41,077","41,077"
2020,6,20,"36,098","36,098"
2020,6,30,"60,923","60,923"
2020,6,40,"66,382","66,382"
2020,6,50,"43,369","43,369"
2020,6,60,"28,419","28,419"
2020,6,70,"13,859","13,859"
2020,6,80,"6,908","6,908"
2020,6,90,"1,145","1,145"
2020,6,100,56,56
2020,7,총,"346,217","346,217"
2020,7,0,"47,066","47,066"
2020,7,10,"41,228","41,228"
2020,7,20,"36,176","36,176"
2020,7,30,"60,806","60,806"
2020,7,40,"66,688","66,688"
2020,7,50,"43,570","43,570"
2020,7,60,"28,607","28,607"
2020,7,70,"13,961","13,961"
2020,7,80,"6,915","6,915"
2020,7,90,"1,145","1,145"
2020,7,100,55,55
2020,8,총,"347,232","347,232"
2020,8,0,"46,987","46,987"
2020,8,10,"41,416","41,416"
2020,8,20,"36,241","36,241"
2020,8,30,"60,795","60,795"
2020,8,40,"66,950","66,950"
2020,8,50,"43,814","43,814"
2020,8,60,"28,836","28,836"
2020,8,70,"14,020","14,020"
2020,8,80,"6,963","6,963"
2020,8,90,"1,154","1,154"
2020,8,100,56,56
2020,9,총,"348,014","348,014"
2020,9,0,"46,796","46,796"
2020,9,10,"41,550","41,550"
2020,9,20,"36,347","36,347"
2020,9,30,"60,703","60,703"
2020,9,40,"67,138","67,138"
2020,9,50,"44,105","44,105"
2020,9,60,"29,074","29,074"
2020,9,70,"14,087","14,087"
2020,9,80,"6,987","6,987"
2020,9,90,"1,172","1,172"
2020,9,100,55,55
2020,10,총,"351,007","351,007"
2020,10,0,"47,042","47,042"
2020,10,10,"41,968","41,968"
2020,10,20,"36,742","36,742"
2020,10,30,"60,994","60,994"
2020,10,40,"67,761","67,761"
2020,10,50,"44,596","44,596"
2020,10,60,"29,409","29,409"
2020,10,70,"14,219","14,219"
2020,10,80,"7,045","7,045"
2020,10,90,"1,177","1,177"
2020,10,100,54,54
2020,11,총,"353,430","353,430"
2020,11,0,"47,222","47,222"
2020,11,10,"42,306","42,306"
2020,11,20,"36,994","36,994"
2020,11,30,"61,240","61,240"
2020,11,40,"68,318","68,318"
2020,11,50,"44,970","44,970"
2020,11,60,"29,785","29,785"
2020,11,70,"14,286","14,286"
2020,11,80,"7,080","7,080"
2020,11,90,"1,177","1,177"
2020,11,100,52,52
2020,12,총,"355,831","355,831"
2020,12,0,"47,283","47,283"
2020,12,10,"42,677","42,677"
2020,12,20,"37,453","37,453"
2020,12,30,"61,492","61,492"
2020,12,40,"68,831","68,831"
2020,12,50,"45,205","45,205"
2020,12,60,"30,139","30,139"
2020,12,70,"14,392","14,392"
2020,12,80,"7,109","7,109"
2020,12,90,"1,200","1,200"
2020,12,100,50,50
2021,1,총,"357,871","357,871"
2021,1,0,"47,226","47,226"
2021,1,10,"43,097","43,097"
2021,1,20,"37,735","37,735"
2021,1,30,"61,528","61,528"
2021,1,40,"69,371","69,371"
2021,1,50,"45,466","45,466"
2021,1,60,"30,553","30,553"
2021,1,70,"14,468","14,468"
2021,1,80,"7,164","7,164"
2021,1,90,"1,213","1,213"
2021,1,100,50,50
2021,2,총,"359,569","359,569"
2021,2,0,"47,289","47,289"
2021,2,10,"43,332","43,332"
2021,2,20,"37,759","37,759"
2021,2,30,"61,557","61,557"
2021,2,40,"69,982","69,982"
2021,2,50,"45,760","45,760"
2021,2,60,"30,908","30,908"
2021,2,70,"14,469","14,469"
2021,2,80,"7,227","7,227"
2021,2,90,"1,236","1,236"
2021,2,100,50,50
2021,3,총,"360,462","360,462"
2021,3,0,"47,300","47,300"
2021,3,10,"43,522","43,522"
2021,3,20,"37,866","37,866"
2021,3,30,"61,515","61,515"
2021,3,40,"70,075","70,075"
2021,3,50,"45,953","45,953"
2021,3,60,"31,270","31,270"
2021,3,70,"14,451","14,451"
2021,3,80,"7,245","7,245"
2021,3,90,"1,228","1,228"
2021,3,100,37,37
2021,4,총,"361,396","361,396"
2021,4,0,"47,239","47,239"
2021,4,10,"43,710","43,710"
2021,4,20,"38,010","38,010"
2021,4,30,"61,490","61,490"
2021,4,40,"70,245","70,245"
2021,4,50,"46,140","46,140"
