년도,월,나이,부산광역시 금정구,부산광역시 금정구 서제1동,부산광역시 금정구 서제2동,부산광역시 금정구 서제3동,부산광역시 금정구 금사회동동,부산광역시 금정구 부곡제1동,부산광역시 금정구 부곡제2동,부산광역시 금정구 부곡제3동,부산광역시 금정구 부곡제4동,부산광역시 금정구 장전제1동,부산광역시 금정구 장전제2동,부산광역시 금정구 장전제3동,부산광역시 금정구 선두구동,부산광역시 금정구 청룡노포동,부산광역시 금정구 남산동,부산광역시 금정구 구서제1동,부산광역시 금정구 구서제2동,부산광역시 금정구 금성동
2020,1,총,"238,556","6,558","10,374","11,702","8,751","8,969","17,100","17,583","13,606","17,880","27,972",0.0,"2,453","10,209","30,455","19,420","34,400","1,124"
2020,1,0,"14,054",129,393,394,322,337,939,"1,318",611,"1,038","2,789",0.0,81,561,"1,380","1,357","2,320",85
2020,1,10,"18,904",342,561,635,424,539,"1,508","1,463",880,"1,237","2,536",0.0,118,742,"2,331","1,933","3,533",122
2020,1,20,"34,146",664,"1,229","1,289",919,949,"2,561","2,491","1,652","5,405","3,534",0.0,226,"1,145","4,761","2,546","4,695",80
2020,1,30,"26,960",567,"1,058","1,192",951,907,"1,903","2,308","1,604","2,037","3,981",0.0,201,"1,020","3,258","2,233","3,651",89
2020,1,40,"33,446",879,"1,302","1,436","1,074","1,198","2,468","2,467","1,893","2,187","4,735",0.0,261,"1,319","3,949","2,991","5,103",184
2020,1,50,"42,387","1,301","2,150","2,412","1,742","1,566","3,101","3,083","2,383","2,386","3,946",0.0,515,"1,820","5,891","3,590","6,314",187
2020,1,60,"37,710","1,415","2,151","2,386","1,917","1,801","2,509","2,540","2,596","1,952","3,269",0.0,530,"1,893","4,838","2,719","4,984",210
2020,1,70,"21,308",871,"1,100","1,403","1,048","1,194","1,432","1,255","1,445","1,120","2,075",0.0,345,"1,146","2,819","1,418","2,529",108
2020,1,80,"8,326",348,371,494,304,436,601,568,469,459,842,0.0,153,490,"1,084",557,"1,104",46
2020,1,90,"1,122",31,45,49,47,39,72,85,72,49,169,0.0,21,68,137,69,158,11
2020,1,100,193,11,14,12,3,3,6,5,1,10,96,0.0,2,5,7,7,9,2
2020,2,총,"238,208","6,525","10,347","11,639","8,728","8,928","17,073","17,513","13,550","17,932","27,982",,"2,420","10,195","30,379","19,455","34,426","1,116"
2020,2,0,"13,991",123,389,380,321,337,942,"1,300",611,"1,015","2,788",,80,552,"1,365","1,349","2,352",87
