년도,월,나이,중구,소공동,회현동,명동,필동,장충동,광희동,을지로동,신당동,다산동,약수동,청구동,신당제5동,동화동,황학동,중림동
2020,1,총,"64,255","1,075","2,410","1,699","1,928","2,293","2,309",697,"3,779","7,460","9,260","7,493","5,388","5,606","6,570","6,288"
2020,1,0,"3,604",94,100,43,98,90,68,21,159,303,629,422,320,367,376,514
2020,1,10,"3,585",77,125,87,78,155,89,20,154,423,515,469,305,453,260,375
2020,1,20,"9,523",120,277,177,332,546,355,110,683,"1,238","1,039",997,870,758,"1,227",794
2020,1,30,"10,270",240,277,201,274,324,324,108,607,"1,135","1,358","1,159",875,755,"1,440","1,193"
2020,1,40,"9,101",211,304,257,222,273,283,64,521,"1,064","1,299","1,077",784,855,905,982
2020,1,50,"10,283",140,402,296,273,298,385,108,656,"1,216","1,535","1,233",878,"1,020",903,940
2020,1,60,"8,530",100,437,300,314,259,411,122,475,"1,030","1,372",977,642,661,751,679
2020,1,70,"5,756",57,265,211,187,216,249,85,340,678,913,724,462,422,450,497
2020,1,80,"2,888",25,152,101,107,107,117,39,144,305,493,366,210,261,214,247
2020,1,90,586,7,49,20,37,22,19,15,35,58,101,64,31,44,35,49
2020,1,100,129,4,22,6,6,3,9,5,5,10,6,5,11,10,9,18
2020,2,총,"64,295","1,094","2,410","1,705","1,922","2,285","2,323",712,"3,797","7,420","9,264","7,466","5,397","5,616","6,590","6,294"
2020,2,0,"3,567",93,96,41,92,89,68,23,162,301,628,413,314,365,369,513
2020,2,10,"3,604",81,127,92,81,162,92,21,151,421,514,463,302,453,265,379
2020,2,20,"9,529",122,274,178,335,537,365,109,686,"1,212","1,038","1,008",874,770,"1,236",785
2020,2,30,"10,220",237,279,199,273,320,333,120,613,"1,112","1,356","1,136",866,745,"1,430","1,201"
2020,2,40,"9,112",217,303,260,222,275,279,64,525,"1,073","1,287","1,077",791,853,917,969
2020,2,50,"10,309",147,410,297,271,294,385,103,658,"1,217","1,538","1,233",882,"1,026",901,947
2020,2,60,"8,562",102,427,301,312,258,404,126,481,"1,028","1,384",980,648,664,762,685
2020,2,70,"5,749",58,270,209,184,217,252,86,335,679,914,721,465,420,447,492
2020,2,80,"2,921",26,150,103,109,108,116,39,146,308,498,367,212,268,218,253
2020,2,90,592,7,52,19,37,22,20,16,35,59,101,63,32,41,36,52
2020,2,100,130,4,22,6,6,3,9,5,5,10,6,5,11,11,9,18
2020,3,총,"64,336","1,097","2,410","1,716","1,914","2,309","2,327",721,"3,779","7,421","9,251","7,439","5,413","5,623","6,621","6,295"
