년도,월,나이,전라남도 해남군,전라남도 해남군 해남읍,전라남도 해남군 삼산면,전라남도 해남군 화산면,전라남도 해남군 현산면,전라남도 해남군 송지면,전라남도 해남군 북평면,전라남도 해남군 북일면,전라남도 해남군 옥천면,전라남도 해남군 계곡면,전라남도 해남군 마산면,전라남도 해남군 황산면,전라남도 해남군 산이면,전라남도 해남군 문내면,전라남도 해남군 화원면
2020,1,총,"70,212","24,807","3,047","3,385","2,930","6,346","2,917","2,051","3,089","2,251","2,507","5,041","3,959","4,161","3,721"
2020,1,0,"4,359","2,395",109,156,82,325,115,49,108,93,97,230,228,225,147
2020,1,10,"5,564","3,016",163,163,158,407,188,116,180,95,134,283,209,247,205
2020,1,20,"5,722","2,680",220,228,168,492,189,115,202,101,151,309,281,283,303
2020,1,30,"5,528","2,688",210,243,144,455,165,92,144,127,134,331,280,261,254
2020,1,40,"8,400","3,878",309,330,287,674,262,194,335,223,241,422,415,417,413
2020,1,50,"11,998","4,059",563,560,516,"1,148",491,333,539,343,446,930,686,746,638
2020,1,60,"11,922","3,065",606,664,613,"1,155",572,405,560,441,461,"1,101",713,821,745
2020,1,70,"10,190","2,002",522,649,576,"1,056",568,432,577,428,482,848,715,744,591
2020,1,80,"5,728",887,305,356,342,575,333,277,366,353,311,516,377,363,367
2020,1,90,763,135,38,35,41,57,33,37,73,42,45,66,53,53,55
2020,1,100,38,2,2,1,3,2,1,1,5,5,5,5,2,1,3
2020,2,총,"70,018","24,838","3,028","3,358","2,924","6,311","2,901","2,049","3,079","2,229","2,496","5,009","3,936","4,154","3,706"
2020,2,0,"4,319","2,387",106,153,84,320,111,48,107,92,96,223,224,219,149
2020,2,10,"5,506","3,016",161,159,159,393,187,114,173,92,129,274,206,242,201
2020,2,20,"5,690","2,679",218,220,163,496,190,116,203,96,151,307,271,284,296
2020,2,30,"5,476","2,695",201,236,142,444,157,92,143,124,129,323,282,258,250
2020,2,40,"8,374","3,870",301,330,291,673,262,195,339,221,239,416,416,415,406
2020,2,50,"11,961","4,077",567,552,510,"1,138",483,331,533,339,446,931,672,744,638
2020,2,60,"11,967","3,079",609,668,621,"1,161",581,405,555,440,462,"1,104",714,822,746
2020,2,70,"10,122","1,998",512,640,571,"1,049",566,429,574,419,481,835,713,743,592
2020,2,80,"5,791",898,315,364,339,578,325,281,373,357,314,524,382,372,369
2020,2,90,772,137,36,35,41,57,38,37,74,44,44,67,54,53,55
2020,2,100,40,2,2,1,3,2,1,1,5,5,5,5,2,2,4
2020,3,총,"69,804","24,813","3,020","3,347","2,912","6,310","2,881","2,054","3,069","2,206","2,482","4,979","3,917","4,139","3,675"
2020,3,0,"4,269","2,378",103,153,82,319,110,48,103,84,93,213,222,213,148
2020,3,10,"5,468","3,006",160,157,155,392,184,114,174,91,124,269,202,241,199
2020,3,20,"5,675","2,688",228,215,163,494,182,116,200,97,152,301,271,278,290
2020,3,30,"5,403","2,698",193,231,139,435,155,91,137,116,122,313,277,253,243
2020,3,40,"8,316","3,845",297,328,283,680,260,190,337,220,238,411,412,411,404
2020,3,50,"11,935","4,089",564,551,512,"1,131",479,339,532,333,444,922,666,743,630
2020,3,60,"11,984","3,070",613,666,624,"1,170",576,404,553,445,465,"1,110",718,828,742
2020,3,70,"10,074","1,988",509,639,568,"1,040",569,425,575,416,481,835,705,732,592
2020,3,80,"5,855",913,313,370,338,588,328,288,378,354,315,533,388,385,364
2020,3,90,784,136,38,36,44,59,37,38,75,45,43,67,54,53,59
2020,3,100,41,2,2,1,4,2,1,1,5,5,5,5,2,2,4
2020,4,총,"69,649","24,841","3,006","3,315","2,902","6,280","2,874","2,045","3,069","2,202","2,467","4,942","3,897","4,135","3,674"
2020,4,0,"4,242","2,386",104,147,80,310,111,51,103,82,87,203,215,214,149
2020,4,10,"5,446","3,002",160,156,152,394,180,106,172,93,122,267,201,239,202
2020,4,20,"5,648","2,695",224,207,162,481,181,115,202,98,154,297,270,277,285
2020,4,30,"5,353","2,697",192,226,141,431,152,89,140,111,117,298,270,252,237
2020,4,40,"8,272","3,843",290,326,274,674,263,189,334,215,240,409,410,408,397
2020,4,50,"11,906","4,087",561,544,513,"1,128",476,335,532,335,440,911,661,745,638
2020,4,60,"12,013","3,086",608,663,631,"1,171",575,405,554,446,461,"1,121",716,829,747
2020,4,70,"10,042","1,990",513,640,558,"1,034",564,425,573,414,479,826,709,727,590
2020,4,80,"5,895",921,313,368,343,595,333,291,379,356,318,540,387,386,365
