년도,월,나이,서울특별시 금천구,서울특별시 금천구 가산동,서울특별시 금천구 독산제1동,서울특별시 금천구 독산제2동,서울특별시 금천구 독산제3동,서울특별시 금천구 독산제4동,서울특별시 금천구 시흥제1동,서울특별시 금천구 시흥제2동,서울특별시 금천구 시흥제3동,서울특별시 금천구 시흥제4동,서울특별시 금천구 시흥제5동
2020,3,총,"114,539","9,539","20,360","9,493","12,429","7,898","16,986","11,458","5,641","10,670","10,065"
2020,3,0,"6,544",382,"1,591",484,522,326,"1,001",836,297,613,492
2020,3,10,"7,594",362,"1,192",613,743,522,"1,107","1,119",382,806,748
2020,3,20,"17,810","2,826","3,648","1,315","1,947","1,170","2,428","1,235",693,"1,330","1,218"
2020,3,30,"15,876","1,872","3,751","1,175","1,562",922,"2,249","1,317",672,"1,270","1,086"
2020,3,40,"16,210","1,019","2,842","1,362","1,694","1,142","2,527","1,864",777,"1,542","1,441"
2020,3,50,"20,433","1,252","3,061","1,947","2,483","1,640","3,065","2,019","1,070","2,068","1,828"
2020,3,60,"16,227","1,022","2,284","1,457","1,941","1,227","2,425","1,610",969,"1,680","1,612"
2020,3,70,"9,412",559,"1,383",784,"1,039",665,"1,486",962,532,933,"1,069"
2020,3,80,"3,712",205,510,292,404,233,584,406,206,374,498
2020,3,90,608,34,85,53,79,40,98,73,40,45,61
2020,3,100,113,6,13,11,15,11,16,17,3,9,12
2020,4,총,"114,461","9,566","20,418","9,482","12,394","7,870","16,948","11,434","5,637","10,648","10,064"
2020,4,0,"6,512",374,"1,599",483,521,312,"1,000",828,294,613,488
2020,4,10,"7,577",365,"1,192",609,739,526,"1,101","1,120",383,789,753
2020,4,20,"17,849","2,864","3,663","1,321","1,940","1,168","2,421","1,230",694,"1,331","1,217"
2020,4,30,"15,819","1,870","3,752","1,166","1,565",914,"2,237","1,319",666,"1,250","1,080"
2020,4,40,"16,170","1,022","2,852","1,354","1,679","1,133","2,516","1,845",771,"1,544","1,454"
2020,4,50,"20,337","1,230","3,065","1,939","2,464","1,633","3,056","2,015","1,070","2,057","1,808"
2020,4,60,"16,300","1,031","2,298","1,471","1,945","1,230","2,426","1,608",974,"1,697","1,620"
2020,4,70,"9,428",560,"1,381",784,"1,039",666,"1,488",972,533,938,"1,067"
2020,4,80,"3,748",208,522,294,408,236,588,405,209,375,503
2020,4,90,607,36,81,50,79,41,99,75,39,45,62
2020,4,100,114,6,13,11,15,11,16,17,4,9,12
2020,5,총,"114,526","9,629","20,505","9,462","12,355","7,862","16,969","11,432","5,649","10,643","10,020"
2020,5,0,"6,475",375,"1,611",478,508,307,988,827,294,604,483
2020,5,10,"7,544",361,"1,190",603,736,526,"1,103","1,114",378,785,748
2020,5,20,"17,885","2,888","3,697","1,317","1,920","1,170","2,428","1,228",703,"1,336","1,198"
2020,5,30,"15,899","1,906","3,766","1,176","1,571",920,"2,250","1,314",669,"1,250","1,077"
2020,5,40,"16,069","1,020","2,849","1,342","1,653","1,121","2,509","1,827",773,"1,532","1,443"
2020,5,50,"20,345","1,238","3,082","1,931","2,470","1,631","3,052","2,024","1,064","2,070","1,783"
2020,5,60,"16,342","1,021","2,307","1,475","1,949","1,230","2,436","1,608",975,"1,695","1,646"
2020,5,70,"9,470",569,"1,388",782,"1,042",669,"1,493",984,541,944,"1,058"
2020,5,80,"3,777",209,525,296,413,236,593,412,210,374,509
2020,5,90,606,36,77,51,78,41,101,77,38,44,63
2020,5,100,114,6,13,11,15,11,16,17,4,9,12
2020,6,총,"114,488","9,657","20,523","9,452","12,313","7,859","16,967","11,429","5,645","10,632","10,011"
2020,6,0,"6,446",371,"1,611",479,502,306,980,825,290,600,482
2020,6,10,"7,489",354,"1,189",597,720,516,"1,095","1,108",381,785,744
2020,6,20,"17,951","2,920","3,708","1,322","1,934","1,185","2,439","1,224",707,"1,328","1,184"
2020,6,30,"15,860","1,906","3,774","1,178","1,556",912,"2,236","1,305",670,"1,233","1,090"
2020,6,40,"16,030","1,024","2,847","1,327","1,640","1,107","2,505","1,832",764,"1,543","1,441"
2020,6,50,"20,246","1,227","3,069","1,914","2,463","1,634","3,043","2,010","1,053","2,058","1,775"
2020,6,60,"16,440","1,028","2,319","1,496","1,955","1,235","2,455","1,619",985,"1,712","1,636"
2020,6,70,"9,510",575,"1,390",781,"1,041",678,"1,496","1,000",541,944,"1,064"
2020,6,80,"3,790",208,528,295,410,234,599,409,215,373,519
2020,6,90,610,38,74,52,77,41,103,79,35,47,64
