년도,월,나이,평택시,팽성읍,안중읍,포승읍,청북읍,진위면,서탄면,고덕면,오성면,현덕면,중앙동,서정동,송탄동,지산동,송북동,신장1동,신장2동,신평동,원평동,통복동,비전1동,비전2동,용이동,세교동,동삭동,고덕동
2020,1,총,"265,037","14,036","22,351","14,258","13,528","6,236","2,016","8,177","3,593","2,901","22,402","13,363","9,504","6,292","10,989","3,356","2,881","11,662","5,568","2,136","37,766","26,060","12,796","13,166",,
2020,1,0,"24,754",834,"2,113","1,084","2,213",268,63,840,186,92,"1,645",777,"1,098",377,858,280,107,619,310,65,"5,022","2,892","1,855","1,156",,
2020,1,10,"27,408",901,"3,082","1,092","1,468",461,120,686,273,170,"2,761","1,318",887,477,"1,145",265,160,964,396,120,"4,343","3,350","1,566","1,403",,
2020,1,20,"37,723","1,709","3,010","1,877","1,213",919,202,"1,191",412,268,"3,820","2,096","1,285","1,233","1,637",499,371,"2,069",876,329,"5,121","3,736","1,666","2,184",,
2020,1,30,"41,543","1,710","3,168","2,653","2,533",875,237,"1,381",379,250,"2,951","1,783","1,583","1,224","1,360",596,376,"1,647",892,241,"7,324","4,045","2,444","1,891",,
2020,1,40,"47,835","2,200","4,462","3,022","2,816",999,302,"1,395",543,399,"3,925","2,320","1,808","1,090","1,936",588,477,"1,864",826,306,"7,298","4,475","2,640","2,144",,
2020,1,50,"43,847","2,820","3,624","2,400","1,567","1,175",412,"1,298",764,617,"4,045","2,516","1,583",963,"2,066",534,537,"2,181","1,036",448,"5,083","4,106","1,671","2,401",,
2020,1,60,"24,723","2,061","1,736","1,292",993,877,378,799,547,564,"1,991","1,471",793,552,"1,208",339,436,"1,337",692,344,"2,315","2,149",634,"1,215",,
2020,1,70,"12,019","1,178",808,614,536,492,205,410,333,373,911,749,333,265,517,161,273,690,387,208,913,891,236,536,,
2020,1,80,"4,620",561,311,206,163,157,91,161,134,155,313,285,116,100,225,77,118,261,134,67,320,377,76,212,,
2020,1,90,494,47,36,18,25,12,5,14,22,13,33,40,16,10,30,12,18,27,15,8,24,37,8,24,,
2020,1,100,71,15,1,0,1,1,1,2,0,0,7,8,2,1,7,5,8,3,4,0,3,2,0,0,,
2020,2,총,"266,206","14,002","22,346","14,232","13,534","6,253","2,005","8,857","3,585","2,871","22,400","13,287","9,792","6,304","10,967","3,390","2,883","11,613","5,540","2,147","38,031","26,180","12,780","13,207",,
2020,2,0,"24,859",827,"2,111","1,055","2,195",267,62,978,188,91,"1,648",761,"1,157",376,847,278,101,617,298,66,"5,033","2,903","1,841","1,159",,
2020,2,10,"27,408",895,"3,060","1,089","1,474",460,120,738,271,169,"2,756","1,305",893,478,"1,145",259,162,953,385,123,"4,376","3,339","1,544","1,414",,
2020,2,20,"37,723","1,702","3,010","1,871","1,216",916,205,"1,290",404,263,"3,779","2,067","1,314","1,222","1,621",511,371,"2,065",876,332,"5,128","3,731","1,678","2,151",,
2020,2,30,"41,768","1,694","3,150","2,631","2,513",880,235,"1,547",377,240,"2,947","1,780","1,667","1,236","1,345",602,370,"1,632",882,241,"7,395","4,083","2,429","1,892",,
2020,2,40,"48,150","2,208","4,465","3,033","2,842","1,005",289,"1,536",540,391,"3,931","2,301","1,870","1,099","1,940",594,486,"1,839",823,310,"7,349","4,490","2,632","2,177",,
2020,2,50,"44,010","2,807","3,641","2,394","1,566","1,169",410,"1,350",763,615,"4,049","2,505","1,603",963,"2,064",541,535,"2,175","1,036",449,"5,133","4,135","1,693","2,414",,
2020,2,60,"25,002","2,062","1,745","1,309","1,002",895,380,824,553,561,"2,017","1,482",822,550,"1,223",346,442,"1,352",696,340,"2,341","2,186",643,"1,231",,
2020,2,70,"12,053","1,182",818,624,534,486,207,413,331,373,916,748,333,269,521,163,272,690,388,210,926,882,238,529,,
2020,2,80,"4,673",564,308,206,168,162,91,165,136,155,316,291,115,101,226,79,118,261,137,68,322,392,76,216,,
2020,2,90,487,46,37,20,23,12,5,14,22,13,33,39,16,9,28,12,17,26,15,8,25,37,6,24,,
2020,2,100,73,15,1,0,1,1,1,2,0,0,8,8,2,1,7,5,9,3,4,0,3,2,0,0,,
