년도,월,나이,제주특별자치도 서귀포시,제주특별자치도 서귀포시 대정읍,제주특별자치도 서귀포시 남원읍,제주특별자치도 서귀포시 성산읍,제주특별자치도 서귀포시 안덕면,제주특별자치도 서귀포시 표선면,제주특별자치도 서귀포시 송산동,제주특별자치도 서귀포시 정방동,제주특별자치도 서귀포시 중앙동,제주특별자치도 서귀포시 천지동,제주특별자치도 서귀포시 효돈동,제주특별자치도 서귀포시 영천동,제주특별자치도 서귀포시 동홍동,제주특별자치도 서귀포시 서홍동,제주특별자치도 서귀포시 대륜동,제주특별자치도 서귀포시 대천동,제주특별자치도 서귀포시 중문동,제주특별자치도 서귀포시 예래동
2020,1,총,"181,547","21,354","18,864","15,489","12,053","12,248","4,265","2,258","3,676","3,558","5,284","5,301","23,137","10,479","14,477","13,756","11,365","3,983"
2020,1,0,"15,036","1,785","1,209",949,889,811,247,128,209,180,372,324,"2,229","1,213","1,556","1,673","1,008",254
2020,1,10,"17,523","2,440","1,632","1,077",971,934,373,148,277,261,427,464,"3,189","1,390","1,275","1,239","1,156",270
2020,1,20,"19,553","1,839","1,958","1,512","1,493","1,286",444,211,365,365,555,606,"2,815","1,210","1,547","1,495","1,313",539
2020,1,30,"20,457","2,115","1,712","1,530","1,277","1,166",400,240,319,381,574,466,"2,604","1,220","2,175","2,268","1,531",479
2020,1,40,"29,804","3,951","2,772","2,190","1,951","1,957",643,339,522,563,749,798,"3,997","1,900","2,504","2,427","1,987",554
2020,1,50,"31,433","3,498","3,591","3,140","2,143","2,400",793,456,767,705,935,982,"3,838","1,503","2,168","2,002","1,807",705
2020,1,60,"23,327","2,576","2,662","2,481","1,530","1,842",651,400,655,562,766,717,"2,429","1,071","1,747","1,423","1,263",552
2020,1,70,"15,253","1,851","2,010","1,530","1,076","1,164",467,211,373,370,547,577,"1,421",668,"1,025",801,805,357
2020,1,80,"7,882","1,113","1,158",919,602,606,207,96,172,149,317,308,533,265,417,367,428,225
2020,1,90,"1,179",169,151,154,113,74,34,26,14,20,35,53,79,37,57,59,60,44
2020,1,100,100,17,9,7,8,8,6,3,3,2,7,6,3,2,6,2,7,4
2020,2,총,"181,420","21,329","18,854","15,434","12,044","12,252","4,263","2,259","3,662","3,535","5,270","5,281","23,136","10,470","14,492","13,790","11,371","3,978"
2020,2,0,"14,997","1,777","1,208",937,899,811,246,130,206,178,366,314,"2,209","1,204","1,549","1,696","1,006",261
2020,2,10,"17,498","2,441","1,623","1,067",965,941,372,146,272,264,425,460,"3,191","1,389","1,271","1,250","1,152",269
2020,2,20,"19,382","1,813","1,958","1,500","1,456","1,271",438,203,365,353,555,599,"2,800","1,221","1,534","1,478","1,321",517
2020,2,30,"20,349","2,087","1,700","1,512","1,290","1,155",397,236,318,377,560,454,"2,591","1,200","2,179","2,287","1,525",481
2020,2,40,"29,794","3,956","2,766","2,167","1,959","1,966",645,344,517,558,752,797,"3,997","1,906","2,499","2,424","1,981",560
2020,2,50,"31,511","3,517","3,592","3,143","2,143","2,407",789,455,764,702,929,996,"3,851","1,515","2,183","2,011","1,813",701
2020,2,60,"23,419","2,583","2,681","2,499","1,533","1,838",661,404,656,561,772,712,"2,451","1,063","1,763","1,419","1,270",553
2020,2,70,"15,244","1,847","1,992","1,520","1,073","1,174",465,220,375,368,544,578,"1,429",669,"1,032",797,801,360
2020,2,80,"7,944","1,117","1,170",931,603,607,211,94,173,151,325,312,536,264,419,367,436,228
2020,2,90,"1,183",174,155,151,116,74,32,24,13,21,35,54,78,37,57,59,59,44
2020,2,100,99,17,9,7,7,8,7,3,3,2,7,5,3,2,6,2,7,4
