년도,월,나이,순천시,승주읍,해룡면,해룡면상삼출장소,해룡면신대출장소,서면,황전면,월등면,주암면,송광면,외서면,낙안면,별량면,상사면,향동,매곡동,삼산동,조곡동,덕연동,풍덕동,남제동,저전동,장천동,중앙동,도사동,왕조1동,왕조2동
2020,1,총,"281,014","2,761","4,731","18,489","31,429","12,263","2,995","1,862","3,249","1,567",929,"3,285","5,638","2,813","3,861","4,760","24,217","6,493","45,224","7,841","9,162","2,924","2,526","3,199","18,413","40,592","19,791"
2020,1,0,"24,213",60,143,"1,662","5,936",859,58,37,65,18,31,86,150,67,160,156,"1,788",378,"3,651",403,401,127,69,110,"2,181","3,699","1,918"
2020,1,10,"31,338",134,238,"2,768","4,652","1,067",107,76,159,41,42,159,291,180,280,375,"2,733",613,"5,834",617,769,196,120,212,"1,726","5,123","2,826"
2020,1,20,"37,174",194,438,"3,122","3,057","1,322",182,139,205,95,59,230,449,255,379,821,"3,762",770,"6,755",970,"1,189",357,283,387,"2,216","6,335","3,203"
2020,1,30,"33,546",123,293,"2,238","6,635","1,219",157,117,160,75,34,155,302,154,338,433,"2,655",660,"5,228",821,822,262,224,287,"2,715","4,964","2,475"
2020,1,40,"44,011",262,541,"3,549","6,388","1,785",225,138,251,127,62,254,568,306,450,543,"3,614",966,"7,296",982,"1,190",322,309,469,"2,839","7,063","3,512"
2020,1,50,"49,136",564,928,"3,282","3,104","2,276",494,346,592,316,167,598,"1,000",554,604,793,"4,439","1,185","8,800","1,359","1,756",508,514,554,"3,038","7,599","3,766"
2020,1,60,"31,756",508,863,"1,101","1,117","1,817",621,405,651,287,189,714,"1,092",546,790,724,"3,048","1,027","4,828","1,346","1,549",515,522,557,"1,958","3,578","1,403"
2020,1,70,"18,535",501,712,465,357,"1,167",641,336,650,332,180,632,968,432,556,603,"1,434",588,"1,917",936,"1,036",430,304,430,"1,078","1,397",453
2020,1,80,"9,784",366,504,276,156,650,448,226,455,237,133,401,727,264,265,277,635,266,776,352,395,174,148,169,566,714,204
2020,1,90,"1,466",49,70,24,27,99,61,41,61,32,31,53,87,52,35,34,104,37,134,53,55,33,31,19,94,119,31
2020,1,100,55,0,1,2,0,2,1,1,0,7,1,3,4,3,4,1,5,3,5,2,0,0,2,5,2,1,0
2020,2,총,"281,347","2,753","4,726","18,535","31,647","12,275","2,996","1,858","3,258","1,566",933,"3,291","5,621","2,817","3,852","4,721","24,268","6,498","45,169","7,833","9,168","2,927","2,531","3,208","18,451","40,690","19,755"
2020,2,0,"24,130",61,140,"1,660","5,949",864,58,37,73,18,28,88,145,66,161,150,"1,762",371,"3,623",407,400,128,66,108,"2,175","3,686","1,906"
2020,2,10,"31,232",136,236,"2,752","4,693","1,060",106,78,156,40,42,157,289,174,281,376,"2,746",612,"5,781",612,751,194,119,211,"1,727","5,117","2,786"
2020,2,20,"37,116",187,440,"3,138","3,052","1,318",175,137,200,94,61,242,443,257,378,809,"3,760",774,"6,743",956,"1,198",356,296,392,"2,201","6,326","3,183"
2020,2,30,"33,571",122,287,"2,234","6,667","1,205",151,112,164,75,35,149,300,155,332,424,"2,662",654,"5,221",816,820,260,220,286,"2,715","5,022","2,483"
2020,2,40,"44,151",259,538,"3,551","6,485","1,796",228,143,246,127,64,258,568,303,443,544,"3,639",959,"7,301",980,"1,185",328,306,470,"2,856","7,076","3,498"
2020,2,50,"49,233",558,938,"3,321","3,121","2,277",495,342,593,312,164,592,999,552,601,780,"4,455","1,194","8,787","1,358","1,761",504,513,556,"3,039","7,632","3,789"
2020,2,60,"31,972",511,862,"1,115","1,135","1,831",626,409,651,289,194,718,"1,089",552,793,726,"3,066","1,036","4,871","1,353","1,557",510,524,553,"1,990","3,592","1,419"
2020,2,70,"18,541",497,711,461,361,"1,167",640,333,653,333,180,630,957,435,558,598,"1,434",590,"1,920",936,"1,040",438,305,436,"1,078","1,397",453
2020,2,80,"9,846",372,503,275,154,656,453,225,459,239,133,399,734,267,264,279,636,265,783,354,400,176,149,171,573,721,206
2020,2,90,"1,499",50,70,26,30,99,63,41,63,32,31,56,93,53,36,34,103,40,134,59,56,33,31,20,94,120,32
2020,2,100,56,0,1,2,0,2,1,1,0,7,1,2,4,3,5,1,5,3,5,2,0,0,2,5,3,1,0
2020,3,총,"281,873","2,752","4,713","18,549","31,784","12,300","2,997","1,850","3,260","1,555",930,"3,293","5,618","2,821","3,853","4,717","24,321","6,491","45,250","7,830","9,169","2,936","2,525","3,195","18,507","40,775","19,882"
2020,3,0,"24,112",62,143,"1,661","5,940",867,59,37,70,17,27,84,152,62,156,146,"1,770",365,"3,615",402,398,129,67,111,"2,175","3,686","1,911"
