년도,월,나이,대구광역시 달성군,대구광역시 달성군 화원읍,대구광역시 달성군 논공읍,대구광역시 달성군 논공읍공단출장소,대구광역시 달성군 다사읍,대구광역시 달성군 다사읍서재출장소,대구광역시 달성군 유가읍,대구광역시 달성군 옥포읍,대구광역시 달성군 현풍읍,대구광역시 달성군 가창면,대구광역시 달성군 하빈면,대구광역시 달성군 구지면
2020,3,총,"256,772","49,090","4,544","14,140","51,299","38,747","29,906","24,323","23,486","8,048","3,752","9,437"
2020,3,0,"30,013","3,546",250,933,"6,319","6,471","5,555","2,581","2,592",433,125,"1,208"
2020,3,10,"23,545","4,800",182,"1,577","5,804","3,396","3,245","1,685","1,698",515,125,518
2020,3,20,"29,204","6,612",476,"1,957","5,918","4,012","2,491","2,611","3,191",702,314,920
2020,3,30,"42,541","5,479",560,"1,476","7,778","9,020","6,730","3,947","4,616",692,283,"1,960"
2020,3,40,"42,589","7,480",560,"2,742","9,500","6,760","5,706","3,412","3,670",995,344,"1,420"
2020,3,50,"40,645","9,939",925,"3,024","7,934","4,922","2,883","4,292","3,256","1,392",864,"1,214"
2020,3,60,"28,009","6,651",835,"1,423","4,893","2,756","2,089","3,433","2,460","1,611",820,"1,038"
2020,3,70,"13,435","3,157",473,639,"2,224","1,036",801,"1,612","1,325",990,509,669
2020,3,80,"6,028","1,253",249,332,826,327,358,680,607,610,341,445
2020,3,90,735,163,33,34,103,45,45,70,68,104,26,44
2020,3,100,28,10,1,3,0,2,3,0,3,4,1,1
2020,4,총,"256,925","48,921","4,536","14,140","51,257","38,718","29,931","24,662","23,529","8,044","3,726","9,461"
2020,4,0,"29,963","3,516",247,923,"6,279","6,459","5,548","2,635","2,594",432,115,"1,215"
2020,4,10,"23,545","4,756",181,"1,583","5,818","3,387","3,261","1,689","1,708",512,124,526
2020,4,20,"29,179","6,545",470,"1,953","5,906","3,997","2,500","2,690","3,197",701,311,909
2020,4,30,"42,462","5,440",554,"1,467","7,742","8,980","6,702","4,023","4,627",698,271,"1,958"
2020,4,40,"42,677","7,438",560,"2,731","9,513","6,790","5,733","3,471","3,670",988,344,"1,439"
