년도,월,나이,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 남구 구룡포읍,경상북도 포항시 남구 연일읍,경상북도 포항시 남구 오천읍,경상북도 포항시 남구 대송면,경상북도 포항시 남구 동해면,경상북도 포항시 남구 장기면,경상북도 포항시 남구 호미곶면,경상북도 포항시 남구 상대동,경상북도 포항시 남구 해도동,경상북도 포항시 남구 송도동,경상북도 포항시 남구 청림동,경상북도 포항시 남구 제철동,경상북도 포항시 남구 효곡동,경상북도 포항시 남구 대이동,경상북도 포항시 북구,경상북도 포항시 북구 흥해읍,경상북도 포항시 북구 신광면,경상북도 포항시 북구 청하면,경상북도 포항시 북구 송라면,경상북도 포항시 북구 기계면,경상북도 포항시 북구 죽장면,경상북도 포항시 북구 죽장면상옥출장소,경상북도 포항시 북구 기북면,경상북도 포항시 북구 중앙동,경상북도 포항시 북구 양학동,경상북도 포항시 북구 죽도동,경상북도 포항시 북구 용흥동,경상북도 포항시 북구 우창동,경상북도 포항시 북구 두호동,경상북도 포항시 북구 장량동,경상북도 포항시 북구 환여동
2020,1,총,"506,494","235,006","7,856","31,522","55,426","3,635","9,987","4,216","1,963","25,535","17,865","12,991","4,895","3,059","30,961","25,095","271,488","40,564","2,874","4,933","2,611","5,084","2,164",600,"1,297","16,360","17,672","20,152","23,040","32,267","21,422","70,607","9,841"
2020,1,0,"41,645","18,829",180,"2,600","6,305",87,585,79,41,"1,311",675,483,267,196,"3,699","2,321","22,816","4,050",70,131,42,112,35,8,24,690,"1,332",865,"1,611","3,115","1,409","8,308","1,014"
2020,1,10,"48,279","22,022",275,"3,839","5,929",165,822,135,79,"1,629",889,768,280,214,"3,864","3,134","26,257","3,669",97,244,99,221,62,19,39,881,"2,026","1,066","2,228","3,186","2,441","8,773","1,206"
2020,1,20,"58,129","27,358",549,"3,866","6,273",309,"1,054",236,112,"3,345","1,853","1,150",618,727,"3,786","3,480","30,771","4,316",177,327,185,325,86,35,55,"1,740","2,244","2,408","2,588","4,074","2,775","8,500",936
2020,1,30,"61,767","28,757",511,"3,433","8,908",294,953,198,93,"3,160","1,789","1,171",563,378,"3,966","3,340","33,010","5,330",144,291,115,248,83,15,54,"1,895","1,956","2,517","2,464","4,486","2,039","10,064","1,309"
2020,1,40,"78,640","36,575",814,"5,411","10,122",359,"1,312",336,193,"3,542","2,340","1,529",554,366,"5,240","4,457","42,065","6,281",241,513,218,424,143,48,111,"2,099","2,854","2,627","3,442","5,006","3,211","13,119","1,728"
2020,1,50,"91,622","42,718","1,536","6,176","8,447",766,"1,901",739,364,"4,781","3,587","2,567",888,523,"5,693","4,750","48,904","7,042",505,950,501,935,419,120,209,"2,936","3,569","3,591","4,271","6,110","4,445","11,774","1,527"
2020,1,60,"74,095","34,862","1,883","3,892","5,821",875,"1,716",953,449,"4,903","4,062","3,082",951,386,"3,536","2,353","39,233","5,369",714,"1,061",610,"1,199",573,188,347,"3,269","2,416","4,062","3,932","4,006","3,259","6,876","1,352"
2020,1,70,"35,657","16,616","1,350","1,587","2,451",517,"1,100",855,384,"2,236","2,040","1,642",572,188,843,851,"19,041","2,885",499,856,475,905,423,99,254,"2,009",905,"2,223","1,783","1,594","1,304","2,262",565
2020,1,80,"14,541","6,368",667,633,"1,030",226,477,591,218,547,563,518,177,75,280,366,"8,173","1,404",380,484,309,622,294,53,178,729,317,703,629,605,480,806,180
2020,1,90,"2,021",851,86,78,127,36,64,89,29,81,62,76,23,6,52,42,"1,170",212,45,75,56,90,46,15,24,102,50,85,88,83,56,121,22
2020,1,100,98,50,5,7,13,1,3,5,1,0,5,5,2,0,2,1,48,6,2,1,1,3,0,0,2,10,3,5,4,2,3,4,2
2020,2,총,"506,162","233,846","7,823","31,393","54,972","3,618","9,957","4,202","1,953","25,471","17,777","12,905","4,877","3,019","30,856","25,023","272,316","40,585","2,878","4,938","2,590","5,068","2,159",595,"1,292","16,141","17,573","20,063","22,869","32,187","21,970","71,707","9,701"
2020,2,0,"41,568","18,598",171,"2,592","6,152",86,586,80,38,"1,304",660,466,255,192,"3,697","2,319","22,970","4,040",76,128,41,111,36,7,23,646,"1,325",850,"1,582","3,097","1,504","8,512",992
2020,2,10,"48,046","21,841",278,"3,820","5,849",162,816,136,80,"1,614",867,755,274,214,"3,850","3,126","26,205","3,651",97,248,94,216,61,18,41,859,"1,998","1,062","2,200","3,165","2,474","8,840","1,181"
2020,2,20,"57,814","27,053",540,"3,837","6,239",307,"1,028",228,110,"3,315","1,842","1,144",619,700,"3,703","3,441","30,761","4,299",174,324,182,323,86,35,55,"1,709","2,215","2,385","2,545","4,042","2,837","8,633",917
2020,2,30,"61,629","28,468",505,"3,415","8,722",288,950,192,93,"3,143","1,767","1,146",567,371,"3,979","3,330","33,161","5,299",147,294,111,246,77,14,55,"1,835","1,956","2,475","2,413","4,446","2,147","10,379","1,267"
2020,2,40,"78,577","36,390",811,"5,367","10,076",353,"1,317",336,191,"3,525","2,311","1,508",544,365,"5,238","4,448","42,187","6,294",239,524,216,428,141,44,108,"2,065","2,832","2,616","3,409","4,984","3,308","13,276","1,703"
2020,2,50,"91,531","42,504","1,515","6,133","8,450",765,"1,887",734,362,"4,753","3,564","2,551",892,525,"5,634","4,739","49,027","7,047",501,940,498,924,419,121,209,"2,907","3,547","3,592","4,268","6,118","4,524","11,902","1,510"
2020,2,60,"74,450","35,035","1,896","3,920","5,872",875,"1,726",956,451,"4,921","4,083","3,085",951,385,"3,560","2,354","39,415","5,413",712,"1,065",611,"1,202",574,190,343,"3,260","2,417","4,049","3,925","4,024","3,324","6,950","1,356"
2020,2,70,"35,758","16,635","1,345","1,590","2,432",519,"1,107",848,380,"2,250","2,056","1,646",567,189,855,851,"19,123","2,896",499,851,476,897,422,99,253,"2,010",913,"2,236","1,802","1,616","1,311","2,270",572
2020,2,80,"14,658","6,419",669,634,"1,047",226,474,599,218,562,559,523,183,72,284,369,"8,239","1,426",382,490,307,625,296,52,178,738,316,703,632,613,486,818,177
2020,2,90,"2,028",851,88,78,119,36,63,88,29,84,63,76,23,6,54,44,"1,177",213,49,72,53,93,47,15,25,102,51,90,88,79,53,123,24
2020,2,100,103,52,5,7,14,1,3,5,1,0,5,5,2,0,2,2,51,7,2,2,1,3,0,0,2,10,3,5,5,3,2,4,2
2020,3,총,"505,479","233,066","7,777","31,242","54,745","3,608","9,949","4,188","1,946","25,424","17,699","12,864","4,855","3,000","30,770","24,999","272,413","40,601","2,880","4,888","2,572","5,046","2,139",597,"1,286","16,011","17,480","19,965","22,750","32,146","22,221","72,183","9,648"
2020,3,0,"41,406","18,436",165,"2,573","6,053",82,592,77,38,"1,302",661,458,238,183,"3,704","2,310","22,970","4,042",76,127,40,112,34,7,23,626,"1,314",845,"1,568","3,111","1,533","8,542",970
2020,3,10,"47,793","21,711",275,"3,790","5,834",162,807,137,77,"1,598",853,752,278,212,"3,837","3,099","26,082","3,647",99,231,91,215,60,18,39,855,"1,967","1,038","2,184","3,129","2,462","8,883","1,164"
2020,3,20,"57,474","26,882",532,"3,767","6,222",305,"1,028",224,108,"3,325","1,829","1,121",614,709,"3,651","3,447","30,592","4,246",176,317,174,310,79,35,53,"1,689","2,193","2,366","2,484","4,020","2,877","8,658",915
2020,3,30,"61,457","28,244",495,"3,382","8,624",285,949,189,92,"3,111","1,753","1,121",564,365,"3,995","3,319","33,213","5,291",138,290,110,248,79,14,56,"1,798","1,934","2,446","2,407","4,436","2,204","10,511","1,251"
