년도,월,나이,대전광역시,대전광역시 동구,대전광역시 중구,대전광역시 서구,대전광역시 유성구,대전광역시 대덕구
2020,1,총,"1,474,152","226,216","240,215","481,174","349,824","176,723"
2020,1,0,"121,132","16,130","16,533","40,198","36,488","11,783"
2020,1,10,"152,558","20,737","23,194","51,779","39,139","17,709"
2020,1,20,"212,630","30,670","31,448","73,764","51,885","24,863"
2020,1,30,"199,709","27,188","27,808","67,776","56,761","20,176"
2020,1,40,"242,465","34,772","38,184","80,203","60,882","28,424"
2020,1,50,"243,752","37,794","40,454","78,394","53,506","33,604"
2020,1,60,"169,130","31,178","32,385","51,711","31,035","22,821"
2020,1,70,"88,002","18,622","20,089","24,760","12,891","11,640"
2020,1,80,"38,976","7,964","8,845","10,938","6,177","5,052"
2020,1,90,"5,464","1,075","1,198","1,567","1,004",620
2020,1,100,334,86,77,84,56,31
2020,2,총,"1,473,125","225,633","240,064","481,349","349,915","176,164"
2020,2,0,"120,476","15,972","16,424","40,115","36,313","11,652"
2020,2,10,"151,861","20,734","23,081","51,580","38,973","17,493"
2020,2,20,"212,143","30,433","31,424","73,603","51,960","24,723"
2020,2,30,"199,106","26,972","27,658","67,758","56,665","20,053"
2020,2,40,"242,381","34,716","38,162","80,333","60,895","28,275"
2020,2,50,"243,526","37,616","40,455","78,295","53,577","33,583"
2020,2,60,"170,291","31,344","32,561","52,090","31,335","22,961"
2020,2,70,"88,289","18,651","20,135","24,885","12,947","11,671"
2020,2,80,"39,190","8,024","8,877","11,009","6,191","5,089"
2020,2,90,"5,523","1,083","1,210","1,593","1,004",633
2020,2,100,339,88,77,88,55,31
2020,3,총,"1,471,858","225,302","239,635","481,135","350,055","175,731"
2020,3,0,"119,952","15,889","16,309","39,999","36,198","11,557"
2020,3,10,"151,192","20,681","22,902","51,351","38,877","17,381"
2020,3,20,"212,258","30,438","31,448","73,697","52,084","24,591"
2020,3,30,"198,404","26,789","27,484","67,637","56,577","19,917"
2020,3,40,"241,550","34,582","38,000","80,062","60,786","28,120"
2020,3,50,"242,974","37,416","40,307","78,103","53,626","33,522"
2020,3,60,"171,435","31,547","32,707","52,460","31,588","23,133"
2020,3,70,"88,762","18,713","20,223","25,081","13,035","11,710"
2020,3,80,"39,389","8,076","8,927","11,049","6,212","5,125"
2020,3,90,"5,603","1,083","1,251","1,609","1,017",643
2020,3,100,339,88,77,87,55,32
2020,4,총,"1,471,650","225,094","239,361","481,304","350,439","175,452"
2020,4,0,"119,414","15,810","16,161","39,847","36,106","11,490"
2020,4,10,"150,689","20,593","22,801","51,203","38,820","17,272"
2020,4,20,"212,490","30,455","31,463","73,810","52,212","24,550"
2020,4,30,"198,204","26,755","27,288","67,641","56,692","19,828"
2020,4,40,"241,035","34,438","37,928","79,964","60,730","27,975"
2020,4,50,"242,915","37,345","40,288","78,062","53,712","33,508"
2020,4,60,"172,219","31,636","32,823","52,735","31,780","23,245"
2020,4,70,"89,106","18,763","20,295","25,232","13,072","11,744"
2020,4,80,"39,602","8,119","8,985","11,108","6,239","5,151"
2020,4,90,"5,635","1,090","1,252","1,617","1,021",655
2020,4,100,341,90,77,85,55,34
2020,5,총,"1,471,915","224,729","238,955","481,449","351,532","175,250"
2020,5,0,"119,029","15,707","16,076","39,714","36,105","11,427"
2020,5,10,"150,093","20,495","22,684","51,038","38,705","17,171"
2020,5,20,"212,858","30,409","31,361","74,031","52,562","24,495"
2020,5,30,"198,147","26,639","27,213","67,592","56,933","19,770"
2020,5,40,"240,495","34,370","37,732","79,782","60,764","27,847"
2020,5,50,"243,088","37,278","40,297","78,090","53,914","33,509"
2020,5,60,"172,989","31,680","32,895","52,990","32,050","23,374"
2020,5,70,"89,481","18,822","20,342","25,363","13,163","11,791"
2020,5,80,"39,717","8,140","9,023","11,132","6,245","5,177"
2020,5,90,"5,671","1,094","1,256","1,630","1,035",656
2020,5,100,347,95,76,87,56,33
2020,6,총,"1,471,040","224,300","238,540","481,436","351,882","174,882"
2020,6,0,"118,539","15,620","15,970","39,613","35,998","11,338"
2020,6,10,"149,539","20,396","22,556","50,868","38,611","17,108"
2020,6,20,"212,938","30,402","31,394","74,125","52,652","24,365"
2020,6,30,"197,697","26,508","27,059","67,440","57,035","19,655"
2020,6,40,"240,090","34,293","37,605","79,699","60,773","27,720"
2020,6,50,"242,755","37,104","40,185","78,041","53,963","33,462"
2020,6,60,"173,812","31,766","33,006","53,252","32,293","23,495"
2020,6,70,"89,871","18,864","20,396","25,513","13,226","11,872"
2020,6,80,"39,740","8,150","9,037","11,147","6,237","5,169"
2020,6,90,"5,712","1,103","1,254","1,652","1,039",664
2020,6,100,347,94,78,86,55,34
2020,7,총,"1,470,225","224,060","238,149","481,209","352,316","174,491"
2020,7,0,"117,982","15,511","15,860","39,409","35,941","11,261"
2020,7,10,"149,054","20,320","22,479","50,667","38,567","17,021"
2020,7,20,"212,861","30,374","31,290","74,135","52,765","24,297"
2020,7,30,"197,250","26,365","26,920","67,397","57,009","19,559"
2020,7,40,"239,825","34,273","37,544","79,546","60,845","27,617"
2020,7,50,"242,797","37,085","40,150","78,087","54,086","33,389"
2020,7,60,"174,228","31,794","33,015","53,409","32,455","23,555"
2020,7,70,"90,359","18,972","20,503","25,655","13,294","11,935"
2020,7,80,"39,760","8,159","9,044","11,145","6,253","5,159"
2020,7,90,"5,748","1,110","1,261","1,669","1,045",663
2020,7,100,361,97,83,90,56,35
2020,8,총,"1,469,431","223,728","237,792","481,124","352,550","174,237"
2020,8,0,"117,415","15,370","15,783","39,250","35,828","11,184"
