년도,월,나이,춘천시,신북읍,동면,동산면,신동면,남면,서면,사북면,북산면,동내면,남산면,교동,조운동,약사명동,근화동,소양동,후평1동,후평2동,후평3동,효자1동,효자2동,효자3동,석사동,퇴계동,강남동,신사우동
2020,1,총,"138,806","3,960","9,785",818,"1,330",591,"2,012","1,274",536,"8,712","1,895","1,851","1,437","1,173","4,528","4,916","5,912","7,346","10,159","2,372","6,283","2,358","17,683","23,245","8,375","10,255"
2020,1,0,"11,414",192,"1,236",13,58,15,64,42,11,858,61,67,45,45,509,413,305,700,892,181,229,92,"1,385","2,249",679,"1,073"
2020,1,10,"14,529",267,"1,240",42,67,19,110,90,8,885,95,108,77,78,397,432,463,824,"1,045",238,373,132,"2,380","3,183",772,"1,204"
2020,1,20,"19,582",477,"1,045",72,168,33,146,105,23,"1,123",146,458,214,157,561,668,970,"1,143","1,366",313,"1,534",516,"2,665","3,162","1,180","1,337"
2020,1,30,"17,597",389,"1,223",64,113,41,133,65,26,"1,287",163,244,165,133,753,668,762,"1,093","1,500",280,765,355,"2,023","2,914","1,136","1,302"
2020,1,40,"21,304",502,"1,794",76,155,56,205,116,41,"1,510",220,215,208,145,621,730,832,"1,063","1,509",379,808,305,"2,998","3,916","1,209","1,691"
2020,1,50,"23,484",768,"1,522",162,285,138,420,251,114,"1,412",403,282,269,224,736,880,"1,038","1,167","1,667",395,"1,029",365,"3,094","3,831","1,437","1,595"
2020,1,60,"17,223",704,"1,073",217,267,132,499,321,174,983,433,228,234,199,498,600,835,748,"1,273",296,797,300,"1,824","2,389","1,109","1,090"
2020,1,70,"9,259",438,461,108,139,94,287,190,97,454,277,173,157,127,300,350,498,410,627,189,495,186,871,"1,063",612,656
2020,1,80,"3,944",200,172,62,73,54,124,85,38,179,85,69,58,58,131,154,190,170,248,89,236,97,407,486,216,263
2020,1,90,422,21,19,2,4,9,20,9,4,20,10,5,9,5,21,17,18,27,31,12,11,9,34,50,24,31
2020,1,100,48,2,0,0,1,0,4,0,0,1,2,2,1,2,1,4,1,1,1,0,6,1,2,2,1,13
2020,2,총,"139,015","3,953","9,778",810,"1,330",593,"2,000","1,273",537,"8,683","1,888","1,839","1,426","1,161","4,541","4,885","5,914","7,311","10,174","2,364","6,285","2,342","17,657","23,631","8,359","10,281"
2020,2,0,"11,442",189,"1,219",13,59,15,66,42,11,845,59,70,40,47,519,407,294,693,891,181,221,93,"1,386","2,318",690,"1,074"
2020,2,10,"14,466",259,"1,244",40,63,19,110,88,8,874,96,111,75,74,393,433,460,804,"1,052",236,377,127,"2,361","3,214",753,"1,195"
2020,2,20,"19,598",477,"1,046",71,168,32,138,106,22,"1,117",145,446,211,161,555,664,982,"1,150","1,352",314,"1,526",507,"2,667","3,205","1,186","1,350"
2020,2,30,"17,631",386,"1,213",63,115,42,133,66,28,"1,281",163,240,164,127,763,659,762,"1,079","1,509",268,762,354,"2,027","2,984","1,133","1,310"
2020,2,40,"21,318",508,"1,792",76,152,55,205,116,40,"1,503",219,214,205,142,625,726,825,"1,067","1,519",385,812,307,"2,974","3,967","1,203","1,681"
2020,2,50,"23,492",764,"1,528",158,286,141,415,252,116,"1,406",399,277,271,220,728,873,"1,042","1,160","1,657",393,"1,031",357,"3,108","3,884","1,426","1,600"
2020,2,60,"17,360",712,"1,078",219,270,131,501,317,173,"1,005",433,232,236,198,501,598,843,753,"1,278",298,806,306,"1,809","2,443","1,117","1,103"
2020,2,70,"9,263",436,463,107,140,95,283,193,96,451,273,173,158,128,298,347,495,412,632,189,491,185,876,"1,075",612,655
2020,2,80,"3,979",199,178,61,74,54,125,84,39,180,89,69,56,56,136,156,190,167,254,88,241,96,413,491,214,269
2020,2,90,418,21,16,2,2,9,20,9,4,20,10,5,9,6,22,18,20,25,29,12,12,9,34,49,24,31
2020,2,100,48,2,1,0,1,0,4,0,0,1,2,2,1,2,1,4,1,1,1,0,6,1,2,1,1,13
2020,3,총,"138,977","3,939","9,774",812,"1,335",592,"2,010","1,261",529,"8,634","1,880","1,837","1,425","1,156","4,527","4,867","5,949","7,275","10,172","2,353","6,294","2,326","17,579","23,839","8,329","10,283"
2020,3,0,"11,377",185,"1,215",12,60,16,68,38,11,830,53,76,39,49,514,395,298,675,892,180,222,90,"1,369","2,333",686,"1,071"
2020,3,10,"14,415",259,"1,241",43,63,19,111,87,8,862,95,113,74,72,392,427,462,804,"1,049",233,386,122,"2,348","3,212",739,"1,194"
2020,3,20,"19,675",475,"1,043",72,165,32,139,109,21,"1,115",142,438,210,160,562,671,994,"1,139","1,355",312,"1,541",512,"2,665","3,254","1,188","1,361"
2020,3,30,"17,569",376,"1,209",59,116,41,133,65,28,"1,271",163,236,165,125,763,646,770,"1,081","1,492",270,754,348,"2,007","3,030","1,134","1,287"
2020,3,40,"21,228",511,"1,775",76,152,55,212,114,38,"1,491",218,215,203,139,611,727,821,"1,064","1,516",381,809,301,"2,941","3,986","1,192","1,680"
2020,3,50,"23,509",765,"1,538",157,284,139,410,242,115,"1,404",398,275,274,222,717,874,"1,048","1,159","1,662",385,"1,029",354,"3,116","3,922","1,413","1,607"
