년도,월,나이,경기도 구리시,경기도 구리시 갈매동,경기도 구리시 동구동,경기도 구리시 인창동,경기도 구리시 교문1동,경기도 구리시 교문2동,경기도 구리시 수택1동,경기도 구리시 수택2동,경기도 구리시 수택3동
2020,3,총,"100,226","15,875","19,636","11,853","8,096","11,576","9,613","12,639","10,938"
2020,3,0,"7,738","2,284","1,414",860,390,872,405,694,819
2020,3,10,"9,105","1,120","2,013","1,142",601,"1,395",694,"1,005","1,135"
2020,3,20,"13,427","1,713","2,767","1,665","1,067","1,486","1,485","1,828","1,416"
2020,3,30,"13,491","3,326","2,406","1,494",938,"1,358","1,054","1,480","1,435"
2020,3,40,"16,803","2,564","3,490","2,050","1,181","2,175","1,410","1,819","2,114"
2020,3,50,"18,227","2,216","3,760","2,173","1,621","2,014","1,989","2,550","1,904"
2020,3,60,"11,542","1,599","1,940","1,267","1,210","1,268","1,389","1,781","1,088"
2020,3,70,"6,396",703,"1,170",783,692,649,784,945,670
2020,3,80,"2,962",286,584,369,329,308,340,450,296
2020,3,90,483,61,88,46,53,46,56,78,55
2020,3,100,52,3,4,4,14,5,7,9,6
2020,4,총,"100,202","15,876","19,615","11,786","8,074","11,570","9,531","12,774","10,976"
2020,4,0,"7,685","2,265","1,390",859,386,858,397,701,829
2020,4,10,"9,068","1,118","2,003","1,136",594,"1,397",680,"1,008","1,132"
2020,4,20,"13,472","1,713","2,770","1,662","1,077","1,493","1,490","1,844","1,423"
2020,4,30,"13,473","3,315","2,410","1,476",932,"1,350","1,043","1,517","1,430"
2020,4,40,"16,740","2,572","3,470","2,034","1,160","2,147","1,392","1,842","2,123"
2020,4,50,"18,241","2,229","3,757","2,164","1,615","2,030","1,971","2,570","1,905"
2020,4,60,"11,610","1,609","1,966","1,265","1,220","1,271","1,377","1,804","1,098"
2020,4,70,"6,396",707,"1,168",769,691,657,782,950,672
2020,4,80,"2,974",284,587,370,330,315,334,450,304
2020,4,90,490,61,90,47,55,47,58,79,53
2020,4,100,53,3,4,4,14,5,7,9,7
2020,5,총,"100,149","15,899","19,604","11,696","8,072","11,592","9,467","12,835","10,984"
2020,5,0,"7,659","2,261","1,384",858,382,852,390,705,827
2020,5,10,"8,993","1,119","1,972","1,119",587,"1,395",670,"1,013","1,118"
2020,5,20,"13,503","1,715","2,770","1,659","1,071","1,498","1,485","1,860","1,445"
2020,5,30,"13,415","3,293","2,396","1,462",947,"1,355","1,028","1,515","1,419"
2020,5,40,"16,677","2,583","3,473","2,008","1,155","2,141","1,372","1,838","2,107"
2020,5,50,"18,283","2,241","3,760","2,149","1,613","2,029","1,966","2,595","1,930"
2020,5,60,"11,667","1,619","1,987","1,266","1,221","1,290","1,378","1,811","1,095"
2020,5,70,"6,408",716,"1,173",755,696,660,782,957,669
2020,5,80,"2,994",288,594,369,329,319,332,450,313
2020,5,90,497,61,91,47,57,48,57,82,54
2020,5,100,53,3,4,4,14,5,7,9,7
2020,6,총,"99,958","15,908","19,570","11,546","8,083","11,587","9,421","12,863","10,980"
2020,6,0,"7,596","2,257","1,368",843,374,842,381,703,828
2020,6,10,"8,972","1,128","1,971","1,107",583,"1,391",661,"1,016","1,115"
2020,6,20,"13,432","1,714","2,755","1,638","1,083","1,505","1,475","1,831","1,431"
2020,6,30,"13,345","3,266","2,380","1,442",930,"1,351","1,020","1,532","1,424"
2020,6,40,"16,657","2,603","3,452","1,984","1,151","2,150","1,369","1,843","2,105"
2020,6,50,"18,243","2,233","3,758","2,134","1,623","2,023","1,950","2,589","1,933"
2020,6,60,"11,756","1,642","2,015","1,257","1,231","1,299","1,383","1,826","1,103"
2020,6,70,"6,416",720,"1,181",734,703,652,786,968,672
2020,6,80,"2,985",284,589,356,336,320,330,461,309
2020,6,90,502,58,97,47,55,49,59,84,53
2020,6,100,54,3,4,4,14,5,7,10,7
