년도,월,나이,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2020,3,총,"98,967","6,702","1,460","3,899","3,099","1,022","2,723","4,082","1,695","2,031","2,625","1,758",753,"2,056","2,845","1,256",344,"2,839","1,198",387,"2,201","2,106",853,"12,573","9,405","7,763","8,217","3,795","9,280"
2020,3,0,"5,417",295,44,108,101,31,95,91,54,61,104,57,19,76,133,35,8,106,21,12,34,56,33,987,783,547,530,212,784
2020,3,10,"7,934",501,67,166,161,51,127,227,75,96,160,77,38,108,163,66,13,158,51,18,102,108,40,"1,380",886,791,814,367,"1,123"
2020,3,20,"8,605",456,89,215,175,54,155,237,88,119,183,104,40,121,189,83,17,126,57,14,119,102,52,"1,377","1,038",786,872,337,"1,400"
2020,3,30,"7,844",477,78,230,139,42,160,216,87,118,121,81,40,117,187,72,13,168,38,9,113,72,37,"1,378","1,180",708,749,315,899
2020,3,40,"11,929",773,107,337,276,76,225,320,126,170,262,176,65,184,277,123,29,328,102,30,180,195,73,"1,825","1,405","1,144","1,201",525,"1,395"
2020,3,50,"17,302","1,135",244,678,547,210,445,684,325,413,532,345,169,391,547,271,68,521,186,71,332,336,161,"2,125","1,609","1,360","1,511",641,"1,445"
2020,3,60,"17,730","1,300",319,841,634,217,606,987,364,458,615,412,173,446,579,273,94,578,285,68,499,428,185,"1,801","1,370","1,156","1,233",634,"1,175"
2020,3,70,"12,728","1,004",299,698,564,164,488,753,302,333,384,275,115,349,426,190,61,468,273,82,448,428,144,"1,100",703,755,810,473,639
2020,3,80,"8,204",663,185,547,423,158,355,492,235,231,231,208,83,218,301,121,37,330,160,73,321,321,106,512,379,456,444,250,364
2020,3,90,"1,219",91,27,77,74,17,65,73,39,32,30,22,11,46,42,20,4,52,23,10,51,58,21,82,52,58,49,38,55
2020,3,100,55,7,1,2,5,2,2,2,0,0,3,1,0,0,1,2,0,4,2,0,2,2,1,6,0,2,4,3,1
2020,4,총,"98,644","6,696","1,450","3,896","3,098","1,012","2,723","4,047","1,705","1,997","2,615","1,759",753,"2,048","2,816","1,250",341,"2,843","1,184",385,"2,187","2,090",855,"12,554","9,365","7,812","8,189","3,772","9,202"
2020,4,0,"5,371",296,43,107,103,31,96,87,57,62,102,57,19,72,131,35,8,107,21,10,34,53,32,971,773,552,529,205,778
2020,4,10,"7,851",492,66,170,153,46,119,223,75,79,162,78,39,109,154,66,13,163,49,18,98,107,41,"1,376",884,804,811,364,"1,092"
2020,4,20,"8,498",455,82,210,175,54,154,227,88,118,173,100,39,123,190,81,16,123,51,14,115,98,51,"1,368","1,036",774,856,339,"1,388"
2020,4,30,"7,782",482,78,220,137,40,165,210,89,117,123,81,41,114,181,73,12,162,38,9,110,68,37,"1,362","1,160",726,740,306,901
2020,4,40,"11,860",772,108,339,274,71,226,316,126,154,257,175,63,180,274,117,30,326,93,29,178,191,73,"1,840","1,403","1,150","1,188",522,"1,385"
2020,4,50,"17,231","1,135",244,677,542,212,440,670,319,411,524,343,169,391,540,268,68,520,189,71,330,336,160,"2,118","1,598","1,369","1,519",637,"1,431"
2020,4,60,"17,797","1,302",315,846,640,214,610,987,370,460,625,417,174,447,578,275,91,580,285,68,500,427,187,"1,817","1,366","1,161","1,242",636,"1,177"
2020,4,70,"12,713",991,303,699,566,165,488,757,305,330,378,278,112,349,420,191,61,472,271,81,446,429,142,"1,104",714,755,812,470,624
2020,4,80,"8,255",673,184,546,426,161,358,495,234,233,238,208,86,216,305,122,38,334,161,75,324,321,109,508,379,460,438,252,371
2020,4,90,"1,225",90,26,79,76,16,64,73,42,33,30,21,11,47,42,20,4,52,24,10,51,58,22,82,52,59,49,38,54
2020,4,100,61,8,1,3,6,2,3,2,0,0,3,1,0,0,1,2,0,4,2,0,1,2,1,8,0,2,5,3,1
2020,5,총,"98,435","6,689","1,441","3,882","3,097","1,003","2,719","4,027","1,700","1,983","2,602","1,756",749,"2,048","2,824","1,251",341,"2,838","1,172",382,"2,170","2,084",848,"12,550","9,353","7,845","8,169","3,746","9,166"
2020,5,0,"5,363",303,44,106,108,30,97,84,57,62,100,58,20,72,129,35,8,102,21,7,33,53,31,972,769,556,527,201,778
2020,5,10,"7,792",488,66,169,154,42,116,223,74,77,159,78,38,109,152,66,13,164,48,18,98,107,41,"1,368",885,809,807,359,"1,064"
2020,5,20,"8,445",452,79,205,172,55,156,217,90,114,173,99,37,123,191,81,15,122,47,14,114,96,49,"1,372","1,032",775,846,328,"1,391"
2020,5,30,"7,739",483,78,218,137,39,163,211,87,115,117,78,41,115,179,73,12,161,37,9,106,68,36,"1,355","1,150",730,738,305,898
2020,5,40,"11,799",766,105,338,276,71,221,315,125,151,257,173,63,179,278,116,30,321,89,27,177,189,70,"1,836","1,397","1,156","1,180",519,"1,374"
2020,5,50,"17,223","1,137",241,674,542,210,439,669,317,412,521,346,164,390,543,270,67,518,186,71,324,331,162,"2,120","1,602","1,378","1,521",634,"1,434"
2020,5,60,"17,804","1,297",313,843,637,213,615,978,372,459,623,419,177,444,583,272,94,586,285,69,498,425,188,"1,820","1,373","1,171","1,241",635,"1,174"
2020,5,70,"12,728",993,308,701,564,163,487,761,304,328,382,277,112,355,419,189,61,467,272,80,447,435,141,"1,110",711,751,814,470,626
2020,5,80,"8,252",667,181,546,426,162,361,494,232,232,236,206,86,216,308,126,36,340,160,77,318,319,105,509,383,459,440,255,372
2020,5,90,"1,231",95,25,79,75,16,61,73,42,33,31,21,11,45,41,21,5,53,25,10,54,59,24,82,51,58,50,37,54
2020,5,100,59,8,1,3,6,2,3,2,0,0,3,1,0,0,1,2,0,4,2,0,1,2,1,6,0,2,5,3,1
2020,6,총,"98,201","6,660","1,433","3,872","3,098",997,"2,716","4,024","1,692","1,993","2,605","1,747",757,"2,037","2,808","1,256",338,"2,810","1,165",383,"2,171","2,092",844,"12,494","9,299","7,866","8,152","3,731","9,161"
2020,6,0,"5,357",302,40,107,109,29,91,85,59,62,99,58,23,68,130,35,8,102,21,7,33,55,31,970,764,562,526,204,777
2020,6,10,"7,769",490,65,171,149,41,120,228,74,76,158,77,40,109,151,66,11,160,47,18,98,107,40,"1,360",879,814,805,360,"1,055"
2020,6,20,"8,374",440,75,201,172,53,158,214,89,114,174,98,39,122,185,81,12,121,46,14,114,100,49,"1,357","1,020",765,847,324,"1,390"
2020,6,30,"7,672",473,78,217,140,35,160,207,84,114,119,81,43,112,180,72,12,159,36,10,107,70,36,"1,324","1,130",743,738,300,892
2020,6,40,"11,775",767,104,335,276,72,222,316,125,146,259,171,62,180,275,117,29,315,93,28,176,191,70,"1,838","1,393","1,156","1,165",519,"1,375"
2020,6,50,"17,111","1,132",242,668,541,208,432,657,315,416,522,339,161,384,537,271,68,507,178,70,323,327,163,"2,114","1,580","1,380","1,519",625,"1,432"
2020,6,60,"17,858","1,295",312,844,639,215,620,980,365,469,627,421,180,446,581,274,96,584,287,70,498,426,187,"1,827","1,388","1,170","1,241",635,"1,181"
2020,6,70,"12,752",989,311,704,565,161,486,767,310,329,382,275,113,353,421,190,61,469,271,79,446,437,140,"1,114",709,751,816,469,634
2020,6,80,"8,245",669,179,543,426,165,363,494,230,235,232,204,85,217,307,127,36,337,161,77,321,316,103,504,384,463,440,257,370
2020,6,90,"1,229",95,26,79,75,16,61,74,41,32,30,22,11,46,40,21,5,52,23,10,54,62,24,80,52,60,50,35,53
2020,6,100,59,8,1,3,6,2,3,2,0,0,3,1,0,0,1,2,0,4,2,0,1,1,1,6,0,2,5,3,2
2020,7,총,"98,038","6,661","1,433","3,865","3,092",996,"2,716","4,023","1,682","1,971","2,603","1,751",754,"2,031","2,787","1,244",343,"2,809","1,158",380,"2,156","2,097",842,"12,464","9,254","7,843","8,262","3,712","9,109"
2020,7,0,"5,305",299,40,109,106,28,96,82,62,58,98,57,23,67,125,35,8,97,20,7,32,56,26,959,755,560,540,194,766
2020,7,10,"7,803",509,66,169,150,41,119,239,70,77,158,74,39,109,151,65,10,162,48,18,96,104,42,"1,373",875,802,830,364,"1,043"
2020,7,20,"8,299",435,73,196,171,54,157,210,86,108,173,101,37,117,178,77,14,119,44,14,111,104,49,"1,343","1,008",766,843,328,"1,383"
2020,7,30,"7,646",470,75,222,139,33,159,202,87,109,125,83,43,113,175,70,12,159,38,10,104,69,36,"1,320","1,118",745,748,291,891
2020,7,40,"11,731",763,107,331,275,73,224,316,122,142,254,172,60,180,268,115,28,310,93,25,170,192,68,"1,823","1,390","1,150","1,192",517,"1,371"
2020,7,50,"17,038","1,122",242,660,539,207,433,651,313,410,519,336,161,384,535,266,70,514,174,70,322,326,164,"2,098","1,572","1,368","1,536",623,"1,423"
2020,7,60,"17,890","1,299",314,853,635,216,617,984,364,468,625,420,178,446,582,272,99,588,286,71,499,428,189,"1,834","1,392","1,171","1,252",628,"1,180"
2020,7,70,"12,762",990,311,698,567,162,487,768,307,331,386,280,114,351,423,188,60,464,270,79,446,435,140,"1,118",707,751,827,472,630
2020,7,80,"8,270",672,179,547,427,164,359,495,230,234,233,204,88,218,309,132,37,340,160,76,321,318,102,510,385,467,439,257,367
2020,7,90,"1,236",94,26,77,77,16,62,74,41,34,29,23,11,46,40,22,5,52,23,10,54,64,25,79,52,62,50,35,53
2020,7,100,58,8,0,3,6,2,3,2,0,0,3,1,0,0,1,2,0,4,2,0,1,1,1,7,0,1,5,3,2
2020,8,총,"97,875","6,632","1,423","3,851","3,086",993,"2,719","4,020","1,672","1,966","2,595","1,752",757,"2,020","2,768","1,253",340,"2,793","1,157",377,"2,161","2,093",836,"12,411","9,208","7,834","8,361","3,720","9,077"
2020,8,0,"5,286",288,40,108,105,28,93,82,59,54,96,57,24,67,133,34,8,95,22,6,33,59,24,954,747,556,559,194,761
