년도,월,나이,동두천시,생연1동,생연2동,중앙동,보산동,불현동,송내동,소요동,상패동
2020,1,총,"47,443","3,506","5,873","2,530","1,658","14,158","13,196","4,160","2,362"
2020,1,0,"3,313",223,374,69,93,"1,076","1,205",192,81
2020,1,10,"4,452",308,604,115,110,"1,423","1,529",235,128
2020,1,20,"5,086",348,572,237,140,"1,616","1,576",392,205
2020,1,30,"5,155",387,580,191,157,"1,599","1,658",380,203
2020,1,40,"7,214",487,931,255,196,"2,210","2,387",470,278
2020,1,50,"7,724",607,943,476,298,"2,365","1,857",748,430
2020,1,60,"6,379",522,778,514,266,"1,764","1,316",771,448
2020,1,70,"5,085",384,713,384,254,"1,339","1,080",582,349
2020,1,80,"2,566",209,326,226,126,666,498,320,195
2020,1,90,407,28,47,46,16,89,87,54,40
2020,1,100,62,3,5,17,2,11,3,16,5
2020,2,총,"47,296","3,516","5,845","2,509","1,658","14,118","13,144","4,147","2,359"
2020,2,0,"3,276",227,367,67,92,"1,072","1,183",190,78
2020,2,10,"4,425",310,602,110,107,"1,412","1,528",229,127
2020,2,20,"5,058",349,564,234,143,"1,605","1,561",394,208
2020,2,30,"5,106",389,573,187,155,"1,579","1,657",366,200
2020,2,40,"7,199",488,922,253,197,"2,208","2,384",475,272
2020,2,50,"7,703",604,938,476,294,"2,361","1,853",744,433
2020,2,60,"6,403",520,790,509,265,"1,777","1,314",776,452
2020,2,70,"5,065",385,708,384,259,"1,336","1,065",579,349
2020,2,80,"2,589",213,330,226,128,666,504,325,197
2020,2,90,410,28,46,46,16,92,92,52,38
2020,2,100,62,3,5,17,2,10,3,17,5
2020,3,총,"47,183","3,510","5,841","2,501","1,659","14,066","13,118","4,128","2,360"
2020,3,0,"3,231",228,362,63,85,"1,053","1,170",193,77
2020,3,10,"4,383",303,601,113,114,"1,396","1,504",224,128
2020,3,20,"5,081",352,565,235,144,"1,610","1,580",388,207
2020,3,30,"5,054",385,576,181,151,"1,560","1,634",366,201
2020,3,40,"7,163",481,919,256,194,"2,196","2,372",475,270
2020,3,50,"7,696",605,934,469,296,"2,353","1,871",734,434
2020,3,60,"6,429",525,798,512,270,"1,785","1,316",773,450
2020,3,70,"5,079",387,703,381,260,"1,346","1,066",585,351
2020,3,80,"2,595",214,334,231,126,662,510,321,197
