년도,월,나이,무주군,무주읍,무풍면,설천면,적상면,안성면,부남면
2020,1,총,"12,213","4,814","1,157","2,006","1,330","2,189",717
2020,1,0,593,367,29,73,37,73,14
2020,1,10,914,490,47,150,61,136,30
2020,1,20,853,412,75,154,63,121,28
2020,1,30,820,469,50,118,57,99,27
2020,1,40,"1,288",689,83,220,97,158,41
2020,1,50,"1,946",656,236,361,198,371,124
2020,1,60,"2,094",669,235,353,265,419,153
2020,1,70,"1,981",562,213,327,285,431,163
2020,1,80,"1,469",401,173,216,232,330,117
2020,1,90,245,92,16,34,34,49,20
2020,1,100,10,7,0,0,1,2,0
2020,2,총,"12,183","4,789","1,161","2,001","1,324","2,186",722
2020,2,0,591,361,28,78,37,72,15
2020,2,10,903,482,50,142,62,137,30
2020,2,20,848,407,76,154,64,118,29
2020,2,30,807,457,54,114,56,99,27
2020,2,40,"1,293",696,83,217,97,160,40
2020,2,50,"1,937",654,234,361,199,368,121
2020,2,60,"2,079",658,233,354,261,415,158
2020,2,70,"1,990",571,215,325,283,430,166
2020,2,80,"1,477",402,169,222,232,336,116
2020,2,90,248,94,19,34,32,49,20
2020,2,100,10,7,0,0,1,2,0
2020,3,총,"12,161","4,796","1,164","1,992","1,320","2,172",717
2020,3,0,594,367,28,78,37,69,15
2020,3,10,894,484,47,139,61,135,28
2020,3,20,835,408,79,152,62,106,28
2020,3,30,810,460,55,110,56,102,27
2020,3,40,"1,287",691,86,218,97,155,40
2020,3,50,"1,911",646,227,355,196,368,119
2020,3,60,"2,094",664,238,358,256,419,159
2020,3,70,"1,983",567,215,324,287,428,162
2020,3,80,"1,486",406,168,224,235,336,117
2020,3,90,255,95,21,34,31,52,22
2020,3,100,12,8,0,0,2,2,0
2020,4,총,"12,132","4,784","1,154","1,994","1,322","2,164",714
2020,4,0,590,367,27,79,35,67,15
2020,4,10,895,484,46,139,64,134,28
2020,4,20,822,400,79,151,61,105,26
2020,4,30,801,453,52,111,55,103,27
2020,4,40,"1,291",696,86,220,98,151,40
2020,4,50,"1,908",646,225,357,197,368,115
2020,4,60,"2,086",664,236,351,255,419,161
2020,4,70,"1,994",569,213,330,291,428,163
2020,4,80,"1,473",404,166,217,234,335,117
2020,4,90,260,93,24,39,30,52,22
2020,4,100,12,8,0,0,2,2,0
2020,5,총,"12,113","4,776","1,153","1,993","1,322","2,155",714
2020,5,0,588,367,27,78,34,66,16
2020,5,10,899,487,46,137,65,136,28
2020,5,20,804,392,80,146,61,100,25
2020,5,30,800,452,52,112,57,101,26
2020,5,40,"1,286",693,86,219,96,151,41
2020,5,50,"1,907",646,222,355,197,372,115
2020,5,60,"2,091",660,239,359,255,418,160
2020,5,70,"1,991",574,210,327,293,424,163
2020,5,80,"1,478",406,168,221,233,333,117
2020,5,90,257,91,23,39,29,52,23
2020,5,100,12,8,0,0,2,2,0
2020,6,총,"12,090","4,754","1,147","2,000","1,318","2,156",715
2020,6,0,581,363,26,79,33,64,16
2020,6,10,899,487,47,136,64,136,29
2020,6,20,794,389,74,149,60,96,26
2020,6,30,793,446,52,113,56,101,25
2020,6,40,"1,291",695,85,220,96,155,40
2020,6,50,"1,890",641,222,352,193,366,116
2020,6,60,"2,101",655,241,365,255,426,159
2020,6,70,"1,984",573,206,326,296,422,161
2020,6,80,"1,484",407,171,221,231,334,120
2020,6,90,259,91,23,39,31,53,22
2020,6,100,14,7,0,0,3,3,1
2020,7,총,"12,085","4,739","1,152","2,002","1,326","2,151",715
2020,7,0,573,360,25,77,32,63,16
2020,7,10,896,485,47,137,64,135,28
2020,7,20,790,387,71,146,61,99,26
2020,7,30,788,442,56,111,57,97,25
2020,7,40,"1,296",699,86,220,95,156,40
2020,7,50,"1,889",636,221,354,199,360,119
2020,7,60,"2,099",652,244,366,253,425,159
2020,7,70,"1,986",574,204,331,296,421,160
2020,7,80,"1,495",408,173,221,235,339,119
2020,7,90,258,88,25,39,31,53,22
2020,7,100,15,8,0,0,3,3,1
2020,8,총,"12,086","4,735","1,148","2,019","1,319","2,154",711
2020,8,0,574,358,25,79,32,64,16
2020,8,10,892,483,49,136,62,134,28
2020,8,20,790,384,70,151,61,100,24
2020,8,30,794,445,56,109,56,102,26
2020,8,40,"1,285",694,84,223,90,154,40
2020,8,50,"1,892",636,219,360,199,361,117
2020,8,60,"2,097",654,243,367,257,419,157
2020,8,70,"1,990",576,203,333,295,423,160
2020,8,80,"1,496",407,174,223,234,339,119
2020,8,90,258,90,25,36,30,54,23
2020,8,100,18,8,0,2,3,4,1
2020,9,총,"12,092","4,739","1,145","2,025","1,323","2,148",712
2020,9,0,568,353,27,78,32,62,16
2020,9,10,897,490,49,135,61,135,27
2020,9,20,791,382,66,155,64,99,25
2020,9,30,785,438,56,111,53,101,26
2020,9,40,"1,289",697,84,223,91,154,40
2020,9,50,"1,904",643,218,367,197,360,119
2020,9,60,"2,099",654,244,366,255,422,158
2020,9,70,"1,981",571,202,333,300,417,158
2020,9,80,"1,499",411,173,221,237,338,119
2020,9,90,261,93,26,34,30,56,22
2020,9,100,18,7,0,2,3,4,2
2020,10,총,"12,091","4,738","1,141","2,027","1,324","2,148",713
2020,10,0,567,353,28,78,30,62,16
2020,10,10,890,490,45,133,62,133,27
2020,10,20,798,389,66,156,63,100,24
2020,10,30,778,429,58,108,55,100,28
2020,10,40,"1,286",698,80,227,92,150,39
2020,10,50,"1,904",650,214,362,200,361,117
2020,10,60,"2,114",654,247,371,255,425,162
2020,10,70,"1,975",566,201,336,298,417,157
2020,10,80,"1,504",411,175,220,238,341,119
2020,10,90,258,91,27,34,29,55,22
2020,10,100,17,7,0,2,2,4,2
2020,11,총,"12,083","4,734","1,143","2,021","1,326","2,150",709
2020,11,0,568,354,28,81,30,60,15
2020,11,10,883,485,45,132,61,134,26
2020,11,20,802,394,62,157,63,99,27
2020,11,30,778,429,59,107,54,100,29
2020,11,40,"1,279",695,80,225,93,149,37
2020,11,50,"1,903",649,215,356,200,365,118
2020,11,60,"2,117",654,249,371,256,425,162
2020,11,70,"1,973",571,201,333,297,415,156
2020,11,80,"1,507",405,177,224,241,344,116
2020,11,90,257,91,27,33,29,55,22
2020,11,100,16,7,0,2,2,4,1
2020,12,총,"12,077","4,735","1,142","2,004","1,330","2,152",714
2020,12,0,573,352,29,79,33,61,19
2020,12,10,887,486,46,132,62,132,29
2020,12,20,796,398,61,149,62,102,24
2020,12,30,766,425,56,105,51,101,28
2020,12,40,"1,277",697,81,220,95,146,38
2020,12,50,"1,885",643,214,355,200,357,116
2020,12,60,"2,139",662,250,373,256,435,163
2020,12,70,"1,963",569,201,329,293,412,159
2020,12,80,"1,518",406,176,226,247,348,115
2020,12,90,256,90,28,34,29,53,22
2020,12,100,17,7,0,2,2,5,1
2021,1,총,"12,067","4,738","1,130","2,014","1,326","2,151",708
2021,1,0,560,340,26,81,34,60,19
2021,1,10,892,491,47,135,61,129,29
2021,1,20,786,399,53,147,60,104,23
2021,1,30,769,427,59,108,50,98,27
2021,1,40,"1,273",696,78,221,94,145,39
2021,1,50,"1,875",647,213,354,200,351,110
2021,1,60,"2,141",664,247,371,255,441,163
2021,1,70,"1,973",571,203,330,293,416,160
2021,1,80,"1,522",406,176,231,246,347,116
2021,1,90,259,90,28,34,31,55,21
2021,1,100,17,7,0,2,2,5,1
2021,2,총,"12,022","4,735","1,118","2,008","1,315","2,142",704
2021,2,0,547,337,24,76,34,58,18
2021,2,10,893,492,47,134,60,131,29
2021,2,20,767,392,48,147,59,99,22
2021,2,30,767,430,60,103,48,98,28
2021,2,40,"1,265",689,76,225,94,143,38
2021,2,50,"1,863",653,208,352,195,346,109
2021,2,60,"2,152",665,250,374,256,445,162
2021,2,70,"1,955",566,199,328,289,414,159
