년도,월,나이,대전광역시 대덕구,대전광역시 대덕구 오정동,대전광역시 대덕구 대화동,대전광역시 대덕구 회덕동,대전광역시 대덕구 비래동,대전광역시 대덕구 송촌동,대전광역시 대덕구 중리동,대전광역시 대덕구 신탄진동,대전광역시 대덕구 석봉동,대전광역시 대덕구 덕암동,대전광역시 대덕구 목상동,대전광역시 대덕구 법1동,대전광역시 대덕구 법2동
2020,1,총,"176,723","15,248","7,512","14,067","17,037","28,706","20,149","11,360","14,404","14,176","6,887","9,994","17,183"
2020,1,0,"11,783",764,339,847,"1,073","2,239","1,135",600,"1,789",881,559,491,"1,066"
2020,1,10,"17,709","1,083",553,"1,161","1,810","4,199","1,753",970,"1,323","1,405",679,919,"1,854"
2020,1,20,"24,863","2,405",863,"1,707","2,391","4,227","3,083","1,538","1,787","2,059","1,087","1,325","2,391"
2020,1,30,"20,176","1,658",887,"1,417","1,826","2,946","2,362","1,194","2,467","1,696","1,089",952,"1,682"
2020,1,40,"28,424","2,108","1,200","2,051","2,726","5,483","3,315","1,654","2,340","2,327","1,214","1,409","2,597"
2020,1,50,"33,604","2,976","1,420","2,765","3,224","5,502","3,813","2,225","2,337","2,691","1,171","1,956","3,524"
2020,1,60,"22,821","2,484","1,276","2,271","2,293","2,369","2,769","1,712","1,416","1,680",646,"1,531","2,374"
2020,1,70,"11,640","1,249",675,"1,210","1,160","1,121","1,374",973,609,953,286,920,"1,110"
2020,1,80,"5,052",446,260,567,483,554,488,432,303,429,133,448,509
2020,1,90,620,70,37,65,47,62,56,57,32,53,23,42,76
2020,1,100,31,5,2,6,4,4,1,5,1,2,0,1,0
2020,2,총,"176,164","15,180","7,490","13,972","16,979","28,717","20,061","11,342","14,377","14,118","6,875","9,946","17,107"
2020,2,0,"11,652",762,337,821,"1,064","2,244","1,108",591,"1,783",866,545,483,"1,048"
2020,2,10,"17,493","1,068",544,"1,136","1,790","4,148","1,742",965,"1,323","1,389",675,892,"1,821"
2020,2,20,"24,723","2,388",857,"1,699","2,377","4,244","3,052","1,530","1,769","2,047","1,079","1,309","2,372"
2020,2,30,"20,053","1,653",889,"1,398","1,801","2,954","2,350","1,184","2,438","1,693","1,082",951,"1,660"
2020,2,40,"28,275","2,095","1,191","2,035","2,723","5,437","3,293","1,659","2,346","2,308","1,223","1,376","2,589"
2020,2,50,"33,583","2,948","1,409","2,743","3,219","5,545","3,802","2,232","2,334","2,684","1,177","1,966","3,524"
2020,2,60,"22,961","2,488","1,284","2,273","2,302","2,399","2,784","1,712","1,431","1,691",650,"1,551","2,396"
2020,2,70,"11,671","1,254",678,"1,218","1,157","1,130","1,375",967,614,958,290,923,"1,107"
