년도,월,나이,전라북도 김제시,전라북도 김제시 만경읍,전라북도 김제시 죽산면,전라북도 김제시 백산면,전라북도 김제시 용지면,전라북도 김제시 백구면,전라북도 김제시 부량면,전라북도 김제시 공덕면,전라북도 김제시 청하면,전라북도 김제시 성덕면,전라북도 김제시 진봉면,전라북도 김제시 금구면,전라북도 김제시 봉남면,전라북도 김제시 황산면,전라북도 김제시 금산면,전라북도 김제시 광활면,전라북도 김제시 요촌동,전라북도 김제시 신풍동,전라북도 김제시 검산동,전라북도 김제시 교월동
2020,3,총,"41,441","1,383","1,282","1,335","1,866","1,936",654,"1,311",896,953,"1,302","2,557","1,083",981,"2,365",717,"5,559","6,323","5,645","3,293"
2020,3,0,"2,377",68,38,41,49,72,27,41,35,24,24,100,33,24,79,24,400,516,541,241
2020,3,10,"3,299",70,69,69,86,110,38,63,42,47,54,172,45,46,133,31,506,726,730,262
2020,3,20,"4,084",101,83,97,165,149,56,117,59,67,72,230,75,78,192,56,703,754,694,336
2020,3,30,"3,730",125,83,105,134,157,55,97,65,69,103,193,86,62,172,51,601,653,603,316
2020,3,40,"5,855",162,148,174,245,256,79,145,118,137,162,349,140,131,281,112,841,976,953,446
2020,3,50,"7,670",243,228,276,341,398,111,260,142,169,242,535,201,208,510,128,988,"1,094",987,609
2020,3,60,"7,094",335,304,265,410,374,132,297,193,205,295,493,211,199,480,134,775,807,648,537
2020,3,70,"4,817",182,214,215,291,276,95,179,143,154,223,334,175,161,329,116,495,520,345,370
2020,3,80,"2,249",87,106,84,117,121,54,98,88,71,118,136,111,62,165,58,225,254,132,162
2020,3,90,255,10,8,8,26,23,7,14,10,10,9,15,6,10,24,7,21,23,12,12
2020,3,100,11,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,4,0,0,2
2020,4,총,"41,337","1,377","1,273","1,343","1,851","1,936",655,"1,302",892,942,"1,300","2,553","1,090",971,"2,350",714,"5,543","6,314","5,646","3,285"
2020,4,0,"2,350",65,38,39,47,69,27,40,34,24,23,97,33,24,79,24,396,517,536,238
2020,4,10,"3,292",74,68,70,89,107,38,63,42,45,53,171,48,47,119,31,504,723,734,266
2020,4,20,"4,073",105,81,99,161,150,55,114,59,65,73,228,74,75,198,55,700,755,691,335
2020,4,30,"3,707",121,84,104,133,154,56,98,63,67,101,194,87,61,165,50,595,652,607,315
2020,4,40,"5,807",159,145,172,241,256,75,145,117,135,158,349,140,129,279,108,840,968,951,440
2020,4,50,"7,662",240,227,276,337,398,114,258,143,167,247,529,201,203,507,130,984,"1,098",989,614
2020,4,60,"7,091",335,300,274,405,378,133,295,188,204,292,497,212,199,486,134,782,798,648,531
2020,4,70,"4,830",182,216,216,292,279,95,177,148,155,223,337,175,158,330,116,495,521,347,368
2020,4,80,"2,256",86,105,84,118,121,55,98,88,70,121,135,114,65,161,59,222,259,131,164
2020,4,90,257,10,8,8,26,24,7,14,9,10,8,16,6,10,26,7,21,23,12,12
2020,4,100,12,0,1,1,2,0,0,0,1,0,1,0,0,0,0,0,4,0,0,2
2020,5,총,"41,319","1,387","1,271","1,329","1,848","1,929",652,"1,302",895,935,"1,298","2,559","1,092",970,"2,340",714,"5,574","6,301","5,641","3,282"
2020,5,0,"2,342",63,38,38,47,67,27,41,35,21,23,96,33,22,78,24,405,511,533,240
2020,5,10,"3,274",80,68,67,88,107,37,62,40,46,56,169,48,45,115,30,508,725,721,262
2020,5,20,"4,074",104,78,93,160,150,54,114,63,65,75,228,73,77,193,55,703,756,697,336
2020,5,30,"3,691",122,85,107,135,152,53,98,61,67,95,196,86,61,167,49,597,646,604,310
2020,5,40,"5,780",159,147,169,233,257,76,145,118,131,160,349,139,128,275,110,847,953,947,437
2020,5,50,"7,676",243,226,274,341,392,114,260,145,165,248,529,201,205,505,129,985,"1,105",994,615
2020,5,60,"7,089",336,300,270,404,375,134,293,188,207,289,501,216,199,483,133,784,800,649,528
2020,5,70,"4,871",185,216,220,291,283,95,180,149,154,222,338,176,158,337,118,500,523,353,373
2020,5,80,"2,253",85,104,82,121,122,56,95,85,69,121,136,114,65,161,59,220,259,132,167
2020,5,90,256,10,7,8,26,24,6,14,10,10,8,17,6,10,26,7,21,23,11,12
2020,5,100,13,0,2,1,2,0,0,0,1,0,1,0,0,0,0,0,4,0,0,2
2020,6,총,"41,262","1,383","1,263","1,325","1,845","1,936",650,"1,309",898,935,"1,300","2,572","1,091",973,"2,329",713,"5,556","6,265","5,638","3,281"
2020,6,0,"2,342",62,38,36,47,70,25,40,35,21,23,100,32,22,78,25,407,508,532,241
2020,6,10,"3,244",76,66,65,87,104,36,64,40,47,55,171,50,43,110,29,508,720,717,256
2020,6,20,"4,058",102,78,92,157,150,56,112,63,64,79,225,71,77,191,55,711,745,693,337
2020,6,30,"3,662",122,85,108,136,154,53,99,60,67,93,198,85,60,167,51,585,637,595,307
2020,6,40,"5,773",159,147,168,233,259,75,147,122,128,160,349,137,131,277,111,834,951,952,433
2020,6,50,"7,637",241,219,269,337,394,112,260,144,165,244,534,202,206,500,126,982,"1,092",993,617
2020,6,60,"7,148",340,297,278,411,378,134,294,190,210,294,502,218,202,486,132,787,806,656,533
2020,6,70,"4,882",185,221,220,289,283,97,184,148,153,222,341,176,157,336,119,497,523,355,376
2020,6,80,"2,246",86,103,80,119,121,56,95,85,70,122,134,114,66,159,57,220,260,133,166
2020,6,90,257,10,7,8,27,23,6,14,10,10,7,18,6,9,25,8,21,23,12,13
2020,6,100,13,0,2,1,2,0,0,0,1,0,1,0,0,0,0,0,4,0,0,2
2020,7,총,"41,189","1,385","1,258","1,321","1,843","1,925",645,"1,300",898,929,"1,299","2,564","1,095",976,"2,320",715,"5,557","6,232","5,638","3,289"
2020,7,0,"2,328",62,38,35,48,68,24,39,35,21,21,101,34,21,77,25,407,494,540,238
2020,7,10,"3,229",76,65,65,86,102,36,65,40,46,56,169,51,44,108,30,503,709,715,263
2020,7,20,"4,059",102,76,92,157,147,55,111,62,62,77,231,74,77,188,57,713,748,698,332
2020,7,30,"3,635",119,83,106,139,154,52,96,61,66,98,193,83,62,165,48,577,626,594,313
2020,7,40,"5,737",156,146,164,228,255,75,142,121,126,160,351,137,134,274,112,841,941,940,434
2020,7,50,"7,610",247,221,273,334,389,112,261,145,164,241,525,199,201,497,128,974,"1,095",991,613
2020,7,60,"7,166",339,296,277,416,377,135,295,189,211,292,498,221,204,486,132,794,810,659,535
2020,7,70,"4,909",188,222,217,288,289,96,182,149,154,224,342,178,156,341,118,503,528,353,381
2020,7,80,"2,241",85,102,83,118,122,54,94,85,69,122,135,112,68,159,57,219,256,136,165
2020,7,90,262,11,7,8,27,22,6,15,10,10,7,19,6,9,25,8,22,25,12,13
2020,7,100,13,0,2,1,2,0,0,0,1,0,1,0,0,0,0,0,4,0,0,2
2020,8,총,"41,140","1,383","1,252","1,322","1,838","1,928",650,"1,294",896,929,"1,299","2,563","1,104",976,"2,325",712,"5,543","6,208","5,623","3,295"
2020,8,0,"2,319",65,38,36,47,67,27,39,34,23,21,99,40,21,74,25,406,489,529,239
2020,8,10,"3,228",75,66,65,84,105,37,65,40,46,53,168,52,44,113,29,504,700,719,263
2020,8,20,"4,041",103,77,88,156,142,54,108,61,62,80,234,74,78,191,58,704,745,694,332
2020,8,30,"3,617",114,79,108,134,152,53,94,60,66,98,192,84,62,167,49,574,627,592,312
2020,8,40,"5,718",157,144,165,232,257,75,138,120,123,158,349,137,132,276,107,836,937,946,429
2020,8,50,"7,584",243,219,276,329,389,112,260,147,163,237,529,196,198,496,127,974,"1,089",987,613
2020,8,60,"7,178",341,296,276,424,383,133,297,187,212,294,496,226,207,484,133,793,810,651,535
2020,8,70,"4,927",186,222,214,285,289,97,184,151,155,226,341,176,156,340,118,508,533,357,389
2020,8,80,"2,256",88,103,85,119,122,56,94,85,69,124,135,113,70,158,58,218,254,136,169
2020,8,90,258,11,6,8,26,22,6,15,10,10,7,20,6,8,26,8,21,24,12,12
2020,8,100,14,0,2,1,2,0,0,0,1,0,1,0,0,0,0,0,5,0,0,2
2020,9,총,"41,046","1,375","1,248","1,327","1,833","1,917",650,"1,303",889,927,"1,293","2,554","1,103",971,"2,321",711,"5,536","6,182","5,609","3,297"
2020,9,0,"2,293",63,38,36,46,67,25,37,34,22,20,99,37,21,74,24,402,483,524,241
2020,9,10,"3,218",76,66,64,84,101,37,66,41,47,54,169,50,43,110,29,502,702,714,263
2020,9,20,"4,033",99,75,89,151,142,56,110,59,64,78,231,77,78,188,59,708,742,699,328
2020,9,30,"3,602",109,79,111,132,156,52,99,57,66,95,189,80,62,172,49,572,617,586,319
2020,9,40,"5,670",157,140,164,230,255,75,136,121,121,163,347,133,128,275,106,826,929,939,425
2020,9,50,"7,561",244,219,276,330,377,112,268,146,160,232,525,197,195,487,126,975,"1,099",983,610
2020,9,60,"7,200",339,294,277,422,388,132,293,186,212,294,501,231,211,488,137,798,805,657,535
2020,9,70,"4,938",188,225,216,290,289,99,187,149,156,225,338,177,155,343,115,508,532,359,387
2020,9,80,"2,253",88,104,86,120,120,56,92,84,69,124,136,115,71,157,57,217,248,136,173
2020,9,90,264,12,6,7,26,22,6,15,11,10,7,19,6,7,27,9,23,25,12,14
2020,9,100,14,0,2,1,2,0,0,0,1,0,1,0,0,0,0,0,5,0,0,2
2020,10,총,"40,991","1,365","1,238","1,328","1,823","1,905",643,"1,304",897,921,"1,282","2,551","1,103",964,"2,319",709,"5,539","6,196","5,616","3,288"
2020,10,0,"2,254",61,36,37,46,63,21,37,32,21,20,95,37,19,71,24,395,475,525,239
2020,10,10,"3,242",79,62,65,86,103,38,66,43,44,54,170,50,43,114,29,499,711,722,264
2020,10,20,"4,018",99,74,88,146,141,56,112,61,65,76,237,75,78,185,58,708,739,692,328
2020,10,30,"3,582",107,79,113,128,152,51,97,58,65,94,182,82,60,171,48,579,617,584,315
2020,10,40,"5,656",154,140,162,231,254,74,138,119,122,162,345,132,126,273,103,817,935,942,427
2020,10,50,"7,520",243,216,272,327,373,106,263,149,160,228,528,193,196,488,127,973,"1,092",978,608
2020,10,60,"7,256",339,295,280,420,390,138,297,188,211,293,500,237,211,487,138,810,824,668,530
2020,10,70,"4,923",185,224,214,290,289,98,187,151,155,222,338,177,152,344,116,509,528,353,391
2020,10,80,"2,256",86,104,89,122,118,55,91,84,70,124,134,114,71,159,57,218,249,140,171
2020,10,90,270,12,6,7,25,22,6,16,11,8,8,22,6,8,27,9,26,26,12,13
2020,10,100,14,0,2,1,2,0,0,0,1,0,1,0,0,0,0,0,5,0,0,2
2020,11,총,"40,934","1,352","1,236","1,334","1,820","1,900",639,"1,313",890,915,"1,280","2,547","1,103",965,"2,320",708,"5,534","6,162","5,624","3,292"
2020,11,0,"2,241",59,36,39,43,63,21,38,29,22,20,93,39,20,69,24,391,465,530,240
2020,11,10,"3,208",75,61,65,90,101,37,66,44,42,53,166,48,44,111,28,498,706,716,257
2020,11,20,"4,048",100,76,89,145,139,54,114,60,63,77,241,77,78,191,57,719,733,702,333
2020,11,30,"3,546",103,76,109,128,150,51,97,57,67,92,178,80,61,168,49,575,611,579,315
2020,11,40,"5,627",151,139,162,229,256,72,140,116,119,160,344,132,124,269,100,813,927,946,428
2020,11,50,"7,487",239,217,273,327,369,108,264,150,161,226,526,186,193,487,129,971,"1,085",968,608
2020,11,60,"7,285",342,294,281,419,391,137,299,188,212,292,501,241,215,494,139,808,825,675,532
2020,11,70,"4,958",187,224,219,290,290,99,188,149,152,226,342,182,151,343,117,512,533,358,396
2020,11,80,"2,249",83,105,89,122,118,54,91,85,69,126,135,112,70,161,56,216,249,139,169
2020,11,90,271,13,6,7,25,23,6,16,11,8,7,21,6,9,27,9,26,28,11,12
2020,11,100,14,0,2,1,2,0,0,0,1,0,1,0,0,0,0,0,5,0,0,2
2020,12,총,"40,844","1,352","1,238","1,337","1,813","1,899",639,"1,303",891,911,"1,274","2,546","1,098",964,"2,320",703,"5,502","6,160","5,602","3,292"
2020,12,0,"2,228",59,36,40,43,65,21,37,31,22,21,90,39,20,66,24,388,458,529,239
2020,12,10,"3,165",75,61,64,91,99,38,64,44,40,52,162,49,39,111,28,492,701,704,251
2020,12,20,"4,034",101,76,91,143,142,53,112,58,65,78,238,75,81,188,55,706,739,699,334
2020,12,30,"3,539",101,76,111,125,150,49,96,59,65,91,182,78,61,170,49,569,611,578,318
2020,12,40,"5,609",154,139,159,227,255,72,141,115,118,157,340,128,120,266,101,814,939,932,432
2020,12,50,"7,446",237,216,274,321,362,108,258,148,160,224,529,187,199,489,126,960,"1,078",965,605
2020,12,60,"7,294",335,294,279,423,394,137,299,190,212,286,503,242,214,501,134,809,825,680,537
2020,12,70,"4,983",192,226,220,288,289,102,190,149,154,229,344,179,148,345,121,514,539,361,393
2020,12,80,"2,261",85,106,90,126,118,53,91,86,67,128,137,115,73,158,55,217,243,144,169
2020,12,90,270,13,6,8,24,24,6,15,10,8,7,21,6,9,26,10,28,27,10,12
2020,12,100,15,0,2,1,2,1,0,0,1,0,1,0,0,0,0,0,5,0,0,2
2021,1,총,"40,808","1,356","1,243","1,351","1,807","1,879",633,"1,299",888,910,"1,266","2,549","1,103",961,"2,329",700,"5,508","6,151","5,577","3,298"
2021,1,0,"2,216",58,34,40,41,65,20,36,30,22,21,93,39,20,64,24,390,465,519,235
2021,1,10,"3,162",77,63,62,92,96,37,63,42,43,50,159,48,40,125,29,493,690,703,250
2021,1,20,"4,012",100,78,96,144,136,52,110,57,67,79,234,77,79,188,54,698,730,694,339
2021,1,30,"3,523",101,77,110,123,148,48,96,61,62,90,183,77,61,163,48,579,613,562,321
2021,1,40,"5,586",154,140,158,223,244,72,142,112,116,156,340,131,121,267,100,822,934,925,429
