년도,월,나이,영동군,영동읍,용산면,황간면,추풍령면,매곡면,상촌면,양강면,용화면,학산면,양산면,심천면
2020,1,총,"48,523","21,616","3,386","4,404","2,314","1,971","2,421","3,322",981,"2,863","1,875","3,370"
2020,1,0,"2,555","1,657",115,190,46,56,77,123,32,101,47,111
2020,1,10,"3,667","2,323",165,266,126,99,111,196,54,99,83,145
2020,1,20,"4,726","2,853",235,342,166,127,119,340,51,166,106,221
2020,1,30,"3,593","2,132",197,286,113,95,116,197,42,137,78,200
2020,1,40,"5,658","3,150",351,455,213,160,212,301,77,217,200,322
2020,1,50,"8,722","3,597",686,840,461,372,425,661,186,551,329,614
2020,1,60,"8,725","2,869",734,918,504,454,570,649,209,653,398,767
2020,1,70,"6,469","1,947",504,688,390,315,459,495,195,515,365,596
2020,1,80,"3,824",943,342,370,251,267,278,327,117,362,221,346
2020,1,90,553,132,53,43,43,26,53,32,17,59,48,47
2020,1,100,31,13,4,6,1,0,1,1,1,3,0,1
2020,2,총,"48,364","21,531","3,394","4,382","2,314","1,954","2,409","3,304",975,"2,857","1,874","3,370"
2020,2,0,"2,530","1,638",115,188,46,56,76,120,32,101,46,112
2020,2,10,"3,619","2,285",166,266,125,95,109,192,54,99,83,145
2020,2,20,"4,697","2,849",237,335,163,125,120,336,49,166,103,214
2020,2,30,"3,560","2,115",194,280,112,90,115,194,41,138,81,200
2020,2,40,"5,635","3,135",348,455,216,158,205,302,76,220,197,323
2020,2,50,"8,654","3,588",684,831,460,366,418,649,177,539,328,614
2020,2,60,"8,790","2,897",738,924,503,455,571,657,217,659,403,766
2020,2,70,"6,445","1,939",506,683,391,318,457,492,191,514,362,592
2020,2,80,"3,851",945,349,372,254,263,284,329,120,357,224,354
2020,2,90,551,126,53,43,43,28,53,32,17,60,47,49
2020,2,100,32,14,4,5,1,0,1,1,1,4,0,1
2020,3,총,"48,174","21,410","3,412","4,373","2,298","1,949","2,401","3,287",980,"2,859","1,877","3,328"
2020,3,0,"2,514","1,623",121,187,44,57,73,116,32,101,49,111
2020,3,10,"3,589","2,262",169,263,122,96,110,192,53,101,84,137
2020,3,20,"4,606","2,787",241,324,163,124,116,329,49,165,101,207
2020,3,30,"3,546","2,105",191,284,114,89,116,190,42,138,82,195
2020,3,40,"5,597","3,120",346,456,211,156,203,297,73,219,197,319
2020,3,50,"8,642","3,591",686,826,457,364,418,643,184,536,332,605
2020,3,60,"8,795","2,893",741,927,498,454,573,660,220,667,403,759
2020,3,70,"6,446","1,942",507,682,391,320,458,497,188,512,360,589
2020,3,80,"3,854",951,352,376,254,261,280,329,121,354,222,354
2020,3,90,552,122,54,43,43,27,53,33,17,62,47,51
2020,3,100,33,14,4,5,1,1,1,1,1,4,0,1
2020,4,총,"47,963","21,274","3,395","4,356","2,278","1,940","2,393","3,296",981,"2,848","1,871","3,331"
2020,4,0,"2,480","1,606",118,178,44,57,73,111,35,97,48,113
2020,4,10,"3,549","2,227",166,264,122,95,111,189,53,101,85,136
2020,4,20,"4,554","2,759",234,318,154,119,112,352,48,161,97,200
2020,4,30,"3,493","2,074",188,282,111,85,116,181,41,135,82,198
2020,4,40,"5,544","3,085",342,454,207,156,203,291,73,220,195,318
2020,4,50,"8,620","3,582",685,821,458,361,417,648,184,530,332,602
2020,4,60,"8,798","2,891",746,928,494,456,566,659,219,671,402,766
2020,4,70,"6,480","1,956",507,690,392,323,460,500,188,512,360,592
2020,4,80,"3,864",961,351,373,253,260,282,329,122,355,224,354
2020,4,90,546,119,53,43,42,27,51,35,17,62,46,51
2020,4,100,35,14,5,5,1,1,2,1,1,4,0,1
2020,5,총,"47,832","21,222","3,386","4,348","2,272","1,935","2,393","3,263",971,"2,840","1,883","3,319"
