년도,월,나이,완주군,삼례읍,봉동읍,용진읍,상관면,이서면,소양면,구이면,고산면,비봉면,운주면,화산면,동상면,경천면
2020,1,총,"44,878","6,711","12,708","3,470","2,213","7,267","3,035","2,911","2,312",946,996,"1,298",522,489
2020,1,0,"3,716",374,"1,575",226,160,887,135,116,112,30,34,35,17,15
2020,1,10,"4,034",608,"1,618",241,199,681,150,193,117,59,26,100,24,18
2020,1,20,"4,039",661,"1,137",307,175,750,275,284,179,63,52,96,41,19
2020,1,30,"4,947",512,"1,917",302,206,"1,247",207,198,168,54,29,59,23,25
2020,1,40,"6,024",913,"2,089",426,323,"1,136",269,280,235,83,80,121,41,28
2020,1,50,"6,880","1,040","1,596",569,347,"1,056",589,567,389,146,189,186,123,83
2020,1,60,"6,327","1,078","1,205",603,354,702,611,527,408,174,207,249,102,107
2020,1,70,"4,895",833,882,455,256,478,427,393,378,158,212,229,82,112
2020,1,80,"3,409",592,583,295,150,294,322,293,279,142,145,180,60,74
2020,1,90,577,95,102,40,38,35,48,55,47,37,22,42,9,7
2020,1,100,30,5,4,6,5,1,2,5,0,0,0,1,0,1
2020,2,총,"44,886","6,777","12,670","3,462","2,208","7,270","3,028","2,899","2,309",950,991,"1,304",522,496
2020,2,0,"3,706",381,"1,562",214,161,890,136,119,113,30,31,36,17,16
2020,2,10,"4,011",614,"1,606",242,196,681,145,189,112,60,24,101,22,19
2020,2,20,"4,022",668,"1,144",304,173,740,268,279,176,60,51,96,43,20
2020,2,30,"4,901",519,"1,886",295,203,"1,244",207,195,163,53,28,59,23,26
2020,2,40,"6,062",927,"2,101",433,319,"1,139",268,278,233,89,80,125,40,30
2020,2,50,"6,879","1,045","1,591",571,351,"1,051",589,569,391,144,190,180,125,82
2020,2,60,"6,384","1,093","1,212",602,353,712,614,532,417,178,209,251,100,111
2020,2,70,"4,875",825,878,460,256,480,425,389,375,158,211,230,81,107
2020,2,80,"3,430",604,580,296,151,296,324,292,281,140,144,183,62,77
2020,2,90,585,95,106,39,40,36,50,52,48,38,23,42,9,7
2020,2,100,31,6,4,6,5,1,2,5,0,0,0,1,0,1
2020,3,총,"44,807","6,842","12,620","3,438","2,200","7,243","3,014","2,897","2,307",944,993,"1,300",518,491
2020,3,0,"3,678",377,"1,549",209,157,883,134,121,116,30,29,39,19,15
2020,3,10,"3,998",607,"1,596",242,195,683,144,190,117,59,26,99,21,19
2020,3,20,"3,999",696,"1,135",297,171,730,262,277,170,55,53,95,40,18
2020,3,30,"4,847",532,"1,859",290,196,"1,228",206,190,160,55,27,56,23,25
2020,3,40,"6,048",933,"2,095",425,318,"1,138",266,272,236,91,81,126,38,29
2020,3,50,"6,869","1,049","1,592",561,358,"1,050",587,573,386,139,189,180,124,81
2020,3,60,"6,416","1,108","1,221",606,356,710,615,535,415,177,212,247,101,113
2020,3,70,"4,878",828,876,459,256,486,425,391,371,162,210,230,80,104
2020,3,80,"3,455",610,587,301,150,298,324,291,286,137,144,185,63,79
2020,3,90,588,96,106,42,39,35,49,52,50,39,22,42,9,7
2020,3,100,31,6,4,6,4,2,2,5,0,0,0,1,0,1
2020,4,총,"44,732","6,855","12,566","3,444","2,197","7,232","2,999","2,881","2,314",949,986,"1,301",520,488
2020,4,0,"3,643",380,"1,523",211,153,874,133,119,118,31,29,38,19,15
2020,4,10,"3,979",604,"1,593",241,197,680,143,182,116,61,25,99,21,17
2020,4,20,"3,995",707,"1,138",298,173,727,257,272,170,54,54,92,35,18
2020,4,30,"4,828",529,"1,843",286,195,"1,227",198,188,165,56,27,60,29,25
2020,4,40,"6,029",933,"2,082",420,317,"1,142",270,274,232,92,77,126,37,27
2020,4,50,"6,839","1,053","1,587",563,354,"1,040",576,570,389,139,188,177,124,79
2020,4,60,"6,446","1,110","1,221",616,359,715,617,538,420,175,209,250,102,114
2020,4,70,"4,884",823,877,460,256,489,429,393,371,165,207,227,81,106
2020,4,80,"3,472",614,591,302,149,300,325,290,282,139,148,190,63,79
2020,4,90,587,96,107,42,40,36,49,50,51,37,22,41,9,7
2020,4,100,30,6,4,5,4,2,2,5,0,0,0,1,0,1
2020,5,총,"44,693","6,850","12,552","3,436","2,191","7,232","2,996","2,891","2,311",954,983,"1,291",521,485
2020,5,0,"3,611",380,"1,506",211,154,867,130,115,118,30,29,38,18,15
2020,5,10,"3,977",600,"1,596",245,196,676,143,186,114,60,25,97,21,18
2020,5,20,"3,982",703,"1,144",291,169,729,258,272,167,56,52,90,34,17
2020,5,30,"4,796",534,"1,819",283,196,"1,226",196,188,161,56,27,57,30,23
2020,5,40,"6,017",929,"2,090",416,312,"1,144",259,276,234,91,78,123,37,28
2020,5,50,"6,830","1,052","1,583",563,352,"1,034",579,568,392,141,186,177,124,79
2020,5,60,"6,467","1,112","1,228",615,364,727,617,541,411,175,210,250,104,113
2020,5,70,"4,905",820,883,461,252,488,435,398,380,166,207,230,79,106
2020,5,80,"3,479",619,586,301,152,302,326,292,284,141,146,187,65,78
2020,5,90,597,96,113,44,39,37,50,51,50,37,23,41,9,7
2020,5,100,32,5,4,6,5,2,3,4,0,1,0,1,0,1
2020,6,총,"44,715","6,854","12,516","3,467","2,196","7,230","3,003","2,913","2,305",953,980,"1,293",524,481
2020,6,0,"3,584",375,"1,494",216,153,856,128,116,117,29,30,37,18,15
2020,6,10,"3,974",597,"1,585",240,197,682,147,191,111,63,23,99,21,18
2020,6,20,"3,986",708,"1,129",298,169,738,260,272,164,55,51,94,34,14
2020,6,30,"4,761",529,"1,814",284,195,"1,207",195,185,161,55,28,54,30,24
2020,6,40,"6,043",931,"2,107",418,312,"1,148",258,283,233,90,78,120,37,28
2020,6,50,"6,820","1,049","1,576",564,351,"1,036",573,567,394,142,185,179,126,78
2020,6,60,"6,511","1,116","1,236",625,367,731,622,547,411,177,210,251,105,113
2020,6,70,"4,918",826,879,465,255,488,439,401,383,166,206,226,79,105
2020,6,80,"3,483",623,580,306,152,300,325,297,282,139,145,191,65,78
2020,6,90,600,96,112,45,39,40,52,50,49,36,24,41,9,7
2020,6,100,35,4,4,6,6,4,4,4,0,1,0,1,0,1
2020,7,총,"44,689","6,859","12,507","3,466","2,191","7,212","3,012","2,911","2,310",952,977,"1,291",524,477
2020,7,0,"3,583",372,"1,489",212,154,862,129,114,121,29,31,37,18,15
2020,7,10,"3,981",593,"1,585",239,197,682,153,193,113,62,23,100,23,18
2020,7,20,"3,991",722,"1,132",300,166,734,261,270,162,58,50,92,33,11
2020,7,30,"4,705",528,"1,793",282,189,"1,182",196,184,162,56,27,54,29,23
2020,7,40,"6,060",925,"2,119",417,313,"1,164",253,285,233,87,78,120,38,28
2020,7,50,"6,790","1,042","1,576",563,349,"1,023",577,559,397,144,183,176,123,78
2020,7,60,"6,526","1,121","1,239",627,371,735,621,549,405,176,210,253,108,111
2020,7,70,"4,934",832,878,471,253,488,440,402,385,167,207,225,79,107
2020,7,80,"3,478",625,578,304,154,297,326,298,282,135,145,192,64,78
2020,7,90,607,96,114,45,39,41,52,53,50,37,23,41,9,7
2020,7,100,34,3,4,6,6,4,4,4,0,1,0,1,0,1
2020,8,총,"44,632","6,896","12,484","3,448","2,179","7,197","3,001","2,911","2,310",949,971,"1,284",524,478
2020,8,0,"3,549",377,"1,473",206,148,858,128,112,120,29,30,36,17,15
2020,8,10,"3,969",593,"1,573",238,196,688,150,190,116,61,22,100,25,17
2020,8,20,"3,979",745,"1,139",291,167,715,256,267,159,54,49,90,35,12
2020,8,30,"4,678",529,"1,779",277,179,"1,185",195,190,156,57,27,54,28,22
2020,8,40,"6,050",923,"2,121",418,313,"1,158",249,280,242,85,77,120,37,27
2020,8,50,"6,795","1,041","1,581",561,352,"1,026",582,564,391,141,180,176,121,79
2020,8,60,"6,554","1,129","1,241",629,369,736,625,552,408,180,214,248,112,111
2020,8,70,"4,939",832,884,472,256,488,436,406,384,168,206,223,77,107
2020,8,80,"3,479",629,576,305,154,297,324,295,282,135,145,194,63,80
2020,8,90,606,95,113,45,39,42,52,51,52,38,21,42,9,7
2020,8,100,34,3,4,6,6,4,4,4,0,1,0,1,0,1
2020,9,총,"44,657","6,900","12,496","3,447","2,172","7,195","3,004","2,915","2,308",951,971,"1,292",527,479
2020,9,0,"3,528",376,"1,458",208,142,858,125,113,120,30,31,37,17,13
2020,9,10,"3,990",597,"1,585",235,199,692,148,189,119,61,21,100,25,19
2020,9,20,"3,976",744,"1,142",289,163,720,254,265,158,52,50,92,36,11
2020,9,30,"4,638",522,"1,770",273,175,"1,172",192,190,155,57,27,55,28,22
2020,9,40,"6,048",924,"2,138",415,310,"1,150",247,279,238,86,77,122,35,27
2020,9,50,"6,810","1,039","1,582",568,354,"1,029",589,563,390,141,178,173,123,81
2020,9,60,"6,590","1,140","1,244",627,370,738,630,558,408,182,216,252,114,111
2020,9,70,"4,939",828,882,474,257,493,440,403,385,167,207,222,74,107
2020,9,80,"3,491",632,578,309,156,296,321,299,282,135,143,194,66,80
2020,9,90,613,95,113,43,40,43,54,52,53,39,21,44,9,7
2020,9,100,34,3,4,6,6,4,4,4,0,1,0,1,0,1
2020,10,총,"44,530","6,920","12,429","3,432","2,157","7,150","2,996","2,913","2,308",948,974,"1,299",528,476
2020,10,0,"3,471",373,"1,434",204,138,845,121,109,118,31,31,37,17,13
2020,10,10,"4,000",601,"1,590",235,195,687,152,191,121,59,22,103,25,19
2020,10,20,"3,950",752,"1,123",285,167,714,251,265,156,53,49,91,34,10
2020,10,30,"4,566",519,"1,731",271,166,"1,154",192,190,150,57,27,57,29,23
2020,10,40,"6,048",923,"2,142",414,310,"1,149",248,277,236,87,77,123,35,27
2020,10,50,"6,772","1,042","1,582",562,352,"1,012",579,557,396,141,173,174,123,79
2020,10,60,"6,623","1,138","1,241",631,368,753,630,567,410,182,221,256,116,110
2020,10,70,"4,962",841,882,476,261,492,446,403,386,166,210,219,72,108
2020,10,80,"3,488",631,584,304,155,298,320,298,282,133,143,194,67,79
2020,10,90,616,97,116,44,39,43,52,52,53,38,21,44,10,7
2020,10,100,34,3,4,6,6,3,5,4,0,1,0,1,0,1
2020,11,총,"44,475","6,933","12,427","3,431","2,152","7,120","3,000","2,899","2,301",946,970,"1,296",528,472
2020,11,0,"3,430",368,"1,419",205,137,831,119,107,115,30,32,37,17,13
2020,11,10,"4,006",604,"1,598",232,194,682,155,192,119,59,22,104,25,20
2020,11,20,"3,934",751,"1,126",282,163,714,244,259,160,56,46,89,33,11
2020,11,30,"4,548",523,"1,722",273,162,"1,148",189,191,152,57,28,55,28,20
2020,11,40,"6,038",925,"2,136",413,312,"1,153",249,272,234,85,75,122,35,27
2020,11,50,"6,770","1,045","1,589",568,352,"1,001",581,553,387,143,173,177,123,78
2020,11,60,"6,647","1,145","1,246",630,368,755,635,573,414,182,220,252,117,110
2020,11,70,"4,971",841,890,476,264,494,448,396,386,166,210,221,73,106
2020,11,80,"3,480",628,582,304,153,296,324,299,279,130,144,195,67,79
2020,11,90,616,100,115,42,41,43,51,53,55,37,20,42,10,7
2020,11,100,35,3,4,6,6,3,5,4,0,1,0,2,0,1
2020,12,총,"44,532","6,952","12,469","3,457","2,133","7,113","2,994","2,893","2,311",941,969,"1,299",526,475
2020,12,0,"3,435",366,"1,425",204,134,840,120,107,115,30,29,37,15,13
2020,12,10,"3,972",598,"1,592",234,191,675,157,187,114,51,23,104,26,20
2020,12,20,"3,957",764,"1,131",294,160,699,240,260,162,63,48,91,32,13
2020,12,30,"4,567",528,"1,732",276,163,"1,148",182,190,157,55,29,57,30,20
2020,12,40,"6,034",925,"2,142",414,308,"1,147",254,270,233,83,74,123,35,26
2020,12,50,"6,764","1,047","1,597",570,347,997,577,554,386,141,171,177,121,79
2020,12,60,"6,674","1,153","1,255",631,365,766,632,567,420,184,221,250,118,112
2020,12,70,"4,981",838,892,477,265,497,454,401,389,163,209,220,71,105
2020,12,80,"3,487",627,586,308,155,297,320,298,276,133,144,196,68,79
2020,12,90,626,103,113,43,39,44,53,55,59,37,21,42,10,7
2020,12,100,35,3,4,6,6,3,5,4,0,1,0,2,0,1
2021,1,총,"44,490","6,973","12,462","3,447","2,134","7,097","2,989","2,898","2,291",935,967,"1,299",525,473
2021,1,0,"3,403",366,"1,400",204,135,832,120,109,115,29,28,38,15,12
2021,1,10,"3,953",591,"1,606",228,188,674,153,189,108,48,23,100,24,21
2021,1,20,"3,960",785,"1,139",288,162,684,236,256,164,61,48,92,33,12
2021,1,30,"4,514",517,"1,705",279,159,"1,138",180,194,154,52,28,57,31,20
2021,1,40,"6,052",929,"2,147",409,310,"1,157",256,268,230,84,74,127,35,26
2021,1,50,"6,731","1,044","1,601",567,342,990,568,555,384,141,169,177,119,74
2021,1,60,"6,728","1,163","1,268",635,371,773,643,570,413,184,225,248,120,115
2021,1,70,"4,989",843,895,480,266,502,448,401,386,165,207,220,71,105
2021,1,80,"3,490",628,582,307,155,299,322,299,278,133,145,196,67,79
2021,1,90,634,105,115,44,40,45,58,52,59,37,20,41,10,8
2021,1,100,36,2,4,6,6,3,5,5,0,1,0,3,0,1
2021,2,총,"44,471","6,986","12,441","3,436","2,142","7,073","2,987","2,888","2,301",934,968,"1,315",524,476
2021,2,0,"3,376",365,"1,388",200,136,825,120,106,119,28,28,38,11,12
2021,2,10,"3,937",588,"1,602",220,184,670,157,185,112,49,22,102,24,22
2021,2,20,"3,946",790,"1,140",289,166,673,230,251,159,61,47,96,32,12
2021,2,30,"4,469",511,"1,679",274,161,"1,125",181,190,154,51,28,64,30,21
2021,2,40,"6,063",933,"2,152",407,310,"1,161",251,268,234,84,74,128,33,28
2021,2,50,"6,724","1,045","1,600",566,340,993,568,554,382,139,168,175,120,74
2021,2,60,"6,764","1,171","1,272",634,376,772,649,572,417,185,226,252,123,115
2021,2,70,"4,990",839,903,486,267,501,441,400,385,165,208,219,72,104
2021,2,80,"3,518",635,581,308,156,305,326,304,282,133,145,196,69,78
2021,2,90,646,107,119,46,40,45,59,53,57,38,21,42,10,9
2021,2,100,38,2,5,6,6,3,5,5,0,1,1,3,0,1
2021,3,총,"44,294","6,943","12,387","3,424","2,130","7,079","2,949","2,881","2,301",931,963,"1,298",528,480
2021,3,0,"3,362",364,"1,376",197,133,828,121,102,120,29,28,38,13,13
2021,3,10,"3,918",584,"1,596",222,185,670,151,187,113,47,22,95,24,22
2021,3,20,"3,914",795,"1,127",286,163,659,228,254,155,62,44,95,34,12
2021,3,30,"4,425",502,"1,658",277,159,"1,122",179,183,157,49,28,62,30,19
2021,3,40,"6,030",931,"2,149",406,306,"1,159",239,268,225,84,76,126,32,29
2021,3,50,"6,656","1,027","1,590",554,342,998,553,546,382,136,164,168,118,78
2021,3,60,"6,805","1,170","1,291",637,372,781,647,576,425,186,227,251,126,116
2021,3,70,"4,980",836,894,480,269,505,442,399,386,165,208,223,71,102
2021,3,80,"3,535",627,586,315,159,305,329,309,281,135,144,195,70,80
2021,3,90,642,106,117,46,39,49,57,53,57,37,21,42,10,8
2021,3,100,27,1,3,4,3,3,3,4,0,1,1,3,0,1
2021,4,총,"44,285","6,961","12,377","3,429","2,131","7,081","2,930","2,873","2,296",932,959,"1,300",535,481
2021,4,0,"3,344",364,"1,366",197,132,826,119,101,119,29,28,36,14,13
2021,4,10,"3,905",581,"1,603",220,186,659,149,184,112,47,22,96,24,22
2021,4,20,"3,915",799,"1,119",287,159,676,228,249,152,61,44,93,35,13
2021,4,30,"4,394",506,"1,643",279,158,"1,112",178,179,156,47,27,58,31,20
2021,4,40,"6,027",925,"2,156",407,308,"1,155",236,267,223,84,74,130,33,29
2021,4,50,"6,664","1,026","1,592",550,344,"1,009",544,545,383,137,165,170,120,79
2021,4,60,"6,865","1,188","1,307",644,374,783,650,581,425,186,230,253,126,118
2021,4,70,"4,961",834,891,480,269,509,435,395,383,166,205,222,71,101
2021,4,80,"3,545",629,580,315,159,303,334,315,287,136,141,198,71,77
2021,4,90,638,108,117,46,39,46,54,53,56,38,22,41,10,8
2021,4,100,27,1,3,4,3,3,3,4,0,1,1,3,0,1
2021,5,총,"44,285","6,969","12,378","3,425","2,121","7,078","2,919","2,884","2,297",930,959,"1,301",540,484
2021,5,0,"3,321",359,"1,355",194,131,824,116,101,120,29,28,35,16,13
2021,5,10,"3,902",583,"1,607",222,182,654,148,186,110,46,22,96,24,22
2021,5,20,"3,902",804,"1,115",287,161,673,221,250,146,60,45,91,36,13
2021,5,30,"4,378",501,"1,641",273,154,"1,100",178,184,161,47,29,57,32,21
2021,5,40,"6,005",925,"2,155",405,302,"1,162",231,267,215,80,70,131,33,29
2021,5,50,"6,708","1,035","1,606",549,345,"1,014",545,553,385,139,163,172,121,81
2021,5,60,"6,867","1,184","1,307",645,375,780,652,578,426,189,234,253,125,119
2021,5,70,"4,969",838,894,479,271,514,431,394,388,165,202,223,71,99
2021,5,80,"3,562",629,579,318,159,309,338,314,290,134,143,199,72,78
2021,5,90,647,110,117,49,38,45,56,55,56,40,22,41,10,8
2021,5,100,24,1,2,4,3,3,3,2,0,1,1,3,0,1
2021,6,총,"44,242","6,930","12,393","3,426","2,124","7,063","2,921","2,890","2,296",923,961,"1,293",539,483
2021,6,0,"3,294",354,"1,348",190,132,819,113,100,119,28,28,35,16,12
2021,6,10,"3,907",581,"1,609",225,183,654,150,186,111,47,22,94,23,22
2021,6,20,"3,875",789,"1,122",292,163,661,221,247,143,59,45,87,33,13
2021,6,30,"4,370",498,"1,642",268,153,"1,101",175,183,162,45,31,58,34,20
2021,6,40,"5,994",910,"2,167",406,295,"1,161",232,272,215,77,70,130,29,30
2021,6,50,"6,684","1,028","1,597",547,348,"1,011",542,557,380,138,164,170,122,80
2021,6,60,"6,908","1,187","1,322",649,373,784,662,576,432,189,233,254,129,118
2021,6,70,"4,960",842,881,474,275,518,430,394,385,165,203,222,70,101
2021,6,80,"3,572",628,586,320,161,307,337,317,294,133,142,197,73,77
2021,6,90,654,112,117,51,38,44,56,56,55,41,22,43,10,9
2021,6,100,24,1,2,4,3,3,3,2,0,1,1,3,0,1
2021,7,총,"44,343","6,924","12,558","3,381","2,130","7,088","2,921","2,884","2,263",923,964,"1,287",539,481
2021,7,0,"3,284",351,"1,353",186,132,812,112,99,119,27,28,38,16,11
2021,7,10,"3,902",578,"1,617",222,183,661,150,182,106,48,22,91,22,20
2021,7,20,"3,894",787,"1,157",285,165,665,217,245,138,59,44,85,34,13
2021,7,30,"4,344",498,"1,638",260,152,"1,092",174,183,163,44,31,56,33,20
2021,7,40,"6,012",902,"2,215",391,293,"1,166",233,270,208,77,71,127,29,30
2021,7,50,"6,708","1,031","1,621",546,353,"1,020",540,556,372,138,163,168,120,80
2021,7,60,"6,970","1,184","1,360",644,379,790,669,581,428,190,235,260,131,119
2021,7,70,"4,968",850,885,472,273,524,430,394,380,163,204,220,71,102
2021,7,80,"3,584",631,593,320,160,311,336,316,293,136,143,196,73,76
2021,7,90,653,111,117,51,37,44,57,56,56,40,22,43,10,9
2021,7,100,24,1,2,4,3,3,3,2,0,1,1,3,0,1
2021,8,총,"44,336","6,909","12,602","3,390","2,122","7,098","2,915","2,874","2,260",912,965,"1,275",537,477
2021,8,0,"3,273",344,"1,353",186,131,817,108,99,118,26,28,37,15,11
2021,8,10,"3,888",571,"1,610",221,181,668,153,180,105,46,23,89,22,19
2021,8,20,"3,875",791,"1,167",278,162,660,216,244,135,55,41,81,32,13
2021,8,30,"4,323",490,"1,638",258,153,"1,096",171,176,158,44,31,56,35,17
2021,8,40,"6,004",892,"2,223",391,288,"1,162",234,271,213,76,73,123,28,30
2021,8,50,"6,708","1,024","1,641",551,352,"1,016",536,556,372,137,163,165,118,77
