년도,월,나이,전라남도 곡성군,전라남도 곡성군 곡성읍,전라남도 곡성군 오곡면,전라남도 곡성군 삼기면,전라남도 곡성군 석곡면,전라남도 곡성군 목사동면,전라남도 곡성군 죽곡면,전라남도 곡성군 고달면,전라남도 곡성군 옥과면,전라남도 곡성군 입면,전라남도 곡성군 겸면,전라남도 곡성군 오산면
2020,3,총,"28,569","7,923","1,951","1,663","2,372","1,372","1,924","1,224","4,418","2,518","1,746","1,458"
2020,3,0,"1,175",487,68,33,66,25,46,36,234,76,65,39
2020,3,10,"2,092",696,135,83,139,48,97,62,472,223,80,57
2020,3,20,"2,482",781,121,103,163,89,141,78,567,204,119,116
2020,3,30,"1,801",659,106,72,123,60,91,54,348,118,99,71
2020,3,40,"3,210","1,066",191,161,209,111,171,96,568,354,157,126
2020,3,50,"5,012","1,312",344,277,437,265,349,222,741,458,320,287
2020,3,60,"4,825","1,206",380,331,410,254,385,220,629,381,301,328
2020,3,70,"4,320","1,001",330,311,409,272,359,248,484,367,319,220
2020,3,80,"3,152",618,251,244,354,216,237,184,327,288,244,189
2020,3,90,489,94,23,48,60,31,48,24,48,49,40,24
2020,3,100,11,3,2,0,2,1,0,0,0,0,2,1
2020,4,총,"28,455","7,907","1,926","1,659","2,373","1,370","1,921","1,221","4,379","2,502","1,748","1,449"
2020,4,0,"1,162",485,69,33,65,24,45,36,228,73,65,39
2020,4,10,"2,074",694,134,82,136,49,97,59,460,221,83,59
2020,4,20,"2,443",776,116,103,160,87,141,80,547,201,117,115
2020,4,30,"1,770",647,102,70,121,62,87,51,345,119,98,68
2020,4,40,"3,196","1,070",186,161,210,110,169,97,564,345,159,125
2020,4,50,"4,992","1,306",334,274,441,261,350,224,743,460,318,281
2020,4,60,"4,848","1,211",379,335,414,256,389,220,631,381,306,326
2020,4,70,"4,304","1,001",334,310,406,270,353,245,487,364,314,220
2020,4,80,"3,162",619,246,243,357,219,243,185,326,289,245,190
2020,4,90,493,95,24,48,61,31,47,24,48,49,41,25
2020,4,100,11,3,2,0,2,1,0,0,0,0,2,1
2020,5,총,"28,386","7,899","1,923","1,660","2,359","1,366","1,937","1,211","4,342","2,503","1,736","1,450"
2020,5,0,"1,152",486,68,33,61,24,46,35,225,75,60,39
2020,5,10,"2,048",697,131,82,129,46,99,59,442,219,84,60
2020,5,20,"2,423",763,116,103,157,86,144,78,541,205,115,115
2020,5,30,"1,765",649,104,69,120,60,87,51,344,116,97,68
2020,5,40,"3,175","1,070",185,157,211,111,169,93,556,344,155,124
2020,5,50,"4,983","1,308",331,275,437,260,354,218,742,459,319,280
2020,5,60,"4,854","1,207",380,339,414,257,390,221,632,383,302,329
2020,5,70,"4,301","1,001",329,309,405,270,358,245,486,361,318,219
2020,5,80,"3,177",619,252,245,362,220,242,187,325,291,245,189
2020,5,90,497,96,25,48,61,31,48,24,49,50,39,26
2020,5,100,11,3,2,0,2,1,0,0,0,0,2,1
2020,6,총,"28,340","7,883","1,916","1,663","2,353","1,367","1,947","1,202","4,318","2,509","1,747","1,435"
2020,6,0,"1,133",480,70,31,60,22,48,32,217,75,59,39
2020,6,10,"2,050",705,131,83,128,47,99,57,431,222,88,59
2020,6,20,"2,402",762,109,101,156,86,144,77,537,201,118,111
2020,6,30,"1,762",639,104,70,120,61,87,50,351,118,97,65
2020,6,40,"3,153","1,066",185,157,209,109,171,92,542,341,159,122
2020,6,50,"4,955","1,310",324,272,431,259,355,217,741,455,315,276
2020,6,60,"4,889","1,205",384,344,421,258,394,218,639,388,307,331
2020,6,70,"4,311","1,002",329,311,407,271,357,246,489,361,317,221
2020,6,80,"3,171",613,253,244,360,222,244,189,321,296,244,185
2020,6,90,503,98,25,50,59,31,48,24,50,52,41,25
2020,6,100,11,3,2,0,2,1,0,0,0,0,2,1
2020,7,총,"28,254","7,877","1,909","1,664","2,352","1,352","1,932","1,194","4,301","2,516","1,731","1,426"
2020,7,0,"1,124",481,66,32,58,21,44,30,214,78,58,42
2020,7,10,"2,027",702,133,83,127,46,97,55,425,219,83,57
2020,7,20,"2,382",759,106,99,159,83,141,76,535,205,112,107
2020,7,30,"1,771",648,102,70,119,60,84,49,353,122,96,68
2020,7,40,"3,131","1,060",181,157,208,106,172,94,534,341,157,121
2020,7,50,"4,923","1,304",325,273,432,255,344,213,739,454,312,272
2020,7,60,"4,889","1,199",386,344,421,254,398,221,642,386,312,326
2020,7,70,"4,324","1,001",332,315,408,274,358,244,490,363,318,221
2020,7,80,"3,169",618,251,242,361,222,244,188,318,297,243,185
2020,7,90,502,102,25,49,57,30,50,24,50,51,38,26
2020,7,100,12,3,2,0,2,1,0,0,1,0,2,1
2020,8,총,"28,226","7,885","1,904","1,661","2,361","1,354","1,941","1,187","4,284","2,503","1,723","1,423"
2020,8,0,"1,117",480,65,33,60,21,43,30,210,76,58,41
2020,8,10,"2,003",699,134,83,129,46,93,52,415,216,81,55
2020,8,20,"2,389",761,104,100,158,85,150,78,540,202,107,104
2020,8,30,"1,758",637,101,69,119,60,85,48,353,120,97,69
2020,8,40,"3,124","1,068",181,156,212,103,174,91,526,336,157,120
2020,8,50,"4,913","1,305",322,271,434,260,346,210,742,449,309,265
2020,8,60,"4,916","1,206",386,347,423,252,397,222,639,394,313,337
2020,8,70,"4,320","1,003",331,312,406,273,360,247,493,362,316,217
2020,8,80,"3,160",617,252,241,363,221,241,185,313,296,243,188
2020,8,90,511,105,26,48,55,31,52,24,52,52,40,26
2020,8,100,15,4,2,1,2,2,0,0,1,0,2,1
2020,9,총,"28,173","7,863","1,901","1,657","2,366","1,343","1,948","1,185","4,265","2,502","1,724","1,419"
2020,9,0,"1,115",481,66,31,63,21,43,31,210,74,55,40
2020,9,10,"1,983",691,132,85,133,44,93,53,401,215,82,54
2020,9,20,"2,374",747,105,99,154,86,150,78,535,205,111,104
2020,9,30,"1,745",638,100,67,119,59,87,47,346,118,95,69
2020,9,40,"3,110","1,070",180,154,213,97,175,90,525,329,160,117
2020,9,50,"4,899","1,303",319,271,427,257,351,207,740,453,303,268
2020,9,60,"4,941","1,209",386,342,425,256,400,223,651,397,317,335
2020,9,70,"4,306","1,006",327,314,408,271,359,242,488,360,316,215
2020,9,80,"3,169",609,257,247,366,218,238,189,316,297,242,190
2020,9,90,517,105,27,47,56,32,52,25,52,54,41,26
2020,9,100,14,4,2,0,2,2,0,0,1,0,2,1
2020,10,총,"28,106","7,833","1,895","1,657","2,373","1,340","1,940","1,182","4,258","2,494","1,709","1,425"
2020,10,0,"1,101",475,66,27,66,21,41,31,207,74,52,41
2020,10,10,"1,963",681,131,87,131,44,95,52,389,217,82,54
2020,10,20,"2,372",748,104,100,154,82,147,76,539,206,109,107
2020,10,30,"1,742",630,101,67,121,62,86,48,349,113,95,70
2020,10,40,"3,072","1,062",174,153,208,95,174,90,513,327,160,116
2020,10,50,"4,883","1,296",318,269,424,254,350,209,746,451,298,268
2020,10,60,"4,970","1,223",385,344,433,260,400,222,650,395,319,339
2020,10,70,"4,297","1,003",331,312,411,268,355,244,493,356,311,213
2020,10,80,"3,182",608,255,251,367,221,241,186,320,303,241,189
2020,10,90,508,102,28,47,56,30,51,24,51,52,40,27
2020,10,100,16,5,2,0,2,3,0,0,1,0,2,1
2020,11,총,"28,036","7,819","1,893","1,651","2,365","1,342","1,927","1,173","4,247","2,485","1,710","1,424"
2020,11,0,"1,091",470,68,25,64,22,42,31,205,71,52,41
2020,11,10,"1,945",675,131,86,129,44,95,51,385,215,81,53
2020,11,20,"2,375",756,105,98,157,82,142,75,532,207,111,110
2020,11,30,"1,736",624,101,67,119,62,85,47,353,111,96,71
2020,11,40,"3,029","1,053",175,144,203,95,170,89,508,323,156,113
2020,11,50,"4,877","1,293",315,272,427,252,351,203,745,452,300,267
2020,11,60,"4,994","1,231",384,348,430,264,397,228,648,399,321,344
2020,11,70,"4,289","1,004",332,314,408,264,355,240,493,355,313,211
2020,11,80,"3,175",605,252,249,370,224,240,184,323,302,240,186
2020,11,90,511,103,29,48,57,30,50,25,53,50,39,27
2020,11,100,14,5,1,0,1,3,0,0,2,0,1,1
2020,12,총,"28,039","7,841","1,892","1,673","2,357","1,338","1,921","1,176","4,226","2,480","1,701","1,434"
2020,12,0,"1,085",474,66,25,65,19,39,31,205,69,51,41
2020,12,10,"1,928",669,130,88,126,41,94,52,381,211,82,54
2020,12,20,"2,387",769,111,103,157,84,140,78,516,206,112,111
2020,12,30,"1,718",625,97,66,113,62,83,45,350,109,96,72
2020,12,40,"3,025","1,051",175,147,203,93,167,90,508,321,154,116
2020,12,50,"4,897","1,295",312,283,429,254,349,201,745,461,297,271
2020,12,60,"5,004","1,241",385,347,430,267,399,229,651,396,317,342
