년도,월,나이,남구,신정1동,신정2동,신정3동,신정4동,신정5동,달동,삼산동,삼호동,무거동,옥동,대현동,수암동,선암동,야음장생포동
2020,1,총,"323,704","19,172","25,361","16,375","23,286","8,859","27,833","49,205","21,983","33,163","25,005","31,170","16,790","15,190","10,312"
2020,1,0,"24,815",921,"2,012","1,332","1,978",473,"1,746","3,814","1,333","2,387","1,853","3,681","1,557","1,323",405
2020,1,10,"32,320","1,153","3,272","1,253","2,539",616,"2,313","4,657","1,952","3,911","3,367","3,383","1,899","1,414",591
2020,1,20,"46,877","2,679","3,540","2,143","3,222","1,393","4,228","7,907","3,465","5,870","3,532","3,606","2,349","1,928","1,015"
2020,1,30,"43,226","2,337","2,952","2,097","3,072","1,287","4,041","7,924","2,452","3,795","2,642","5,027","2,319","2,186","1,095"
2020,1,40,"53,234","2,529","4,507","2,572","3,949","1,382","4,293","8,641","3,373","5,633","4,238","5,486","2,693","2,511","1,427"
2020,1,50,"62,505","3,932","4,846","3,308","4,142","1,773","5,535","9,246","4,860","6,721","5,143","4,959","3,239","2,796","2,005"
2020,1,60,"39,045","3,437","2,652","2,283","2,767","1,208","3,649","4,947","2,844","3,100","2,845","3,263","1,907","1,984","2,159"
2020,1,70,"15,737","1,618","1,177",992,"1,191",547,"1,396","1,525","1,199","1,229","1,010","1,319",595,742,"1,197"
2020,1,80,"5,270",502,346,341,370,158,568,481,455,461,332,404,200,278,374
2020,1,90,642,59,55,50,53,22,60,59,50,55,43,39,31,25,41
2020,1,100,33,5,2,4,3,0,4,4,0,1,0,3,1,3,3
2020,2,총,"323,756","19,176","25,393","16,323","23,101","8,852","27,762","49,053","21,856","33,021","25,919","31,063","16,942","15,020","10,275"
2020,2,0,"24,829",912,"2,075","1,323","1,947",471,"1,724","3,760","1,312","2,360","2,027","3,649","1,585","1,281",403
2020,2,10,"32,113","1,171","3,253","1,247","2,502",609,"2,297","4,613","1,927","3,853","3,392","3,371","1,899","1,389",590
2020,2,20,"46,642","2,663","3,484","2,119","3,201","1,389","4,186","7,845","3,431","5,864","3,640","3,564","2,356","1,902",998
2020,2,30,"43,340","2,312","2,987","2,091","3,064","1,284","4,033","7,899","2,433","3,769","2,888","4,983","2,373","2,144","1,080"
2020,2,40,"53,166","2,549","4,507","2,551","3,898","1,375","4,294","8,639","3,340","5,578","4,357","5,488","2,696","2,475","1,419"
2020,2,50,"62,499","3,917","4,834","3,300","4,097","1,769","5,507","9,260","4,834","6,720","5,261","4,948","3,268","2,787","1,997"
2020,2,60,"39,345","3,456","2,671","2,304","2,777","1,218","3,689","4,969","2,865","3,111","2,940","3,268","1,929","1,984","2,164"
2020,2,70,"15,812","1,623","1,177",993,"1,190",552,"1,395","1,530","1,196","1,238","1,032","1,336",601,750,"1,199"
2020,2,80,"5,331",512,348,342,370,162,571,474,465,468,341,413,203,280,382
2020,2,90,646,56,55,49,52,23,62,61,53,59,41,40,31,25,39
2020,2,100,33,5,2,4,3,0,4,3,0,1,0,3,1,3,4
2020,3,총,"323,320","19,100","25,278","16,329","22,987","8,869","27,610","48,975","21,722","32,882","26,340","30,897","16,960","14,971","10,400"
2020,3,0,"24,737",885,"2,071","1,327","1,934",478,"1,705","3,733","1,306","2,334","2,050","3,629","1,585","1,275",425
2020,3,10,"31,820","1,159","3,224","1,246","2,487",610,"2,255","4,564","1,884","3,784","3,387","3,347","1,900","1,384",589
2020,3,20,"46,577","2,657","3,434","2,124","3,187","1,399","4,175","7,841","3,402","5,887","3,710","3,518","2,333","1,888","1,022"
2020,3,30,"43,227","2,281","2,980","2,077","3,045","1,274","4,010","7,883","2,388","3,734","3,001","4,909","2,385","2,132","1,128"
2020,3,40,"52,945","2,558","4,480","2,562","3,882","1,376","4,245","8,588","3,297","5,533","4,358","5,490","2,703","2,456","1,417"
2020,3,50,"62,530","3,885","4,837","3,281","4,070","1,772","5,473","9,292","4,842","6,696","5,395","4,929","3,258","2,779","2,021"
2020,3,60,"39,515","3,463","2,666","2,318","2,764","1,220","3,698","5,002","2,877","3,133","3,010","3,261","1,948","1,998","2,157"
2020,3,70,"15,874","1,631","1,173","1,001","1,185",550,"1,400","1,527","1,202","1,251","1,041","1,351",607,747,"1,208"
2020,3,80,"5,408",522,354,339,377,167,584,479,468,470,345,419,211,282,391
2020,3,90,655,54,57,50,53,23,61,63,56,59,43,41,30,27,38
2020,3,100,32,5,2,4,3,0,4,3,0,1,0,3,0,3,4
2020,4,총,"323,230","19,115","25,221","16,326","22,864","8,848","27,593","48,892","21,692","32,715","26,614","30,893","16,920","14,926","10,611"
2020,4,0,"24,683",880,"2,068","1,329","1,922",482,"1,701","3,697","1,301","2,303","2,067","3,622","1,583","1,276",452
2020,4,10,"31,650","1,153","3,219","1,226","2,458",609,"2,229","4,568","1,879","3,740","3,383","3,328","1,883","1,374",601
2020,4,20,"46,521","2,642","3,412","2,127","3,183","1,392","4,188","7,784","3,391","5,856","3,776","3,518","2,324","1,883","1,045"
2020,4,30,"43,270","2,318","2,979","2,078","3,021","1,273","4,001","7,860","2,381","3,692","3,076","4,902","2,383","2,103","1,203"
2020,4,40,"52,748","2,539","4,466","2,546","3,844","1,364","4,234","8,557","3,276","5,487","4,368","5,489","2,683","2,458","1,437"
2020,4,50,"62,508","3,876","4,814","3,283","4,051","1,768","5,440","9,302","4,841","6,682","5,462","4,925","3,259","2,754","2,051"
2020,4,60,"39,758","3,489","2,673","2,342","2,769","1,222","3,729","5,038","2,886","3,155","3,050","3,269","1,948","2,010","2,178"
2020,4,70,"15,962","1,634","1,180","1,002","1,182",551,"1,417","1,535","1,210","1,263","1,044","1,369",615,753,"1,207"
2020,4,80,"5,438",524,350,338,378,167,587,483,470,475,346,427,214,285,394
2020,4,90,660,55,58,51,53,20,63,65,57,61,42,41,28,27,39
2020,4,100,32,5,2,4,3,0,4,3,0,1,0,3,0,3,4
2020,5,총,"323,192","19,149","25,168","16,318","22,668","8,859","27,616","48,890","21,624","32,678","26,723","30,865","16,967","14,883","10,784"
2020,5,0,"24,670",877,"2,067","1,322","1,909",485,"1,715","3,690","1,289","2,289","2,082","3,602","1,589","1,267",487
2020,5,10,"31,447","1,138","3,186","1,220","2,428",606,"2,210","4,542","1,860","3,699","3,371","3,327","1,881","1,358",621
2020,5,20,"46,535","2,666","3,399","2,142","3,148","1,408","4,177","7,802","3,383","5,866","3,773","3,502","2,325","1,886","1,058"
2020,5,30,"43,228","2,311","2,957","2,065","2,972","1,258","4,003","7,854","2,371","3,688","3,127","4,889","2,385","2,087","1,261"
2020,5,40,"52,592","2,534","4,456","2,531","3,822","1,369","4,232","8,532","3,242","5,449","4,363","5,481","2,688","2,435","1,458"
2020,5,50,"62,529","3,883","4,823","3,282","4,022","1,769","5,458","9,285","4,817","6,699","5,471","4,937","3,273","2,752","2,058"
2020,5,60,"39,975","3,511","2,681","2,343","2,757","1,216","3,741","5,085","2,915","3,183","3,093","3,281","1,964","2,022","2,183"
2020,5,70,"16,054","1,645","1,188","1,013","1,173",559,"1,430","1,538","1,219","1,268","1,050","1,375",619,757,"1,220"
