년도,월,나이,남구,대연제1동,대연제3동,대연제4동,대연제5동,대연제6동,용호제1동,용호제2동,용호제3동,용호제4동,용당동,감만제1동,감만제2동,우암동,문현제1동,문현제2동,문현제3동,문현제4동
2020,1,총,"273,707","16,365","33,303","12,927","17,136","16,400","45,813","17,850","12,807","8,959","8,182","14,613","7,323","13,803","14,863","9,087","14,611","9,665"
2020,1,0,"19,414",636,"2,990","1,064","1,191","1,906","3,735","1,572",583,617,511,809,362,703,912,419,962,442
2020,1,10,"24,176","1,039","3,241",885,"1,501","1,545","5,383","1,873",957,688,805,"1,068",545,957,"1,352",419,"1,276",642
2020,1,20,"35,543","3,467","6,077","1,346","2,556","1,896","5,161","1,777","1,492",977,983,"1,670",727,"1,402","1,799","1,303","1,808","1,102"
2020,1,30,"32,621","2,004","4,542","1,921","2,191","2,516","4,592","1,988","1,243","1,167",797,"1,613",749,"1,441","1,555","1,401","1,898","1,003"
2020,1,40,"43,092","2,143","5,727","1,866","2,684","2,743","8,098","3,019","1,717","1,379","1,335","2,157","1,100","1,942","2,340","1,225","2,252","1,365"
2020,1,50,"44,231","2,360","4,728","1,990","2,515","2,364","7,941","2,819","2,274","1,380","1,457","2,487","1,235","2,351","2,646","1,425","2,519","1,740"
2020,1,60,"40,018","2,417","3,336","1,959","2,358","1,895","6,032","2,723","2,455","1,560","1,297","2,586","1,292","2,697","2,215","1,364","2,115","1,717"
2020,1,70,"24,516","1,640","1,839","1,357","1,523","1,087","3,387","1,472","1,520",860,738,"1,598",951,"1,635","1,464","1,025","1,260","1,160"
2020,1,80,"8,886",585,716,481,559,393,"1,282",524,504,282,228,552,335,570,526,444,469,436
2020,1,90,"1,084",65,91,50,52,49,195,75,55,42,29,58,25,95,49,52,50,52
2020,1,100,126,9,16,8,6,6,7,8,7,7,2,15,2,10,5,10,2,6
2020,2,총,"272,927","16,306","33,313","12,903","17,127","16,218","45,726","17,787","12,808","8,899","8,135","14,500","7,318","13,774","14,833","9,049","14,570","9,661"
2020,2,0,"19,245",627,"2,994","1,062","1,182","1,892","3,703","1,550",578,601,502,788,363,695,908,402,960,438
2020,2,10,"24,087","1,039","3,267",876,"1,502","1,528","5,375","1,865",951,682,796,"1,049",537,958,"1,342",415,"1,262",643
2020,2,20,"35,404","3,484","6,091","1,328","2,558","1,868","5,125","1,766","1,500",970,981,"1,658",714,"1,390","1,788","1,291","1,800","1,092"
2020,2,30,"32,292","1,981","4,514","1,914","2,164","2,470","4,549","1,976","1,232","1,131",785,"1,586",754,"1,427","1,538","1,392","1,881",998
2020,2,40,"43,013","2,149","5,729","1,868","2,691","2,736","8,084","3,008","1,709","1,386","1,313","2,127","1,103","1,938","2,337","1,222","2,235","1,378"
2020,2,50,"44,064","2,331","4,724","1,979","2,496","2,343","7,916","2,817","2,283","1,366","1,463","2,478","1,222","2,342","2,637","1,426","2,516","1,725"
