년도,월,나이,부산광역시 서구,부산광역시 서구 동대신제1동,부산광역시 서구 동대신제2동,부산광역시 서구 동대신제3동,부산광역시 서구 서대신제1동,부산광역시 서구 서대신제3동,부산광역시 서구 서대신제4동,부산광역시 서구 부민동,부산광역시 서구 아미동,부산광역시 서구 초장동,부산광역시 서구 충무동,부산광역시 서구 남부민제1동,부산광역시 서구 남부민제2동,부산광역시 서구 암남동
2020,3,총,"55,439","2,418","4,036","3,543","6,464","4,784","4,191","4,202","3,609","2,413","5,301","2,363","4,990","7,125"
2020,3,0,"2,687",116,177,127,449,317,318,227,55,68,247,50,187,349
2020,3,10,"3,669",150,304,224,475,483,370,307,158,102,263,108,255,470
2020,3,20,"6,807",314,356,576,835,537,482,862,373,206,755,181,438,892
2020,3,30,"5,503",244,343,301,832,500,504,527,244,189,621,159,372,667
2020,3,40,"7,080",281,516,438,928,742,669,527,369,272,669,219,598,852
2020,3,50,"8,988",389,684,529,973,803,672,573,598,366,874,406,827,"1,294"
2020,3,60,"9,897",440,753,641,932,689,573,597,769,516,922,584,"1,091","1,390"
2020,3,70,"6,865",285,565,421,651,431,366,357,647,421,647,444,816,814
2020,3,80,"3,290",171,288,239,323,239,196,175,325,234,251,179,342,328
2020,3,90,570,24,47,39,63,41,39,47,54,32,41,28,53,62
2020,3,100,83,4,3,8,3,2,2,3,17,7,11,5,11,7
2020,4,총,"55,471","2,429","3,994","3,762","6,438","4,759","4,157","4,183","3,590","2,415","5,273","2,390","4,988","7,093"
2020,4,0,"2,694",115,167,166,453,316,306,220,55,65,243,54,186,348
2020,4,10,"3,654",155,293,248,469,472,368,311,153,102,261,103,258,461
2020,4,20,"6,816",314,353,598,832,542,477,863,369,207,757,188,437,879
2020,4,30,"5,491",251,331,358,826,491,492,515,246,185,604,169,369,654
2020,4,40,"7,072",282,510,474,918,739,663,522,367,269,662,216,601,849
2020,4,50,"8,953",384,681,544,969,804,670,572,586,367,878,414,816,"1,268"
2020,4,60,"9,923",440,751,663,927,684,574,593,770,517,915,590,"1,086","1,413"
