년도,월,나이,남동구,구월1동,구월2동,구월3동,구월4동,간석1동,간석2동,간석3동,간석4동,만수1동,만수2동,만수3동,만수4동,만수5동,만수6동,장수서창동,서창2동,남촌도림동,논현1동,논현2동,논현고잔동
2020,1,총,"267,734","16,709","18,674","14,461","7,790","11,969","11,248","14,513","14,697","8,370","12,936","9,125","11,285","8,003","13,062","10,472","19,832","10,673","16,226","16,553","21,136"
2020,1,0,"22,030","1,749","1,868",790,355,662,868,899,952,397,996,692,829,365,825,895,"3,081",725,"1,502","1,311","2,269"
2020,1,10,"25,307","1,569","2,211",894,567,847,"1,008","1,163","1,225",565,"1,305",856,"1,009",548,"1,234","1,109","1,684",957,"1,847","1,704","3,005"
2020,1,20,"34,938","2,165","2,132","3,445","1,052","1,662","1,431","2,082","2,158","1,009","1,628","1,220","1,403","1,037","1,723","1,149","1,909","1,353","1,970","2,144","2,266"
2020,1,30,"37,395","2,719","2,597","2,516",814,"1,614","1,444","1,911","2,012",932,"1,611","1,139","1,426",883,"1,475","1,332","4,169","1,179","2,275","2,253","3,094"
2020,1,40,"44,366","2,716","3,547","2,092","1,175","1,759","1,905","2,105","2,283","1,141","2,149","1,425","1,821","1,034","2,087","1,775","3,320","1,708","2,913","2,869","4,542"
2020,1,50,"46,318","2,699","2,939","2,216","1,578","2,163","1,937","2,762","2,712","1,594","2,349","1,703","2,051","1,657","2,591","1,846","2,668","2,169","2,769","2,794","3,121"
2020,1,60,"31,655","1,793","2,001","1,437","1,141","1,652","1,475","1,949","1,854","1,270","1,689","1,159","1,536","1,369","1,607","1,384","1,854","1,413","1,640","1,800","1,632"
2020,1,70,"16,283",793,932,716,695,"1,005",776,"1,084",929,874,797,619,726,755,869,647,745,741,810,"1,035",735
2020,1,80,"7,845",416,356,305,348,501,332,467,473,516,332,255,408,294,527,283,337,368,402,534,391
2020,1,90,"1,506",86,84,48,58,95,70,84,90,70,70,52,73,60,118,51,63,59,95,103,77
2020,1,100,91,4,7,2,7,9,2,7,9,2,10,5,3,1,6,1,2,1,3,6,4
2020,2,총,"267,580","16,645","18,591","14,462","7,772","11,951","11,195","14,523","14,680","8,344","12,902","9,141","11,260","7,974","13,017","10,479","19,961","10,635","16,286","16,534","21,228"
2020,2,0,"21,831","1,717","1,852",775,354,669,853,892,945,385,980,695,817,356,809,891,"3,052",717,"1,488","1,311","2,273"
2020,2,10,"25,151","1,564","2,185",888,558,836,"1,016","1,148","1,216",553,"1,294",849,"1,005",543,"1,227","1,105","1,679",953,"1,833","1,689","3,010"
