년도,월,나이,경상북도 청도군,경상북도 청도군 화양읍,경상북도 청도군 화양읍남성현출장소,경상북도 청도군 청도읍,경상북도 청도군 청도읍유호출장소,경상북도 청도군 각남면,경상북도 청도군 풍각면,경상북도 청도군 각북면,경상북도 청도군 이서면,경상북도 청도군 운문면,경상북도 청도군 금천면,경상북도 청도군 매전면
2020,1,총,"21,058","3,501",568,"5,184",795,"1,036","1,970","1,116","2,240","1,036","1,698","1,914"
2020,1,0,829,246,23,250,11,30,70,37,69,23,41,29
2020,1,10,"1,235",330,19,382,36,42,83,33,160,32,66,52
2020,1,20,"1,798",350,33,532,63,79,139,86,177,76,131,132
2020,1,30,"1,609",332,51,493,61,70,150,64,130,62,85,111
2020,1,40,"2,580",538,74,752,84,101,216,91,264,98,167,195
2020,1,50,"4,010",633,95,955,143,179,407,225,419,246,344,364
2020,1,60,"4,667",593,126,"1,029",209,262,452,312,499,267,412,506
2020,1,70,"2,929",330,90,550,133,184,289,170,369,148,322,344
2020,1,80,"1,280",133,53,225,53,78,147,96,139,77,118,161
2020,1,90,120,16,3,16,2,11,17,2,14,7,12,20
2020,1,100,1,0,1,0,0,0,0,0,0,0,0,0
2020,2,총,"21,019","3,492",569,"5,172",792,"1,036","1,970","1,115","2,237","1,037","1,696","1,903"
2020,2,0,828,247,25,248,11,31,69,38,68,22,40,29
2020,2,10,"1,218",329,17,375,36,39,83,30,160,31,65,53
2020,2,20,"1,778",343,35,531,62,80,137,84,176,74,129,127
2020,2,30,"1,603",330,50,484,59,71,151,65,129,64,83,117
2020,2,40,"2,585",541,77,754,85,100,215,89,269,97,168,190
2020,2,50,"4,001",621,92,959,142,181,404,229,417,250,346,360
2020,2,60,"4,666",600,124,"1,021",208,261,459,307,496,271,412,507
2020,2,70,"2,931",331,89,556,134,184,287,175,369,144,321,341
2020,2,80,"1,284",133,56,225,53,77,149,96,139,76,120,160
2020,2,90,124,17,3,19,2,12,16,2,14,8,12,19
2020,2,100,1,0,1,0,0,0,0,0,0,0,0,0
2020,3,총,"20,976","3,488",567,"5,171",793,"1,029","1,958","1,122","2,210","1,035","1,695","1,908"
2020,3,0,820,245,25,242,11,31,66,38,68,24,40,30
2020,3,10,"1,211",330,17,374,38,37,85,31,151,30,65,53
2020,3,20,"1,767",340,33,532,62,80,134,88,171,76,122,129
2020,3,30,"1,594",329,52,485,60,68,148,63,125,61,84,119
2020,3,40,"2,577",538,76,754,84,99,220,91,262,97,169,187
2020,3,50,"3,963",626,89,954,142,180,389,227,412,242,345,357
2020,3,60,"4,685",599,127,"1,024",205,260,460,309,495,277,418,511
2020,3,70,"2,934",327,85,557,135,184,291,178,370,142,320,345
2020,3,80,"1,305",137,59,230,55,78,149,95,142,78,121,161
2020,3,90,119,17,3,19,1,12,16,2,14,8,11,16
2020,3,100,1,0,1,0,0,0,0,0,0,0,0,0
