년도,월,나이,경상북도 칠곡군,경상북도 칠곡군 왜관읍,경상북도 칠곡군 북삼읍,경상북도 칠곡군 석적읍,경상북도 칠곡군 지천면,경상북도 칠곡군 동명면,경상북도 칠곡군 가산면,경상북도 칠곡군 약목면,경상북도 칠곡군 기산면
2020,3,총,"115,924","33,761","23,809","31,510","4,329","5,518","3,517","10,180","3,300"
2020,3,0,"10,116","2,455","1,968","4,754",89,155,82,379,234
2020,3,10,"11,722","3,508","3,165","3,642",133,179,140,777,178
2020,3,20,"12,614","4,003","2,899","3,254",331,469,267,"1,141",250
2020,3,30,"16,015","3,636","2,543","7,801",288,384,241,784,338
2020,3,40,"20,712","5,656","5,110","6,663",415,544,376,"1,519",429
2020,3,50,"19,319","6,263","4,533","2,804",861,"1,191",764,"2,308",595
2020,3,60,"12,992","4,194","2,010","1,470",986,"1,299",826,"1,612",595
2020,3,70,"7,534","2,398","1,016",721,707,758,512,"1,035",387
2020,3,80,"4,261","1,433",502,352,455,454,256,554,255
2020,3,90,594,191,62,44,60,85,50,66,36
2020,3,100,45,24,1,5,4,0,3,5,3
2020,4,총,"115,780","33,752","23,739","31,519","4,327","5,494","3,506","10,154","3,289"
2020,4,0,"10,055","2,450","1,948","4,738",87,147,75,376,234
2020,4,10,"11,684","3,498","3,145","3,650",133,177,137,764,180
2020,4,20,"12,498","3,969","2,881","3,219",323,458,268,"1,134",246
2020,4,30,"15,945","3,627","2,510","7,771",293,383,239,790,332
2020,4,40,"20,701","5,638","5,091","6,720",408,538,374,"1,507",425
2020,4,50,"19,361","6,281","4,549","2,826",867,"1,195",753,"2,300",590
2020,4,60,"13,051","4,218","2,020","1,472",990,"1,296",833,"1,625",597
2020,4,70,"7,547","2,408","1,025",719,708,757,517,"1,025",388
2020,4,80,"4,292","1,449",506,353,452,458,257,560,257
2020,4,90,604,192,63,46,62,85,50,69,37
2020,4,100,42,22,1,5,4,0,3,4,3
2020,5,총,"115,658","33,698","23,706","31,512","4,339","5,482","3,498","10,124","3,299"
2020,5,0,"9,983","2,440","1,929","4,704",87,147,73,370,233
2020,5,10,"11,665","3,461","3,152","3,668",136,172,138,756,182
2020,5,20,"12,413","3,962","2,849","3,183",322,458,264,"1,130",245
2020,5,30,"15,851","3,598","2,495","7,743",291,375,238,776,335
2020,5,40,"20,653","5,623","5,076","6,722",400,534,368,"1,501",429
2020,5,50,"19,443","6,298","4,557","2,874",871,"1,191",755,"2,304",593
2020,5,60,"13,130","4,233","2,048","1,491","1,002","1,303",832,"1,624",597
2020,5,70,"7,567","2,419","1,027",725,704,757,520,"1,026",389
2020,5,80,"4,300","1,446",511,350,460,457,256,563,257
2020,5,90,612,197,61,47,62,88,51,70,36
2020,5,100,41,21,1,5,4,0,3,4,3
2020,6,총,"115,345","33,660","23,597","31,451","4,323","5,452","3,479","10,085","3,298"
2020,6,0,"9,916","2,432","1,899","4,677",89,146,71,365,237
2020,6,10,"11,620","3,448","3,121","3,687",134,171,137,740,182
2020,6,20,"12,321","3,956","2,835","3,141",317,444,262,"1,125",241
2020,6,30,"15,746","3,595","2,462","7,689",290,374,227,771,338
2020,6,40,"20,603","5,603","5,056","6,734",396,524,361,"1,493",436
2020,6,50,"19,418","6,290","4,553","2,890",859,"1,186",762,"2,291",587
2020,6,60,"13,185","4,261","2,063","1,501","1,000","1,298",830,"1,640",592
