년도,월,나이,부산광역시 동래구,부산광역시 동래구 수민동,부산광역시 동래구 복산동,부산광역시 동래구 명륜동,부산광역시 동래구 온천제1동,부산광역시 동래구 온천제2동,부산광역시 동래구 온천제3동,부산광역시 동래구 사직제1동,부산광역시 동래구 사직제2동,부산광역시 동래구 사직제3동,부산광역시 동래구 안락제1동,부산광역시 동래구 안락제2동,부산광역시 동래구 명장제1동,부산광역시 동래구 명장제2동
2020,3,총,"132,743","16,180","5,152","12,141","9,092","7,488","18,837","5,240","13,987","8,439","7,495","13,966","7,232","7,494"
2020,3,0,"10,421","1,386",198,"1,365",518,452,"1,334",438,"1,359",843,475,"1,061",536,456
2020,3,10,"13,298","1,574",378,"1,752",568,810,"1,548",484,"2,109",886,560,"1,524",535,570
2020,3,20,"17,608","2,207",659,"1,317","1,294",998,"2,856",714,"1,770",960,953,"1,863",927,"1,090"
2020,3,30,"17,082","2,253",536,"1,494","1,575",770,"2,710",725,"1,412",988,922,"1,694",970,"1,033"
2020,3,40,"21,140","2,499",696,"2,397","1,519","1,053","2,715",876,"2,639","1,486","1,129","2,154","1,044",933
2020,3,50,"21,401","2,497",905,"1,740","1,442","1,211","3,173",823,"2,341","1,273","1,237","2,328","1,179","1,252"
2020,3,60,"18,567","2,199",975,"1,189","1,187","1,153","2,692",634,"1,525","1,135","1,272","2,070","1,219","1,317"
2020,3,70,"10,032","1,187",579,669,714,740,"1,357",404,688,678,718,984,643,671
2020,3,80,"2,937",340,211,200,250,271,419,135,130,181,213,265,163,159
2020,3,90,234,30,15,17,22,27,32,6,13,9,14,23,14,12
2020,3,100,23,8,0,1,3,3,1,1,1,0,2,0,2,1
2020,4,총,"132,883","16,198","5,133","12,143","9,112","7,455","18,853","5,223","13,952","8,708","7,503","13,910","7,203","7,490"
2020,4,0,"10,420","1,385",197,"1,359",518,443,"1,339",429,"1,352",896,467,"1,052",531,452
2020,4,10,"13,265","1,570",370,"1,764",563,802,"1,541",479,"2,090",928,564,"1,497",531,566
2020,4,20,"17,598","2,197",656,"1,312","1,305",995,"2,851",706,"1,768",989,950,"1,867",918,"1,084"
2020,4,30,"17,126","2,248",533,"1,487","1,581",779,"2,722",721,"1,417","1,022",929,"1,689",966,"1,032"
2020,4,40,"21,168","2,508",700,"2,394","1,513","1,041","2,720",878,"2,624","1,552","1,131","2,127","1,041",939
2020,4,50,"21,389","2,503",893,"1,748","1,441","1,206","3,167",824,"2,332","1,295","1,227","2,332","1,171","1,250"
2020,4,60,"18,642","2,220",975,"1,186","1,205","1,153","2,696",632,"1,532","1,145","1,287","2,072","1,222","1,317"
2020,4,70,"10,056","1,189",582,674,708,737,"1,361",403,692,688,715,988,642,677
2020,4,80,"2,961",340,211,201,251,269,424,144,131,184,216,264,165,161
2020,4,90,235,30,16,17,24,27,31,6,13,9,15,22,14,11
2020,4,100,23,8,0,1,3,3,1,1,1,0,2,0,2,1
2020,5,총,"132,867","16,195","5,131","12,124","9,126","7,447","18,866","5,219","13,936","8,801","7,493","13,830","7,206","7,493"
2020,5,0,"10,401","1,383",202,"1,348",518,444,"1,332",427,"1,347",909,465,"1,039",533,454
