년도,월,나이,울산광역시,울산광역시 중구,울산광역시 남구,울산광역시 동구,울산광역시 북구,울산광역시 울주군
2020,3,총,"588,127","112,512","164,896","82,841","112,967","114,911"
2020,3,0,"52,987","9,129","12,742","8,115","13,410","9,591"
2020,3,10,"60,699","11,143","16,794","8,258","12,401","12,103"
2020,3,20,"82,604","15,593","26,012","10,211","15,762","15,026"
2020,3,30,"83,321","14,560","22,872","13,514","18,221","14,154"
2020,3,40,"96,603","17,882","25,791","13,902","19,548","19,480"
2020,3,50,"107,694","21,099","31,517","13,088","20,034","21,956"
2020,3,60,"69,465","14,961","19,669","11,004","9,449","14,382"
2020,3,70,"27,172","6,320","7,570","3,952","3,229","6,101"
2020,3,80,"7,063","1,712","1,810",747,843,"1,951"
2020,3,90,488,103,109,46,67,163
2020,3,100,31,10,10,4,3,4
2020,4,총,"587,902","112,157","164,885","82,795","112,960","115,105"
2020,4,0,"52,778","9,052","12,705","8,081","13,378","9,562"
2020,4,10,"60,493","11,066","16,708","8,281","12,379","12,059"
2020,4,20,"82,510","15,505","25,956","10,199","15,736","15,114"
2020,4,30,"83,171","14,482","22,941","13,440","18,168","14,140"
2020,4,40,"96,509","17,828","25,726","13,917","19,584","19,454"
2020,4,50,"107,601","21,033","31,502","13,059","20,003","22,004"
2020,4,60,"69,833","14,976","19,792","11,037","9,536","14,492"
2020,4,70,"27,354","6,365","7,608","3,979","3,257","6,145"
2020,4,80,"7,124","1,737","1,825",753,845,"1,964"
2020,4,90,498,103,112,45,71,167
2020,4,100,31,10,10,4,3,4
2020,5,총,"587,434","111,885","164,865","82,706","113,001","114,977"
2020,5,0,"52,590","9,000","12,717","8,039","13,324","9,510"
2020,5,10,"60,184","11,009","16,581","8,256","12,364","11,974"
2020,5,20,"82,369","15,434","25,972","10,185","15,711","15,067"
2020,5,30,"82,943","14,427","22,929","13,373","18,136","14,078"
2020,5,40,"96,365","17,766","25,667","13,923","19,622","19,387"
2020,5,50,"107,576","20,983","31,498","13,037","20,024","22,034"
2020,5,60,"70,175","15,020","19,884","11,087","9,607","14,577"
2020,5,70,"27,536","6,394","7,655","3,998","3,289","6,200"
2020,5,80,"7,164","1,741","1,838",758,852,"1,975"
2020,5,90,501,101,114,46,69,171
2020,5,100,31,10,10,4,3,4
2020,6,총,"586,939","111,559","164,689","82,633","113,189","114,869"
2020,6,0,"52,351","8,938","12,664","7,995","13,310","9,444"
2020,6,10,"59,968","10,944","16,513","8,234","12,330","11,947"
2020,6,20,"82,286","15,353","25,931","10,200","15,784","15,018"
2020,6,30,"82,695","14,363","22,860","13,270","18,175","14,027"
2020,6,40,"96,202","17,706","25,622","13,950","19,609","19,315"
2020,6,50,"107,416","20,914","31,440","12,988","20,024","22,050"
2020,6,60,"70,649","15,103","20,004","11,150","9,713","14,679"
2020,6,70,"27,655","6,389","7,682","4,037","3,306","6,241"
2020,6,80,"7,190","1,741","1,849",758,866,"1,976"
2020,6,90,494,97,114,46,69,168
2020,6,100,33,11,10,5,3,4
2020,7,총,"586,533","111,380","164,493","82,507","113,253","114,900"
2020,7,0,"52,083","8,889","12,614","7,928","13,258","9,394"
2020,7,10,"59,828","10,925","16,444","8,228","12,327","11,904"
2020,7,20,"82,156","15,276","25,871","10,167","15,814","15,028"
2020,7,30,"82,466","14,346","22,857","13,175","18,088","14,000"
2020,7,40,"96,122","17,655","25,526","13,989","19,659","19,293"
2020,7,50,"107,296","20,851","31,424","12,956","20,018","22,047"
2020,7,60,"70,979","15,157","20,048","11,169","9,826","14,779"
2020,7,70,"27,845","6,422","7,722","4,080","3,328","6,293"
2020,7,80,"7,227","1,748","1,865",764,863,"1,987"
2020,7,90,497,100,112,46,69,170
2020,7,100,34,11,10,5,3,5
2020,8,총,"585,922","111,137","164,160","82,449","113,233","114,943"
2020,8,0,"51,822","8,838","12,546","7,859","13,209","9,370"
2020,8,10,"59,623","10,864","16,385","8,233","12,320","11,821"
2020,8,20,"81,937","15,249","25,747","10,132","15,750","15,059"
2020,8,30,"82,064","14,210","22,767","13,085","18,040","13,962"
2020,8,40,"96,042","17,631","25,448","14,035","19,650","19,278"
2020,8,50,"107,223","20,825","31,347","12,918","20,035","22,098"
2020,8,60,"71,424","15,216","20,157","11,255","9,938","14,858"
2020,8,70,"27,971","6,441","7,763","4,108","3,347","6,312"
2020,8,80,"7,277","1,754","1,873",772,874,"2,004"
2020,8,90,506,98,118,48,66,176
2020,8,100,33,11,9,4,4,5
2020,9,총,"585,387","110,913","163,939","82,303","113,315","114,917"
2020,9,0,"51,481","8,777","12,475","7,799","13,136","9,294"
2020,9,10,"59,501","10,836","16,325","8,210","12,350","11,780"
2020,9,20,"81,812","15,169","25,723","10,091","15,752","15,077"
2020,9,30,"81,717","14,114","22,680","12,995","18,012","13,916"
2020,9,40,"95,926","17,595","25,386","14,044","19,680","19,221"
2020,9,50,"107,078","20,791","31,274","12,875","20,020","22,118"
2020,9,60,"71,917","15,282","20,287","11,324","10,042","14,982"
2020,9,70,"28,071","6,472","7,773","4,127","3,380","6,319"
2020,9,80,"7,339","1,762","1,890",784,872,"2,031"
2020,9,90,511,103,118,49,67,174
2020,9,100,34,12,8,5,4,5
2020,10,총,"584,963","110,780","163,727","82,261","113,337","114,858"
2020,10,0,"51,129","8,706","12,411","7,736","13,048","9,228"
2020,10,10,"59,378","10,807","16,280","8,222","12,352","11,717"
2020,10,20,"81,724","15,148","25,651","10,081","15,764","15,080"
2020,10,30,"81,298","14,010","22,584","12,891","17,933","13,880"
2020,10,40,"95,852","17,587","25,289","14,116","19,689","19,171"
2020,10,50,"107,021","20,767","31,270","12,835","20,021","22,128"
2020,10,60,"72,373","15,359","20,393","11,379","10,184","15,058"
2020,10,70,"28,235","6,506","7,804","4,155","3,396","6,374"
2020,10,80,"7,402","1,774","1,918",791,879,"2,040"
2020,10,90,517,104,119,50,67,177
2020,10,100,34,12,8,5,4,5
2020,11,총,"584,305","110,500","163,513","82,126","113,325","114,841"
2020,11,0,"50,834","8,620","12,361","7,684","12,998","9,171"
2020,11,10,"59,281","10,789","16,211","8,227","12,352","11,702"
2020,11,20,"81,504","15,078","25,620","10,047","15,725","15,034"
2020,11,30,"80,872","13,892","22,529","12,767","17,862","13,822"
2020,11,40,"95,742","17,512","25,239","14,142","19,717","19,132"
2020,11,50,"106,843","20,715","31,188","12,788","20,014","22,138"
2020,11,60,"72,840","15,450","20,487","11,440","10,278","15,185"
2020,11,70,"28,376","6,531","7,821","4,172","3,427","6,425"
2020,11,80,"7,459","1,796","1,927",803,883,"2,050"
2020,11,90,520,105,122,51,65,177
2020,11,100,34,12,8,5,4,5
2020,12,총,"583,708","110,201","163,198","81,999","113,392","114,918"
2020,12,0,"50,619","8,579","12,295","7,618","12,989","9,138"
