년도,월,나이,경기도,경기도 수원시,경기도 수원시 장안구,경기도 수원시 권선구,경기도 수원시 팔달구,경기도 수원시 영통구,경기도 성남시,경기도 성남시 수정구,경기도 성남시 중원구,경기도 성남시 분당구,경기도 의정부시,경기도 안양시,경기도 안양시 만안구,경기도 안양시 동안구,경기도 부천시,경기도 광명시,경기도 평택시,경기도 동두천시,경기도 안산시,경기도 안산시 상록구,경기도 안산시 단원구,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 일산동구,경기도 고양시 일산서구,경기도 과천시,경기도 구리시,경기도 남양주시,경기도 오산시,경기도 시흥시,경기도 군포시,경기도 의왕시,경기도 하남시,경기도 용인시,경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구,경기도 파주시,경기도 이천시,경기도 안성시,경기도 김포시,경기도 화성시,경기도 광주시,경기도 양주시,경기도 포천시,경기도 여주시,경기도 연천군,경기도 가평군,경기도 양평군
2020,7,70,"343,170","24,956","6,918","7,881","5,255","4,902","25,998","7,529","6,928","11,541","13,517","14,360","7,576","6,784","21,175","8,194","12,370","3,669","13,086","7,269","5,817","26,257","12,998","6,604","6,655","1,602","5,195","20,167","4,214","8,487","6,676","4,238","7,764","29,873","7,370","11,847","10,656","12,520","5,986","6,140","11,675","14,658","10,499","7,457","5,750","4,807","2,297","3,239","6,344"
2020,7,80,"122,154","8,494","2,647","2,517","1,707","1,623","8,948","2,176","1,940","4,832","4,981","4,753","2,439","2,314","6,413","2,536","4,773","1,542","4,650","2,673","1,977","11,540","5,252","3,057","3,231",651,"1,749","6,644","1,409","2,746","2,595","1,410","1,950","11,110","2,652","4,461","3,997","5,008","2,416","2,627","3,778","4,949","3,003","2,581","2,281","1,928",993,"1,379","2,317"
2020,7,90,"11,990",872,286,249,175,162,"1,007",222,179,606,428,490,213,277,672,259,504,167,435,257,178,"1,187",502,341,344,87,175,588,100,253,311,157,211,"1,047",256,429,362,498,225,199,338,410,270,236,223,167,114,138,222
2020,7,100,"1,120",79,21,26,23,9,132,62,49,21,46,51,26,25,60,38,73,18,28,14,14,86,55,19,12,9,24,61,14,28,22,15,35,36,12,16,8,59,18,12,18,33,23,11,27,16,15,19,14
2020,8,총,"6,727,226","599,101","138,427","186,899","88,225","185,550","465,801","120,930","109,907","234,964","224,985","274,506","120,692","153,814","408,411","152,384","271,992","46,912","335,082","177,865","157,217","527,215","234,249","145,582","147,384","30,374","98,262","353,465","118,304","255,745","136,823","81,006","143,555","534,140","132,798","217,948","183,394","232,919","113,658","95,880","229,922","437,083","194,146","116,194","78,194","56,651","22,813","32,228","59,475"
2020,8,0,"594,930","51,442","9,768","17,152","4,967","19,555","35,867","8,057","6,980","20,830","17,824","20,625","8,102","12,523","30,163","12,498","24,831","3,355","23,050","12,062","10,988","42,524","19,775","10,866","11,883","2,607","8,078","33,973","12,367","24,330","10,945","6,919","15,360","52,577","10,968","22,559","19,050","22,732","9,944","7,393","27,408","54,122","18,310","10,246","4,569","3,911","1,441","1,715","3,804"
2020,8,10,"689,249","61,917","15,140","17,587","7,240","21,950","45,445","9,046","8,714","27,685","21,990","27,568","10,006","17,562","36,936","16,211","27,232","4,361","33,609","17,744","15,865","54,475","21,413","15,525","17,537","3,267","9,475","39,931","12,728","25,577","13,948","7,624","12,477","64,005","14,515","26,369","23,121","24,968","12,555","9,677","23,714","48,771","17,334","12,341","6,595","4,979","1,714","2,520","5,305"
2020,8,20,"944,910","98,454","24,076","28,583","14,959","30,836","67,916","18,280","16,279","33,357","32,375","40,988","18,313","22,675","60,995","20,858","39,259","6,100","56,415","30,662","25,753","77,084","32,458","22,593","22,033","4,495","14,028","43,856","16,762","36,858","20,122","12,120","17,776","70,918","18,696","28,992","23,230","29,569","16,915","12,269","25,869","54,849","23,681","14,534","10,394","6,640","3,389","3,577","5,845"
2020,8,30,"984,436","93,925","17,272","30,928","13,357","32,368","69,790","19,057","16,700","34,033","30,489","39,903","17,562","22,341","60,404","21,794","42,702","5,303","46,683","23,792","22,891","70,490","33,782","18,667","18,041","4,311","13,501","44,403","21,231","40,564","20,317","11,514","24,753","72,820","18,004","29,812","25,004","35,462","16,451","12,610","36,076","78,488","30,550","14,535","8,160","6,127","2,423","3,143","5,514"
2020,8,40,"1,167,046","102,866","22,823","31,931","14,237","33,875","78,245","19,776","17,677","40,792","37,336","43,586","18,181","25,405","65,756","26,402","48,825","7,435","55,664","29,490","26,174","88,876","39,542","24,520","24,814","4,537","16,444","65,238","22,804","47,603","22,171","12,205","26,332","99,207","22,915","41,367","34,925","40,927","18,002","16,095","44,356","85,983","34,970","20,305","11,187","8,313","2,743","4,271","8,362"
