년도,월,나이,고양시,덕양구,주교동,원신동,흥도동,성사1동,성사2동,효자동,삼송동,창릉동,고양동,관산동,능곡동,화정1동,화정2동,행주동,행신1동,행신2동,행신3동,화전동,대덕동,일산동구,식사동,중산동,정발산동,풍산동,백석1동,백석2동,마두1동,마두2동,장항1동,장항2동,고봉동,일산서구,일산1동,일산2동,일산3동,탄현동,주엽1동,주엽2동,대화동,송포동,송산동
2020,1,총,"523,803","231,540","8,083","11,566","21,710","10,910","5,677","3,262","10,700","10,024","15,633","18,614","8,182","18,762","16,445","10,311","11,023","16,263","22,858","9,949","1,568","145,190","16,665","23,112","11,715","19,126","14,966","10,111","12,023","7,884","5,134","12,711","11,743","147,073","13,771","9,487","17,780","25,910","13,410","13,898","16,819","10,672","25,326"
2020,1,0,"43,215","19,814",357,"1,691","2,856",721,356,375,"1,097","1,280","1,282","1,175",532,"1,132","1,441",430,832,"1,265","1,615","1,328",49,"11,191","1,752","1,885",705,"1,778","1,123",481,808,663,653,602,741,"12,210","1,106",528,"1,387","2,587","1,048","1,119","1,130",841,"2,464"
2020,1,10,"55,959","21,849",735,915,"1,868","1,052",594,214,733,755,"1,722","1,545",703,"2,055","2,067",715,"1,114","1,627","2,644",678,113,"15,935","2,404","2,515","1,186","2,424","1,545",768,"1,754","1,170",455,828,886,"18,175","1,483",878,"3,128","3,055","1,758","1,708","1,656","1,255","3,254"
2020,1,20,"76,513","32,186","1,226","1,207","2,497","1,548",782,475,"1,337","1,089","1,907","2,439","1,188","3,129","2,383","1,641","1,629","2,591","3,632","1,163",323,"22,415","2,334","3,735","2,072","2,751","2,475","1,555","1,940","1,150",566,"2,261","1,576","21,912","2,128","1,472","2,578","3,880","1,926","1,917","2,949","1,637","3,425"
2020,1,30,"69,965","33,433",865,"2,038","3,814","1,278",708,689,"2,139","2,232","1,872","2,295",936,"2,189","2,126","1,362","1,459","2,573","2,645","2,045",168,"18,707","1,672","2,784","1,538","2,371","2,281","1,712","1,068",671,715,"2,322","1,573","17,825","1,677","1,037","1,625","3,589","1,514","1,660","2,548","1,403","2,772"
2020,1,40,"89,815","39,502","1,238","2,147","4,251","1,901",867,527,"1,755","1,801","2,823","3,119","1,242","2,967","3,096","1,622","1,836","2,541","3,874","1,702",193,"24,980","3,239","3,590","1,819","3,365","2,460","1,928","1,985","1,348",947,"2,376","1,923","25,333","2,226","1,381","3,394","4,617","2,201","2,299","2,594","1,804","4,817"
2020,1,50,"94,995","40,698","1,769","1,560","2,917","2,153","1,031",464,"1,526","1,263","2,665","3,533","1,684","3,769","2,858","2,237","2,063","2,982","4,556","1,368",300,"27,048","3,061","4,379","2,132","3,292","2,705","1,931","2,410","1,526",933,"2,325","2,354","27,249","2,572","2,125","3,234","4,718","2,390","2,475","3,121","1,955","4,659"
2020,1,60,"55,265","25,721","1,124","1,233","2,070","1,312",742,273,"1,201",969,"1,850","2,646","1,117","1,883","1,423","1,399","1,283","1,581","2,338","1,015",262,"15,158","1,416","2,527","1,364","1,908","1,506","1,042","1,266",738,574,"1,156","1,661","14,386","1,482","1,281","1,539","2,048","1,420","1,459","1,703","1,039","2,415"
2020,1,70,"25,704","12,781",541,578,"1,079",648,399,160,680,472,"1,073","1,361",564,996,680,632,547,753,"1,032",471,115,"6,440",534,"1,104",613,821,572,470,513,350,228,502,733,"6,483",749,524,559,918,672,729,767,490,"1,075"
2020,1,80,"11,166","5,026",208,174,334,270,184,60,213,143,394,450,198,585,339,257,240,319,465,154,39,"2,982",225,527,252,375,279,199,250,235,58,306,276,"3,158",315,241,296,450,429,466,318,231,412
2020,1,90,"1,126",483,18,22,24,26,13,18,14,19,40,43,16,53,31,15,19,31,57,20,4,315,27,62,31,41,18,25,26,32,4,31,18,328,32,20,39,48,51,63,29,16,30
2020,1,100,80,47,2,1,0,1,1,7,5,1,5,8,2,4,1,1,1,0,0,5,2,19,1,4,3,0,2,0,3,1,1,2,2,14,1,0,1,0,1,3,4,1,3
2020,2,총,"524,883","232,485","8,062","11,545","21,685","10,864","5,657","4,433","10,704","10,044","15,602","18,587","8,170","18,746","16,421","10,273","11,007","16,265","22,802","10,086","1,532","145,363","16,708","23,172","11,677","19,111","14,951","10,121","11,972","7,870","5,342","12,709","11,730","147,035","13,767","9,469","17,719","25,855","13,393","13,899","16,821","10,700","25,412"
2020,2,0,"43,288","19,934",355,"1,671","2,828",715,349,632,"1,080","1,285","1,273","1,172",533,"1,129","1,438",423,821,"1,250","1,588","1,344",48,"11,175","1,771","1,865",700,"1,757","1,096",480,804,665,699,604,734,"12,179","1,088",516,"1,408","2,560","1,052","1,116","1,119",845,"2,475"
2020,2,10,"55,763","21,804",731,921,"1,872","1,036",585,301,731,758,"1,726","1,522",703,"2,045","2,057",705,"1,111","1,622","2,605",680,93,"15,891","2,396","2,509","1,171","2,421","1,540",760,"1,739","1,171",476,828,880,"18,068","1,476",866,"3,096","3,021","1,747","1,711","1,653","1,246","3,252"
2020,2,20,"76,383","32,149","1,220","1,203","2,473","1,543",779,547,"1,330","1,069","1,895","2,419","1,182","3,108","2,375","1,628","1,639","2,598","3,641","1,190",310,"22,389","2,332","3,751","2,067","2,745","2,467","1,577","1,917","1,135",584,"2,241","1,573","21,845","2,113","1,484","2,529","3,866","1,920","1,910","2,954","1,639","3,430"
2020,2,30,"70,189","33,591",848,"2,004","3,792","1,275",701,955,"2,135","2,249","1,856","2,281",950,"2,207","2,128","1,343","1,445","2,575","2,641","2,038",168,"18,725","1,660","2,779","1,520","2,365","2,296","1,716","1,064",674,740,"2,343","1,568","17,873","1,700","1,031","1,647","3,592","1,505","1,654","2,551","1,417","2,776"
2020,2,40,"89,949","39,738","1,224","2,160","4,264","1,888",870,775,"1,786","1,818","2,822","3,128","1,226","2,951","3,088","1,617","1,827","2,528","3,840","1,739",187,"24,977","3,261","3,611","1,795","3,346","2,456","1,910","1,976","1,348","1,005","2,369","1,900","25,234","2,199","1,369","3,380","4,610","2,189","2,294","2,570","1,804","4,819"
2020,2,50,"95,202","40,788","1,773","1,566","2,934","2,134","1,025",594,"1,511","1,261","2,658","3,526","1,668","3,760","2,842","2,239","2,068","2,974","4,559","1,394",302,"27,170","3,068","4,396","2,162","3,307","2,709","1,941","2,409","1,524",956,"2,323","2,375","27,244","2,579","2,123","3,204","4,708","2,383","2,465","3,136","1,957","4,689"
2020,2,60,"55,837","26,029","1,138","1,240","2,072","1,329",750,352,"1,212",970,"1,859","2,673","1,125","1,898","1,443","1,410","1,285","1,605","2,366","1,039",263,"15,237","1,423","2,551","1,356","1,929","1,507","1,043","1,272",737,591,"1,161","1,667","14,571","1,502","1,291","1,557","2,091","1,438","1,483","1,718","1,050","2,441"
2020,2,70,"25,783","12,832",543,580,"1,086",650,398,184,684,471,"1,072","1,360",564,997,676,634,543,758,"1,038",477,117,"6,442",539,"1,109",618,815,578,472,516,347,227,496,725,"6,509",759,527,564,914,676,728,767,494,"1,080"
2020,2,80,"11,256","5,078",210,178,340,270,186,66,216,142,395,453,201,593,342,257,246,321,464,160,38,"3,018",229,531,253,385,284,198,245,234,60,311,288,"3,160",318,238,294,445,428,472,319,230,416
2020,2,90,"1,150",491,18,21,24,23,13,18,14,20,41,43,16,54,31,16,21,34,60,20,4,320,28,66,32,41,16,24,27,34,3,31,18,339,32,24,39,48,54,63,31,17,31
2020,2,100,83,51,2,1,0,1,1,9,5,1,5,10,2,4,1,1,1,0,0,5,2,19,1,4,3,0,2,0,3,1,1,2,2,13,1,0,1,0,1,3,3,1,3
2020,3,총,"525,756","233,101","8,008","11,543","21,664","10,875","5,652","5,043","10,728","10,100","15,575","18,570","8,150","18,736","16,400","10,244","10,989","16,246","22,753","10,304","1,521","145,533","16,710","23,187","11,643","19,115","14,909","10,134","11,949","7,850","5,421","12,796","11,819","147,122","13,754","9,438","17,712","25,861","13,405","13,884","16,824","10,721","25,523"
2020,3,0,"43,119","19,924",349,"1,662","2,794",699,350,709,"1,081","1,293","1,266","1,162",522,"1,122","1,426",429,820,"1,245","1,567","1,378",50,"11,099","1,754","1,859",693,"1,732","1,092",478,797,656,702,598,738,"12,096","1,083",509,"1,407","2,542","1,036","1,098","1,120",835,"2,466"
2020,3,10,"55,522","21,736",718,918,"1,872","1,032",586,345,728,756,"1,716","1,514",702,"2,035","2,033",697,"1,107","1,600","2,593",696,88,"15,860","2,394","2,503","1,155","2,419","1,531",757,"1,737","1,165",485,832,882,"17,926","1,462",854,"3,067","2,987","1,743","1,692","1,620","1,243","3,258"
2020,3,20,"76,804","32,336","1,222","1,204","2,479","1,569",770,618,"1,323","1,091","1,913","2,406","1,195","3,121","2,389","1,628","1,623","2,619","3,653","1,214",299,"22,503","2,349","3,754","2,070","2,748","2,468","1,592","1,911","1,132",598,"2,277","1,604","21,965","2,130","1,477","2,533","3,886","1,930","1,926","2,968","1,659","3,456"
2020,3,30,"70,255","33,623",837,"1,986","3,776","1,267",698,"1,096","2,142","2,255","1,826","2,270",941,"2,212","2,126","1,327","1,450","2,558","2,613","2,073",170,"18,718","1,650","2,791","1,518","2,366","2,274","1,701","1,065",669,751,"2,366","1,567","17,914","1,699","1,024","1,662","3,599","1,510","1,646","2,557","1,421","2,796"
2020,3,40,"89,719","39,750","1,214","2,188","4,267","1,884",872,870,"1,793","1,837","2,802","3,109","1,222","2,920","3,065","1,595","1,805","2,524","3,798","1,795",190,"24,855","3,236","3,582","1,790","3,331","2,438","1,896","1,970","1,330","1,018","2,356","1,908","25,114","2,183","1,362","3,355","4,597","2,179","2,283","2,570","1,782","4,803"
2020,3,50,"95,390","40,863","1,755","1,558","2,938","2,141","1,021",696,"1,509","1,259","2,672","3,538","1,651","3,763","2,834","2,233","2,060","2,960","4,561","1,413",301,"27,241","3,081","4,400","2,151","3,327","2,705","1,948","2,395","1,535",969,"2,338","2,392","27,286","2,573","2,126","3,213","4,706","2,389","2,473","3,135","1,960","4,711"
2020,3,60,"56,469","26,336","1,139","1,243","2,085","1,336",758,407,"1,224",974,"1,869","2,698","1,129","1,906","1,467","1,431","1,312","1,628","2,407","1,060",263,"15,402","1,440","2,586","1,354","1,948","1,519","1,061","1,281",748,601,"1,183","1,681","14,731","1,509","1,292","1,571","2,116","1,456","1,487","1,737","1,075","2,488"
2020,3,70,"25,861","12,849",549,583,"1,091",648,397,201,690,469,"1,062","1,365",567,994,674,629,537,758,"1,031",489,115,"6,462",544,"1,112",623,818,576,470,514,343,232,495,735,"6,550",759,529,576,925,672,736,769,499,"1,085"
2020,3,80,"11,365","5,134",204,181,338,275,186,73,220,144,403,452,204,602,354,257,252,320,471,159,39,"3,045",232,528,256,385,288,206,245,236,61,318,290,"3,186",321,242,288,454,434,477,314,229,427
2020,3,90,"1,169",498,19,19,24,23,13,19,13,21,41,46,15,57,31,17,22,33,59,22,4,329,29,68,30,41,16,25,31,35,3,31,20,342,34,23,39,49,55,63,31,17,31
2020,3,100,83,52,2,1,0,1,1,9,5,1,5,10,2,4,1,1,1,1,0,5,2,19,1,4,3,0,2,0,3,1,1,2,2,12,1,0,1,0,1,3,3,1,2
2020,4,총,"526,681","233,744","7,982","11,522","21,658","10,877","5,635","5,276","10,736","10,168","15,527","18,585","8,151","18,727","16,426","10,219","10,965","16,221","22,690","10,851","1,528","145,716","16,752","23,196","11,642","19,115","14,908","10,157","11,929","7,878","5,451","12,824","11,864","147,221","13,727","9,433","17,670","25,893","13,419","13,903","16,851","10,747","25,578"
2020,4,0,"43,038","19,929",339,"1,646","2,781",689,345,735,"1,068","1,305","1,250","1,160",517,"1,108","1,425",425,814,"1,240","1,536","1,495",51,"11,057","1,748","1,859",686,"1,713","1,082",479,794,652,706,595,743,"12,052","1,073",508,"1,392","2,540","1,033","1,089","1,125",834,"2,458"
2020,4,10,"55,380","21,722",724,913,"1,877","1,028",583,352,741,761,"1,720","1,513",700,"2,014","2,014",688,"1,092","1,596","2,575",735,96,"15,818","2,407","2,479","1,146","2,418","1,530",749,"1,732","1,157",488,832,880,"17,840","1,451",850,"3,048","2,984","1,730","1,676","1,611","1,231","3,259"
2020,4,20,"77,056","32,444","1,220","1,209","2,480","1,575",773,658,"1,321","1,104","1,908","2,390","1,193","3,129","2,409","1,623","1,623","2,608","3,656","1,267",298,"22,576","2,353","3,753","2,092","2,758","2,475","1,599","1,900","1,152",601,"2,284","1,609","22,036","2,128","1,480","2,544","3,903","1,928","1,943","2,973","1,668","3,469"
2020,4,30,"70,438","33,757",838,"1,964","3,755","1,269",695,"1,153","2,141","2,269","1,809","2,269",941,"2,218","2,129","1,322","1,443","2,550","2,623","2,201",168,"18,756","1,661","2,792","1,519","2,358","2,288","1,692","1,074",684,753,"2,370","1,565","17,925","1,699","1,014","1,664","3,591","1,532","1,648","2,556","1,429","2,792"
2020,4,40,"89,544","39,757","1,208","2,208","4,265","1,871",862,905,"1,802","1,841","2,787","3,107","1,217","2,912","3,054","1,592","1,773","2,491","3,753","1,922",187,"24,787","3,228","3,571","1,778","3,319","2,424","1,896","1,956","1,322","1,017","2,362","1,914","25,000","2,173","1,362","3,302","4,586","2,162","2,268","2,561","1,787","4,799"
2020,4,50,"95,666","40,995","1,741","1,545","2,945","2,154","1,020",737,"1,509","1,273","2,680","3,539","1,665","3,758","2,843","2,218","2,076","2,985","4,552","1,452",303,"27,306","3,095","4,417","2,147","3,344","2,694","1,966","2,400","1,540",979,"2,331","2,393","27,365","2,557","2,120","3,232","4,724","2,392","2,490","3,148","1,967","4,735"
2020,4,60,"56,904","26,512","1,147","1,253","2,091","1,338",758,426,"1,229",977,"1,853","2,718","1,134","1,926","1,481","1,443","1,325","1,638","2,421","1,094",260,"15,521","1,450","2,607","1,357","1,953","1,527","1,072","1,281",754,606,"1,203","1,711","14,871","1,523","1,301","1,580","2,141","1,475","1,502","1,761","1,080","2,508"
2020,4,70,"25,965","12,890",543,581,"1,098",651,396,207,683,470,"1,069","1,374",564,"1,001",676,632,537,754,"1,039",496,119,"6,499",551,"1,114",630,826,578,474,517,344,233,490,742,"6,576",763,535,575,924,675,743,769,503,"1,089"
2020,4,80,"11,436","5,186",200,183,342,278,188,75,224,143,406,458,205,599,363,258,259,325,477,163,40,"3,050",231,533,256,384,291,205,241,236,64,324,285,"3,200",325,239,293,451,434,477,313,231,437
2020,4,90,"1,171",500,20,19,24,23,14,19,13,24,40,47,13,58,31,17,22,33,58,21,4,327,27,67,28,42,17,25,31,36,3,31,20,344,34,24,39,49,57,64,31,16,30
2020,4,100,83,52,2,1,0,1,1,9,5,1,5,10,2,4,1,1,1,1,0,5,2,19,1,4,3,0,2,0,3,1,1,2,2,12,1,0,1,0,1,3,3,1,2
2020,5,총,"527,304","234,171","7,960","11,518","21,764","10,889","5,639","5,387","10,752","10,171","15,533","18,571","8,139","18,711","16,405","10,193","10,937","16,209","22,662","11,209","1,522","145,689","16,726","23,163","11,624","19,101","14,896","10,152","11,921","7,891","5,473","12,834","11,908","147,444","13,699","9,430","17,664","25,850","13,402","13,877","17,120","10,778","25,624"
2020,5,0,"43,021","19,946",336,"1,650","2,793",698,345,749,"1,074","1,292","1,241","1,160",508,"1,100","1,413",421,810,"1,229","1,519","1,559",49,"11,015","1,746","1,843",678,"1,715","1,089",473,786,652,711,588,734,"12,060","1,071",500,"1,404","2,524","1,019","1,085","1,155",844,"2,458"
2020,5,10,"55,057","21,597",712,914,"1,885","1,024",579,357,745,761,"1,711","1,499",689,"1,985","2,006",683,"1,068","1,576","2,566",742,95,"15,728","2,396","2,476","1,135","2,406","1,501",739,"1,731","1,151",486,825,882,"17,732","1,430",844,"3,031","2,965","1,719","1,669","1,619","1,210","3,245"
2020,5,20,"77,217","32,566","1,210","1,202","2,502","1,582",781,676,"1,315","1,109","1,918","2,402","1,202","3,152","2,408","1,608","1,623","2,633","3,651","1,295",297,"22,590","2,340","3,743","2,095","2,753","2,477","1,607","1,899","1,151",603,"2,301","1,621","22,061","2,123","1,481","2,536","3,878","1,931","1,939","3,003","1,690","3,480"
2020,5,30,"70,632","33,842",844,"1,955","3,750","1,271",687,"1,166","2,138","2,277","1,806","2,253",944,"2,225","2,135","1,315","1,446","2,541","2,627","2,298",164,"18,730","1,648","2,793","1,511","2,345","2,284","1,687","1,081",685,763,"2,359","1,574","18,060","1,703","1,022","1,680","3,599","1,540","1,638","2,633","1,433","2,812"
2020,5,40,"89,464","39,742","1,196","2,209","4,279","1,863",861,927,"1,814","1,841","2,775","3,091","1,206","2,889","3,030","1,596","1,768","2,489","3,720","2,003",185,"24,758","3,226","3,564","1,782","3,314","2,414","1,900","1,945","1,324","1,009","2,370","1,910","24,964","2,143","1,352","3,292","4,575","2,154","2,260","2,610","1,789","4,789"
2020,5,50,"95,743","41,048","1,749","1,537","2,963","2,160","1,015",756,"1,504","1,268","2,678","3,546","1,660","3,752","2,855","2,214","2,068","2,976","4,560","1,485",302,"27,337","3,112","4,408","2,138","3,347","2,702","1,964","2,399","1,549",983,"2,335","2,400","27,358","2,563","2,112","3,217","4,704","2,387","2,479","3,184","1,966","4,746"
2020,5,60,"57,340","26,711","1,150","1,262","2,116","1,334",773,439,"1,235",979,"1,866","2,724","1,134","1,935","1,490","1,455","1,341","1,647","2,438","1,128",265,"15,597","1,455","2,608","1,363","1,967","1,533","1,078","1,285",759,616,"1,209","1,724","15,032","1,537","1,316","1,593","2,178","1,481","1,513","1,791","1,086","2,537"
2020,5,70,"26,082","12,941",540,585,"1,108",652,396,215,683,477,"1,085","1,371",570,"1,010",668,625,536,754,"1,042",504,120,"6,535",548,"1,126",636,824,585,478,517,344,232,492,753,"6,606",762,536,577,921,681,751,776,507,"1,095"
2020,5,80,"11,484","5,217",201,184,343,281,187,74,224,141,407,466,211,602,370,257,255,327,479,169,39,"3,046",229,529,256,386,291,200,243,237,66,322,287,"3,221",331,242,297,456,435,475,317,236,432
2020,5,90,"1,179",506,20,19,25,23,14,19,15,25,41,47,13,56,29,18,21,36,60,21,4,334,25,69,27,44,18,26,32,38,3,31,21,339,35,25,36,50,54,65,30,16,28
2020,5,100,85,55,2,1,0,1,1,9,5,1,5,12,2,5,1,1,1,1,0,5,2,19,1,4,3,0,2,0,3,1,1,2,2,11,1,0,1,0,1,3,2,1,2
2020,6,총,"527,663","234,384","7,934","11,497","21,885","10,886","5,623","5,437","10,766","10,213","15,498","18,612","8,130","18,642","16,382","10,136","10,926","16,186","22,677","11,433","1,521","145,711","16,734","23,139","11,605","19,098","14,876","10,154","11,902","7,908","5,485","12,873","11,937","147,568","13,656","9,419","17,663","25,854","13,361","13,866","17,351","10,778","25,620"
2020,6,0,"42,918","19,925",326,"1,635","2,790",697,340,757,"1,092","1,297","1,237","1,152",513,"1,095","1,414",411,812,"1,215","1,506","1,588",48,"10,976","1,740","1,827",678,"1,714","1,092",465,770,651,714,596,729,"12,017","1,063",490,"1,398","2,515","1,008","1,079","1,173",844,"2,447"
2020,6,10,"54,880","21,543",711,913,"1,905","1,033",575,358,745,757,"1,695","1,494",695,"1,968","2,003",671,"1,063","1,559","2,557",747,94,"15,649","2,389","2,465","1,126","2,389","1,495",734,"1,725","1,151",478,819,878,"17,688","1,427",838,"3,031","2,964","1,710","1,653","1,633","1,206","3,226"
2020,6,20,"77,275","32,586","1,207","1,190","2,530","1,567",782,676,"1,301","1,127","1,923","2,406","1,191","3,145","2,402","1,610","1,617","2,635","3,658","1,324",295,"22,621","2,345","3,737","2,097","2,766","2,474","1,599","1,906","1,161",604,"2,310","1,622","22,068","2,105","1,477","2,527","3,883","1,937","1,954","3,027","1,688","3,470"
