년도,월,나이,인제군,인제읍,인제읍귀둔출장소,남면,북면,기린면,서화면,상남면
2020,6,100,9,5,0,0,2,1,0,1
2020,7,총,"14,504","4,394",234,"1,879","3,844","2,339","1,123",691
2020,7,0,"1,228",388,9,176,324,199,112,20
2020,7,10,"1,113",376,11,144,299,170,71,42
2020,7,20,"1,372",455,15,177,359,205,126,35
2020,7,30,"1,654",545,8,241,406,272,156,26
2020,7,40,"1,771",610,26,185,499,277,107,67
2020,7,50,"2,496",712,53,292,694,440,152,153
2020,7,60,"2,292",638,53,315,578,357,186,165
2020,7,70,"1,440",373,37,173,396,224,128,109
2020,7,80,953,248,20,151,241,160,73,60
2020,7,90,176,44,2,25,46,34,12,13
2020,7,100,9,5,0,0,2,1,0,1
2020,8,총,"14,545","4,433",232,"1,867","3,859","2,347","1,115",692
2020,8,0,"1,231",391,9,177,323,199,112,20
2020,8,10,"1,111",380,11,139,299,173,69,40
2020,8,20,"1,371",461,14,174,361,206,119,36
2020,8,30,"1,662",549,8,237,414,272,157,25
2020,8,40,"1,773",612,26,182,497,278,109,69
2020,8,50,"2,492",718,52,286,692,440,150,154
2020,8,60,"2,328",649,53,322,588,361,189,166
2020,8,70,"1,425",374,37,172,392,220,125,105
2020,8,80,965,248,20,153,245,163,73,63
2020,8,90,178,46,2,25,46,34,12,13
2020,8,100,9,5,0,0,2,1,0,1
2020,9,총,"14,531","4,474",236,"1,852","3,839","2,336","1,105",689
2020,9,0,"1,231",407,10,174,317,195,108,20
2020,9,10,"1,104",380,13,137,293,173,69,39
2020,9,20,"1,360",453,13,171,364,201,122,36
2020,9,30,"1,660",569,9,232,409,268,149,24
2020,9,40,"1,768",617,26,185,486,278,108,68
2020,9,50,"2,489",721,52,284,696,436,148,152
2020,9,60,"2,348",657,54,321,590,368,190,168
2020,9,70,"1,412",372,37,169,387,218,124,105
2020,9,80,971,248,20,153,249,163,75,63
2020,9,90,180,46,2,26,46,35,12,13
2020,9,100,8,4,0,0,2,1,0,1
2020,10,총,"14,569","4,513",235,"1,856","3,842","2,337","1,096",690
2020,10,0,"1,229",409,10,169,319,194,108,20
2020,10,10,"1,109",387,13,136,292,173,69,39
2020,10,20,"1,371",454,13,174,368,202,122,38
2020,10,30,"1,660",576,9,234,410,263,143,25
2020,10,40,"1,768",624,26,183,480,279,107,69
2020,10,50,"2,496",731,52,290,696,432,146,149
2020,10,60,"2,358",657,54,321,592,374,192,168
2020,10,70,"1,413",375,36,170,385,220,122,105
2020,10,80,968,245,20,151,251,163,75,63
2020,10,90,188,51,2,28,47,36,12,12
2020,10,100,9,4,0,0,2,1,0,2
2020,11,총,"14,579","4,644",235,"1,834","3,800","2,316","1,064",686
2020,11,0,"1,234",448,10,166,302,193,95,20
2020,11,10,"1,106",395,15,132,289,169,70,36
2020,11,20,"1,366",474,10,168,367,193,117,37
2020,11,30,"1,666",610,9,228,395,267,132,25
2020,11,40,"1,768",639,26,183,475,272,105,68
2020,11,50,"2,485",736,53,287,691,425,145,148
2020,11,60,"2,375",668,53,322,595,377,191,169
2020,11,70,"1,406",375,35,170,383,220,120,103
2020,11,80,977,243,22,151,254,164,77,66
2020,11,90,187,52,2,27,47,35,12,12
2020,11,100,9,4,0,0,2,1,0,2
2020,12,총,"14,610","4,685",242,"1,822","3,801","2,311","1,061",688
2020,12,0,"1,226",460,7,159,295,191,94,20
2020,12,10,"1,105",388,17,132,295,168,68,37
2020,12,20,"1,375",487,13,167,364,190,118,36
2020,12,30,"1,673",623,9,218,401,268,130,24
2020,12,40,"1,765",644,26,181,468,271,105,70
2020,12,50,"2,477",735,56,285,684,426,143,148
2020,12,60,"2,404",671,54,330,609,378,193,169
2020,12,70,"1,402",374,36,172,378,219,120,103
2020,12,80,985,247,22,151,258,161,78,68
2020,12,90,190,52,2,27,47,38,12,12
2020,12,100,8,4,0,0,2,1,0,1
2021,1,총,"14,604","4,699",245,"1,821","3,803","2,301","1,045",690
2021,1,0,"1,229",461,7,166,296,187,92,20
2021,1,10,"1,086",389,17,129,289,160,65,37
2021,1,20,"1,376",491,14,159,366,191,116,39
2021,1,30,"1,667",616,10,222,403,264,127,25
2021,1,40,"1,766",651,25,181,465,275,100,69
2021,1,50,"2,471",730,57,286,685,425,142,146
2021,1,60,"2,425",685,55,330,614,379,192,170
2021,1,70,"1,393",370,36,172,374,218,120,103
2021,1,80,989,249,22,146,261,163,80,68
2021,1,90,193,53,2,29,48,38,11,12
2021,1,100,9,4,0,1,2,1,0,1
2021,2,총,"14,589","4,716",244,"1,812","3,807","2,282","1,032",696
2021,2,0,"1,215",462,7,164,297,180,84,21
2021,2,10,"1,095",394,17,128,296,158,65,37
2021,2,20,"1,362",481,13,163,363,190,112,40
2021,2,30,"1,643",617,10,217,394,252,126,27
2021,2,40,"1,773",660,24,176,468,278,97,70
2021,2,50,"2,443",735,56,282,673,415,139,143
2021,2,60,"2,468",686,57,336,631,388,196,174
2021,2,70,"1,399",376,36,171,374,220,120,102
2021,2,80,989,248,22,145,261,162,82,69
2021,2,90,193,53,2,29,48,38,11,12
2021,2,100,9,4,0,1,2,1,0,1
2021,3,총,"14,475","4,680",246,"1,791","3,792","2,246","1,026",694
2021,3,0,"1,209",465,9,161,296,171,85,22
2021,3,10,"1,083",386,17,125,296,159,66,34
2021,3,20,"1,356",482,13,160,364,192,105,40
2021,3,30,"1,629",610,11,212,392,246,131,27
2021,3,40,"1,761",661,23,175,465,276,92,69
2021,3,50,"2,392",719,55,273,668,394,141,142
2021,3,60,"2,488",688,59,340,637,391,195,178
2021,3,70,"1,376",369,35,167,367,218,118,102
2021,3,80,992,247,22,148,262,163,83,67
2021,3,90,186,52,2,29,45,36,10,12
2021,3,100,3,1,0,1,0,0,0,1
2021,4,총,"14,461","4,695",246,"1,775","3,783","2,242","1,023",697
2021,4,0,"1,201",469,9,153,291,170,86,23
2021,4,10,"1,073",386,17,122,292,156,66,34
