년도,월,나이,광주광역시 서구,광주광역시 서구 양동,광주광역시 서구 양3동,광주광역시 서구 농성1동,광주광역시 서구 농성2동,광주광역시 서구 광천동,광주광역시 서구 유덕동,광주광역시 서구 치평동,광주광역시 서구 상무1동,광주광역시 서구 상무2동,광주광역시 서구 화정1동,광주광역시 서구 화정2동,광주광역시 서구 화정3동,광주광역시 서구 화정4동,광주광역시 서구 서창동,광주광역시 서구 금호1동,광주광역시 서구 금호2동,광주광역시 서구 풍암동,광주광역시 서구 동천동
2020,3,총,"147,355","2,048","2,392","5,568","2,718","4,570","5,563","14,852","12,475","11,951","7,567","10,701","5,226","7,817","2,755","10,086","14,366","18,732","7,968"
2020,3,0,"11,955",58,233,305,108,334,520,"1,151",850,659,482,"1,332",331,602,158,741,"1,473","1,729",889
2020,3,10,"17,375",92,189,397,170,328,707,"1,727","1,266",944,614,"1,386",605,944,214,"1,222","2,347","2,926","1,297"
2020,3,20,"23,297",242,299,841,457,601,895,"2,678","2,350","2,150","1,326","1,403",900,"1,208",369,"1,671","2,157","2,739","1,011"
2020,3,30,"19,331",214,342,857,378,587,809,"2,201","1,960","1,683","1,225","1,561",615,914,301,"1,076","1,531","2,209",868
2020,3,40,"24,253",285,422,826,384,790,979,"2,305","2,062","1,743","1,209","1,778",715,"1,055",345,"1,409","2,670","3,622","1,654"
2020,3,50,"24,358",375,330,908,472,848,918,"2,616","1,969","2,030","1,109","1,488",835,"1,231",607,"1,866","2,503","3,039","1,214"
2020,3,60,"15,489",347,328,700,381,593,441,"1,260","1,173","1,583",810,"1,082",710,"1,189",447,"1,320","1,018","1,452",655
2020,3,70,"8,318",324,198,535,252,374,192,623,648,872,546,527,389,502,228,590,486,724,308
2020,3,80,"2,718",100,44,184,109,95,94,271,185,260,223,133,116,155,78,174,164,267,66
2020,3,90,252,9,7,14,7,18,8,19,12,26,23,11,10,17,8,17,16,24,6
2020,3,100,9,2,0,1,0,2,0,1,0,1,0,0,0,0,0,0,1,1,0
2020,4,총,"147,198","2,054","2,388","5,565","2,690","4,580","5,553","14,782","12,436","11,899","7,586","10,712","5,210","7,806","2,884","10,046","14,346","18,712","7,949"
2020,4,0,"11,911",59,232,314,106,329,519,"1,127",843,650,482,"1,336",326,616,178,735,"1,469","1,711",879
2020,4,10,"17,277",93,192,393,161,331,703,"1,697","1,257",944,609,"1,400",602,941,217,"1,205","2,331","2,906","1,295"
2020,4,20,"23,326",240,292,849,452,602,894,"2,676","2,355","2,140","1,344","1,413",901,"1,198",382,"1,664","2,143","2,767","1,014"
2020,4,30,"19,257",213,341,853,368,594,804,"2,187","1,935","1,677","1,218","1,550",608,904,341,"1,073","1,544","2,190",857
2020,4,40,"24,197",288,422,824,385,792,982,"2,298","2,061","1,720","1,218","1,782",713,"1,050",364,"1,404","2,657","3,592","1,645"
2020,4,50,"24,353",377,335,895,470,842,921,"2,615","1,954","2,028","1,111","1,480",833,"1,228",623,"1,855","2,505","3,070","1,211"
2020,4,60,"15,530",350,326,694,386,594,435,"1,262","1,180","1,576",806,"1,084",710,"1,191",467,"1,330","1,026","1,449",664
2020,4,70,"8,337",322,198,542,249,381,190,626,654,867,551,521,391,504,226,586,489,731,309
2020,4,80,"2,743",101,43,186,106,95,97,271,183,270,225,135,116,157,77,177,165,270,69
2020,4,90,258,9,7,14,7,18,8,22,14,26,22,11,10,17,9,17,16,25,6
2020,4,100,9,2,0,1,0,2,0,1,0,1,0,0,0,0,0,0,1,1,0
2020,5,총,"147,074","2,038","2,375","5,544","2,683","4,563","5,517","14,762","12,467","11,870","7,617","10,712","5,177","7,801","2,966","10,044","14,313","18,688","7,937"
2020,5,0,"11,871",63,228,315,99,326,512,"1,128",842,646,477,"1,331",323,617,183,734,"1,471","1,706",870
2020,5,10,"17,159",90,190,392,165,327,692,"1,679","1,248",947,605,"1,406",590,930,228,"1,197","2,303","2,876","1,294"
2020,5,20,"23,349",238,291,839,452,609,886,"2,653","2,365","2,147","1,360","1,402",900,"1,205",401,"1,671","2,140","2,779","1,011"
2020,5,30,"19,205",208,332,855,366,588,793,"2,202","1,948","1,645","1,237","1,543",598,895,362,"1,077","1,536","2,179",841
2020,5,40,"24,095",282,419,823,384,783,974,"2,291","2,048","1,706","1,209","1,796",708,"1,055",373,"1,389","2,639","3,578","1,638"
2020,5,50,"24,377",374,338,887,470,841,924,"2,612","1,963","2,026","1,117","1,472",828,"1,218",625,"1,859","2,513","3,083","1,227"
2020,5,60,"15,639",353,326,687,386,597,438,"1,277","1,196","1,591",816,"1,090",716,"1,199",480,"1,335","1,028","1,458",666
2020,5,70,"8,344",315,199,544,248,377,192,626,660,862,546,525,387,511,224,588,499,727,314
2020,5,80,"2,766",105,45,187,106,95,98,270,183,272,228,136,117,155,80,177,167,275,70
2020,5,90,260,8,7,14,7,18,8,23,14,27,22,11,10,16,10,17,16,26,6
2020,5,100,9,2,0,1,0,2,0,1,0,1,0,0,0,0,0,0,1,1,0
2020,6,총,"146,717","2,024","2,372","5,524","2,689","4,544","5,501","14,706","12,476","11,831","7,602","10,671","5,156","7,780","2,998","10,001","14,284","18,631","7,927"
2020,6,0,"11,793",60,223,304,100,333,503,"1,119",842,637,472,"1,324",327,614,188,729,"1,460","1,693",865
2020,6,10,"17,063",88,191,390,163,319,687,"1,664","1,259",938,593,"1,400",589,923,225,"1,191","2,295","2,855","1,293"
2020,6,20,"23,281",235,291,831,453,607,887,"2,627","2,355","2,145","1,370","1,392",893,"1,206",398,"1,660","2,145","2,775","1,011"
2020,6,30,"19,131",206,330,858,362,577,785,"2,209","1,943","1,634","1,234","1,537",593,892,383,"1,063","1,525","2,167",833
2020,6,40,"24,019",281,417,815,392,779,976,"2,283","2,062","1,697","1,200","1,796",701,"1,049",375,"1,385","2,635","3,551","1,625"
2020,6,50,"24,301",371,339,896,467,841,920,"2,583","1,952","2,010","1,122","1,452",819,"1,212",632,"1,840","2,516","3,094","1,235"
2020,6,60,"15,710",356,324,685,385,600,445,"1,293","1,207","1,602",814,"1,094",713,"1,196",486,"1,345","1,029","1,471",665
2020,6,70,"8,370",313,202,543,253,372,192,632,657,869,549,529,389,517,222,591,499,723,318
2020,6,80,"2,777",104,48,187,107,98,98,271,185,273,225,136,120,154,79,180,163,273,76
2020,6,90,263,8,7,14,7,16,8,24,14,25,23,11,12,17,10,17,16,28,6
2020,6,100,9,2,0,1,0,2,0,1,0,1,0,0,0,0,0,0,1,1,0
2020,7,총,"146,518","2,010","2,368","5,503","2,692","4,543","5,520","14,669","12,486","11,806","7,600","10,655","5,146","7,740","3,032","9,984","14,257","18,616","7,891"
2020,7,0,"11,714",59,222,299,103,326,502,"1,099",835,646,476,"1,317",328,608,190,732,"1,442","1,670",860
2020,7,10,"16,995",87,195,383,168,317,688,"1,661","1,249",919,592,"1,398",585,924,226,"1,174","2,292","2,852","1,285"
2020,7,20,"23,267",235,288,823,442,609,889,"2,636","2,374","2,138","1,357","1,380",894,"1,186",401,"1,660","2,143","2,798","1,014"
2020,7,30,"19,070",200,330,853,372,568,785,"2,197","1,963","1,627","1,238","1,534",587,881,391,"1,055","1,515","2,156",818
