년도,월,나이,경기도 과천시,경기도 과천시 중앙동,경기도 과천시 갈현동,경기도 과천시 별양동,경기도 과천시 부림동,경기도 과천시 과천동,경기도 과천시 문원동
2020,3,총,"29,647","3,493","5,643","5,632","6,017","4,737","4,125"
2020,3,0,"2,180",185,621,325,418,339,292
2020,3,10,"3,005",328,742,573,608,307,447
2020,3,20,"3,767",490,579,838,820,584,456
2020,3,30,"3,878",373,776,609,853,760,507
2020,3,40,"4,784",489,"1,095",839,962,700,699
2020,3,50,"5,228",684,836,"1,099","1,136",797,676
2020,3,60,"3,373",449,475,652,597,693,507
2020,3,70,"1,974",249,332,367,326,360,340
2020,3,80,"1,150",178,149,261,244,162,156
2020,3,90,266,55,34,61,49,32,35
2020,3,100,42,13,4,8,4,3,10
2020,4,총,"30,346","4,357","5,606","5,567","5,966","4,733","4,117"
2020,4,0,"2,266",279,610,319,420,345,293
2020,4,10,"3,042",406,734,559,595,302,446
2020,4,20,"3,865",597,579,830,815,586,458
2020,4,30,"4,035",522,766,616,857,765,509
2020,4,40,"4,858",614,"1,082",821,953,692,696
2020,4,50,"5,346",850,836,"1,077","1,118",799,666
2020,4,60,"3,462",532,482,663,590,687,508
2020,4,70,"2,005",288,331,356,327,361,342
2020,4,80,"1,155",197,150,255,239,162,152
2020,4,90,270,59,32,63,48,31,37
2020,4,100,42,13,4,8,4,3,10
2020,5,총,"30,918","5,053","5,598","5,508","5,948","4,709","4,102"
2020,5,0,"2,334",344,613,317,426,346,288
2020,5,10,"3,062",461,730,542,584,298,447
2020,5,20,"3,957",687,569,838,816,588,459
2020,5,30,"4,128",642,769,607,857,753,500
2020,5,40,"4,888",693,"1,081",806,933,685,690
2020,5,50,"5,485",992,838,"1,069","1,113",802,671
2020,5,60,"3,550",620,485,647,604,687,507
2020,5,70,"2,026",321,326,361,322,357,339
2020,5,80,"1,165",216,151,249,238,159,152
2020,5,90,281,64,32,64,51,31,39
2020,5,100,42,13,4,8,4,3,10
2020,6,총,"31,184","5,352","5,636","5,468","5,932","4,703","4,093"
2020,6,0,"2,372",374,624,318,422,345,289
2020,6,10,"3,045",466,734,532,575,298,440
2020,6,20,"4,006",730,570,829,829,586,462
2020,6,30,"4,178",695,778,615,851,745,494
2020,6,40,"4,920",737,"1,089",800,922,688,684
2020,6,50,"5,525","1,043",841,"1,052","1,112",803,674
2020,6,60,"3,617",678,492,642,605,686,514
2020,6,70,"2,032",327,328,360,323,361,333
2020,6,80,"1,168",225,148,246,237,159,153
2020,6,90,278,64,28,66,52,29,39
2020,6,100,43,13,4,8,4,3,11
2020,7,총,"31,421","5,539","5,664","5,463","5,968","4,700","4,087"
2020,7,0,"2,401",382,634,311,435,351,288
2020,7,10,"3,039",487,730,524,569,297,432
2020,7,20,"4,057",753,575,840,833,586,470
2020,7,30,"4,210",728,769,622,863,740,488
2020,7,40,"4,949",767,"1,101",794,922,681,684
2020,7,50,"5,563","1,085",847,"1,041","1,114",799,677
2020,7,60,"3,649",691,495,646,612,695,510
2020,7,70,"2,053",341,330,365,326,359,332
2020,7,80,"1,174",229,148,245,236,159,157
2020,7,90,284,64,31,67,54,30,38
2020,7,100,42,12,4,8,4,3,11
2020,8,총,"31,528","5,647","5,688","5,456","5,947","4,698","4,092"
2020,8,0,"2,399",394,635,305,435,345,285
2020,8,10,"3,040",500,731,527,553,298,431
2020,8,20,"4,067",765,570,836,830,585,481
2020,8,30,"4,229",744,780,619,866,739,481
2020,8,40,"4,947",778,"1,105",787,913,681,683
2020,8,50,"5,582","1,107",854,"1,046","1,109",792,674
2020,8,60,"3,698",704,496,651,624,707,516
2020,8,70,"2,057",347,331,364,325,357,333
2020,8,80,"1,176",230,148,245,234,161,158
2020,8,90,291,66,34,68,54,30,39
2020,8,100,42,12,4,8,4,3,11
2020,9,총,"31,551","5,683","5,687","5,456","5,943","4,700","4,082"
2020,9,0,"2,399",386,637,307,443,340,286
2020,9,10,"3,046",505,732,534,550,297,428
2020,9,20,"4,073",772,570,833,822,601,475
2020,9,30,"4,221",741,777,615,872,736,480
2020,9,40,"4,929",789,"1,099",786,911,667,677
2020,9,50,"5,588","1,118",850,"1,049","1,094",800,677
2020,9,60,"3,726",713,504,652,630,709,518
2020,9,70,"2,046",350,329,353,328,355,331
2020,9,80,"1,189",232,152,251,233,162,159
2020,9,90,292,65,33,68,56,30,40
2020,9,100,42,12,4,8,4,3,11
2020,10,총,"31,552","5,705","5,685","5,451","5,911","4,706","4,094"
2020,10,0,"2,393",389,626,304,439,341,294
2020,10,10,"3,033",500,736,526,543,295,433
2020,10,20,"4,080",775,570,844,821,603,467
2020,10,30,"4,233",753,775,608,871,739,487
2020,10,40,"4,890",787,"1,098",772,894,663,676
2020,10,50,"5,597","1,119",853,"1,064","1,091",795,675
2020,10,60,"3,742",721,504,648,633,717,519
2020,10,70,"2,054",351,335,351,326,356,335
2020,10,80,"1,195",234,151,256,233,165,156
2020,10,90,293,64,33,70,56,29,41
2020,10,100,42,12,4,8,4,3,11
