년도,월,나이,전라남도 담양군,전라남도 담양군 담양읍,전라남도 담양군 봉산면,전라남도 담양군 고서면,전라남도 담양군 가사문학면,전라남도 담양군 창평면,전라남도 담양군 대덕면,전라남도 담양군 무정면,전라남도 담양군 금성면,전라남도 담양군 용면,전라남도 담양군 월산면,전라남도 담양군 수북면,전라남도 담양군 대전면
2020,1,총,"23,666","7,311","1,434","1,667",661,"1,932","1,000","1,662","1,353",943,"1,248","2,264","2,191"
2020,1,0,"1,206",545,67,64,25,78,40,34,46,42,52,118,95
2020,1,10,"1,633",667,50,92,20,117,62,107,69,46,62,181,160
2020,1,20,"2,976",979,131,161,61,208,98,536,126,79,113,245,239
2020,1,30,"2,034",799,126,142,48,145,68,94,114,64,98,173,163
2020,1,40,"3,183","1,078",207,206,71,246,109,145,186,118,170,320,327
2020,1,50,"4,560","1,231",291,351,153,409,222,241,254,195,272,465,476
2020,1,60,"4,006","1,000",271,351,135,360,212,232,259,196,228,392,370
2020,1,70,"2,746",693,203,211,89,236,122,181,189,142,187,245,248
2020,1,80,"1,195",290,79,81,50,124,61,83,99,55,62,107,104
2020,1,90,123,28,9,8,9,8,6,8,11,6,4,17,9
2020,1,100,4,1,0,0,0,1,0,1,0,0,0,1,0
2020,2,총,"23,619","7,292","1,445","1,663",657,"1,925",993,"1,664","1,354",945,"1,243","2,262","2,176"
2020,2,0,"1,200",535,66,60,25,79,40,36,48,46,53,115,97
2020,2,10,"1,609",657,54,91,20,114,61,103,66,45,62,177,159
2020,2,20,"2,964",969,132,162,59,205,100,545,128,79,108,240,237
2020,2,30,"2,006",791,125,140,46,142,66,90,114,64,94,174,160
2020,2,40,"3,180","1,086",210,204,71,247,107,147,185,117,170,316,320
2020,2,50,"4,547","1,232",291,351,153,400,217,241,255,195,271,472,469
2020,2,60,"4,031",997,273,355,134,368,214,230,265,195,231,398,371
2020,2,70,"2,750",701,205,209,89,234,123,179,187,142,188,243,250
2020,2,80,"1,205",295,80,83,51,127,60,84,96,54,62,108,105
2020,2,90,123,28,9,8,9,8,5,8,10,8,4,18,8
2020,2,100,4,1,0,0,0,1,0,1,0,0,0,1,0
