년도,월,나이,태안군,태안읍,안면읍,고남면,남면,근흥면,소원면,원북면,이원면
2020,1,총,"31,623","14,907","4,342","1,157","2,337","2,775","2,667","2,271","1,167"
2020,1,0,"1,634","1,166",166,22,61,63,59,69,28
2020,1,10,"2,402","1,538",314,61,109,113,115,98,54
2020,1,20,"3,098","1,718",336,70,368,195,150,196,65
2020,1,30,"3,070","1,843",349,71,162,215,171,180,79
2020,1,40,"4,519","2,422",610,146,256,340,346,271,128
2020,1,50,"5,750","2,524",848,258,397,538,522,436,227
2020,1,60,"5,529","1,950",857,249,494,643,615,459,262
2020,1,70,"3,970","1,268",636,199,337,458,476,383,213
2020,1,80,"1,527",441,203,76,138,196,201,165,107
2020,1,90,120,37,21,5,14,14,12,13,4
2020,1,100,4,0,2,0,1,0,0,1,0
2020,2,총,"31,524","14,848","4,329","1,147","2,318","2,792","2,659","2,265","1,166"
2020,2,0,"1,603","1,148",163,22,59,62,58,63,28
2020,2,10,"2,382","1,533",306,59,107,113,112,98,54
2020,2,20,"3,057","1,694",334,66,356,205,144,193,65
2020,2,30,"3,029","1,805",344,69,162,217,172,181,79
2020,2,40,"4,503","2,423",607,147,250,333,345,267,131
2020,2,50,"5,718","2,515",836,255,398,543,522,429,220
2020,2,60,"5,582","1,973",874,251,497,644,616,465,262
2020,2,70,"3,983","1,277",638,197,332,460,480,385,214
2020,2,80,"1,541",442,205,76,142,200,197,170,109
2020,2,90,122,38,20,5,14,15,13,13,4
2020,2,100,4,0,2,0,1,0,0,1,0
2020,3,총,"31,434","14,832","4,327","1,147","2,285","2,789","2,652","2,243","1,159"
2020,3,0,"1,580","1,140",157,22,56,59,60,59,27
2020,3,10,"2,368","1,519",315,58,104,114,107,97,54
2020,3,20,"3,040","1,697",332,66,342,205,144,191,63
2020,3,30,"2,993","1,789",342,71,154,218,167,172,80
2020,3,40,"4,474","2,404",604,148,253,330,346,259,130
2020,3,50,"5,695","2,521",826,255,391,545,515,427,215
2020,3,60,"5,596","1,983",881,252,495,639,620,462,264
2020,3,70,"4,005","1,294",641,190,332,463,483,391,211
2020,3,80,"1,554",446,207,80,142,201,197,170,111
2020,3,90,125,39,20,5,15,15,13,14,4
2020,3,100,4,0,2,0,1,0,0,1,0
2020,4,총,"31,414","14,826","4,319","1,146","2,274","2,790","2,658","2,241","1,160"
2020,4,0,"1,585","1,135",162,24,57,59,62,60,26
2020,4,10,"2,355","1,513",309,58,102,116,105,97,55
2020,4,20,"3,020","1,700",332,65,329,200,142,189,63
2020,4,30,"2,987","1,787",340,69,155,213,169,176,78
2020,4,40,"4,456","2,393",604,150,251,327,346,256,129
2020,4,50,"5,689","2,535",815,252,392,544,509,423,219
2020,4,60,"5,618","1,984",888,251,492,649,627,462,265
