년도,월,나이,경상북도 성주군,경상북도 성주군 성주읍,경상북도 성주군 선남면,경상북도 성주군 용암면,경상북도 성주군 수륜면,경상북도 성주군 가천면,경상북도 성주군 금수면,경상북도 성주군 대가면,경상북도 성주군 벽진면,경상북도 성주군 초전면,경상북도 성주군 월항면
2020,3,총,"43,682","13,877","6,227","3,718","3,092","1,994","1,194","2,469","3,131","4,565","3,415"
2020,3,0,"1,989",996,206,112,83,51,36,79,104,190,132
2020,3,10,"2,432","1,331",216,125,110,45,40,102,87,239,137
2020,3,20,"3,703","1,535",511,243,174,142,65,183,213,356,281
2020,3,30,"3,440","1,447",488,263,180,116,55,143,192,321,235
2020,3,40,"4,896","2,059",628,341,258,168,109,249,272,486,326
2020,3,50,"8,738","2,502","1,439",828,605,421,230,462,651,906,694
2020,3,60,"8,884","2,025","1,396",907,722,486,278,558,777,986,749
2020,3,70,"5,728","1,215",845,532,508,317,210,413,508,656,524
2020,3,80,"3,400",671,432,326,383,225,153,244,276,390,300
2020,3,90,447,91,60,40,64,22,17,36,49,32,36
2020,3,100,25,5,6,1,5,1,1,0,2,3,1
2020,4,총,"43,627","13,873","6,208","3,718","3,104","1,987","1,181","2,454","3,131","4,560","3,411"
2020,4,0,"1,970",980,207,112,84,50,33,76,106,192,130
2020,4,10,"2,414","1,330",210,124,108,45,39,100,87,234,137
2020,4,20,"3,681","1,531",502,245,176,138,65,184,211,351,278
2020,4,30,"3,416","1,443",485,261,178,112,51,141,191,318,236
2020,4,40,"4,869","2,063",621,341,258,165,106,243,272,482,318
2020,4,50,"8,722","2,497","1,431",829,607,422,230,454,647,910,695
2020,4,60,"8,935","2,037","1,406",908,735,488,281,559,783,985,753
2020,4,70,"5,726","1,219",847,532,503,313,207,417,509,656,523
2020,4,80,"3,419",678,432,324,384,229,152,246,274,397,303
2020,4,90,450,90,61,41,66,24,16,34,49,32,37
2020,4,100,25,5,6,1,5,1,1,0,2,3,1
2020,5,총,"43,582","13,831","6,201","3,706","3,108","1,988","1,184","2,460","3,126","4,558","3,420"
2020,5,0,"1,959",966,207,113,83,50,33,79,105,190,133
2020,5,10,"2,388","1,318",208,115,109,43,38,98,89,235,135
2020,5,20,"3,642","1,523",491,246,173,134,64,185,205,347,274
2020,5,30,"3,389","1,426",489,263,177,111,52,139,189,310,233
2020,5,40,"4,861","2,067",611,337,258,167,104,244,274,480,319
2020,5,50,"8,694","2,495","1,423",818,607,423,232,448,642,912,694
2020,5,60,"8,985","2,036","1,418",914,740,489,278,566,787,986,771
2020,5,70,"5,753","1,225",854,527,505,316,211,421,510,662,522
2020,5,80,"3,432",682,433,331,385,229,154,247,271,399,301
2020,5,90,453,88,61,41,66,25,17,33,51,34,37
2020,5,100,26,5,6,1,5,1,1,0,3,3,1
2020,6,총,"43,488","13,771","6,186","3,706","3,096","1,981","1,178","2,472","3,128","4,564","3,406"
