년도,월,나이,서울특별시 노원구,서울특별시 노원구 월계1동,서울특별시 노원구 월계2동,서울특별시 노원구 월계3동,서울특별시 노원구 공릉1동,서울특별시 노원구 공릉2동,서울특별시 노원구 하계1동,서울특별시 노원구 하계2동,서울특별시 노원구 중계본동,서울특별시 노원구 중계1동,서울특별시 노원구 중계4동,서울특별시 노원구 중계2.3동,서울특별시 노원구 상계1동,서울특별시 노원구 상계2동,서울특별시 노원구 상계3.4동,서울특별시 노원구 상계5동,서울특별시 노원구 상계6.7동,서울특별시 노원구 상계8동,서울특별시 노원구 상계9동,서울특별시 노원구 상계10동
2020,1,총,"274,916","11,206","14,222","16,304","19,512","20,637","14,792","12,118","13,145","14,257","10,918","19,560","20,519","10,609","13,135","12,944","18,458","12,306","11,370","8,904"
2020,1,0,"17,299",663,910,"1,193","1,137","1,491",622,789,798,908,634,"1,150","1,240",511,648,597,"1,380","1,336",754,538
2020,1,10,"27,157",849,"1,095","1,101","1,433","2,315","1,579","1,455","2,293","2,814","1,099","1,802","1,691",988,964,"1,100","1,616","1,114","1,096",753
2020,1,20,"36,039","1,642","1,499","1,846","3,291","3,319","2,393","1,597","1,631","1,487","1,262","2,183","2,715","1,699","1,455","1,673","2,403","1,363","1,313","1,268"
2020,1,30,"33,748","1,351","1,711","2,464","2,780","2,724","1,410","1,380","1,063","1,161","1,051","2,255","2,541","1,190","1,285","1,316","2,721","2,545","1,478","1,322"
2020,1,40,"46,986","1,710","2,197","2,366","2,778","3,613","2,500","2,270","2,989","3,801","1,955","3,226","3,153","1,658","1,945","1,999","3,216","2,073","2,051","1,486"
2020,1,50,"45,843","1,837","2,362","2,648","3,137","3,135","2,652","2,063","2,223","2,146","1,854","3,014","3,805","2,025","2,375","2,391","3,091","1,573","1,935","1,577"
2020,1,60,"34,765","1,626","2,356","2,475","2,758","2,198","1,801","1,257","1,053",974,"1,382","2,675","2,902","1,384","2,125","1,889","2,096","1,241","1,473","1,100"
2020,1,70,"20,857","1,041","1,315","1,421","1,446","1,178","1,107",785,652,582,"1,106","2,072","1,544",741,"1,541","1,288","1,132",650,766,490
2020,1,80,"10,329",395,653,673,629,554,639,450,373,342,486,"1,020",754,342,676,573,667,351,429,323
2020,1,90,"1,714",83,113,106,110,102,84,69,60,33,78,152,158,64,101,96,132,56,72,45
2020,1,100,179,9,11,11,13,8,5,3,10,9,11,11,16,7,20,22,4,4,3,2
2020,2,총,"274,575","11,142","14,312","16,249","19,456","20,535","14,729","12,073","13,146","14,234","10,855","19,504","20,442","10,560","13,563","12,887","18,396","12,265","11,342","8,885"
2020,2,0,"17,274",656,910,"1,174","1,125","1,501",623,790,805,945,624,"1,138","1,219",514,707,593,"1,367","1,307",749,527
2020,2,10,"27,018",844,"1,102","1,102","1,426","2,291","1,573","1,427","2,291","2,791","1,086","1,791","1,695",974,997,"1,100","1,589","1,110","1,085",744
2020,2,20,"35,795","1,613","1,514","1,833","3,268","3,277","2,350","1,596","1,623","1,448","1,258","2,162","2,693","1,679","1,480","1,665","2,407","1,370","1,307","1,252"
2020,2,30,"33,639","1,335","1,699","2,436","2,758","2,707","1,386","1,369","1,069","1,192","1,025","2,264","2,517","1,182","1,395","1,304","2,707","2,512","1,461","1,321"
2020,2,40,"46,873","1,696","2,207","2,382","2,765","3,587","2,499","2,267","2,986","3,798","1,949","3,193","3,134","1,653","2,010","1,980","3,205","2,052","2,035","1,475"
2020,2,50,"45,821","1,842","2,394","2,636","3,134","3,111","2,631","2,056","2,225","2,111","1,844","3,012","3,788","2,016","2,434","2,370","3,080","1,600","1,953","1,584"
2020,2,60,"34,942","1,620","2,373","2,479","2,782","2,203","1,819","1,267","1,054",981,"1,372","2,679","2,921","1,388","2,177","1,900","2,101","1,245","1,469","1,112"
