년도,월,나이,경기도 포천시,경기도 포천시 소흘읍,경기도 포천시 군내면,경기도 포천시 내촌면,경기도 포천시 가산면,경기도 포천시 신북면,경기도 포천시 창수면,경기도 포천시 영중면,경기도 포천시 일동면,경기도 포천시 이동면,경기도 포천시 영북면,경기도 포천시 관인면,경기도 포천시 화현면,경기도 포천시 포천동,경기도 포천시 선단동
2020,1,총,"70,008","21,912","4,033","1,997","3,240","5,701",977,"2,255","4,612","2,823","4,021","1,370","1,291","9,090","6,686"
2020,1,0,"4,436","1,548",294,60,124,348,23,110,267,248,317,44,97,622,334
2020,1,10,"6,217","2,535",294,93,205,464,40,145,323,200,226,75,87,913,617
2020,1,20,"7,599","2,698",449,173,342,600,63,173,395,266,301,89,121,"1,099",830
2020,1,30,"6,730","2,229",479,134,236,546,45,127,377,350,443,50,146,926,642
2020,1,40,"9,873","3,839",508,219,337,785,89,216,557,249,378,115,113,"1,400","1,068"
2020,1,50,"13,374","4,247",750,462,757,"1,082",174,425,777,441,629,264,221,"1,719","1,426"
2020,1,60,"10,362","2,502",594,398,578,926,236,462,848,463,686,300,228,"1,204",937
2020,1,70,"6,733","1,373",387,274,345,545,201,374,606,364,613,263,151,744,493
2020,1,80,"3,932",776,236,161,259,339,95,194,381,215,341,144,112,381,298
2020,1,90,706,155,41,22,57,60,11,28,79,23,77,26,14,76,37
2020,1,100,46,10,1,1,0,6,0,1,2,4,10,0,1,6,4
2020,2,총,"69,798","21,812","4,006","1,999","3,221","5,677",974,"2,250","4,568","2,824","4,024","1,363","1,278","9,110","6,692"
2020,2,0,"4,390","1,522",293,59,119,337,23,111,268,246,318,44,98,618,334
2020,2,10,"6,168","2,517",291,95,201,462,38,143,316,197,230,73,82,911,612
2020,2,20,"7,491","2,662",432,171,325,599,63,167,383,265,301,85,120,"1,092",826
2020,2,30,"6,707","2,226",478,134,242,537,46,131,368,346,438,50,142,927,642
2020,2,40,"9,860","3,833",508,214,333,784,89,213,553,253,378,116,116,"1,402","1,068"
2020,2,50,"13,307","4,222",745,464,755,"1,080",170,419,760,439,623,260,217,"1,727","1,426"
2020,2,60,"10,440","2,521",596,402,583,931,238,471,849,466,689,302,227,"1,221",944
2020,2,70,"6,717","1,366",381,275,342,542,199,372,603,368,618,260,149,744,498
2020,2,80,"3,961",776,239,160,264,338,96,193,387,218,341,148,113,388,300
2020,2,90,710,156,42,24,57,62,12,29,79,22,77,25,13,74,38
2020,2,100,47,11,1,1,0,5,0,1,2,4,11,0,1,6,4
2020,3,총,"69,803","21,756","3,994","1,998","3,235","5,694",969,"2,237","4,568","2,806","4,032","1,355","1,278","9,191","6,690"
2020,3,0,"4,360","1,504",286,59,122,335,21,106,266,239,321,39,94,633,335
2020,3,10,"6,125","2,490",296,94,202,458,37,142,314,191,230,71,82,913,605
2020,3,20,"7,527","2,679",421,168,331,603,63,170,390,265,303,85,124,"1,107",818
2020,3,30,"6,694","2,200",477,137,239,542,45,127,362,344,438,44,138,952,649
2020,3,40,"9,799","3,788",507,209,336,784,89,208,551,250,383,116,114,"1,400","1,064"
2020,3,50,"13,302","4,222",743,459,744,"1,093",168,420,759,437,618,259,222,"1,732","1,426"
2020,3,60,"10,554","2,563",603,413,597,929,238,467,865,469,695,306,225,"1,236",948
2020,3,70,"6,701","1,362",374,270,341,546,200,371,593,368,614,262,151,752,497
2020,3,80,"3,980",784,243,163,264,336,95,195,388,217,340,150,114,386,305
2020,3,90,715,154,43,25,59,63,13,30,78,22,79,23,13,74,39
2020,3,100,46,10,1,1,0,5,0,1,2,4,11,0,1,6,4
2020,4,총,"69,910","21,750","4,005","1,993","3,247","5,711",972,"2,242","4,577","2,827","4,020","1,352","1,288","9,224","6,702"
2020,4,0,"4,360","1,501",287,59,127,335,21,103,261,243,317,39,98,634,335
2020,4,10,"6,100","2,470",296,95,205,455,37,141,317,192,230,72,82,912,596
2020,4,20,"7,548","2,687",430,163,323,604,61,170,391,270,307,83,123,"1,115",821
2020,4,30,"6,735","2,207",482,136,248,543,48,127,364,348,436,46,144,954,652
2020,4,40,"9,733","3,757",506,211,331,783,90,208,540,248,373,115,114,"1,397","1,060"
2020,4,50,"13,315","4,231",741,455,744,"1,097",166,420,765,437,619,253,221,"1,743","1,423"
2020,4,60,"10,633","2,586",602,416,603,935,239,467,875,474,694,309,223,"1,247",963
2020,4,70,"6,715","1,364",373,270,341,551,202,374,591,369,608,265,155,753,499
2020,4,80,"3,998",779,244,162,262,339,96,201,391,220,345,147,113,390,309
2020,4,90,726,159,43,25,63,63,12,30,80,22,80,23,14,72,40
2020,4,100,47,9,1,1,0,6,0,1,2,4,11,0,1,7,4
2020,5,총,"69,839","21,703","4,014","1,984","3,233","5,712",969,"2,236","4,572","2,824","4,018","1,346","1,299","9,243","6,686"
2020,5,0,"4,334","1,495",294,58,126,329,21,101,257,240,310,39,98,636,330
2020,5,10,"6,057","2,450",291,91,202,461,35,137,317,191,233,72,80,906,591
2020,5,20,"7,527","2,678",416,162,319,600,64,167,389,276,316,80,128,"1,124",808
2020,5,30,"6,707","2,201",490,134,242,542,42,127,363,345,429,44,144,948,656
2020,5,40,"9,702","3,736",501,206,331,785,90,207,540,247,370,113,115,"1,399","1,062"
2020,5,50,"13,321","4,224",750,459,739,"1,094",164,424,768,438,615,253,226,"1,747","1,420"
2020,5,60,"10,686","2,602",605,417,607,939,242,465,875,475,703,311,224,"1,253",968
2020,5,70,"6,711","1,367",377,270,342,555,200,371,588,362,608,265,156,755,495
2020,5,80,"4,012",782,245,163,262,335,99,205,390,223,343,148,111,393,313
2020,5,90,736,159,44,23,63,66,12,31,83,23,81,21,16,75,39
2020,5,100,46,9,1,1,0,6,0,1,2,4,10,0,1,7,4
2020,6,총,"69,782","21,658","4,001","1,979","3,216","5,704",969,"2,239","4,587","2,833","4,027","1,344","1,302","9,264","6,659"
2020,6,0,"4,300","1,477",292,56,125,324,21,103,252,236,315,35,100,636,328
2020,6,10,"6,013","2,421",290,92,199,455,33,136,321,193,233,75,80,901,584
2020,6,20,"7,528","2,680",412,161,315,605,65,168,389,280,318,80,125,"1,126",804
2020,6,30,"6,668","2,179",488,132,242,540,42,125,361,351,428,43,144,948,645
2020,6,40,"9,679","3,728",502,209,328,781,90,202,540,245,372,112,118,"1,395","1,057"
2020,6,50,"13,289","4,220",745,460,733,"1,082",158,427,770,443,613,252,224,"1,757","1,405"
2020,6,60,"10,785","2,618",611,419,614,949,246,474,888,475,705,310,225,"1,266",985
