년도,월,나이,부평구,부평1동,부평2동,부평3동,부평4동,부평5동,부평6동,산곡1동,산곡2동,산곡3동,산곡4동,청천1동,청천2동,갈산1동,갈산2동,삼산1동,삼산2동,부개1동,부개2동,부개3동,일신동,십정1동,십정2동
2020,1,총,"257,563","19,672","9,661","6,725","18,880","17,231","7,545","6,680","16,605","11,880","9,652","3,459","17,593","8,427","10,198","18,164","15,526","8,549","9,230","17,153","6,492","6,445","11,796"
2020,1,0,"17,734","1,294",540,328,"1,417","1,401",467,305,"1,409",653,618,200,"1,390",507,676,"1,352","1,386",494,625,"1,088",560,353,671
2020,1,10,"22,257","1,577",726,420,"1,217","1,230",439,514,"1,893","1,024",973,274,"1,504",627,756,"1,897","2,196",577,821,"1,796",518,507,771
2020,1,20,"35,529","3,228","1,320",867,"2,981","2,647","1,102",803,"2,077","1,424","1,386",425,"2,381","1,225","1,285","2,385","1,862","1,076","1,291","2,589",795,798,"1,582"
2020,1,30,"34,867","3,074","1,312",816,"3,343","3,059","1,156",663,"2,163","1,278","1,138",395,"2,565","1,071","1,471","2,188","1,726","1,067","1,204","2,143",910,724,"1,401"
2020,1,40,"40,183","3,000","1,408",900,"2,773","2,584","1,030",909,"2,938","1,706","1,589",496,"2,658","1,225","1,313","3,123","3,329","1,132","1,443","3,024",912,972,"1,719"
2020,1,50,"47,427","3,262","1,766","1,294","3,201","2,876","1,351","1,342","3,040","2,266","1,850",707,"3,361","1,743","2,016","3,312","2,546","1,582","1,731","3,337","1,222","1,232","2,390"
2020,1,60,"31,896","2,301","1,359","1,044","2,168","1,871","1,055","1,099","1,740","1,706","1,147",500,"2,108","1,131","1,448","1,972","1,317","1,419","1,153","1,676",902,977,"1,803"
2020,1,70,"17,000","1,187",806,660,"1,147",981,560,617,817,"1,030",540,287,"1,006",560,693,"1,088",690,809,626,936,429,579,952
2020,1,80,"8,925",622,363,329,538,486,310,352,438,660,348,130,524,280,456,710,389,348,293,471,199,245,434
2020,1,90,"1,595",115,53,61,85,86,66,64,85,119,62,38,91,54,83,126,84,42,40,90,41,48,62
2020,1,100,150,12,8,6,10,10,9,12,5,14,1,7,5,4,1,11,1,3,3,3,4,10,11
