년도,월,나이,합천군,합천읍,봉산면,묘산면,가야면,야로면,율곡면,초계면,쌍책면,덕곡면,청덕면,적중면,대양면,쌍백면,삼가면,가회면,대병면,용주면
2020,1,총,"21,590","5,642",700,773,"2,158","1,187","1,152","1,222",615,428,793,689,892,834,"1,547",857,"1,022","1,079"
2020,1,0,868,456,11,11,52,32,26,35,16,9,21,15,65,24,34,16,26,19
2020,1,10,"1,377",617,29,35,123,75,37,77,10,12,22,33,48,28,70,33,82,46
2020,1,20,"1,850",683,30,41,182,89,100,118,37,25,48,49,63,47,135,52,86,65
2020,1,30,"1,558",550,41,47,138,96,68,98,39,27,51,40,92,43,88,36,46,58
2020,1,40,"2,584",891,62,60,252,129,121,146,54,40,80,71,112,84,175,87,92,128
2020,1,50,"4,405","1,036",159,171,516,229,252,218,123,98,160,132,176,163,331,202,211,228
2020,1,60,"4,338",734,185,177,448,281,257,245,175,91,210,151,164,206,329,204,239,242
2020,1,70,"2,949",452,114,135,307,151,183,186,110,71,119,119,108,148,249,161,147,189
2020,1,80,"1,529",209,64,89,135,97,103,89,43,55,78,76,62,82,117,54,78,98
2020,1,90,128,12,5,7,5,8,5,10,8,0,4,2,2,9,18,12,15,6
2020,1,100,4,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2020,2,총,"21,548","5,621",703,781,"2,145","1,192","1,150","1,217",616,426,792,681,891,828,"1,547",854,"1,034","1,070"
2020,2,0,861,450,11,12,51,33,26,34,16,8,20,14,67,23,35,17,26,18
2020,2,10,"1,364",610,28,35,122,77,35,75,10,11,21,30,47,27,71,31,90,44
2020,2,20,"1,825",666,33,44,173,85,100,115,37,24,52,49,61,47,138,54,83,64
2020,2,30,"1,545",552,37,48,136,99,67,97,37,28,47,39,92,41,89,34,45,57
2020,2,40,"2,589",891,59,63,251,131,121,148,53,39,82,68,112,83,174,89,95,130
2020,2,50,"4,402","1,040",162,170,516,228,251,218,124,99,160,133,175,164,328,198,213,223
2020,2,60,"4,349",734,187,180,448,283,260,245,176,90,207,151,167,203,333,203,241,241
2020,2,70,"2,942",454,113,132,307,152,183,186,110,71,120,118,103,148,246,165,147,187
2020,2,80,"1,536",209,68,89,134,96,101,89,45,56,78,76,65,83,115,53,79,100
2020,2,90,131,13,5,8,7,8,6,10,8,0,5,2,2,9,17,10,15,6
2020,2,100,4,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
