년도,월,나이,대구광역시 달성군,대구광역시 달성군 화원읍,대구광역시 달성군 논공읍,대구광역시 달성군 논공읍공단출장소,대구광역시 달성군 다사읍,대구광역시 달성군 다사읍서재출장소,대구광역시 달성군 유가읍,대구광역시 달성군 옥포읍,대구광역시 달성군 현풍읍,대구광역시 달성군 가창면,대구광역시 달성군 하빈면,대구광역시 달성군 구지면
2020,3,총,"130,445","24,500","2,482","7,456","25,441","19,805","15,071","12,315","12,276","4,002","2,031","5,066"
2020,3,0,"15,262","1,829",131,469,"3,149","3,299","2,850","1,344","1,320",210,62,599
2020,3,10,"12,315","2,476",93,827,"3,056","1,796","1,664",894,895,277,65,272
2020,3,20,"16,097","3,658",288,"1,164","3,154","2,121","1,316","1,433","1,822",407,194,540
2020,3,30,"22,134","2,853",343,786,"3,833","4,626","3,325","2,068","2,620",353,169,"1,158"
2020,3,40,"22,248","3,618",347,"1,472","4,750","3,617","3,003","1,794","2,025",535,222,865
2020,3,50,"20,276","4,807",526,"1,646","3,791","2,405","1,410","2,125","1,646",732,504,684
2020,3,60,"13,937","3,336",462,746,"2,329","1,364","1,015","1,701","1,202",792,474,516
2020,3,70,"6,058","1,415",203,246,"1,052",481,370,736,553,470,236,296
2020,3,80,"1,959",459,83,96,307,90,103,207,180,202,102,130
2020,3,90,151,44,6,4,20,6,14,13,12,23,3,6
2020,3,100,8,5,0,0,0,0,1,0,1,1,0,0
2020,4,총,"130,523","24,425","2,475","7,456","25,425","19,785","15,093","12,491","12,279","4,005","2,009","5,080"
2020,4,0,"15,224","1,817",129,464,"3,136","3,291","2,840","1,365","1,311",211,55,605
2020,4,10,"12,331","2,457",92,833,"3,056","1,793","1,684",902,901,275,63,275
2020,4,20,"16,058","3,617",284,"1,162","3,151","2,104","1,313","1,471","1,825",407,193,531
2020,4,30,"22,130","2,846",339,784,"3,815","4,613","3,320","2,116","2,626",353,162,"1,156"
2020,4,40,"22,277","3,591",352,"1,460","4,758","3,627","3,014","1,825","2,018",532,221,879
2020,4,50,"20,265","4,808",514,"1,649","3,788","2,407","1,421","2,122","1,643",732,497,684
2020,4,60,"14,002","3,346",469,751,"2,335","1,367","1,011","1,721","1,209",796,479,518
2020,4,70,"6,101","1,433",207,249,"1,054",487,371,746,551,475,235,293
2020,4,80,"1,978",462,83,100,311,90,104,210,182,201,101,134
2020,4,90,149,43,6,4,21,6,14,13,12,22,3,5
2020,4,100,8,5,0,0,0,0,1,0,1,1,0,0
2020,5,총,"130,560","24,346","2,474","7,438","25,371","19,795","15,063","12,693","12,277","4,009","2,006","5,088"
2020,5,0,"15,219","1,814",131,455,"3,120","3,292","2,831","1,391","1,311",211,54,609
2020,5,10,"12,321","2,445",87,822,"3,055","1,785","1,701",917,890,275,64,280
2020,5,20,"16,043","3,573",283,"1,173","3,138","2,111","1,310","1,489","1,838",409,188,531
2020,5,30,"22,089","2,856",339,779,"3,795","4,576","3,288","2,165","2,625",350,162,"1,154"
2020,5,40,"22,265","3,564",347,"1,453","4,743","3,650","3,007","1,863","2,014",523,224,877
2020,5,50,"20,262","4,786",513,"1,640","3,790","2,411","1,429","2,138","1,635",742,492,686
2020,5,60,"14,052","3,360",477,761,"2,331","1,380","1,004","1,735","1,216",791,481,516
2020,5,70,"6,167","1,436",208,252,"1,069",493,371,768,554,482,238,296
2020,5,80,"1,984",464,83,99,309,92,106,213,181,204,99,134
2020,5,90,150,43,6,4,21,5,15,14,12,21,4,5
2020,5,100,8,5,0,0,0,0,1,0,1,1,0,0
2020,6,총,"130,641","24,332","2,488","7,413","25,356","19,794","15,099","12,774","12,263","4,004","2,014","5,104"
2020,6,0,"15,208","1,804",132,450,"3,119","3,293","2,825","1,400","1,302",212,54,617
2020,6,10,"12,352","2,445",87,820,"3,071","1,791","1,709",912,896,276,65,280
2020,6,20,"15,974","3,555",280,"1,160","3,109","2,103","1,323","1,492","1,825",406,187,534
2020,6,30,"22,023","2,842",336,777,"3,779","4,544","3,273","2,188","2,630",344,165,"1,145"
2020,6,40,"22,282","3,563",351,"1,442","4,723","3,664","3,031","1,880","1,999",529,224,876
2020,6,50,"20,264","4,776",515,"1,641","3,791","2,409","1,431","2,145","1,642",737,489,688
2020,6,60,"14,181","3,390",487,766,"2,360","1,399","1,008","1,744","1,219",791,489,528
2020,6,70,"6,210","1,443",210,255,"1,076",494,375,783,554,485,237,298
2020,6,80,"1,986",466,84,98,306,91,108,216,183,201,100,133
2020,6,90,153,43,6,4,22,6,15,14,12,22,4,5
2020,6,100,8,5,0,0,0,0,1,0,1,1,0,0
2020,7,총,"130,821","24,310","2,514","7,381","25,347","19,777","15,079","12,818","12,239","4,002","2,009","5,345"
2020,7,0,"15,196","1,796",138,446,"3,091","3,277","2,813","1,408","1,291",210,58,668
2020,7,10,"12,388","2,438",89,802,"3,092","1,790","1,720",919,902,276,64,296
2020,7,20,"15,975","3,554",277,"1,160","3,092","2,114","1,319","1,496","1,805",407,183,568
2020,7,30,"21,983","2,836",341,766,"3,767","4,493","3,234","2,186","2,633",341,166,"1,220"
2020,7,40,"22,337","3,539",354,"1,434","4,720","3,693","3,050","1,895","1,991",525,222,914
2020,7,50,"20,276","4,774",518,"1,638","3,800","2,418","1,439","2,139","1,634",732,484,700
2020,7,60,"14,253","3,405",491,776,"2,368","1,401","1,005","1,755","1,231",794,489,538
2020,7,70,"6,248","1,444",215,257,"1,090",493,380,784,553,490,239,303
2020,7,80,"2,004",476,85,98,305,94,103,222,185,204,100,132
2020,7,90,153,43,6,4,22,4,15,14,13,22,4,6
2020,7,100,8,5,0,0,0,0,1,0,1,1,0,0
2020,8,총,"131,183","24,278","2,527","7,376","25,318","19,806","15,084","12,851","12,263","3,993","1,995","5,692"
2020,8,0,"15,214","1,783",139,433,"3,083","3,274","2,819","1,411","1,286",207,55,724
2020,8,10,"12,419","2,416",89,795,"3,097","1,796","1,720",927,900,274,64,341
2020,8,20,"16,036","3,556",281,"1,163","3,077","2,127","1,327","1,497","1,821",403,181,603
2020,8,30,"21,953","2,840",347,768,"3,741","4,456","3,214","2,168","2,621",342,166,"1,290"
2020,8,40,"22,403","3,517",354,"1,421","4,717","3,724","3,045","1,905","1,997",518,215,990
2020,8,50,"20,308","4,763",517,"1,647","3,805","2,422","1,452","2,135","1,622",735,483,727
2020,8,60,"14,372","3,428",495,788,"2,376","1,409","1,005","1,770","1,258",792,486,565
2020,8,70,"6,308","1,444",215,259,"1,100",499,384,799,561,495,240,312
2020,8,80,"2,006",482,84,98,300,95,101,225,183,203,100,135
2020,8,90,156,44,6,4,22,4,16,14,13,23,5,5
2020,8,100,8,5,0,0,0,0,1,0,1,1,0,0
2020,9,총,"131,257","24,239","2,530","7,358","25,271","19,758","15,056","12,835","12,295","3,981","1,990","5,944"
2020,9,0,"15,142","1,769",136,423,"3,057","3,251","2,791","1,392","1,282",206,55,780
2020,9,10,"12,464","2,411",89,800,"3,107","1,783","1,733",940,903,274,61,363
2020,9,20,"15,971","3,546",285,"1,150","3,046","2,126","1,320","1,477","1,830",394,181,616
2020,9,30,"21,863","2,815",347,759,"3,706","4,415","3,180","2,158","2,617",347,162,"1,357"
2020,9,40,"22,499","3,511",354,"1,419","4,729","3,735","3,060","1,911","2,002",513,214,"1,051"
2020,9,50,"20,317","4,763",511,"1,643","3,804","2,423","1,450","2,137","1,635",734,483,734
2020,9,60,"14,485","3,446",503,800,"2,393","1,430","1,013","1,770","1,265",794,486,585
2020,9,70,"6,332","1,448",215,261,"1,102",497,391,802,564,494,241,317
2020,9,80,"2,014",479,85,99,305,94,100,233,183,200,101,135
2020,9,90,162,46,5,4,22,4,17,15,13,24,6,6
2020,9,100,8,5,0,0,0,0,1,0,1,1,0,0
2020,10,총,"131,388","24,213","2,532","7,356","25,242","19,742","15,067","12,851","12,294","3,974","1,997","6,120"
2020,10,0,"15,070","1,757",133,421,"3,037","3,229","2,776","1,386","1,277",213,52,789
2020,10,10,"12,485","2,394",89,784,"3,095","1,786","1,749",940,915,272,64,397
2020,10,20,"16,022","3,568",281,"1,166","3,065","2,127","1,322","1,476","1,822",385,181,629
2020,10,30,"21,769","2,802",349,756,"3,658","4,392","3,165","2,138","2,603",343,165,"1,398"
2020,10,40,"22,554","3,488",354,"1,405","4,742","3,744","3,075","1,934","2,006",509,207,"1,090"
2020,10,50,"20,337","4,754",518,"1,651","3,802","2,421","1,447","2,120","1,639",738,489,758
2020,10,60,"14,611","3,470",503,808,"2,411","1,449","1,022","1,807","1,268",794,486,593
2020,10,70,"6,348","1,451",214,263,"1,102",494,392,801,568,496,245,322
2020,10,80,"2,018",478,86,98,306,96,101,232,182,199,102,138
2020,10,90,165,46,5,4,24,4,17,17,13,24,5,6
2020,10,100,9,5,0,0,0,0,1,0,1,1,1,0
