년도,월,나이,경상북도 김천시,경상북도 김천시 아포읍,경상북도 김천시 농소면,경상북도 김천시 남면,경상북도 김천시 개령면,경상북도 김천시 감문면,경상북도 김천시 어모면,경상북도 김천시 봉산면,경상북도 김천시 대항면,경상북도 김천시 감천면,경상북도 김천시 조마면,경상북도 김천시 구성면,경상북도 김천시 지례면,경상북도 김천시 부항면,경상북도 김천시 대덕면,경상북도 김천시 증산면,경상북도 김천시 자산동,경상북도 김천시 평화남산동,경상북도 김천시 양금동,경상북도 김천시 대신동,경상북도 김천시 대곡동,경상북도 김천시 지좌동,경상북도 김천시 율곡동
2020,3,총,"70,128","3,591","1,441","1,565","1,244","1,698","2,075","1,589","1,738",963,"1,146","1,441",807,652,"1,091",547,"3,420","4,020","2,095","12,467","10,329","5,366","10,843"
2020,3,0,"5,208",186,48,39,27,35,70,48,43,22,31,26,17,13,18,6,115,117,69,"1,068",742,455,"2,013"
2020,3,10,"5,620",218,64,72,53,50,88,62,91,36,50,42,25,24,66,18,210,199,119,"1,469",952,514,"1,198"
2020,3,20,"6,542",256,104,107,75,87,127,124,132,72,67,83,37,27,55,15,270,363,165,"1,598","1,020",598,"1,160"
2020,3,30,"7,398",299,89,95,65,74,100,93,96,41,56,53,28,21,47,16,249,304,132,"1,408","1,052",599,"2,481"
2020,3,40,"9,219",374,110,123,83,100,203,119,149,68,84,78,45,46,68,41,337,409,187,"2,095","1,558",919,"2,023"
2020,3,50,"11,528",699,233,257,221,267,358,311,336,183,205,220,118,99,183,113,574,715,342,"2,082","1,985",931,"1,096"
2020,3,60,"10,756",668,320,310,288,363,427,347,378,198,244,329,161,131,226,122,803,914,453,"1,338","1,514",716,506
2020,3,70,"7,641",459,251,284,226,346,373,273,265,164,187,286,198,151,209,95,545,619,397,813,889,394,217
2020,3,80,"5,300",366,191,220,175,321,270,185,199,152,192,275,157,120,192,106,276,321,206,516,528,204,128
2020,3,90,874,66,31,53,30,54,56,25,46,26,29,49,19,19,25,14,40,55,24,73,87,34,19
2020,3,100,42,0,0,5,1,1,3,2,3,1,1,0,2,1,2,1,1,4,1,7,2,2,2
2020,4,총,"70,053","3,573","1,444","1,545","1,238","1,691","2,054","1,579","1,730",950,"1,146","1,441",805,647,"1,092",547,"3,403","3,989","2,082","12,484","10,343","5,356","10,914"
2020,4,0,"5,196",186,50,34,26,32,71,44,45,20,34,24,16,12,19,6,113,115,69,"1,071",735,455,"2,019"
2020,4,10,"5,594",214,69,68,52,51,84,62,91,36,48,37,26,23,65,17,206,195,114,"1,472",952,509,"1,203"
2020,4,20,"6,495",255,104,100,75,80,120,122,125,73,64,91,36,26,54,15,263,354,165,"1,586","1,027",586,"1,174"
2020,4,30,"7,356",293,83,90,61,74,99,88,99,36,56,50,27,19,44,17,240,296,126,"1,409","1,046",601,"2,502"
2020,4,40,"9,214",368,117,122,81,99,198,119,144,68,80,79,46,45,73,40,339,399,181,"2,105","1,562",908,"2,041"
2020,4,50,"11,506",697,227,259,219,266,356,304,334,175,203,222,117,100,185,111,565,712,345,"2,083","1,981",936,"1,109"
2020,4,60,"10,815",671,322,308,290,365,427,355,379,200,251,330,160,128,221,125,809,916,450,"1,345","1,535",725,503
2020,4,70,"7,620",457,252,283,228,346,372,273,264,161,186,282,196,154,208,93,552,621,401,808,879,390,214
2020,4,80,"5,334",362,189,222,175,322,268,188,201,153,194,277,159,120,196,108,276,320,206,526,535,209,128
2020,4,90,884,70,31,54,30,55,57,23,45,27,29,49,20,19,25,14,40,57,24,72,89,35,19
2020,4,100,39,0,0,5,1,1,2,1,3,1,1,0,2,1,2,1,0,4,1,7,2,2,2
2020,5,총,"70,013","3,559","1,443","1,544","1,229","1,687","2,043","1,573","1,718",950,"1,142","1,443",804,644,"1,090",547,"3,394","3,974","2,071","12,521","10,312","5,377","10,948"
2020,5,0,"5,179",184,52,34,28,32,71,44,43,19,36,25,16,12,19,5,112,116,68,"1,063",729,456,"2,015"
2020,5,10,"5,560",211,67,68,49,51,81,61,90,35,46,35,26,22,64,17,206,197,112,"1,466",941,508,"1,207"
2020,5,20,"6,490",250,103,99,73,79,120,123,124,73,60,93,33,25,54,17,258,346,160,"1,610","1,011",597,"1,182"
2020,5,30,"7,333",290,84,90,58,72,100,88,95,38,56,49,29,20,44,17,232,293,128,"1,408","1,048",594,"2,500"
2020,5,40,"9,179",369,114,120,79,95,195,116,144,66,80,77,46,43,73,37,337,397,182,"2,103","1,552",904,"2,050"
2020,5,50,"11,509",692,230,259,222,266,346,299,332,176,201,225,118,97,186,109,564,706,338,"2,094","1,984",939,"1,126"
2020,5,60,"10,847",671,319,310,288,368,430,359,379,201,253,324,160,130,220,128,810,915,449,"1,357","1,538",734,504
2020,5,70,"7,633",461,254,283,226,340,375,272,260,158,186,288,192,154,207,95,552,626,403,814,874,397,216
2020,5,80,"5,353",360,190,222,176,327,266,188,201,156,194,278,162,121,196,106,280,319,206,528,544,207,126
2020,5,90,888,71,30,54,30,56,56,22,47,27,29,49,20,18,25,14,43,54,24,71,89,39,20
2020,5,100,42,0,0,5,0,1,3,1,3,1,1,0,2,2,2,2,0,5,1,7,2,2,2
2020,6,총,"70,055","3,560","1,446","1,533","1,243","1,676","2,026","1,567","1,716",948,"1,138","1,445",798,642,"1,111",549,"3,373","3,980","2,073","12,536","10,291","5,418","10,986"
2020,6,0,"5,158",182,52,33,28,32,71,43,41,19,35,25,15,11,20,6,106,120,69,"1,056",718,464,"2,012"
2020,6,10,"5,605",205,68,66,50,49,77,61,90,34,46,36,25,19,85,17,207,199,112,"1,483",955,504,"1,217"
2020,6,20,"6,469",255,105,99,72,76,119,121,122,72,58,92,32,27,52,16,256,351,158,"1,610",992,607,"1,177"
2020,6,30,"7,323",289,86,88,62,71,100,87,96,37,56,52,28,19,45,16,229,295,125,"1,401","1,045",604,"2,492"
2020,6,40,"9,188",366,113,119,79,94,191,114,142,68,81,74,45,42,69,39,329,395,187,"2,103","1,549",916,"2,073"
2020,6,50,"11,478",693,229,259,223,262,347,298,335,177,198,233,119,93,185,108,555,699,342,"2,089","1,976",924,"1,134"
2020,6,60,"10,909",675,322,308,294,368,425,360,380,199,253,322,162,133,225,130,812,917,445,"1,367","1,546",753,513
2020,6,70,"7,646",466,254,278,231,337,374,272,261,157,186,286,191,156,206,93,556,625,404,814,881,398,220
2020,6,80,"5,339",359,188,222,173,329,264,188,198,159,193,276,159,120,195,108,280,319,206,532,539,206,126
2020,6,90,898,70,29,56,31,57,55,22,48,25,31,49,20,20,27,14,43,55,24,74,88,40,20
2020,6,100,42,0,0,5,0,1,3,1,3,1,1,0,2,2,2,2,0,5,1,7,2,2,2
2020,7,총,"70,079","3,572","1,451","1,527","1,239","1,670","2,018","1,561","1,714",946,"1,142","1,443",800,635,"1,105",546,"3,356","3,981","2,067","12,580","10,300","5,415","11,011"
2020,7,0,"5,164",184,59,33,27,30,71,42,42,19,33,28,17,10,19,5,105,125,67,"1,058",719,457,"2,014"
2020,7,10,"5,613",208,67,67,50,48,76,61,88,33,46,34,25,19,91,17,206,201,114,"1,481",955,496,"1,230"
2020,7,20,"6,463",252,104,98,71,71,121,121,119,73,57,92,30,27,49,14,255,354,155,"1,622",987,623,"1,168"
2020,7,30,"7,293",286,86,88,64,72,98,85,97,35,57,54,28,19,45,15,227,295,128,"1,405","1,046",586,"2,477"
2020,7,40,"9,199",368,114,119,76,94,190,112,141,68,84,75,47,41,69,39,325,389,184,"2,110","1,553",917,"2,084"
2020,7,50,"11,469",699,225,258,221,265,345,296,337,177,203,228,115,94,179,107,543,694,336,"2,106","1,975",923,"1,143"
2020,7,60,"10,926",676,324,308,293,365,423,362,381,198,252,319,164,132,222,132,814,915,445,"1,372","1,550",759,520
2020,7,70,"7,670",469,257,280,229,340,373,273,259,157,185,286,193,153,208,92,565,625,405,814,881,401,225
