년도,월,나이,홍천군,홍천읍,화촌면,두촌면,내촌면,서석면,동면,남면,서면,북방면,내면,영귀미면
2020,1,총,"35,249","17,529","2,406","1,179","1,234","1,929","2,011","3,172","2,011","2,062","1,716",
2020,1,0,"2,000","1,400",62,22,30,71,45,197,45,65,63,
2020,1,10,"2,812","1,928",89,44,71,110,104,187,76,110,93,
2020,1,20,"3,833","2,252",215,94,70,178,143,457,155,166,103,
2020,1,30,"3,426","2,124",202,47,58,107,121,330,167,160,110,
2020,1,40,"4,569","2,764",244,102,124,192,211,324,214,218,176,
2020,1,50,"6,830","3,107",474,254,255,427,418,567,423,467,438,
2020,1,60,"6,735","2,362",615,323,348,485,527,618,537,492,428,
2020,1,70,"3,418","1,085",350,187,193,239,311,321,274,249,209,
2020,1,80,"1,458",456,132,94,80,108,121,156,103,125,83,
2020,1,90,160,50,20,12,5,12,9,15,17,8,12,
2020,1,100,8,1,3,0,0,0,1,0,0,2,1,
2020,2,총,"35,165","17,480","2,402","1,180","1,236","1,932","1,999","3,156","2,000","2,062","1,718",
2020,2,0,"1,967","1,385",60,22,30,73,42,186,44,60,65,
2020,2,10,"2,782","1,900",88,44,71,111,103,190,75,110,90,
2020,2,20,"3,820","2,257",215,90,66,176,138,454,153,168,103,
2020,2,30,"3,414","2,124",197,49,60,107,120,324,168,157,108,
2020,2,40,"4,552","2,748",245,104,125,194,206,328,211,216,175,
2020,2,50,"6,793","3,089",475,250,254,425,421,559,412,467,441,
2020,2,60,"6,775","2,379",615,329,349,485,529,618,542,497,432,
2020,2,70,"3,417","1,086",349,182,196,240,309,323,274,252,206,
2020,2,80,"1,473",460,132,98,80,109,122,159,104,124,85,
2020,2,90,164,51,23,12,5,12,8,15,17,9,12,
2020,2,100,8,1,3,0,0,0,1,0,0,2,1,
2020,3,총,"35,140","17,455","2,402","1,176","1,242","1,931","2,012","3,145","1,991","2,061","1,725",
2020,3,0,"1,963","1,376",59,20,31,74,44,187,46,60,66,
2020,3,10,"2,746","1,888",87,44,71,109,99,178,73,107,90,
