년도,월,나이,경상북도 경산시,경상북도 경산시 하양읍,경상북도 경산시 진량읍,경상북도 경산시 압량읍,경상북도 경산시 와촌면,경상북도 경산시 자인면,경상북도 경산시 용성면,경상북도 경산시 남산면,경상북도 경산시 압량면,경상북도 경산시 남천면,경상북도 경산시 중방동,경상북도 경산시 중앙동,경상북도 경산시 남부동,경상북도 경산시 서부1동,경상북도 경산시 서부2동,경상북도 경산시 북부동,경상북도 경산시 동부동
2020,1,총,"130,645","12,929","17,505","9,795","2,885","2,760","1,636","1,839",0.0,"1,524","5,241","3,395","10,363","19,438","15,637","7,159","18,539"
2020,1,0,"10,582",860,"1,270","1,157",83,76,41,54,0.0,55,327,115,"1,069","1,616","1,678",508,"1,673"
2020,1,10,"11,160","1,366","1,832",534,158,135,61,75,0.0,52,295,213,940,"2,087","1,167",380,"1,865"
2020,1,20,"16,164","1,669","2,351","1,434",231,214,85,120,0.0,101,770,474,974,"2,216","1,848","1,490","2,187"
2020,1,30,"16,087","1,252","1,799","1,844",218,165,73,105,0.0,102,638,306,"1,462","2,227","2,412","1,084","2,400"
2020,1,40,"20,491","2,129","3,228","1,249",279,254,107,174,0.0,134,705,442,"1,742","3,408","2,382",959,"3,299"
2020,1,50,"22,123","2,051","3,093","1,383",547,547,288,326,0.0,282,"1,045",670,"1,596","3,269","2,747","1,133","3,146"
2020,1,60,"16,809","1,664","1,844","1,090",622,585,377,375,0.0,339,835,554,"1,295","2,406","1,867",886,"2,070"
2020,1,70,"10,621","1,207","1,285",657,410,448,320,306,0.0,256,388,396,854,"1,434","1,041",434,"1,185"
2020,1,80,"5,798",641,737,389,293,290,247,261,0.0,174,209,195,375,684,436,246,621
2020,1,90,753,80,58,53,41,43,35,42,0.0,28,27,27,50,85,57,36,91
2020,1,100,57,10,8,5,3,3,2,1,0.0,1,2,3,6,6,2,3,2
2020,2,총,"130,562","12,852","17,489","9,813","2,877","2,755","1,636","1,838",,"1,525","5,248","3,386","10,366","19,396","15,634","7,183","18,564"
2020,2,0,"10,547",848,"1,277","1,155",84,77,41,56,,53,327,116,"1,071","1,607","1,680",498,"1,657"
2020,2,10,"11,126","1,359","1,814",541,154,135,60,77,,51,295,206,936,"2,082","1,169",378,"1,869"
2020,2,20,"16,057","1,647","2,345","1,422",229,206,81,120,,101,776,466,965,"2,189","1,823","1,503","2,184"
2020,2,30,"15,960","1,225","1,778","1,835",219,169,74,104,,102,630,304,"1,455","2,192","2,393","1,091","2,389"
2020,2,40,"20,507","2,121","3,215","1,258",276,255,108,174,,132,701,446,"1,751","3,408","2,398",960,"3,304"
2020,2,50,"22,167","2,051","3,117","1,393",544,545,292,322,,282,"1,043",667,"1,595","3,268","2,741","1,145","3,162"
2020,2,60,"16,909","1,661","1,840","1,090",622,591,376,375,,342,848,560,"1,306","2,423","1,886",893,"2,096"
2020,2,70,"10,630","1,197","1,292",667,407,446,317,305,,259,389,389,848,"1,440","1,051",438,"1,185"
2020,2,80,"5,830",645,743,394,298,285,248,261,,174,210,202,379,692,435,239,625
2020,2,90,770,88,60,53,41,43,36,43,,27,27,27,54,89,56,35,91
2020,2,100,59,10,8,5,3,3,3,1,,2,2,3,6,6,2,3,2
2020,3,총,"130,707","12,877","17,474","9,822","2,867","2,739","1,635","1,822",,"1,512","5,251","3,372","10,404","19,416","15,619","7,274","18,623"
2020,3,0,"10,487",834,"1,264","1,151",80,79,43,54,,51,324,118,"1,061","1,596","1,674",504,"1,654"
2020,3,10,"11,096","1,351","1,813",546,153,129,56,79,,50,287,196,933,"2,084","1,167",387,"1,865"
2020,3,20,"16,145","1,678","2,343","1,412",226,205,80,115,,97,776,461,975,"2,197","1,815","1,562","2,203"
2020,3,30,"15,898","1,221","1,765","1,851",217,162,75,100,,99,625,302,"1,457","2,172","2,374","1,095","2,383"
2020,3,40,"20,491","2,118","3,200","1,254",276,253,106,175,,127,706,438,"1,766","3,407","2,386",955,"3,324"
2020,3,50,"22,158","2,052","3,127","1,390",539,546,287,318,,280,"1,036",655,"1,590","3,273","2,750","1,146","3,169"
2020,3,60,"17,064","1,672","1,854","1,095",628,590,378,371,,348,866,574,"1,327","2,442","1,903",906,"2,110"
2020,3,70,"10,663","1,200","1,292",671,408,442,319,306,,255,393,387,855,"1,452","1,057",442,"1,184"
2020,3,80,"5,865",654,745,393,296,289,249,258,,176,209,212,377,696,435,240,636
2020,3,90,783,87,63,54,41,42,39,45,,28,27,26,57,91,56,34,93
2020,3,100,57,10,8,5,3,2,3,1,,1,2,3,6,6,2,3,2
2020,4,총,"130,742","12,875","17,479","9,835","2,858","2,739","1,618","1,829",,"1,509","5,260","3,375","10,399","19,394","15,612","7,319","18,641"
2020,4,0,"10,443",829,"1,250","1,148",79,77,39,55,,50,334,114,"1,054","1,582","1,673",509,"1,650"
2020,4,10,"11,076","1,347","1,820",550,148,127,56,80,,50,282,197,924,"2,088","1,146",387,"1,874"
2020,4,20,"16,198","1,687","2,344","1,422",224,200,78,114,,95,778,470,975,"2,191","1,820","1,595","2,205"
2020,4,30,"15,843","1,205","1,758","1,858",215,161,72,102,,96,616,299,"1,463","2,154","2,368","1,107","2,369"
2020,4,40,"20,416","2,117","3,187","1,245",271,251,102,169,,124,708,437,"1,760","3,394","2,379",950,"3,322"
2020,4,50,"22,190","2,052","3,150","1,384",533,547,283,320,,279,"1,035",656,"1,591","3,278","2,756","1,146","3,180"
2020,4,60,"17,141","1,682","1,850","1,100",638,593,377,378,,352,878,570,"1,334","2,455","1,909",903,"2,122"
2020,4,70,"10,686","1,205","1,295",674,406,445,318,300,,258,396,387,855,"1,459","1,058",435,"1,195"
2020,4,80,"5,902",655,752,396,296,291,251,264,,175,205,216,382,693,443,250,633
2020,4,90,791,86,65,53,45,45,40,46,,29,26,26,55,94,58,34,89
2020,4,100,56,10,8,5,3,2,2,1,,1,2,3,6,6,2,3,2
2020,5,총,"130,683","12,869","17,454","9,860","2,855","2,752","1,613","1,824",,"1,502","5,261","3,352","10,404","19,398","15,602","7,343","18,594"
2020,5,0,"10,387",821,"1,241","1,151",81,79,38,56,,47,329,110,"1,050","1,574","1,674",508,"1,628"
2020,5,10,"11,049","1,348","1,813",553,141,125,55,76,,48,277,197,926,"2,087","1,148",389,"1,866"
2020,5,20,"16,224","1,685","2,332","1,431",231,205,77,113,,100,770,465,982,"2,179","1,812","1,617","2,225"
2020,5,30,"15,756","1,199","1,749","1,849",218,159,73,98,,93,614,295,"1,448","2,159","2,358","1,103","2,341"
2020,5,40,"20,347","2,105","3,172","1,259",270,254,100,165,,120,707,430,"1,764","3,390","2,356",943,"3,312"
2020,5,50,"22,250","2,064","3,158","1,380",530,546,282,319,,280,"1,041",651,"1,600","3,289","2,767","1,158","3,185"
2020,5,60,"17,187","1,681","1,865","1,110",637,595,376,386,,350,880,567,"1,338","2,458","1,912",900,"2,132"
2020,5,70,"10,716","1,210","1,292",675,410,449,318,300,,255,404,391,857,"1,466","1,064",439,"1,186"
2020,5,80,"5,914",661,758,394,291,293,250,264,,177,211,218,376,694,451,250,626
2020,5,90,797,85,67,53,43,45,42,46,,32,26,25,57,96,57,33,90
2020,5,100,56,10,7,5,3,2,2,1,,0,2,3,6,6,3,3,3
2020,6,총,"130,563","12,842","17,439","9,878","2,841","2,755","1,606","1,813",,"1,490","5,248","3,351","10,389","19,380","15,598","7,349","18,584"
2020,6,0,"10,303",812,"1,231","1,144",81,77,39,53,,44,321,109,"1,046","1,556","1,674",510,"1,606"
2020,6,10,"11,025","1,334","1,811",558,139,121,51,76,,49,280,194,928,"2,089","1,143",381,"1,871"
2020,6,20,"16,205","1,686","2,317","1,431",223,209,78,115,,100,765,471,980,"2,177","1,804","1,621","2,228"
2020,6,30,"15,685","1,193","1,746","1,852",221,155,73,93,,92,599,292,"1,429","2,150","2,354","1,107","2,329"
2020,6,40,"20,310","2,108","3,164","1,256",263,254,99,165,,113,709,425,"1,773","3,397","2,341",945,"3,298"
2020,6,50,"22,225","2,058","3,160","1,382",530,538,280,317,,281,"1,039",654,"1,596","3,274","2,776","1,158","3,182"
2020,6,60,"17,266","1,680","1,868","1,121",636,601,373,385,,347,885,564,"1,346","2,470","1,918",906,"2,166"
2020,6,70,"10,753","1,216","1,308",676,412,457,320,296,,255,411,393,855,"1,466","1,070",436,"1,182"
2020,6,80,"5,934",661,758,401,289,296,248,266,,177,211,221,374,696,458,250,628
2020,6,90,801,84,69,52,44,45,43,45,,32,26,25,56,99,57,33,91
2020,6,100,56,10,7,5,3,2,2,2,,0,2,3,6,6,3,2,3
2020,7,총,"130,319","12,819","17,352","9,861","2,838","2,740","1,598","1,805",,"1,484","5,244","3,349","10,368","19,372","15,560","7,354","18,575"
2020,7,0,"10,252",807,"1,223","1,141",81,75,39,55,,43,319,110,"1,038","1,537","1,670",507,"1,607"
2020,7,10,"10,976","1,324","1,788",566,142,122,50,74,,49,285,188,920,"2,089","1,134",382,"1,863"
2020,7,20,"16,144","1,674","2,308","1,404",223,204,73,111,,101,766,468,986,"2,182","1,789","1,623","2,232"
2020,7,30,"15,559","1,196","1,719","1,847",221,153,72,93,,87,595,293,"1,405","2,131","2,343","1,107","2,297"
2020,7,40,"20,304","2,100","3,148","1,269",254,251,96,164,,114,715,416,"1,778","3,403","2,342",941,"3,313"
2020,7,50,"22,201","2,059","3,153","1,383",532,535,286,316,,279,"1,025",657,"1,590","3,281","2,778","1,160","3,167"
2020,7,60,"17,325","1,680","1,876","1,117",637,604,372,382,,351,888,569,"1,358","2,476","1,922",908,"2,185"
2020,7,70,"10,748","1,217","1,301",676,410,451,318,298,,254,413,391,860,"1,469","1,069",436,"1,185"
2020,7,80,"5,952",667,760,403,289,300,247,266,,174,207,229,373,697,453,254,633
2020,7,90,801,85,69,51,46,43,43,43,,32,29,25,53,101,57,34,90
2020,7,100,57,10,7,4,3,2,2,3,,0,2,3,7,6,3,2,3
2020,8,총,"130,228","12,837","17,315","9,834","2,828","2,734","1,590","1,815",,"1,481","5,225","3,355","10,350","19,308","15,549","7,361","18,646"
2020,8,0,"10,228",811,"1,215","1,136",79,73,37,56,,43,316,111,"1,038","1,527","1,673",510,"1,603"
2020,8,10,"10,957","1,317","1,778",564,143,121,49,76,,48,289,186,919,"2,073","1,136",376,"1,882"
2020,8,20,"16,094","1,692","2,295","1,387",218,198,72,111,,102,763,468,977,"2,169","1,774","1,633","2,235"
2020,8,30,"15,508","1,194","1,713","1,846",222,155,73,95,,85,592,294,"1,400","2,118","2,324","1,103","2,294"
2020,8,40,"20,281","2,099","3,116","1,268",255,244,95,164,,116,704,420,"1,775","3,387","2,352",951,"3,335"
2020,8,50,"22,173","2,058","3,156","1,383",525,540,282,320,,278,"1,025",653,"1,587","3,273","2,767","1,156","3,170"
2020,8,60,"17,385","1,683","1,896","1,117",633,604,372,379,,351,884,570,"1,358","2,486","1,940",910,"2,202"
2020,8,70,"10,755","1,219","1,302",675,414,453,317,297,,251,412,392,863,"1,467","1,066",432,"1,195"
2020,8,80,"5,981",672,766,402,291,302,247,270,,172,210,233,373,700,453,253,637
2020,8,90,810,82,71,52,45,42,44,44,,35,28,25,53,102,61,36,90
2020,8,100,56,10,7,4,3,2,2,3,,0,2,3,7,6,3,1,3
2020,9,총,"130,226","12,802","17,271","9,854","2,821","2,745","1,602","1,810",,"1,486","5,218","3,340","10,266","19,247","15,511","7,393","18,860"
2020,9,0,"10,156",798,"1,203","1,137",79,75,39,57,,41,317,111,"1,018","1,504","1,667",518,"1,592"
2020,9,10,"10,945","1,326","1,773",563,142,117,51,75,,50,287,180,917,"2,061","1,120",371,"1,912"
2020,9,20,"16,114","1,662","2,274","1,402",217,208,72,108,,99,769,471,963,"2,159","1,768","1,653","2,289"
2020,9,30,"15,411","1,192","1,700","1,836",217,154,76,94,,86,587,290,"1,375","2,099","2,304","1,097","2,304"
2020,9,40,"20,294","2,096","3,101","1,271",258,243,93,164,,118,701,414,"1,768","3,376","2,356",953,"3,382"
2020,9,50,"22,168","2,057","3,165","1,384",521,540,284,321,,276,"1,016",648,"1,574","3,260","2,761","1,158","3,203"
2020,9,60,"17,469","1,685","1,899","1,121",637,605,373,379,,353,890,576,"1,359","2,495","1,947",918,"2,232"
2020,9,70,"10,778","1,223","1,304",678,414,456,317,294,,255,412,389,856,"1,473","1,067",433,"1,207"
2020,9,80,"6,007",671,769,406,288,300,250,271,,171,208,232,376,711,456,254,644
2020,9,90,828,82,76,52,45,44,45,44,,37,29,26,53,104,62,37,92
2020,9,100,56,10,7,4,3,3,2,3,,0,2,3,7,5,3,1,3
2020,10,총,"130,366","12,825","17,258","9,846","2,799","2,746","1,593","1,806",,"1,493","5,201","3,348","10,252","19,186","15,498","7,394","19,121"
2020,10,0,"10,085",790,"1,188","1,124",80,76,40,56,,43,307,113,"1,012","1,477","1,657",518,"1,604"
2020,10,10,"10,936","1,324","1,759",567,139,117,52,76,,50,290,178,921,"2,053","1,111",368,"1,931"
2020,10,20,"16,166","1,682","2,286","1,411",208,208,66,108,,102,764,465,964,"2,159","1,766","1,639","2,338"
2020,10,30,"15,375","1,179","1,699","1,825",220,154,75,85,,88,583,294,"1,361","2,071","2,286","1,108","2,347"
2020,10,40,"20,292","2,100","3,093","1,276",245,239,96,163,,120,697,410,"1,766","3,351","2,359",959,"3,418"
2020,10,50,"22,206","2,065","3,160","1,375",514,543,274,324,,275,"1,021",649,"1,561","3,271","2,765","1,156","3,253"
2020,10,60,"17,611","1,700","1,911","1,132",642,606,381,384,,354,891,586,"1,371","2,505","1,959",921,"2,268"
2020,10,70,"10,770","1,215","1,313",667,413,459,314,291,,256,409,388,856,"1,471","1,072",431,"1,215"
2020,10,80,"6,032",679,767,410,290,298,248,269,,170,209,235,375,719,459,256,648
2020,10,90,838,81,75,55,45,43,45,47,,35,28,27,58,104,62,37,96
2020,10,100,55,10,7,4,3,3,2,3,,0,2,3,7,5,2,1,3
2020,11,총,"130,578","12,777","17,369","9,821","2,782","2,743","1,581","1,816",,"1,491","5,196","3,341","10,244","19,183","15,517","7,438","19,279"
2020,11,0,"10,044",785,"1,181","1,119",79,75,37,61,,44,309,112,"1,014","1,457","1,662",512,"1,597"
2020,11,10,"10,908","1,311","1,760",562,133,116,53,75,,50,288,177,907,"2,063","1,117",364,"1,932"
2020,11,20,"16,231","1,680","2,303","1,406",204,199,65,108,,104,770,463,969,"2,162","1,753","1,662","2,383"
2020,11,30,"15,382","1,157","1,719","1,815",217,157,75,87,,88,570,293,"1,354","2,064","2,299","1,120","2,367"
2020,11,40,"20,268","2,089","3,099","1,271",244,233,93,165,,115,685,407,"1,762","3,340","2,360",952,"3,453"
2020,11,50,"22,287","2,066","3,206","1,374",514,545,269,321,,276,"1,022",647,"1,555","3,278","2,759","1,168","3,287"
2020,11,60,"17,717","1,702","1,931","1,137",646,615,388,385,,350,901,588,"1,379","2,511","1,965",929,"2,290"
