년도,월,나이,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사면,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 동백동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동,경기도 용인시 처인구 남사읍,경기도 용인시 처인구 역북동,경기도 용인시 처인구 삼가동,경기도 용인시 수지구 죽전3동,경기도 용인시 수지구 상현3동
2020,1,총,"1,061,440","253,896","32,956","25,699","20,150","23,002","8,266","8,460","18,289","24,251","43,823","35,736","13,264","437,146","38,976",0.0,"30,800","16,397","42,138","13,599","33,283","21,005","25,345","39,497","32,354","32,984","27,345","22,397",0.0,"24,868","36,158","370,398","36,234","42,213","38,101","57,081","18,673","46,084","48,985","34,300","48,727",,,,,
2020,1,0,"105,068","22,151","2,498","2,040","1,682","3,108",355,253,"1,337","1,666","5,078","3,365",769,"45,547","3,608",0.0,"3,765","1,874","4,553","1,078","3,289","1,998","3,356","3,669","2,889","3,801","2,857","3,053",0.0,"2,168","3,589","37,370","2,969","4,887","3,731","5,536","1,632","5,288","4,921","3,497","4,909",,,,,
2020,1,10,"122,792","25,261","3,800","2,370","1,864","1,718",577,518,"1,882","2,240","4,509","4,549","1,234","51,659","3,814",0.0,"3,634","1,289","3,536","1,399","4,372","2,172","2,394","4,971","3,161","5,794","4,750","2,898",0.0,"2,960","4,515","45,872","3,904","6,003","5,336","7,312","1,658","5,092","6,397","4,334","5,836",,,,,
2020,1,20,"132,617","33,268","4,599","3,187","2,080","1,998",796,831,"2,212","4,299","6,650","4,730","1,886","53,920","5,108",0.0,"3,703","2,085","6,472","1,939","3,896","2,400","4,520","4,163","3,997","3,344","2,970","2,130",0.0,"3,261","3,932","45,429","5,369","5,008","4,035","7,579","2,785","5,267","6,294","3,886","5,206",,,,,
2020,1,30,"148,937","34,718","4,042","3,182","2,407","4,336",741,748,"2,288","3,128","7,593","4,756","1,497","62,185","6,344",0.0,"5,028","3,004","8,310","1,951","4,099","2,847","4,837","4,561","4,262","3,665","2,669","3,188",0.0,"2,994","4,426","52,034","6,130","6,368","4,165","7,340","3,420","7,501","6,943","4,499","5,668",,,,,
2020,1,40,"200,806","43,359","6,094","4,342","3,401","3,788","1,125","1,061","3,043","3,909","7,623","6,875","2,098","84,864","6,791",0.0,"6,182","2,632","7,167","2,495","6,606","3,811","4,273","7,932","5,470","8,114","6,466","4,888",0.0,"4,656","7,381","72,583","6,390","9,165","8,186","11,237","3,081","8,874","9,567","6,640","9,443",,,,,
2020,1,50,"158,617","42,553","5,690","4,565","3,693","3,170","1,647","1,702","3,288","4,116","6,238","5,840","2,604","63,270","6,126",0.0,"4,531","2,589","6,247","2,210","4,790","3,322","3,198","5,569","4,931","4,185","3,968","2,536",0.0,"4,138","4,930","52,794","5,329","5,647","5,480","8,379","2,843","6,434","6,872","4,956","6,854",,,,,
2020,1,60,"99,383","28,782","3,361","3,344","2,679","2,727","1,557","1,673","2,361","2,729","3,476","3,044","1,831","38,768","3,757",0.0,"2,365","1,519","3,305","1,224","3,190","2,449","1,646","4,123","3,638","1,987","1,860","1,803",0.0,"2,507","3,395","31,833","3,041","2,373","3,358","4,848","1,704","4,234","4,012","3,000","5,263",,,,,
2020,1,70,"63,594","15,545","1,851","1,789","1,468","1,474",925,952,"1,158","1,424","1,821","1,753",930,"25,369","2,328",0.0,"1,085",741,"1,799",900,"2,142","1,380",780,"3,126","2,756","1,437","1,221","1,391",0.0,"1,474","2,809","22,680","2,112","1,774","2,682","3,273","1,023","2,452","2,796","2,488","4,080",,,,,
2020,1,80,"25,571","7,121",918,763,746,588,471,622,600,631,710,732,340,"9,958",968,0.0,434,521,635,361,777,547,289,"1,191","1,088",576,500,441,0.0,616,"1,014","8,492",870,873,997,"1,383",451,799,"1,002",852,"1,265",,,,,
2020,1,90,"3,877","1,068",102,110,123,89,67,93,112,97,116,90,69,"1,546",126,0.0,73,141,106,39,118,76,49,187,153,78,79,68,0.0,91,162,"1,263",112,110,128,190,75,140,171,143,194,,,,,
2020,1,100,178,70,1,7,7,6,5,7,8,12,9,2,6,60,6,0.0,0,2,8,3,4,3,3,5,9,3,5,1,0.0,3,5,48,8,5,3,4,1,3,10,5,9,,,,,
2020,2,총,"1,063,650","253,982","32,970","25,730","20,080","23,139","8,270","8,436","18,293","24,290","43,830","35,711","13,233","437,811","39,025",,"30,727","16,659","42,050","13,562","33,336","21,072","25,386","39,472","32,458","32,918","27,386","22,641",,"24,873","36,246","371,857","36,605","42,246","38,260","57,149","18,678","46,265","49,025","34,348","49,281",,,,,
2020,2,0,"104,994","22,045","2,483","2,024","1,660","3,142",356,250,"1,330","1,648","5,047","3,348",757,"45,316","3,585",,"3,723","1,887","4,487","1,062","3,279","1,996","3,342","3,626","2,879","3,778","2,869","3,048",,"2,157","3,598","37,633","2,976","4,979","3,766","5,512","1,604","5,326","4,963","3,511","4,996",,,,,
2020,2,10,"122,626","25,171","3,764","2,361","1,848","1,742",561,509,"1,874","2,239","4,528","4,525","1,220","51,524","3,807",,"3,612","1,280","3,543","1,376","4,371","2,168","2,397","4,946","3,150","5,745","4,739","2,934",,"2,933","4,523","45,931","3,912","5,942","5,368","7,325","1,661","5,090","6,370","4,336","5,927",,,,,
2020,2,20,"132,731","33,279","4,616","3,189","2,080","2,003",796,816,"2,195","4,327","6,650","4,713","1,894","54,178","5,123",,"3,689","2,193","6,474","1,949","3,873","2,412","4,554","4,171","4,017","3,369","2,993","2,110",,"3,290","3,961","45,274","5,372","4,962","4,014","7,592","2,772","5,263","6,225","3,857","5,217",,,,,
2020,2,30,"148,717","34,600","4,048","3,182","2,387","4,337",739,756,"2,279","3,123","7,535","4,727","1,487","61,914","6,337",,"4,976","3,076","8,252","1,947","4,095","2,854","4,772","4,556","4,275","3,616","2,639","3,202",,"2,951","4,366","52,203","6,169","6,417","4,192","7,296","3,403","7,483","6,976","4,516","5,751",,,,,
2020,2,40,"201,254","43,423","6,080","4,357","3,396","3,840","1,126","1,054","3,048","3,910","7,643","6,880","2,089","84,932","6,821",,"6,178","2,663","7,134","2,480","6,618","3,819","4,325","7,911","5,488","8,079","6,465","4,928",,"4,640","7,383","72,899","6,388","9,187","8,228","11,246","3,096","8,939","9,590","6,654","9,571",,,,,
2020,2,50,"159,461","42,571","5,707","4,567","3,683","3,169","1,641","1,688","3,309","4,116","6,242","5,860","2,589","63,766","6,125",,"4,569","2,625","6,289","2,221","4,843","3,348","3,198","5,598","4,957","4,245","4,011","2,551",,"4,177","5,009","53,124","5,389","5,635","5,520","8,425","2,863","6,486","6,889","4,967","6,950",,,,,
2020,2,60,"100,225","29,069","3,405","3,380","2,690","2,749","1,579","1,692","2,380","2,757","3,516","3,072","1,849","39,030","3,791",,"2,391","1,522","3,318","1,218","3,203","2,468","1,671","4,156","3,666","1,991","1,865","1,851",,"2,532","3,387","32,126","3,196","2,377","3,354","4,882","1,718","4,271","4,019","3,009","5,300",,,,,
2020,2,70,"63,755","15,526","1,842","1,790","1,454","1,477",926,949,"1,159","1,427","1,822","1,754",926,"25,484","2,324",,"1,085",743,"1,808",901,"2,155","1,389",777,"3,114","2,770","1,436","1,218","1,461",,"1,482","2,821","22,745","2,190","1,756","2,692","3,276","1,034","2,440","2,794","2,480","4,083",,,,,
