년도,월,나이,경기도 동두천시,경기도 동두천시 생연1동,경기도 동두천시 생연2동,경기도 동두천시 중앙동,경기도 동두천시 보산동,경기도 동두천시 불현동,경기도 동두천시 송내동,경기도 동두천시 소요동,경기도 동두천시 상패동
2020,1,총,"47,276","3,452","5,758","2,712","1,480","13,897","12,791","4,520","2,666"
2020,1,0,"3,566",257,448,99,80,"1,114","1,273",195,100
2020,1,10,"4,515",273,626,123,86,"1,431","1,548",282,146
2020,1,20,"6,110",427,728,276,212,"1,924","1,711",541,291
2020,1,30,"5,430",408,574,274,151,"1,612","1,708",427,276
2020,1,40,"7,656",514,993,366,211,"2,185","2,350",656,381
2020,1,50,"8,652",655,"1,015",628,298,"2,560","2,028",892,576
2020,1,60,"6,052",506,671,541,248,"1,705","1,096",794,491
2020,1,70,"3,619",273,456,272,143,948,732,506,289
2020,1,80,"1,501",126,232,100,46,385,313,201,98
2020,1,90,157,13,13,28,5,30,31,22,15
2020,1,100,18,0,2,5,0,3,1,4,3
2020,2,총,"47,156","3,457","5,708","2,688","1,479","13,864","12,796","4,496","2,668"
2020,2,0,"3,521",259,429,98,80,"1,095","1,270",193,97
2020,2,10,"4,495",272,626,120,85,"1,421","1,545",280,146
2020,2,20,"6,062",419,714,270,212,"1,921","1,703",530,293
2020,2,30,"5,410",411,578,267,147,"1,603","1,706",421,277
2020,2,40,"7,620",520,982,357,214,"2,171","2,342",654,380
2020,2,50,"8,652",656,"1,009",626,294,"2,560","2,046",890,571
2020,2,60,"6,094",506,675,544,253,"1,723","1,109",790,494
2020,2,70,"3,605",270,450,273,141,945,727,508,291
2020,2,80,"1,518",130,230,99,48,391,315,203,102
2020,2,90,161,14,13,29,5,31,32,23,14
2020,2,100,18,0,2,5,0,3,1,4,3
2020,3,총,"47,048","3,440","5,708","2,688","1,477","13,807","12,778","4,487","2,663"
2020,3,0,"3,496",257,436,93,84,"1,080","1,257",195,94
2020,3,10,"4,466",270,620,121,87,"1,404","1,541",276,147
2020,3,20,"6,038",421,712,272,209,"1,907","1,704",520,293
2020,3,30,"5,385",408,572,277,150,"1,596","1,679",428,275
2020,3,40,"7,523",505,972,349,209,"2,152","2,315",644,377
2020,3,50,"8,682",656,"1,019",624,293,"2,551","2,076",893,570
2020,3,60,"6,130",512,679,540,249,"1,745","1,118",793,494
2020,3,70,"3,614",267,450,276,144,944,733,506,294
2020,3,80,"1,532",130,232,102,47,393,321,205,102
2020,3,90,164,14,14,29,5,32,33,23,14
2020,3,100,18,0,2,5,0,3,1,4,3
2020,4,총,"47,015","3,429","5,685","2,687","1,475","13,817","12,766","4,489","2,667"
2020,4,0,"3,464",258,435,92,83,"1,064","1,240",196,96
2020,4,10,"4,456",270,613,120,87,"1,408","1,541",276,141
2020,4,20,"6,059",424,717,267,206,"1,915","1,712",520,298
2020,4,30,"5,369",403,564,272,152,"1,614","1,658",431,275
2020,4,40,"7,499",503,965,351,204,"2,142","2,318",639,377
2020,4,50,"8,663",645,"1,017",624,298,"2,544","2,078",890,567
2020,4,60,"6,154",514,680,547,245,"1,757","1,118",798,495
2020,4,70,"3,628",269,449,275,145,942,743,508,297
2020,4,80,"1,539",129,229,104,50,397,324,202,104
2020,4,90,166,14,14,30,5,31,33,25,14
2020,4,100,18,0,2,5,0,3,1,4,3
2020,5,총,"46,946","3,432","5,663","2,686","1,472","13,759","12,797","4,479","2,658"
2020,5,0,"3,437",257,423,91,83,"1,058","1,238",193,94
2020,5,10,"4,435",265,613,119,85,"1,391","1,547",277,138
2020,5,20,"6,057",426,714,268,205,"1,909","1,725",513,297
2020,5,30,"5,339",405,560,268,151,"1,599","1,653",425,278
2020,5,40,"7,477",498,949,352,206,"2,137","2,327",643,365
2020,5,50,"8,672",649,"1,026",627,295,"2,530","2,083",891,571
2020,5,60,"6,170",518,688,548,248,"1,761","1,119",795,493
2020,5,70,"3,639",271,445,276,145,947,743,512,300
2020,5,80,"1,535",129,228,102,49,393,328,201,105
2020,5,90,167,14,15,30,5,31,33,25,14
2020,5,100,18,0,2,5,0,3,1,4,3
