년도,월,나이,서울특별시 강서구,서울특별시 강서구 염창동,서울특별시 강서구 등촌제1동,서울특별시 강서구 등촌제2동,서울특별시 강서구 등촌제3동,서울특별시 강서구 화곡제1동,서울특별시 강서구 화곡제2동,서울특별시 강서구 화곡제3동,서울특별시 강서구 화곡제4동,서울특별시 강서구 화곡본동,서울특별시 강서구 화곡제6동,서울특별시 강서구 화곡제8동,서울특별시 강서구 가양제1동,서울특별시 강서구 가양제2동,서울특별시 강서구 가양제3동,서울특별시 강서구 발산제1동,서울특별시 강서구 우장산동,서울특별시 강서구 공항동,서울특별시 강서구 방화제1동,서울특별시 강서구 방화제2동,서울특별시 강서구 방화제3동
2020,1,총,"286,309","20,707","11,131","10,719","15,287","26,078","9,262","10,813","10,629","17,316","12,311","12,496","15,773","7,142","7,561","18,264","21,382","13,847","22,124","11,707","11,760"
2020,1,0,"22,322","2,240",731,802,932,"1,595",726,746,686,"1,302",724,794,"1,022",285,452,"1,972","2,077","1,417","2,346",664,809
2020,1,10,"24,032","2,380",850,963,"1,218","1,348",798,868,748,"1,422",978,890,"1,024",274,345,"2,479","2,686",912,"2,164",828,857
2020,1,20,"41,168","2,673","1,885","1,750","2,246","4,161","1,292","1,579","1,585","2,741","1,997","1,904","2,895",850,967,"2,336","2,600","1,964","2,664","1,666","1,413"
2020,1,30,"52,040","3,536","2,708","1,844","2,373","5,938","1,655","1,697","1,874","3,557","2,166","2,394","4,152","1,358","1,663","2,233","2,837","2,748","3,384","1,953","1,970"
2020,1,40,"46,889","3,847","1,664","1,542","1,995","4,062","1,623","1,591","1,708","2,959","1,905","2,088","2,363",766,"1,064","3,594","4,146","2,273","4,060","1,770","1,869"
2020,1,50,"42,284","2,988","1,503","1,679","2,631","3,639","1,353","1,657","1,693","2,311","1,911","1,742","2,020","1,165","1,116","2,744","3,293","1,943","3,203","1,876","1,817"
2020,1,60,"34,413","1,983","1,017","1,326","2,317","3,065","1,058","1,593","1,356","1,802","1,664","1,499","1,538","1,546","1,150","1,661","2,247","1,516","2,619","1,698","1,758"
2020,1,70,"17,676",807,481,640,"1,067","1,809",613,875,753,951,779,954,581,670,602,957,"1,198",799,"1,292",921,927
2020,1,80,"4,869",232,242,157,427,413,132,180,206,241,169,213,156,200,184,262,267,249,349,295,295
