년도,월,나이,함평군,함평읍,손불면,신광면,학교면,엄다면,대동면,나산면,해보면,월야면
2020,1,총,"16,414","4,413","1,731",964,"2,005","1,016","1,544","1,478","1,473","1,790"
2020,1,0,718,278,86,36,63,32,45,56,57,65
2020,1,10,"1,024",365,96,35,117,43,112,78,68,110
2020,1,20,"1,143",408,77,71,117,49,99,97,121,104
2020,1,30,"1,022",367,86,50,101,47,87,75,100,109
2020,1,40,"1,498",540,132,72,157,75,133,108,144,137
2020,1,50,"2,437",646,252,138,313,168,219,222,225,254
2020,1,60,"2,796",640,306,197,353,168,269,281,270,312
2020,1,70,"3,109",636,404,186,408,226,305,280,267,397
2020,1,80,"2,301",464,260,151,320,184,235,240,187,260
2020,1,90,343,65,31,27,53,23,39,39,27,39
2020,1,100,23,4,1,1,3,1,1,2,7,3
2020,2,총,"16,394","4,391","1,741",972,"1,996","1,016","1,547","1,483","1,463","1,785"
2020,2,0,721,281,87,35,62,32,46,58,53,67
2020,2,10,"1,011",358,97,33,114,43,112,79,67,108
2020,2,20,"1,124",397,76,70,114,49,99,95,120,104
2020,2,30,"1,027",366,88,53,105,48,85,76,98,108
2020,2,40,"1,497",542,132,74,153,75,137,106,144,134
2020,2,50,"2,427",646,252,135,308,167,220,222,225,252
2020,2,60,"2,802",632,309,206,355,167,271,283,267,312
2020,2,70,"3,086",633,404,187,403,225,296,281,263,394
2020,2,80,"2,323",465,265,150,322,185,241,240,192,263
2020,2,90,353,67,30,28,57,24,39,41,27,40
2020,2,100,23,4,1,1,3,1,1,2,7,3
2020,3,총,"16,319","4,363","1,736",964,"1,978","1,013","1,548","1,488","1,451","1,778"
2020,3,0,711,270,89,32,61,31,47,58,55,68
2020,3,10,997,351,96,32,111,43,113,78,66,107
2020,3,20,"1,119",396,73,70,116,50,100,93,117,104
2020,3,30,"1,018",364,88,52,103,46,81,80,98,106
2020,3,40,"1,479",535,126,73,150,75,141,109,139,131
2020,3,50,"2,414",644,253,135,306,164,220,222,218,252
2020,3,60,"2,792",631,304,205,352,168,271,283,267,311
2020,3,70,"3,070",632,409,183,399,224,295,277,262,389
2020,3,80,"2,336",468,264,153,318,187,240,244,194,268
2020,3,90,360,68,33,28,59,24,39,42,28,39
2020,3,100,23,4,1,1,3,1,1,2,7,3
2020,4,총,"16,280","4,346","1,730",965,"1,974","1,005","1,544","1,488","1,454","1,774"
2020,4,0,703,270,89,33,62,28,44,57,53,67
2020,4,10,988,348,97,32,109,43,109,79,65,106
2020,4,20,"1,113",395,69,70,112,50,103,93,117,104
2020,4,30,"1,012",360,87,52,102,45,82,79,99,106
2020,4,40,"1,471",534,127,71,149,74,136,111,140,129
2020,4,50,"2,398",636,248,133,306,163,221,221,220,250
2020,4,60,"2,798",634,304,207,353,168,274,282,264,312
2020,4,70,"3,061",626,411,181,398,221,294,277,267,386
2020,4,80,"2,349",470,264,157,321,187,242,243,194,271
2020,4,90,364,69,33,28,59,25,38,44,28,40
2020,4,100,23,4,1,1,3,1,1,2,7,3
2020,5,총,"16,222","4,328","1,724",960,"1,973","1,006","1,538","1,476","1,443","1,774"
2020,5,0,694,264,87,33,63,29,44,56,52,66
2020,5,10,986,350,95,32,112,45,108,76,63,105
2020,5,20,"1,089",390,67,68,108,48,100,86,115,107
2020,5,30,999,357,83,49,102,46,83,80,95,104
2020,5,40,"1,465",530,125,71,150,75,136,113,139,126
2020,5,50,"2,380",630,244,132,309,162,220,213,219,251
2020,5,60,"2,803",638,307,204,349,168,275,283,265,314
2020,5,70,"3,055",626,408,183,397,216,294,280,265,386
2020,5,80,"2,363",469,274,158,324,191,237,244,195,271
2020,5,90,364,70,33,29,56,25,40,43,28,40
2020,5,100,24,4,1,1,3,1,1,2,7,4
2020,6,총,"16,179","4,321","1,728",955,"1,971","1,007","1,528","1,472","1,430","1,767"
2020,6,0,692,264,86,34,63,28,46,55,50,66
2020,6,10,982,347,96,30,113,45,105,77,63,106
2020,6,20,"1,072",384,69,64,105,48,100,86,112,104
2020,6,30,"1,008",367,85,51,106,46,83,79,90,101
2020,6,40,"1,459",529,123,70,151,75,133,111,143,124
2020,6,50,"2,351",623,243,131,301,163,216,209,216,249
2020,6,60,"2,821",642,308,205,352,169,278,286,262,319
2020,6,70,"3,038",623,406,181,399,217,289,279,261,383
2020,6,80,"2,368",471,278,158,322,190,235,245,198,271
2020,6,90,365,68,33,30,56,25,42,43,28,40
2020,6,100,23,3,1,1,3,1,1,2,7,4
2020,7,총,"16,153","4,321","1,728",950,"1,968","1,009","1,530","1,464","1,420","1,763"
2020,7,0,689,266,82,33,65,30,46,51,51,65
2020,7,10,982,351,94,31,108,45,109,75,63,106
2020,7,20,"1,050",375,76,62,105,47,96,82,107,100
2020,7,30,"1,009",370,83,48,106,47,82,80,91,102
2020,7,40,"1,445",523,123,70,149,74,132,110,139,125
2020,7,50,"2,351",624,245,131,301,160,217,211,213,249
2020,7,60,"2,823",645,304,205,351,171,278,285,266,318
2020,7,70,"3,047",625,408,180,401,218,291,279,259,386
2020,7,80,"2,367",470,278,159,323,191,236,245,196,269
2020,7,90,367,69,34,30,56,25,42,44,28,39
2020,7,100,23,3,1,1,3,1,1,2,7,4
2020,8,총,"16,108","4,317","1,717",945,"1,960","1,009","1,527","1,463","1,413","1,757"
2020,8,0,685,271,81,31,65,28,44,49,50,66
2020,8,10,975,354,94,31,107,42,106,74,62,105
2020,8,20,"1,044",372,76,63,101,50,91,83,109,99
2020,8,30,"1,009",368,80,48,107,47,84,81,90,104
2020,8,40,"1,441",526,123,68,150,74,132,108,137,123
2020,8,50,"2,335",620,242,132,297,157,220,208,212,247
