년도,월,나이,강원도 평창군,강원도 평창군 평창읍,강원도 평창군 미탄면,강원도 평창군 방림면,강원도 평창군 방림면계촌출장소,강원도 평창군 대화면,강원도 평창군 봉평면,강원도 평창군 용평면,강원도 평창군 진부면,강원도 평창군 대관령면
2020,3,총,"21,424","4,396",881,436,859,"2,721","2,987","1,570","4,470","3,104"
2020,3,0,"1,003",231,18,21,22,121,133,60,242,155
2020,3,10,"1,592",385,50,21,37,178,245,112,352,212
2020,3,20,"1,964",444,57,30,51,242,253,123,422,342
2020,3,30,"1,792",387,49,17,48,192,279,92,349,379
2020,3,40,"3,024",606,124,40,85,382,428,221,636,502
2020,3,50,"4,378",865,199,94,200,528,618,363,897,614
2020,3,60,"4,359",843,228,121,258,599,599,350,876,485
2020,3,70,"2,326",430,118,59,115,325,321,160,512,286
2020,3,80,894,189,35,32,41,135,104,80,162,116
2020,3,90,81,14,3,1,2,18,7,8,17,11
2020,3,100,11,2,0,0,0,1,0,1,5,2
2020,4,총,"21,394","4,385",885,434,855,"2,718","2,974","1,568","4,476","3,099"
2020,4,0,997,231,18,19,22,121,131,61,240,154
2020,4,10,"1,580",377,48,22,34,176,247,112,354,210
2020,4,20,"1,955",445,60,29,55,241,245,122,422,336
2020,4,30,"1,793",386,48,17,48,195,281,91,347,380
2020,4,40,"2,999",604,124,38,81,377,419,222,632,502
2020,4,50,"4,361",860,198,92,197,529,614,359,900,612
2020,4,60,"4,386",845,232,125,259,599,606,349,879,492
2020,4,70,"2,326",433,120,59,116,324,315,162,513,284
2020,4,80,904,187,34,32,41,137,109,81,167,116
2020,4,90,82,15,3,1,2,18,7,8,17,11
2020,4,100,11,2,0,0,0,1,0,1,5,2
2020,5,총,"21,376","4,372",879,441,856,"2,704","2,979","1,568","4,468","3,109"
2020,5,0,979,226,18,19,22,119,127,61,238,149
2020,5,10,"1,589",377,46,25,33,177,252,117,351,211
2020,5,20,"1,960",446,61,29,57,238,245,122,422,340
2020,5,30,"1,772",382,47,18,47,189,277,91,344,377
2020,5,40,"2,981",592,120,38,81,378,421,216,625,510
2020,5,50,"4,361",860,199,92,196,525,614,361,900,614
2020,5,60,"4,401",848,233,128,259,599,609,347,883,495
2020,5,70,"2,326",437,118,58,118,317,315,163,513,287
2020,5,80,917,188,34,33,41,145,112,81,170,113
2020,5,90,79,14,3,1,2,16,7,8,17,11
2020,5,100,11,2,0,0,0,1,0,1,5,2
2020,6,총,"21,339","4,363",878,451,858,"2,700","2,982","1,570","4,435","3,102"
2020,6,0,966,219,19,19,22,116,128,63,232,148
2020,6,10,"1,586",372,43,25,33,177,251,119,355,211
2020,6,20,"1,958",448,63,32,57,238,246,116,419,339
2020,6,30,"1,755",376,46,17,47,188,271,91,344,375
2020,6,40,"2,956",587,119,39,80,375,421,218,614,503
2020,6,50,"4,336",864,197,93,199,517,615,360,882,609
2020,6,60,"4,445",854,234,133,258,609,616,351,887,503
2020,6,70,"2,330",439,119,59,119,318,316,163,511,286
2020,6,80,919,189,35,33,41,145,111,80,170,115
2020,6,90,77,13,3,1,2,16,7,8,16,11
2020,6,100,11,2,0,0,0,1,0,1,5,2
2020,7,총,"21,331","4,349",879,454,860,"2,696","2,991","1,564","4,420","3,118"
2020,7,0,963,220,19,18,22,112,131,62,231,148
2020,7,10,"1,564",365,44,25,30,176,249,115,351,209
2020,7,20,"1,957",438,64,34,56,233,245,117,420,350
2020,7,30,"1,744",376,43,17,49,186,268,88,340,377
2020,7,40,"2,952",585,120,39,81,372,425,216,606,508
2020,7,50,"4,343",859,196,95,200,519,616,361,886,611
2020,7,60,"4,463",862,236,132,260,616,622,349,884,502
2020,7,70,"2,335",441,118,59,120,320,318,163,512,284
2020,7,80,923,188,36,34,40,145,111,84,169,116
2020,7,90,75,13,3,0,2,16,6,8,16,11
2020,7,100,12,2,0,1,0,1,0,1,5,2
2020,8,총,"21,350","4,355",877,455,863,"2,701","2,989","1,562","4,424","3,124"
2020,8,0,959,221,19,17,22,110,130,60,232,148
2020,8,10,"1,567",367,43,26,30,177,251,115,347,211
2020,8,20,"1,956",440,62,34,56,231,245,116,427,345
2020,8,30,"1,724",368,41,17,51,187,264,86,336,374
2020,8,40,"2,944",586,120,39,81,368,421,218,606,505
2020,8,50,"4,355",865,196,94,198,521,615,362,883,621
2020,8,60,"4,493",864,239,134,259,623,631,347,890,506
2020,8,70,"2,324",438,116,59,123,316,313,164,513,282
2020,8,80,943,192,38,34,41,152,113,85,168,120
2020,8,90,74,13,3,0,2,15,6,8,17,10
2020,8,100,11,1,0,1,0,1,0,1,5,2
2020,9,총,"21,321","4,344",874,455,868,"2,690","2,997","1,562","4,424","3,107"
2020,9,0,955,216,17,17,25,108,134,60,229,149
2020,9,10,"1,559",365,43,25,31,171,251,115,348,210
2020,9,20,"1,946",435,65,35,56,231,248,115,420,341
2020,9,30,"1,708",366,41,18,51,182,265,84,334,367
2020,9,40,"2,940",587,119,40,81,365,418,220,604,506
2020,9,50,"4,338",860,194,92,197,524,615,357,886,613
2020,9,60,"4,521",869,239,133,259,629,633,355,895,509
2020,9,70,"2,316",439,114,59,124,313,312,160,517,278
2020,9,80,952,192,39,35,42,152,115,87,169,121
2020,9,90,75,14,3,0,2,14,6,8,17,11
2020,9,100,11,1,0,1,0,1,0,1,5,2
2020,10,총,"21,324","4,345",878,452,874,"2,693","2,983","1,554","4,422","3,123"
2020,10,0,947,218,18,17,26,109,131,55,229,144
2020,10,10,"1,551",367,44,23,32,169,248,110,342,216
2020,10,20,"1,957",433,66,36,56,229,245,118,425,349
2020,10,30,"1,695",361,43,19,51,179,259,82,334,367
2020,10,40,"2,932",581,120,39,81,365,416,217,606,507
2020,10,50,"4,326",868,187,88,197,526,610,358,878,614
2020,10,60,"4,555",871,243,136,260,633,640,359,898,515
2020,10,70,"2,315",439,114,59,128,310,313,159,518,275
2020,10,80,960,192,40,34,41,158,115,87,169,124
2020,10,90,75,14,3,0,2,14,6,8,18,10
2020,10,100,11,1,0,1,0,1,0,1,5,2
2020,11,총,"21,306","4,335",877,452,873,"2,686","2,996","1,549","4,417","3,121"
2020,11,0,934,213,16,16,24,106,133,55,227,144
2020,11,10,"1,544",369,44,22,33,168,244,108,340,216
2020,11,20,"1,974",437,67,38,56,233,244,119,431,349
2020,11,30,"1,678",361,42,18,50,169,260,82,328,368
2020,11,40,"2,920",574,119,39,81,364,419,215,604,505
2020,11,50,"4,312",859,190,88,195,527,611,355,875,612
2020,11,60,"4,583",874,243,137,262,637,647,360,903,520
2020,11,70,"2,320",440,115,59,129,308,317,160,519,273
2020,11,80,956,194,38,34,41,159,115,86,167,122
2020,11,90,74,13,3,0,2,14,6,8,18,10
2020,11,100,11,1,0,1,0,1,0,1,5,2
2020,12,총,"21,321","4,342",882,452,871,"2,694","2,995","1,554","4,409","3,122"
2020,12,0,920,210,18,15,24,104,130,53,222,144
2020,12,10,"1,537",367,44,22,33,166,240,110,340,215
2020,12,20,"1,992",447,68,37,53,236,251,119,432,349
2020,12,30,"1,664",354,40,18,52,173,253,80,328,366
2020,12,40,"2,910",571,119,41,80,363,419,216,595,506
2020,12,50,"4,323",864,190,87,194,531,614,359,872,612
2020,12,60,"4,603",876,244,137,264,641,651,360,908,522
2020,12,70,"2,327",446,117,60,128,303,318,163,518,274
2020,12,80,959,193,39,34,41,161,113,85,171,122
2020,12,90,75,13,3,0,2,15,6,8,18,10
2020,12,100,11,1,0,1,0,1,0,1,5,2
2021,1,총,"21,276","4,332",880,453,872,"2,688","2,992","1,548","4,395","3,116"
2021,1,0,906,205,18,15,24,103,131,49,219,142
2021,1,10,"1,521",364,44,21,33,161,239,111,336,212
2021,1,20,"1,997",444,66,38,51,240,249,122,436,351
2021,1,30,"1,652",358,41,20,50,171,248,78,326,360
2021,1,40,"2,900",570,118,41,82,363,420,210,591,505
2021,1,50,"4,280",856,190,86,191,521,609,360,863,604
2021,1,60,"4,635",878,242,137,267,646,657,362,912,534
2021,1,70,"2,338",452,117,60,131,305,319,161,520,273
2021,1,80,963,190,41,34,41,163,114,86,171,123
2021,1,90,74,14,3,0,2,14,6,8,17,10
2021,1,100,10,1,0,1,0,1,0,1,4,2
2021,2,총,"21,269","4,328",877,457,868,"2,680","3,003","1,550","4,386","3,120"
2021,2,0,911,206,18,15,24,101,130,50,221,146
2021,2,10,"1,507",357,42,22,33,160,239,111,333,210
2021,2,20,"1,987",450,65,36,48,236,251,123,428,350
2021,2,30,"1,652",364,41,21,49,169,245,78,321,364
2021,2,40,"2,883",561,117,42,83,355,422,204,590,509
2021,2,50,"4,272",854,189,85,189,528,613,361,859,594
2021,2,60,"4,666",874,244,140,269,645,665,366,921,542
2021,2,70,"2,319",453,117,60,129,307,312,160,514,267
2021,2,80,986,194,41,35,42,164,120,87,178,125
2021,2,90,76,14,3,0,2,14,6,9,17,11
2021,2,100,10,1,0,1,0,1,0,1,4,2
2021,3,총,"21,151","4,313",858,457,868,"2,677","2,991","1,542","4,354","3,091"
2021,3,0,913,209,17,12,24,101,132,49,221,148
2021,3,10,"1,489",349,39,25,34,160,237,110,326,209
2021,3,20,"1,987",454,64,36,48,237,247,124,424,353
2021,3,30,"1,625",358,40,19,48,170,239,74,316,361
2021,3,40,"2,843",554,110,42,82,349,424,200,580,502
2021,3,50,"4,228",847,186,86,188,525,605,361,847,583
2021,3,60,"4,704",886,245,140,271,654,672,370,929,537
2021,3,70,"2,299",445,115,61,128,302,309,160,511,268
2021,3,80,987,197,40,35,43,164,120,85,183,120
2021,3,90,72,13,2,0,2,15,6,9,15,10
2021,3,100,4,1,0,1,0,0,0,0,2,0
2021,4,총,"21,139","4,306",863,453,868,"2,669","3,004","1,544","4,352","3,080"
2021,4,0,906,206,16,13,25,99,135,48,220,144
2021,4,10,"1,478",346,40,24,34,157,234,107,323,213
2021,4,20,"1,982",457,64,34,47,235,242,126,426,351
2021,4,30,"1,604",350,39,19,47,172,246,70,313,348
2021,4,40,"2,852",555,111,41,84,347,426,204,579,505
2021,4,50,"4,226",845,190,83,187,522,603,366,849,581
2021,4,60,"4,731",890,245,141,273,654,681,367,936,544
2021,4,70,"2,289",445,116,61,126,302,308,160,505,266
2021,4,80,997,198,40,36,43,166,123,87,185,119
2021,4,90,70,13,2,0,2,15,6,9,14,9
2021,4,100,4,1,0,1,0,0,0,0,2,0
2021,5,총,"21,124","4,301",864,456,867,"2,662","3,016","1,545","4,342","3,071"
2021,5,0,899,202,16,13,25,93,135,49,220,146
2021,5,10,"1,473",348,40,24,34,160,236,104,318,209
2021,5,20,"1,966",454,65,34,45,231,239,127,423,348
2021,5,30,"1,592",344,39,21,48,169,241,72,311,347
2021,5,40,"2,824",549,107,41,84,341,425,205,571,501
2021,5,50,"4,249",850,194,85,180,525,613,363,860,579
2021,5,60,"4,752",897,243,140,277,662,685,368,935,545
2021,5,70,"2,290",444,118,60,126,300,312,161,502,267
2021,5,80,"1,004",198,40,37,46,166,124,87,186,120
2021,5,90,71,14,2,0,2,15,6,9,14,9
2021,5,100,4,1,0,1,0,0,0,0,2,0
2021,6,총,"21,111","4,301",863,453,876,"2,660","3,013","1,542","4,326","3,077"
2021,6,0,896,202,15,13,24,92,134,50,218,148
2021,6,10,"1,466",349,40,23,36,159,235,101,315,208
2021,6,20,"1,950",448,61,33,46,228,240,128,420,346
2021,6,30,"1,587",344,39,21,50,170,242,70,300,351
2021,6,40,"2,825",552,102,41,84,344,419,202,579,502
