년도,월,나이,경상남도,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 성산구,경상남도 창원시 마산합포구,경상남도 창원시 마산회원구,경상남도 창원시 진해구,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 양산시,경상남도 의령군,경상남도 함안군,경상남도 창녕군,경상남도 고성군,경상남도 남해군,경상남도 하동군,경상남도 산청군,경상남도 함양군,경상남도 거창군,경상남도 합천군
2020,3,총,"1,689,137","528,140","133,395","111,503","87,527","97,155","98,560","172,040","65,612","56,237","274,437","51,571","129,979","176,468","13,202","32,964","30,801","26,058","20,851","22,875","17,269","18,991","30,131","21,511"
2020,3,0,"144,866","44,913","11,380","8,987","6,729","7,278","10,539","15,250","5,296","4,434","26,233","2,987","14,594","18,450",584,"2,236","1,825","1,440",893,"1,071",791,980,"2,024",865
2020,3,10,"173,123","53,672","12,770","12,787","7,308","9,932","10,875","18,987","6,753","5,398","32,653","4,258","14,795","17,574",858,"3,248","2,285","2,234","1,671","1,621","1,142","1,570","3,052","1,352"
2020,3,20,"212,541","73,509","20,188","18,476","10,685","12,623","11,537","24,706","6,352","6,555","37,461","5,379","13,895","22,073","1,173","3,284","2,951","2,368","1,964","2,233","1,466","1,851","3,488","1,833"
2020,3,30,"217,165","72,853","18,807","16,103","11,202","11,996","14,745","21,485","7,804","6,633","36,984","4,859","20,883","26,331","1,001","3,134","2,983","2,305","1,381","1,665","1,242","1,409","2,669","1,544"
2020,3,40,"279,663","86,094","20,860","17,635","13,508","15,656","18,435","27,395","11,784","9,579","49,542","7,010","25,939","30,717","1,726","5,239","4,075","3,725","2,581","3,017","2,023","2,508","4,133","2,576"
2020,3,50,"298,005","93,656","25,118","21,736","14,788","17,543","14,471","28,514","11,639","9,729","49,243","9,744","20,459","29,441","2,595","6,255","5,913","5,009","3,960","4,719","3,583","3,713","5,476","4,357"
2020,3,60,"217,712","66,548","16,354","11,771","13,773","13,743","10,907","20,831","9,563","7,606","27,689","9,789","12,941","19,823","2,673","5,429","5,791","4,640","3,898","4,370","3,589","3,452","4,710","4,370"
2020,3,70,"105,500","28,023","6,092","3,108","7,140","6,510","5,173","10,952","4,904","4,453","10,992","5,320","4,896","9,001","1,653","2,868","3,408","2,970","2,933","2,728","2,276","2,259","2,930","2,934"
2020,3,80,"37,254","8,199","1,691",807,"2,197","1,757","1,747","3,585","1,402","1,721","3,354","2,058","1,449","2,835",848,"1,158","1,461","1,249","1,423","1,306","1,045","1,128","1,492","1,541"
