년도,월,나이,충청남도 청양군,충청남도 청양군 청양읍,충청남도 청양군 운곡면,충청남도 청양군 대치면,충청남도 청양군 정산면,충청남도 청양군 목면,충청남도 청양군 청남면,충청남도 청양군 장평면,충청남도 청양군 남양면,충청남도 청양군 화성면,충청남도 청양군 비봉면
2020,8,70,"2,042",449,179,154,219,114,164,199,223,190,151
2020,8,80,"1,177",221,109,105,119,76,79,118,142,115,93
2020,8,90,119,23,10,11,19,8,10,9,8,14,7
2020,8,100,4,3,0,0,0,0,1,0,0,0,0
2020,9,총,"15,587","4,958","1,080","1,183","1,848",795,993,"1,189","1,373","1,119","1,049"
2020,9,0,659,336,27,36,77,22,26,41,44,26,24
2020,9,10,"1,059",461,56,52,148,45,62,57,57,59,62
2020,9,20,"1,495",701,85,93,195,50,72,62,100,73,64
2020,9,30,"1,200",477,67,74,159,46,62,76,86,77,76
2020,9,40,"1,839",659,101,139,227,81,118,147,145,112,110
2020,9,50,"2,888",884,201,238,335,176,179,214,267,189,205
2020,9,60,"3,099",742,246,279,345,177,223,265,302,262,258
2020,9,70,"2,042",451,176,157,222,114,163,198,220,192,149
2020,9,80,"1,181",219,110,105,121,76,78,120,144,114,94
2020,9,90,121,25,11,10,19,8,9,9,8,15,7
2020,9,100,4,3,0,0,0,0,1,0,0,0,0
2020,10,총,"15,616","4,995","1,077","1,189","1,855",793,988,"1,188","1,371","1,116","1,044"
2020,10,0,654,332,27,36,78,22,26,41,42,27,23
2020,10,10,"1,078",484,55,53,150,45,62,55,57,57,60
2020,10,20,"1,514",717,86,93,193,51,70,63,100,74,67
2020,10,30,"1,193",469,64,75,160,47,65,74,86,77,76
2020,10,40,"1,824",660,101,140,231,78,114,144,142,109,105
2020,10,50,"2,885",881,199,238,333,176,180,217,270,187,204
2020,10,60,"3,109",745,245,281,344,179,222,265,304,265,259
2020,10,70,"2,047",459,176,158,224,110,160,199,220,192,149
2020,10,80,"1,184",220,113,105,123,76,79,121,142,112,93
2020,10,90,123,24,11,10,19,9,9,9,8,16,8
2020,10,100,5,4,0,0,0,0,1,0,0,0,0
2020,11,총,"15,624","5,015","1,075","1,192","1,851",794,993,"1,180","1,367","1,113","1,044"
2020,11,0,644,324,27,36,77,21,25,42,42,27,23
2020,11,10,"1,097",514,53,53,146,45,61,53,58,55,59
2020,11,20,"1,510",709,90,93,193,50,71,62,98,76,68
2020,11,30,"1,190",471,64,76,161,42,66,72,86,77,75
2020,11,40,"1,810",655,99,137,230,81,114,141,141,109,103
2020,11,50,"2,896",886,201,243,333,179,181,215,269,186,203
2020,11,60,"3,115",742,245,281,345,181,227,264,305,264,261
2020,11,70,"2,049",463,171,160,228,109,159,198,218,192,151
2020,11,80,"1,180",220,114,103,117,77,79,124,142,111,93
2020,11,90,128,27,11,10,21,9,9,9,8,16,8
2020,11,100,5,4,0,0,0,0,1,0,0,0,0
2020,12,총,"15,691","5,035","1,080","1,197","1,868",800,991,"1,181","1,374","1,114","1,051"
2020,12,0,648,326,28,36,76,24,25,41,43,26,23
2020,12,10,"1,093",509,53,52,146,49,59,52,58,55,60
2020,12,20,"1,539",721,91,95,201,51,73,66,97,78,66
2020,12,30,"1,198",474,64,81,160,41,65,74,89,78,72
2020,12,40,"1,818",655,101,136,234,85,114,138,138,111,106
2020,12,50,"2,899",886,199,246,331,176,179,215,279,183,205
2020,12,60,"3,145",750,248,277,357,180,229,263,305,267,269
2020,12,70,"2,043",467,171,163,225,110,156,197,217,190,147
2020,12,80,"1,176",216,115,102,118,74,81,125,140,110,95
2020,12,90,127,27,10,9,20,10,9,10,8,16,8
2020,12,100,5,4,0,0,0,0,1,0,0,0,0
2021,1,총,"15,632","5,017","1,078","1,182","1,865",808,986,"1,177","1,365","1,111","1,043"
2021,1,0,643,322,30,36,75,27,25,40,41,26,21
2021,1,10,"1,067",491,51,49,144,50,58,53,57,55,59
2021,1,20,"1,518",716,88,89,201,52,71,66,94,75,66
2021,1,30,"1,197",484,65,74,159,42,61,74,87,79,72
2021,1,40,"1,816",658,101,139,234,84,114,134,137,111,104
2021,1,50,"2,864",873,197,246,325,178,180,212,272,182,199
2021,1,60,"3,159",755,248,274,363,181,227,265,309,266,271
2021,1,70,"2,053",472,170,166,225,110,156,198,219,187,150
2021,1,80,"1,183",215,118,100,119,74,83,125,141,115,93
2021,1,90,127,27,10,9,20,10,10,10,8,15,8
2021,1,100,5,4,0,0,0,0,1,0,0,0,0
2021,2,총,"15,572","4,990","1,070","1,184","1,855",804,986,"1,175","1,361","1,110","1,037"
2021,2,0,636,321,28,36,74,27,23,39,41,27,20
2021,2,10,"1,059",485,52,49,142,51,58,54,56,55,57
2021,2,20,"1,489",696,85,90,196,49,71,65,94,76,67
2021,2,30,"1,181",486,62,73,159,41,61,68,86,76,69
2021,2,40,"1,802",646,100,139,234,83,114,140,133,111,102
2021,2,50,"2,859",878,194,246,325,177,183,210,271,178,197
2021,2,60,"3,183",761,250,273,364,182,227,268,314,270,274
2021,2,70,"2,047",471,171,169,223,106,155,198,214,187,153
2021,2,80,"1,186",215,118,99,119,78,83,125,144,115,90
2021,2,90,125,27,10,10,19,10,10,8,8,15,8
2021,2,100,5,4,0,0,0,0,1,0,0,0,0
2021,3,총,"15,544","5,008","1,073","1,174","1,847",800,980,"1,164","1,364","1,102","1,032"
2021,3,0,634,324,27,36,74,28,21,37,41,26,20
2021,3,10,"1,054",483,55,47,141,51,56,52,58,56,55
2021,3,20,"1,486",702,85,89,199,47,67,62,93,75,67
2021,3,30,"1,164",483,59,71,158,38,62,66,85,73,69
2021,3,40,"1,787",649,101,136,225,82,113,138,128,113,102
2021,3,50,"2,846",884,194,242,326,175,181,209,271,168,196
2021,3,60,"3,206",761,254,275,366,186,232,269,319,271,273
2021,3,70,"2,048",478,168,169,220,105,154,198,213,189,154
2021,3,80,"1,191",215,120,98,118,78,83,125,148,116,90
2021,3,90,126,28,10,11,20,10,10,8,8,15,6
2021,3,100,2,1,0,0,0,0,1,0,0,0,0
2021,4,총,"15,569","5,028","1,071","1,168","1,865",800,984,"1,161","1,362","1,100","1,030"
2021,4,0,626,320,28,36,73,27,21,36,39,26,20
2021,4,10,"1,073",505,55,46,143,50,56,48,60,54,56
2021,4,20,"1,493",704,85,87,209,48,66,65,91,72,66
2021,4,30,"1,144",476,57,68,158,38,62,60,85,74,66
2021,4,40,"1,779",646,96,137,229,80,113,140,125,111,102
2021,4,50,"2,837",880,193,240,329,176,180,208,269,166,196
2021,4,60,"3,242",771,258,277,362,192,237,273,325,273,274
2021,4,70,"2,053",482,167,168,224,103,152,198,213,193,153
2021,4,80,"1,194",215,122,97,119,77,85,124,147,116,92
2021,4,90,126,28,10,12,19,9,11,9,8,15,5
2021,4,100,2,1,0,0,0,0,1,0,0,0,0
2021,5,총,"15,533","5,011","1,066","1,166","1,872",802,983,"1,157","1,355","1,097","1,024"
2021,5,0,618,320,27,36,71,25,21,35,37,25,21
2021,5,10,"1,060",500,54,45,143,51,54,49,59,50,55
2021,5,20,"1,492",697,81,90,216,50,67,62,94,73,62
2021,5,30,"1,122",463,57,65,155,36,62,59,86,73,66
2021,5,40,"1,780",657,96,136,228,80,111,137,122,110,103
2021,5,50,"2,817",875,190,239,329,178,179,209,267,161,190
2021,5,60,"3,281",776,260,283,366,192,243,276,328,282,275
2021,5,70,"2,042",480,166,166,225,104,151,195,210,192,153
2021,5,80,"1,196",216,125,96,120,76,84,126,143,117,93
2021,5,90,123,26,10,10,19,10,10,9,9,14,6
2021,5,100,2,1,0,0,0,0,1,0,0,0,0
