년도,월,나이,서울특별시 동대문구,서울특별시 동대문구 용신동,서울특별시 동대문구 제기동,서울특별시 동대문구 전농제1동,서울특별시 동대문구 전농제2동,서울특별시 동대문구 답십리제1동,서울특별시 동대문구 답십리제2동,서울특별시 동대문구 장안제1동,서울특별시 동대문구 장안제2동,서울특별시 동대문구 청량리동,서울특별시 동대문구 회기동,서울특별시 동대문구 휘경제1동,서울특별시 동대문구 휘경제2동,서울특별시 동대문구 이문제1동,서울특별시 동대문구 이문제2동
2020,1,총,"174,116","14,963","12,131","15,206","10,151","15,089","15,447","19,305","16,409","10,532","5,393","7,253","12,234","9,407","10,596"
2020,1,0,"10,724",675,531,972,675,"1,395",947,"1,306","1,430",451,256,347,668,385,686
2020,1,10,"12,343",710,697,"1,031",934,"1,002","1,106","1,306","1,379",594,393,420,"1,134",703,934
2020,1,20,"27,373","2,884","1,872","2,312","1,199","2,136","2,057","2,693","1,848","1,175","1,529","1,638","2,377","2,222","1,431"
2020,1,30,"24,690","2,446","1,508","2,115","1,210","2,909","2,192","3,119","2,574","1,159",739,994,"1,444",994,"1,287"
2020,1,40,"25,406","1,974","1,467","2,162","1,677","2,271","2,276","3,079","2,834","1,304",677,894,"1,819","1,278","1,694"
2020,1,50,"27,160","2,231","1,901","2,461","1,695","2,229","2,643","3,080","2,499","1,865",614,"1,118","1,816","1,295","1,713"
2020,1,60,"23,239","1,940","1,949","2,005","1,369","1,602","2,156","2,652","2,122","1,892",539,893,"1,529","1,181","1,410"
2020,1,70,"15,363","1,364","1,432","1,409",942,996,"1,365","1,442","1,182","1,365",407,625,977,869,988
2020,1,80,"6,538",614,661,614,398,459,603,508,440,609,188,275,403,381,385
2020,1,90,"1,079",109,95,99,47,71,92,105,90,93,41,46,60,70,61
2020,1,100,201,16,18,26,5,19,10,15,11,25,10,3,7,29,7
2020,2,총,"174,237","15,087","12,114","15,244","10,115","15,068","15,425","19,352","16,446","10,525","5,355","7,242","12,244","9,388","10,632"
2020,2,0,"10,651",669,521,968,662,"1,381",933,"1,309","1,433",457,243,341,659,386,689
2020,2,10,"12,416",715,703,"1,039",924,998,"1,101","1,308","1,382",585,417,435,"1,139",733,937
2020,2,20,"27,408","2,947","1,874","2,317","1,190","2,130","2,046","2,688","1,837","1,168","1,494","1,679","2,387","2,193","1,458"
2020,2,30,"24,689","2,471","1,510","2,139","1,203","2,899","2,198","3,124","2,595","1,156",709,991,"1,434",980,"1,280"
2020,2,40,"25,391","1,976","1,460","2,153","1,667","2,273","2,267","3,085","2,843","1,309",686,886,"1,813","1,277","1,696"
2020,2,50,"27,102","2,240","1,884","2,456","1,693","2,221","2,630","3,082","2,507","1,859",620,"1,093","1,824","1,291","1,702"
2020,2,60,"23,337","1,957","1,962","2,010","1,380","1,611","2,172","2,659","2,130","1,901",536,880,"1,540","1,175","1,424"
2020,2,70,"15,369","1,368","1,423","1,410",945,998,"1,370","1,461","1,179","1,357",409,615,972,874,988
2020,2,80,"6,583",620,664,623,399,464,607,512,443,613,190,271,407,380,390
2020,2,90,"1,088",108,95,102,47,74,91,109,86,94,41,48,62,70,61
2020,2,100,203,16,18,27,5,19,10,15,11,26,10,3,7,29,7
2020,3,총,"174,260","15,116","12,103","15,217","10,089","15,034","15,400","19,393","16,492","10,504","5,360","7,276","12,265","9,401","10,610"
2020,3,0,"10,624",670,516,959,650,"1,367",932,"1,315","1,426",455,241,390,645,384,674
2020,3,10,"12,407",708,713,"1,043",929,997,"1,086","1,299","1,375",575,421,440,"1,146",733,942
2020,3,20,"27,555","2,961","1,887","2,297","1,184","2,129","2,052","2,691","1,860","1,165","1,529","1,695","2,407","2,238","1,460"
