년도,월,나이,경상북도 영천시,경상북도 영천시 금호읍,경상북도 영천시 청통면,경상북도 영천시 신녕면,경상북도 영천시 화산면,경상북도 영천시 화북면,경상북도 영천시 화남면,경상북도 영천시 자양면,경상북도 영천시 임고면,경상북도 영천시 고경면,경상북도 영천시 북안면,경상북도 영천시 대창면,경상북도 영천시 동부동,경상북도 영천시 중앙동,경상북도 영천시 서부동,경상북도 영천시 완산동,경상북도 영천시 남부동
2020,3,0,"5,826",401,104,110,81,66,66,14,144,279,75,80,"2,735",678,168,561,264
2020,3,10,"6,834",516,153,176,92,83,89,35,166,233,147,89,"3,044",924,289,577,221
2020,3,20,"10,390",997,340,250,190,104,205,67,271,"1,117",262,204,"3,576","1,185",512,697,413
2020,3,30,"9,572",826,312,229,193,101,162,53,245,484,258,206,"3,771","1,001",393,863,475
2020,3,40,"12,942","1,335",370,344,297,168,252,65,408,516,425,262,"4,911","1,435",577,"1,072",505
2020,3,50,"18,310","2,265",835,688,585,412,580,264,721,904,813,575,"5,207","1,632",909,"1,122",798
2020,3,60,"17,911","2,224",983,924,759,536,795,273,934,"1,104","1,063",806,"3,589","1,245",952,975,749
2020,3,70,"12,270","1,570",701,696,621,388,572,213,839,924,826,486,"1,744",781,679,697,533
2020,3,80,"6,790",782,382,425,388,282,335,160,462,521,510,290,938,388,339,316,272
2020,3,90,744,78,52,45,38,34,38,19,59,55,58,31,89,43,36,22,47
2020,3,100,41,3,2,1,0,1,6,1,1,3,3,1,5,5,1,7,1
2020,4,총,"101,828","10,988","4,227","3,879","3,225","2,184","3,100","1,167","4,238","6,147","4,444","3,034","29,639","9,462","4,884","6,923","4,287"
2020,4,0,"5,841",407,105,107,76,66,68,14,141,284,74,85,"2,741",680,174,557,262
2020,4,10,"6,800",507,151,171,92,86,88,33,167,237,147,90,"3,014",927,287,586,217
2020,4,20,"10,416",982,337,248,188,107,194,71,269,"1,110",268,204,"3,583","1,233",508,699,415
2020,4,30,"9,579",823,304,232,188,98,160,53,246,487,256,206,"3,771","1,023",394,864,474
2020,4,40,"12,938","1,320",373,350,296,172,253,62,400,510,419,258,"4,907","1,464",582,"1,063",509
2020,4,50,"18,356","2,269",834,677,584,405,583,265,714,903,804,575,"5,219","1,662",922,"1,124",816
2020,4,60,"17,982","2,233",986,929,750,542,801,274,938,"1,104","1,069",799,"3,619","1,254",956,981,747
2020,4,70,"12,298","1,574",704,694,623,387,574,214,837,917,837,488,"1,757",786,682,701,523
2020,4,80,"6,828",793,379,424,387,286,333,161,469,534,507,295,932,388,342,321,277
2020,4,90,748,77,51,46,41,34,40,19,56,58,60,33,91,40,36,20,46
2020,4,100,42,3,3,1,0,1,6,1,1,3,3,1,5,5,1,7,1
2020,5,총,"101,758","10,966","4,215","3,871","3,228","2,179","3,109","1,168","4,241","6,139","4,449","3,037","29,587","9,501","4,853","6,929","4,286"
2020,5,0,"5,832",407,107,107,76,66,69,15,136,277,76,88,"2,733",682,173,558,262
2020,5,10,"6,743",500,147,173,88,85,89,33,164,234,147,89,"2,999",923,280,580,212
2020,5,20,"10,388",978,330,242,188,107,192,70,271,"1,117",269,203,"3,575","1,237",503,691,415
2020,5,30,"9,562",811,303,231,189,93,163,52,243,478,259,197,"3,762","1,034",403,864,480
2020,5,40,"12,866","1,299",372,348,286,172,253,61,403,515,415,258,"4,869","1,472",565,"1,070",508
2020,5,50,"18,373","2,282",817,676,593,403,590,262,708,908,804,576,"5,228","1,669",915,"1,124",818
2020,5,60,"17,996","2,234",996,924,750,541,794,277,947,"1,100","1,064",801,"3,623","1,261",954,988,742
2020,5,70,"12,338","1,568",705,701,628,388,576,216,838,920,841,494,"1,767",792,677,703,524
2020,5,80,"6,863",807,383,422,389,288,336,161,473,532,510,294,934,386,346,324,278
2020,5,90,755,77,52,46,41,35,41,20,57,55,61,36,92,40,36,20,46
2020,5,100,42,3,3,1,0,1,6,1,1,3,3,1,5,5,1,7,1
