년도,월,나이,서울특별시 도봉구,서울특별시 도봉구 창제1동,서울특별시 도봉구 창제2동,서울특별시 도봉구 창제3동,서울특별시 도봉구 창제4동,서울특별시 도봉구 창제5동,서울특별시 도봉구 도봉제1동,서울특별시 도봉구 도봉제2동,서울특별시 도봉구 쌍문제1동,서울특별시 도봉구 쌍문제2동,서울특별시 도봉구 쌍문제3동,서울특별시 도봉구 쌍문제4동,서울특별시 도봉구 방학제1동,서울특별시 도봉구 방학제2동,서울특별시 도봉구 방학제3동
2020,3,총,"169,359","13,542","15,362","7,267","14,296","13,288","10,852","14,449","11,379","10,155","8,762","10,290","14,844","10,293","14,580"
2020,3,0,"9,749",798,959,420,919,795,478,868,601,525,434,623,844,524,961
2020,3,10,"13,081","1,142","1,121",543,"1,354","1,042",593,871,889,712,524,"1,060","1,145",737,"1,348"
2020,3,20,"21,914","1,728","2,123",910,"1,890","1,902","1,274","1,734","1,621","1,290","1,337","1,279","1,936","1,269","1,621"
2020,3,30,"20,807","1,813","2,157",823,"1,764","1,772","1,109","1,861","1,298","1,300","1,178","1,283","1,689","1,105","1,655"
2020,3,40,"25,445","2,221","2,322","1,092","2,429","1,964","1,413","1,926","1,652","1,445","1,208","1,686","2,234","1,501","2,352"
2020,3,50,"30,440","2,287","2,754","1,324","2,636","2,439","1,970","2,373","1,932","1,856","1,534","1,922","2,760","1,944","2,709"
2020,3,60,"24,998","1,802","2,081","1,050","1,720","1,852","1,983","2,516","1,705","1,566","1,260","1,374","2,297","1,623","2,169"
2020,3,70,"14,722","1,128","1,240",742,924,929,"1,372","1,476","1,095",918,897,631,"1,287","1,056","1,027"
2020,3,80,"6,902",539,531,306,564,493,572,678,489,452,329,351,529,444,625
2020,3,90,"1,177",77,73,50,90,92,74,124,86,82,55,77,113,77,107
2020,3,100,124,7,1,7,6,8,14,22,11,9,6,4,10,13,6
2020,4,총,"169,126","13,515","15,360","7,254","14,272","13,264","10,794","14,432","11,396","10,159","8,764","10,274","14,812","10,285","14,545"
2020,4,0,"9,677",794,943,421,919,790,472,866,606,519,431,620,822,516,958
2020,4,10,"12,970","1,127","1,125",543,"1,346","1,026",581,865,886,711,515,"1,055","1,124",732,"1,334"
2020,4,20,"21,890","1,739","2,120",902,"1,890","1,910","1,262","1,737","1,632","1,285","1,324","1,278","1,940","1,266","1,605"
2020,4,30,"20,709","1,800","2,147",813,"1,752","1,770","1,079","1,865","1,303","1,303","1,179","1,263","1,686","1,093","1,656"
2020,4,40,"25,286","2,200","2,321","1,080","2,419","1,948","1,409","1,904","1,641","1,442","1,206","1,690","2,220","1,479","2,327"
2020,4,50,"30,478","2,295","2,755","1,329","2,624","2,443","1,954","2,378","1,932","1,859","1,546","1,915","2,767","1,972","2,709"
2020,4,60,"25,089","1,806","2,090","1,061","1,729","1,852","1,990","2,510","1,713","1,571","1,266","1,386","2,308","1,631","2,176"
2020,4,70,"14,777","1,133","1,253",746,925,936,"1,376","1,477","1,099",920,903,630,"1,291","1,051","1,037"
2020,4,80,"6,948",540,532,303,568,492,584,683,484,459,332,356,533,452,630
2020,4,90,"1,179",75,73,49,93,89,73,125,89,82,56,77,111,80,107
2020,4,100,123,6,1,7,7,8,14,22,11,8,6,4,10,13,6
2020,5,총,"168,954","13,477","15,321","7,259","14,259","13,258","10,786","14,420","11,401","10,160","8,737","10,264","14,851","10,238","14,523"
2020,5,0,"9,609",786,932,416,905,787,469,857,599,520,434,620,823,505,956
2020,5,10,"12,910","1,119","1,117",538,"1,340","1,020",585,858,886,714,504,"1,049","1,129",724,"1,327"
2020,5,20,"21,831","1,717","2,113",896,"1,891","1,912","1,254","1,736","1,644","1,283","1,327","1,272","1,935","1,259","1,592"
2020,5,30,"20,644","1,801","2,129",823,"1,754","1,755","1,082","1,850","1,307","1,296","1,170","1,256","1,693","1,081","1,647"
2020,5,40,"25,209","2,183","2,307","1,074","2,414","1,952","1,399","1,904","1,635","1,439","1,192","1,691","2,220","1,473","2,326"
2020,5,50,"30,430","2,299","2,755","1,328","2,616","2,439","1,943","2,383","1,937","1,849","1,548","1,916","2,761","1,973","2,683"
2020,5,60,"25,214","1,813","2,102","1,067","1,742","1,858","2,000","2,507","1,717","1,587","1,268","1,393","2,334","1,626","2,200"
2020,5,70,"14,834","1,138","1,253",750,926,942,"1,383","1,491","1,099",926,900,632,"1,291","1,056","1,047"
2020,5,80,"6,971",539,539,311,572,497,584,686,479,457,331,354,544,448,630
2020,5,90,"1,177",76,72,49,92,88,73,126,87,81,56,77,111,80,109
2020,5,100,125,6,2,7,7,8,14,22,11,8,7,4,10,13,6
2020,6,총,"168,705","13,431","15,305","7,242","14,301","13,209","10,770","14,410","11,402","10,128","8,717","10,257","14,800","10,225","14,508"
2020,6,0,"9,549",783,927,408,913,772,463,849,604,508,433,617,820,497,955
2020,6,10,"12,854","1,117","1,120",537,"1,326","1,013",581,865,876,710,504,"1,051","1,121",721,"1,312"
2020,6,20,"21,805","1,712","2,106",893,"1,898","1,901","1,250","1,734","1,638","1,285","1,325","1,270","1,931","1,279","1,583"
2020,6,30,"20,580","1,783","2,127",814,"1,772","1,751","1,083","1,835","1,304","1,285","1,165","1,248","1,692","1,071","1,650"
2020,6,40,"25,122","2,176","2,300","1,071","2,409","1,946","1,389","1,906","1,626","1,429","1,194","1,684","2,205","1,468","2,319"
2020,6,50,"30,216","2,283","2,731","1,317","2,609","2,426","1,930","2,362","1,942","1,837","1,539","1,913","2,725","1,938","2,664"
2020,6,60,"25,400","1,824","2,112","1,073","1,765","1,869","2,011","2,532","1,722","1,596","1,270","1,402","2,355","1,647","2,222"
2020,6,70,"14,893","1,136","1,268",761,935,939,"1,388","1,494","1,104",929,895,639,"1,293","1,063","1,049"
2020,6,80,"6,974",535,539,312,576,492,586,684,490,456,330,353,540,449,632
2020,6,90,"1,186",76,73,49,91,92,74,128,85,84,55,76,108,79,116
2020,6,100,126,6,2,7,7,8,15,21,11,9,7,4,10,13,6
2020,7,총,"168,357","13,404","15,272","7,243","14,289","13,175","10,744","14,366","11,366","10,116","8,694","10,256","14,780","10,180","14,472"
